name;automata-runtime;mata-runtime;mata-mataparsing;mata-compl;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-emptiness_check;awali-emptiness_check_result;mona-runtime;mona-mataparsing;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-complement;pyfado-emptiness;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-complement;pyautomata-lib-emptiness;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1437.0.mata;ERR;0.1; 0.0708818; 0.0206714; 3.561e-06; false;0.27; 0.0715673; 0.114516; 0.0720793; 0.00348089; false;0.11; 0.0717084; 0.00555879; 0.0100038; 0.00345585; false;TO; 0.0721718;ERR;ERR;ERR;ERR;1.16; 0.0490; 0.1670; 0.0018; 0.0133;1.03; 0.0493; 0.0638; 0.0011; 0.0000;1.72; 0.240185617; 0.027907696; 0.001684699; false;1.26; 0.059733632; 0.03296805; 2.439E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1471.0.mata;ERR;0.11; 0.0848469; 0.016793; 4.054e-06; false;0.39; 0.0847782; 0.13656; 0.166809; 0.00196227; false;0.13; 0.08443; 0.00706595; 0.0180794; 0.00431114; false;TO; 0.0859207;ERR;ERR;ERR;ERR;0.89; 0.0340; 0.1595; 0.0011; 0.0164;0.75; 0.0341; 0.0375; 0.0003; 0.0000;1.81; 0.322740723; 0.023932982; 0.002276821; false;1.23; 0.077697425; 0.053265296; 3.0305E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1475.0.mata;ERR;0.25; 0.177668; 0.0485373; 4.984e-06; false;0.88; 0.181361; 0.309906; 0.36561; 0.00464589; false;0.26; 0.184363; 0.0155257; 0.0366568; 0.00764298; false;TO; 0.189856;ERR;ERR;ERR;ERR;1.77; 0.1155; 0.6461; 0.0043; 0.0728;1.22; 0.1196; 0.1466; 0.0010; 0.0001;2.29; 0.388728306; 0.037952841; 0.001735311; false;1.86; 0.124636118; 0.084618309; 3.6644E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1477.0.mata;ERR;0.12; 0.118349; 0.0272466; 8.148e-06; false;0.34; 0.120469; 0.0941121; 0.156674; 0.00244283; false;0.14; 0.0896632; 0.00778223; 0.0194578; 0.00457208; false;TO; 0.089961;ERR;ERR;ERR;ERR;1.23; 0.0608; 0.2570; 0.0012; 0.0184;0.78; 0.0344; 0.0390; 0.0003; 0.0000;1.78; 0.252401501; 0.041541751; 0.001998158; false;1.46; 0.094509178; 0.067354971; 3.1747E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1479.0.mata;ERR;0.26; 0.181107; 0.0483343; 6.299e-06; false;0.89; 0.181747; 0.311216; 0.366067; 0.00465552; false;0.27; 0.180623; 0.0151603; 0.0356102; 0.00742585; false;TO; 0.181816;ERR;ERR;ERR;ERR;1.77; 0.1152; 0.6507; 0.0043; 0.0730;1.19; 0.1162; 0.1422; 0.0010; 0.0001;2.3; 0.338222919; 0.040914401; 0.00325667; false;2.07; 0.128672831; 0.074860067; 3.515E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1575.0.mata;ERR;0.23; 0.164729; 0.045711; 7.363e-06; false;0.54; 0.165138; 0.217523; 0.133079; 0.00323265; false;0.24; 0.228312; 0.0132025; 0.0363457; 0.00743079; false;TO; 0.0986806;ERR;ERR;ERR;ERR;1.78; 0.1019; 0.6284; 0.0040; 0.0700;1.19; 0.1032; 0.1390; 0.0010; 0.0001;2.46; 0.466557869; 0.045504912; 0.002003118; false;1.58; 0.112435414; 0.052986565; 3.6492E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1578.0.mata;ERR;0.23; 0.157233; 0.0486999; 4.602e-06; false;0.58; 0.164447; 0.272551; 0.126559; 0.00310099; false;0.25; 0.164781; 0.0134264; 0.0370796; 0.00735277; false;TO; 0.161213;ERR;ERR;ERR;ERR;1.11; 0.0573; 0.3337; 0.0020; 0.0363;0.83; 0.0565; 0.0704; 0.0007; 0.0000;2.01; 0.385264681; 0.029587454; 0.001807096; false;1.59; 0.13347981; 0.072264445; 3.5329E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1597.0.mata;ERR;0.33; 0.239325; 0.0552356; 6.301e-06; false;0.81; 0.239762; 0.384474; 0.166095; 0.00283236; false;0.34; 0.239426; 0.0190452; 0.0422749; 0.0086862; false;TO; 0.240387;ERR;ERR;ERR;ERR;2.09; 0.1501; 0.9243; 0.0050; 0.1003;1.26; 0.1507; 0.1816; 0.0011; 0.0001;2.78; 0.588685699; 0.061518677; 0.002415226; false;2.05; 0.261983654; 0.071806118; 2.6585E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1676.0.mata;ERR;0.26; 0.195161; 0.0501806; 8.378e-06; false;0.45; 0.193441; 0.201577; 0.0908512; 0.00214455; false;0.26; 0.176275; 0.0146031; 0.037548; 0.00769572; false;TO; 0.171956;ERR;ERR;ERR;ERR;1.81; 0.1139; 0.7021; 0.0043; 0.0770;1.19; 0.1135; 0.1496; 0.0011; 0.0001;2.74; 0.431292051; 0.032723923; 0.002108099; false;1.88; 0.133204995; 0.057162137; 2.5834E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1677.0.mata;ERR;0.22; 0.155765; 0.0393327; 6.333e-06; false;0.67; 0.233159; 0.366059; 0.120301; 0.0022044; false;0.36; 0.25573; 0.020604; 0.0456225; 0.00923708; false;TO; 0.164743;ERR;ERR;ERR;ERR;2.26; 0.1673; 1.0517; 0.0053; 0.1128;1.27; 0.1582; 0.1859; 0.0011; 0.0001;2.69; 0.516985587; 0.037420352; 0.001973454; false;2.14; 0.155274742; 0.072378559; 2.8856E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1679.0.mata;ERR;0.33; 0.251011; 0.059269; 7.339e-06; false;0.63; 0.237239; 0.264657; 0.119873; 0.00213071; false;0.36; 0.255663; 0.0210896; 0.0449697; 0.00903616; false;TO; 0.257876;ERR;ERR;ERR;ERR;2.22; 0.1582; 1.0127; 0.0052; 0.1106;1.33; 0.1624; 0.1936; 0.0011; 0.0001;2.72; 0.465080045; 0.036145295; 0.002290571; false;2.23; 0.267778383; 0.071736743; 2.9943E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_17.0.mata;ERR;0.06; 0.0446145; 0.0161145; 4.788e-06; false;0.16; 0.044972; 0.0718671; 0.041799; 0.00230546; false;0.07; 0.0429056; 0.00340653; 0.00802637; 0.00284132; false;TO; 0.0441809;ERR;ERR;ERR;ERR;1.1; 0.0339; 0.1114; 0.0014; 0.0082;1.04; 0.0337; 0.0480; 0.0007; 0.0000;1.6; 0.258654187; 0.040243267; 0.001823357; false;1.24; 0.059440188; 0.040448323; 2.416E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1703.0.mata;ERR;0.31; 0.230588; 0.0513073; 5.867e-06; false;0.79; 0.230296; 0.367457; 0.173863; 0.00323017; false;0.33; 0.235661; 0.0185539; 0.0405224; 0.00812223; false;TO; 0.236913;ERR;ERR;ERR;ERR;1.96; 0.1434; 0.8029; 0.0045; 0.0853;1.24; 0.1433; 0.1663; 0.0011; 0.0001;2.68; 0.511082327; 0.030752859; 0.001763734; false;1.94; 0.139615218; 0.103426529; 3.3894E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1707.0.mata;ERR;0.34; 0.252199; 0.0582186; 4.885e-06; false;0.87; 0.250784; 0.40733; 0.18421; 0.0032979; false;0.36; 0.261182; 0.0208296; 0.045571; 0.00930078; false;TO; 0.253169;ERR;ERR;ERR;ERR;2.19; 0.1581; 1.0086; 0.0051; 0.1098;1.19; 0.1582; 0.1602; 0.0006; 0.0000;2.67; 0.452029488; 0.049004972; 0.001987185; false;1.92; 0.149867166; 0.065594724; 2.8997E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1720.0.mata;ERR;0.25; 0.175259; 0.0444128; 7.892e-06; false;0.62; 0.173677; 0.287925; 0.141596; 0.00295109; false;0.25; 0.173497; 0.0143059; 0.0331071; 0.00671632; false;TO; 0.174447;ERR;ERR;ERR;ERR;1.11; 0.0626; 0.3203; 0.0019; 0.0320;0.81; 0.0634; 0.0721; 0.0006; 0.0000;2.23; 0.363411178; 0.048380788; 0.001746727; false;1.5; 0.136179367; 0.061265634; 2.872E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1722.0.mata;ERR;0.25; 0.177026; 0.0442771; 4.306e-06; false;0.64; 0.176727; 0.295256; 0.142383; 0.00300284; false;0.25; 0.172968; 0.0144216; 0.0329898; 0.00660206; false;TO; 0.173545;ERR;ERR;ERR;ERR;1.73; 0.1157; 0.6053; 0.0038; 0.0623;1.18; 0.1127; 0.1371; 0.0011; 0.0001;2.56; 0.422836505; 0.037635089; 0.001777634; false;1.67; 0.129365353; 0.053662947; 4.2633E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1723.0.mata;ERR;0.24; 0.174083; 0.0433518; 6.376e-06; false;0.63; 0.172472; 0.288181; 0.142071; 0.00297544; false;0.25; 0.172627; 0.0142391; 0.0330354; 0.00668743; false;TO; 0.172471;ERR;ERR;ERR;ERR;1.72; 0.1124; 0.6028; 0.0039; 0.0638;1.19; 0.1155; 0.1409; 0.0011; 0.0001;2.46; 0.427379596; 0.050358587; 0.00191177; false;2.07; 0.209041595; 0.106523995; 3.1164E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1726.0.mata;ERR;0.17; 0.134167; 0.0282938; 6.785e-06; false;0.64; 0.172296; 0.297422; 0.14504; 0.00303059; false;0.16; 0.104163; 0.00894792; 0.0206464; 0.004274; false;TO; 0.108669;ERR;ERR;ERR;ERR;1.09; 0.0637; 0.3238; 0.0019; 0.0321;1.25; 0.1123; 0.1386; 0.0011; 0.0001;2.67; 0.535282055; 0.033196416; 0.001735798; false;1.63; 0.148703681; 0.052009497; 3.197E-5; false
