name;automata-runtime;mata-runtime;mata-mataparsing;mata-compl;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-emptiness_check;awali-emptiness_check_result;mona-runtime;mona-mataparsing;pymata-runtime;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-complement;pyfado-emptiness;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-complement;pyautomata-lib-emptiness;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-7.mata;ERR;0.0; 0.000273302; 1.977e-05; 1.712e-06; false;0.0; 7.4305e-05; 0.000110739; 0.000113695; 1.413e-05; false;0.0; 7.2892e-05; 9.222e-06; 0.000436592; 0.00037656; false;TO; 7.1069e-05;ERR;0.99; 0.0062; 0.0001; 0.0000; 0.0000;0.77; 0.0045; 0.0003; 0.0001; 0.0000;0.89; 0.053908449; 0.013035447; 0.001523635; false;0.66; 0.004369217; 0.00187319; 1.8278E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-8.mata;ERR;0.0; 0.000119498; 2.9043e-05; 2.672e-06; false;0.0; 0.000124084; 0.000155124; 0.000132289; 2.3145e-05; false;0.01; 0.000105234; 1.2817e-05; 0.000704874; 0.000534193; false;TO; 0.00011691;ERR;0.82; 0.0045; 0.0001; 0.0000; 0.0000;0.94; 0.0045; 0.0003; 0.0001; 0.0000;0.86; 0.050641234; 0.016880026; 0.001548636; false;0.76; 0.00459317; 0.002054177; 1.8512E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-9.mata;ERR;0.0; 0.000101807; 2.6929e-05; 2.193e-06; false;0.0; 9.9376e-05; 0.000146624; 0.000128613; 2.0413e-05; false;0.01; 0.000120791; 1.2283e-05; 0.000636564; 0.000528366; false;TO; 0.000100563;ERR;1.07; 0.0065; 0.0001; 0.0000; 0.0000;1.12; 0.0068; 0.0005; 0.0001; 0.0001;0.95; 0.060303719; 0.01461496; 0.001625237; false;0.84; 0.003478568; 0.001583181; 3.5597E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03005-1.mata;ERR;0.0; 0.000225339; 1.9702e-05; 2.588e-06; false;0.0; 7.221e-05; 0.000113063; 0.000109709; 2.1319e-05; false;0.0; 7.6762e-05; 9.407e-06; 0.000473116; 0.00035168; false;TO; 7.0477e-05;ERR;0.98; 0.0063; 0.0001; 0.0001; 0.0000;0.97; 0.0065; 0.0004; 0.0001; 0.0000;0.93; 0.050046942; 0.012984781; 0.001627455; false;0.74; 0.004661213; 0.002129458; 2.4794E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03140-1.mata;ERR;0.0; 0.000280909; 2.876e-05; 3.097e-06; false;0.0; 0.000118358; 0.000156659; 0.00013527; 2.439e-05; false;0.0; 0.000113657; 1.2656e-05; 0.000662966; 0.000552826; false;TO; 0.000110081;ERR;0.99; 0.0063; 0.0001; 0.0000; 0.0000;0.96; 0.0063; 0.0003; 0.0001; 0.0000;0.84; 0.05254705; 0.017122856; 0.001482067; false;0.77; 0.004508657; 0.002066073; 1.8203E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-1.mata;ERR;0.0; 0.000103148; 2.7864e-05; 2.556e-06; false;0.0; 0.000100883; 0.000154024; 0.00013293; 3.2086e-05; false;0.0; 9.6669e-05; 1.4835e-05; 0.000643648; 0.000525864; false;TO; 9.627e-05;ERR;0.95; 0.0062; 0.0001; 0.0000; 0.0000;0.97; 0.0063; 0.0004; 0.0001; 0.0000;0.71; 0.040790966; 0.009810849; 0.0012434; false;0.77; 0.004523774; 0.002037848; 1.9629E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-2.mata;ERR;0.0; 0.000109363; 2.7049e-05; 2.553e-06; false;0.0; 9.9354e-05; 0.000147121; 0.000129018; 2.2888e-05; false;0.01; 9.6769e-05; 1.4793e-05; 0.000642706; 0.00050336; false;TO; 9.7807e-05;ERR;0.95; 0.0069; 0.0001; 0.0001; 0.0000;1.0; 0.0063; 0.0004; 0.0001; 0.0000;0.85; 0.050302236; 0.013469356; 0.001515501; false;0.79; 0.004746748; 0.001945079; 2.0686E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-3.mata;ERR;0.0; 0.000106347; 2.7451e-05; 3.124e-06; false;0.0; 9.8508e-05; 0.000150926; 0.000142352; 2.4175e-05; false;0.0; 0.000112722; 1.2217e-05; 0.000660312; 0.000526247; false;TO; 0.000109876;ERR;0.9; 0.0046; 0.0001; 0.0000; 0.0000;0.98; 0.0062; 0.0004; 0.0001; 0.0000;0.91; 0.051794822; 0.009917488; 0.001189532; false;0.71; 0.003594252; 0.001373082; 1.7366E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-4.mata;ERR;0.0; 0.000112716; 2.7538e-05; 2.736e-06; false;0.0; 0.00010144; 0.000150688; 0.000128817; 2.3334e-05; false;0.01; 0.000102098; 1.2105e-05; 0.000633875; 0.000485173; false;TO; 0.000100413;ERR;0.95; 0.0062; 0.0001; 0.0000; 0.0000;0.99; 0.0062; 0.0004; 0.0001; 0.0000;0.71; 0.0465015; 0.012962841; 0.001565578; false;0.76; 0.004399045; 0.002025619; 1.763E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-5.mata;ERR;0.0; 9.9632e-05; 3.687e-05; 2.256e-06; false;0.0; 7.0572e-05; 0.000108502; 9.4772e-05; 1.6679e-05; false;0.0; 6.9183e-05; 9.02e-06; 0.000412947; 0.000351853; false;TO; 8.0455e-05;ERR;0.98; 0.0062; 0.0001; 0.0000; 0.0000;0.96; 0.0062; 0.0003; 0.0001; 0.0000;0.87; 0.059532849; 0.013285923; 0.004661833; false;0.75; 0.004476582; 0.001922346; 1.94E-5; false
