name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-inclusion;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-inclusion;java-automatalib-runtime;java-automatalib-construction;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.59; 0.450743; 0.142226; 0.0113; 0.0012;0.66; EMPTY;1.24; 0.956196; 0.274591; 0.00103218; false;1.84; 1.06982; 0.275884;0.323652232; 0.166704; false;1.28; 0.939134; 0.281257;0.02102723; 0.0286812; false;TO; 0.983985; 0.286648;1.19; 0.3597; 0.0000; 0.0011;12.68; 0.6507; 4.5908; 6.5317;1.28; 0.3345; 0.2356; 0.0002;3.75;0.876662194; 0.077160778; false;2.54;0.335863787; 0.024438946; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.53; 0.453816; 0.0950381; 0.0052; 0.0007;0.34; EMPTY;1.73; 1.34267; 0.426533; 0.000935037; false;2.05; 1.18003; 0.410801;0.319202188; 0.145624; false;1.96; 1.44552; 0.42548;0.031838907; 0.044339; false;TO; 0.993631; 0.278445;1.64; 0.6245; 0.0000; 0.0018;35.98; 0.6159; 4.4001; 30.3243;2.08; 0.6318; 0.4397; 0.0002;4.23;0.899486862; 0.0704225; false;2.48;0.38545809; 0.019742986; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;0.82; 0.606456; 0.175892; 0.0303; 0.0016;1.1; EMPTY;2.52; 1.92827; 0.563735; 0.00144831; false;3.58; 1.95253; 0.575519;0.696518; 0.316129; false;1.86; 1.3848; 0.370775;0.02868059; 0.0639676; false;TO; 1.23438; 0.594488;1.67; 0.6096; 0.0000; 0.0021;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;4.25;0.9527459540000001; 0.094992095; false;3.73;0.447692325; 0.281319731; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;0.8; 0.597237; 0.17135; 0.0308; 0.0013;1.05; EMPTY;2.52; 1.92406; 0.570432; 0.00098478; false;3.57; 1.96869; 0.564169;0.702138; 0.302204; false;2.67; 1.95831; 0.559354;0.0433075; 0.0896664; false;TO; 1.96339; 0.383921;1.88; 0.8576; 0.0000; 0.0019;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;4.47;0.984329002; 0.081191266; false;4.03;0.485091062; 0.415706165; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.58; 0.450359; 0.133406; 0.0084; 0.0009;0.59; EMPTY;1.91; 1.50492; 0.421077; 0.000963531; false;2.61; 1.51361; 0.423024;0.479368989; 0.198929; false;1.9; 1.43003; 0.406711;0.031368652999999996; 0.0409636; false;TO; 1.47072; 0.425283;1.74; 0.6344; 0.0000; 0.0019;21.74; 0.6397; 4.6090; 15.5420;2.29; 0.6726; 0.4775; 0.0004;4.07;0.793843304; 0.067503297; false;2.82;0.619872761; 0.019949275; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;0.36; 0.296042; 0.0880542; 0.0058; 0.0007;0.51; EMPTY;1.83; 1.4132; 0.41193; 0.00109315; false;2.09; 1.32777; 0.277774;0.350242905; 0.147211; false;1.47; 0.968767; 0.410543;0.031738717; 0.0391741; false;TO; 1.47325; 0.427373;1.69; 0.6386; 0.0000; 0.0014;TO;MISSING;MISSING;MISSING;2.1; 0.6269; 0.4364; 0.0002;3.95;0.888977807; 0.086556545; false;2.49;0.386224564; 0.022511837; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;0.32; 0.243933; 0.081694; 0.0062; 0.0010;0.36; EMPTY;1.21; 0.932204; 0.277826; 0.000886098; false;2.31; 1.47187; 0.400184;0.31614981600000003; 0.155691; false;1.93; 1.45468; 0.405293;0.030749109; 0.0385352; false;TO; 0.997282; 0.278844;1.63; 0.6144; 0.0000; 0.0014;19.93; 0.6134; 4.4138; 14.2072;1.49; 0.3409; 0.2387; 0.0002;3.33;0.6969563339999999; 0.087293431; false;2.73;0.405560628; 0.018141122; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;0.31; 0.237583; 0.0801472; 0.0053; 0.0006;0.35; EMPTY;1.26; 0.917353; 0.303292; 0.00107878; false;2.55; 1.45519; 0.40219;0.48094952; 0.206247; false;1.9; 1.42782; 0.395564;0.030418989; 0.0402302; false;TO; 1.42473; 0.394844;1.62; 0.6252; 0.0000; 0.0022;TO;MISSING;MISSING;MISSING;2.14; 0.6273; 0.4339; 0.0006;3.98;0.843255564; 0.06874253; false;2.24;0.27184164899999996; 0.020536849; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;0.59; 0.444759; 0.132513; 0.0094; 0.0012;0.54; EMPTY;1.5; 1.06436; 0.408225; 0.00113074; false;2.58; 1.44506; 0.420413;0.49349884899999996; 0.207573; false;1.99; 1.47606; 0.427918;0.032537702; 0.0464047; false;TO; 1.50866; 0.431054;1.18; 0.3649; 0.0000; 0.0011;TO;MISSING;MISSING;MISSING;1.34; 0.3490; 0.2445; 0.0001;3.52;0.675410824; 0.082015655; false;2.66;0.408542847; 0.019859073; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.58; 0.441662; 0.13257; 0.0094; 0.0009;0.6; EMPTY;1.91; 1.47907; 0.420028; 0.000968166; false;2.66; 1.50924; 0.429611;0.50013624; 0.219002; false;2.0; 1.50154; 0.421014;0.032557957; 0.0448102; false;TO; 0.984124; 0.429658;1.77; 0.6437; 0.0000; 0.0019;TO;MISSING;MISSING;MISSING;2.36; 0.6750; 0.4788; 0.0007;4.4;0.864850462; 0.082063746; false;3.11;0.456814316; 0.024974165; false
