name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-emptiness_check;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-emptiness_check;awali-emptiness_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;6.94; 0.190913; 0.0680424; 6.7581;2.85; NOT EMPTY;8.21; 0.979787; 0.17937; 2.63998; 2.53961; false;1.39; 1.05601; 0.224545;0.114567; 0.0217399; 0.0262008; false;7.73; 1.06541; 0.211936;0.008915610000000001; 2.56489; 3.81854; false;TO; 1.02063; 0.214983;TO; 0.4567; 0.0000; 4.2292;TO;TO;TO;14.58;0.155640509; 6.111628966; 5.2143E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;8.32; 0.439996; 0.0658827; 7.8957;4.37; NOT EMPTY;10.49; 1.22077; 0.285346; 4.09732; 3.45054; false;1.05; 0.773908; 0.204178;0.0797402; 0.0166688; 0.0197712; false;8.76; 0.825141; 0.244987;0.014304569999999999; 3.33265; 4.27718; false;TO; 0.810756; 0.175106;TO; 0.7066; 0.0000; 3.6341;TO;TO;TO;16.89;0.139599798; 7.609756636; 4.0652E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;8.62; 0.467812; 0.092353; 8.0427;3.93; NOT EMPTY;13.9; 1.34529; 0.261019; 4.86549; 4.40983; false;1.24; 0.968079; 0.172217;0.0864391; 0.0187666; 0.0220936; false;8.86; 1.52243; 0.291767;0.008126439999999999; 3.10478; 3.94294; false;TO; 0.96798; 0.317767;TO; 0.3955; 0.0000; 3.8288;TO;TO;TO;19.37;0.201973629; 8.575120799; 4.7093E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;12.58; 0.260662; 0.0510861; 12.4007;7.13; NOT EMPTY;16.31; 1.50462; 0.33779; 6.7329; 4.59624; false;1.77; 1.29218; 0.299006;0.14531840000000001; 0.0303404; 0.0372312; false;8.88; 1.34883; 0.289943;0.01101506; 3.71616; 3.56007; false;TO; 0.84443; 0.175098;TO; 0.5483; 0.0000; 4.7379;TO;TO;TO;22.45;0.176142001; 10.240718049; 7.6105E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;14.52; 0.292678; 0.0614344; 14.2875;8.16; NOT EMPTY;17.36; 1.62465; 0.346962; 7.66348; 4.50688; false;1.87; 1.43637; 0.280153;0.1400566; 0.0326; 0.0410418; false;10.83; 1.25209; 0.192479;0.00683631; 3.40554; 5.63696; false;TO; 0.954187; 0.187145;TO; 0.5287; 0.0000; 5.9024;TO;TO;TO;25.56;0.222185635; 10.941704867; 8.0759E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;15.97; 0.467788; 0.0826771; 15.3024;8.38; NOT EMPTY;16.46; 1.62558; 0.318541; 8.11035; 3.96; false;1.74; 1.37682; 0.285013;0.0974834; 0.0176142; 0.0207815; false;9.97; 1.42784; 0.282438;0.01091117; 3.13023; 5.11445; false;TO; 1.54128; 0.332254;TO; 0.4522; 0.0000; 5.9715;TO;TO;TO;27.28;0.259705648; 11.793807541; 4.7568E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;19.5; 0.606928; 0.110479; 19.0169;9.45; NOT EMPTY;16.39; 1.65402; 0.350007; 7.62761; 4.53974; false;1.9; 1.42376; 0.335314;0.15621259999999998; 0.0255594; 0.0302695; false;13.13; 1.51571; 0.260449;0.0127977; 4.48938; 6.8153; false;TO; 1.24561; 0.322216;TO; 0.6156; 0.0000; 7.7476;TO;TO;TO;33.38;0.199758906; 14.395580509; 5.5344E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;18.07; 0.57082; 0.0967686; 18.0270;11.39; NOT EMPTY;16.57; 1.18278; 0.313305; 6.71446; 5.37241; false;1.51; 1.20723; 0.216708;0.11159169999999999; 0.0184162; 0.0200726; false;14.27; 1.26584; 0.343878;0.01261082; 5.45708; 7.22285; false;TO; 1.37666; 0.364139;TO; 0.6870; 0.0000; 9.0669;TO;TO;TO;37.92;0.17689928700000002; 16.823346123; 4.4358E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;25.61; 0.821969; 0.136411; 26.3707;8.72; NOT EMPTY;23.7; 1.78336; 0.368117; 7.55751; 7.85662; false;2.09; 1.54677; 0.336747;0.17831560000000002; 0.0290523; 0.0354037; false;15.45; 1.3665; 0.329129;0.01352443; 5.56598; 8.00145; false;TO; 1.67866; 0.35282;TO; 0.7043; 0.0000; 12.0186;TO;TO;TO;45.25;0.162410675; 20.594288194; 7.5605E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;25.65; 0.491162; 0.109138; 26.1374;11.32; NOT EMPTY;23.24; 1.70412; 0.330149; 9.349; 7.35138; false;1.79; 1.41444; 0.24282;0.1234387; 0.0217472; 0.0257976; false;17.23; 1.15873; 0.24193;0.009442389999999998; 5.50203; 9.84427; false;TO; 1.83985; 0.454144;TO; 0.6508; 0.0000; 11.8745;TO;TO;TO;48.56;0.19467558499999998; 21.595194105; 2.9926E-5; false
