name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-inclusion_check;awali-inclusion_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-inclusion;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-inclusion;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-inclusion;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut29.mata;ERR;ERR;ERR;ERR;ERR;0.21; NOT EMPTY;0.21; 0.174699; 0.0409185;0.000144898; 5.9222e-05; true;0.47; 0.23606; 0.0398361;0.023617939999999997;0.09820092; 0.0635187; true;0.33; 0.26171; 0.0613053;0.002218948;0.001194432; 0.00205865; true;TO; 0.261141; 0.0605449;0.93; 0.0587; 0.0000; 0.0002; 0.0001;1.11; 0.1012; 0.0127; 0.0350; 0.0002;1.2; 0.1114; 0.0276; 0.0003; 0.0001;1.25;0.14754170399999997;0.038942392; 0.012528887; true;0.94;0.036970886;0.004063094; 0.001268869; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.12; 0.101521; 0.0286014; 0.0013; 0.0003;0.23; NOT EMPTY;0.49; 0.369235; 0.115244;0.00022380400000000003; 1.9797e-05; true;0.73; 0.398033; 0.120932;0.14905932;0.030260571999999996; 0.0321455; true;0.52; 0.361388; 0.114504;0.008978469;0.001465594; 0.0282407; true;TO; 0.366611; 0.114261;1.12; 0.1563; 0.0000; 0.0006; 0.0001;2.31; 0.1630; 1.0182; 0.0790; 0.0410;1.39; 0.1613; 0.1594; 0.0005; 0.0050;2.52;0.49983587400000007;0.051766468999999996; 0.049587596; true;1.6;0.07388819;0.0032355730000000003; 0.072536803; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.05; 0.0465751; 0.00840971; 0.0004; 0.0002;0.19; NOT EMPTY;0.22; 0.207591; 0.0412243;0.000157556; 7.4551e-05; true;0.81; 0.209134; 0.0399979;0.02306416;0.3531716; 0.211585; true;0.22; 0.178859; 0.0396202;0.001251785;0.0008910239999999999; 0.00190555; true;TO; 0.145954; 0.0393106;1.08; 0.0668; 0.0000; 0.0002; 0.0001;1.17; 0.0671; 0.0187; 0.0595; 0.0004;1.13; 0.0681; 0.0165; 0.0002; 0.0001;1.44;0.13453608700000003;0.072681502; 0.012235072; true;1.08;0.040657874;0.003653049; 0.001613861; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut70.mata;0.12; 0.0982213; 0.0212819; 0.0049; 0.0044;0.23; NOT EMPTY;0.45; 0.383063; 0.0826298;0.003852434; 2.2314e-05; true;0.47; 0.243188; 0.0552262;0.039839440000000004;0.1092688; 0.00379413; true;0.48; 0.376766; 0.0840754;0.003681336;0.009359566; 0.00262978; true;TO; 0.250128; 0.0571373;1.1; 0.1380; 0.0000; 0.0030; 0.0027;12.37; 0.1443; 0.3957; 10.9848; 0.0070;0.88; 0.0828; 0.0349; 0.0041; 0.0004;1.63;0.242714662;0.047427644; 0.012650306; true;1.01;0.06193148800000001;0.018945186; 0.002075257; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut51.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.07; 0.0576861; 0.0135084; 0.0015; 0.0012;0.22; NOT EMPTY;0.52; 0.416122; 0.101503;0.00201857; 2.1403e-05; true;0.7; 0.416814; 0.10267;0.09261829699999999;0.06702625; 0.0144302; true;0.52; 0.405813; 0.0994048;0.005097647;0.005150924; 0.00410369; true;TO; 0.408464; 0.098493;1.11; 0.1568; 0.0000; 0.0031; 0.0029;10.76; 0.1534; 0.4015; 9.2978; 0.0016;0.86; 0.0922; 0.0412; 0.0041; 0.0018;1.82;0.27269116800000004;0.053263601; 0.015059195; true;1.26;0.076992843;0.012970721999999999; 0.004062553; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata;0.22; 0.0904628; 0.020205; 0.1035; 0.0112;0.22; NOT EMPTY;0.48; 0.343943; 0.0858343;0.010247375; 0.0356768; true;1.81; 0.344429; 0.0864172;0.07349407;0.7377045; 0.454605; true;0.32; 0.224281; 0.0574812;0.0025811540000000004;0.01166168; 0.0198749; true;TO; 0.22719; 0.05855;1.12; 0.1354; 0.0000; 0.0007; 0.0003;1.54; 0.1368; 0.3844; 0.0129; 0.0002;1.21; 0.1354; 0.0769; 0.0016; 0.0005;2.2;0.300643337;0.15625340199999999; 0.036291154; true;1.32;0.068098198;0.0038423969999999996; 0.010995444; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata;ERR;ERR;ERR;ERR;ERR;0.18; NOT EMPTY;0.11; 0.103938; 0.0270362;0.000309443; 8.8941e-05; true;0.2; 0.113029; 0.0261957;0.01713868;0.0466149; 0.0286061; true;0.12; 0.0859325; 0.026359;0.0009222389999999999;0.001185904; 0.00157829; true;TO; 0.0862924; 0.0264075;1.06; 0.0397; 0.0000; 0.0003; 0.0001;1.07; 0.0393; 0.0105; 0.0086; 0.0002;1.12; 0.0412; 0.0132; 0.0009; 0.0003;1.49;0.164149793;0.075876388; 0.015015235; true;1.06;0.043639469;0.0024041200000000005; 9.48357E-4; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.06; 0.0515603; 0.00715169; 0.0020; 0.0013;0.19; NOT EMPTY;0.23; 0.193218; 0.03909;0.001352376; 0.000921614; true;0.44; 0.203762; 0.0388783;0.016283680000000002;0.11309777; 0.0623801; true;0.24; 0.192746; 0.038566;0.0009490929999999999;0.003201969; 0.00420012; true;TO; 0.191261; 0.0383966;1.06; 0.0676; 0.0000; 0.0005; 0.0003;0.86; 0.0643; 0.0173; 0.0444; 0.0002;1.12; 0.0704; 0.0128; 0.0007; 0.0002;1.47;0.17998742699999998;0.079030518; 0.022309792; true;1.11;0.043321712;0.0043789910000000005; 0.001669641; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.06; 0.0847029; 0.00805824; 0.0003; 0.0002;0.2; NOT EMPTY;0.25; 0.217488; 0.0417901;0.00018372300000000003; 1.9479e-05; true;0.27; 0.218378; 0.0414824;0.013459628000000001;0.003616806; 0.00169604; true;0.26; 0.217392; 0.0414646;0.000830992;0.000904218; 0.00218351; true;TO; 0.215956; 0.0415852;1.02; 0.0758; 0.0000; 0.0003; 0.0001;1.11; 0.0790; 0.0148; 0.0681; 0.0006;1.06; 0.0794; 0.0118; 0.0005; 0.0002;1.56;0.193417618;0.032805267; 0.012898559; true;1.22;0.07666389100000001;0.0041077579999999995; 0.003382264; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;ERR;ERR;ERR;ERR;ERR;0.33; NOT EMPTY;2.06; 1.58814; 0.439903;0.021888459; 0.000160471; true;2.89; 1.5151; 0.381345;0.5883795999999999;0.29134360099999995; 0.151896; true;2.87; 1.56842; 0.446092;0.029643601;0.045392182; 0.796255; true;TO; 1.57981; 0.440798;1.6; 0.6746; 0.0000; 0.0020; 0.0017;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;TO;0.137951604;MISSING;MISSING;MISSING;2.8;0.192292502;0.003312658; 0.475387908; true
