                                                                          1st Quartile / Median / 3rd Quartile per op/bench                                                                          
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
benchop    mata           mata-old       mata-sim       awali            mona            vata             automata        brics            (j)alib        fado           (py)alib       (py)mata
fair-/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.1   0.0, 0.0, 0.0    0.1, 0.1, 0.1   0.1, 0.1, 0.2    0.1, 0.1, 0.2  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
fair-/znc  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.1, 0.1, 0.5  0.0, 0.1, 0.3    -               -                -               0.1, 0.1, 0.2    -              0.7, 14.5, 60  -              0.0, 0.0, 0.6
inclu/ai   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.2    0.0, 0.0, 60    0.0, 0.1, 0.4    0.0, 0.1, 0.6   0.0, 0.1, 0.2    0.0, 0.1, 0.1  0.4, 25.0, 60  0.0, 0.1, 0.2  0.0, 0.0, 0.0
inclu/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 60, 60     0.0, 0.0, 0.0    0.0, 0.0, 0.0   0.0, 0.0, 0.0    0.0, 0.0, 0.0  0.0, 0.0, 1.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter/ai   -              -              -              -                -               -                0.0, 0.1, 0.6   0.0, 0.1, 0.3    0.1, 0.1, 0.1  0.4, 25.0, 60  0.0, 0.1, 0.2  0.0, 0.0, 0.0
inter/bci  0.1, 0.3, 0.7  0.1, 0.3, 0.7  0.0, 0.3, 0.7  0.3, 1.2, 3.1    -               0.5, 2.1, 5.1    0.9, 3.9, 11.2  1.1, 3.9, 9.3    -              60, 60, 60     -              0.6, 2.7, 6.6
inter/bcu  -              -              -              -                -               -                0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.1, 0.5, 0.9  -              0.0, 0.0, 0.0
inter/bi   30.4, 60, 60   33.3, 60, 60   23.8, 60, 60   3.7, 10.8, 15.5  0.0, 0.0, 60    9.9, 21.0, 30.9  5.5, 36.0, 60   60, 60, 60       60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
inter/biu  -              -              -              -                -               -                0.0, 0.1, 0.3   0.0, 0.1, 0.4    60, 60, 60     4.0, 60, 60    60, 60, 60     0.0, 0.2, 1.2
inter/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 60, 60     0.0, 0.0, 0.0    0.0, 0.0, 0.0   0.0, 0.0, 0.0    0.0, 0.1, 0.1  0.1, 0.5, 5.9  0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter/p    -              -              -              -                -               -                0.1, 0.1, 0.1   0.0, 0.1, 0.1    0.0, 0.0, 0.0  0.0, 0.1, 0.3  0.0, 0.0, 0.1  0.0, 0.0, 0.0
inter/zn   -              -              -              -                -               -                0.0, 0.0, 0.0   0.0, 0.0, 0.0    0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter/znc  -              -              -              -                -               -                -               0.0, 0.0, 0.2    -              0.7, 14.5, 60  -              0.0, 0.0, 0.6
minte/ai   0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1    0.0, 0.1, 60    0.0, 0.1, 0.1    -               -                -              -              -              -
minte/bcd  0.0, 0.1, 0.1  0.1, 0.1, 60   0.0, 0.1, 0.1  0.0, 0.0, 0.1    0.1, 60, 60     0.0, 0.0, 0.1    -               -                -              -              -              -
minte/bci  0.0, 0.0, 0.1  0.0, 0.1, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1    -               0.0, 0.1, 0.1    -               -                -              -              -              -
minte/bcu  0.0, 0.1, 0.1  0.0, 0.0, 0.1  0.0, 0.1, 0.1  0.0, 0.0, 0.1    -               0.0, 0.1, 0.1    -               -                -              -              -              -
minte/bi   0.1, 60, 60    0.1, 60, 60    0.1, 60, 60    0.0, 0.2, 0.6    0.1, 0.6, 60    0.0, 0.2, 0.7    -               -                -              -              -              -
minte/biu  0.0, 0.1, 0.5  0.0, 0.1, 0.5  0.0, 0.2, 0.5  0.0, 0.1, 0.5    0.1, 0.3, 1.5   0.0, 0.1, 0.5    -               -                -              -              -              -
minte/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.1, 2.0, 60    0.0, 0.0, 0.0    -               -                -              -              -              -
minte/p    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.1, 0.1   0.0, 0.0, 0.0    -               -                -              -              -              -
overa/ai   0.1, 0.3, 0.4  0.1, 0.3, 0.4  0.1, 0.3, 0.4  0.1, 0.4, 0.7    0.2, 0.7, 60    0.1, 0.4, 1.0    0.2, 0.3, 1.0   0.3, 0.5, 0.8    0.4, 0.9, 1.1  0.5, 26.6, 60  0.1, 0.5, 0.9  0.1, 0.3, 0.5
overa/bci  0.2, 0.6, 1.3  0.2, 0.7, 1.3  0.2, 0.6, 1.3  0.9, 3.4, 7.8    -               1.2, 4.2, 9.9    1.0, 4.1, 11.4  1.3, 4.1, 9.6    -              60, 60, 60     -              0.8, 3.3, 7.7
overa/bcu  0.1, 0.2, 0.3  0.1, 0.2, 0.3  0.1, 0.2, 0.3  0.1, 0.3, 0.4    -               0.1, 0.3, 0.4    0.1, 0.2, 0.2   0.2, 0.3, 0.3    -              0.3, 0.8, 1.4  -              0.1, 0.2, 0.4
overa/bi   60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60       0.2, 1.4, 60    60, 60, 60       60, 60, 60      60, 60, 60       60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
