name;automata-runtime;automata-construction;automata-trim;automata-minterm;automata-interpretation;automata-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1371.0.mata;0.14; 0.0670341000; 0.0082911000; 0.0023968000; 0.0128818000; 0.1371024000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1375.0.mata;0.12; 0.0538171000; 0.0086801000; 0.0025322000; 0.0136146000; 0.1091232000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1379.0.mata;0.09; 0.0452527000; 0.0059888000; 0.0018065000; 0.0094035000; 0.0878173000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1427.0.mata;0.13; 0.0606334000; 0.0084407000; 0.0024994000; 0.0132253000; 0.1275201000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1437.0.mata;0.12; 0.0569778000; 0.0073944000; 0.0022624000; 0.0116548000; 0.1187731000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1471.0.mata;0.1; 0.0419340000; 0.0055947000; 0.0086135000; 0.0156947000; 0.1039334000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1475.0.mata;0.14; 0.0818344000; 0.0087075000; 0.0024876000; 0.0137339000; 0.1445888000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1477.0.mata;0.13; 0.0578966000; 0.0083748000; 0.0025003000; 0.0130478000; 0.1176158000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1479.0.mata;0.16; 0.0898506000; 0.0084249000; 0.0026686000; 0.0133427000; 0.1599714000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1575.0.mata;0.11; 0.0559224000; 0.0088887000; 0.0027045000; 0.0138950000; 0.1080713000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1578.0.mata;0.13; 0.0658136000; 0.0090574000; 0.0027103000; 0.0142400000; 0.1218054000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1597.0.mata;0.11; 0.0566668000; 0.0058880000; 0.0017369000; 0.0090859000; 0.1042510000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1676.0.mata;0.15; 0.0724426000; 0.0086166000; 0.0024076000; 0.0132253000; 0.1408665000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1677.0.mata;0.12; 0.0595792000; 0.0055147000; 0.0017425000; 0.0086977000; 0.1248202000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1679.0.mata;0.15; 0.0649814000; 0.0090381000; 0.0028338000; 0.0144323000; 0.1438415000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_17.0.mata;0.08; 0.0347535000; 0.0081874000; 0.0024675000; 0.0130420000; 0.0807748000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1703.0.mata;0.13; 0.0611293000; 0.0054035000; 0.0016278000; 0.0085105000; 0.1245365000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1707.0.mata;0.18; 0.1141242000; 0.0090073000; 0.0021907000; 0.0135326000; 0.1910050000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1720.0.mata;0.15; 0.0771781000; 0.0093909000; 0.0025506000; 0.0142561000; 0.1477161000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1722.0.mata;0.14; 0.0777481000; 0.0082470000; 0.0025103000; 0.0129576000; 0.1369289000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1723.0.mata;0.14; 0.0690109000; 0.0089057000; 0.0024772000; 0.0139866000; 0.1390473000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1726.0.mata;0.09; 0.0477961000; 0.0055180000; 0.0017566000; 0.0087121000; 0.0923611000
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1728.0.mata;0.15; 0.0792155000; 0.0058929000; 0.0019885000; 0.0094602000; 0.1441138000
