name;automata-runtime;automata-construction;automata-trim;automata-minterm;automata-interpretation;automata-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07019.mata;0.11; 0.0587314000; 0.0084334000; 0.0025315000; 0.0133858000; 0.1118954000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07040.mata;0.06; 0.0235591000; 0.0055411000; 0.0015178000; 0.0087941000; 0.0605618000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07045.mata;0.12; 0.0498900000; 0.0086141000; 0.0024773000; 0.0134240000; 0.1108511000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07064.mata;0.08; 0.0271227000; 0.0065469000; 0.0015551000; 0.0103456000; 0.0734500000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07075.mata;6.45; 4.9965877000; 0.0096448000; 0.0038757000; 0.0157605000; 6.6110161000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07110.mata;0.08; 0.0257826000; 0.0056251000; 0.0016555000; 0.0089775000; 0.0690999000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07137.mata;0.15; 0.0778760000; 0.0056288000; 0.0015545000; 0.0091557000; 0.1555547000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07152.mata;0.11; 0.0405728000; 0.0084171000; 0.0022563000; 0.0130944000; 0.0967501000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07170.mata;0.1; 0.0369604000; 0.0053696000; 0.0015152000; 0.0086290000; 0.0841607000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07273.mata;0.13; 0.0599964000; 0.0083260000; 0.0025815000; 0.0131733000; 0.1227105000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07319.mata;0.13; 0.0738803000; 0.0082639000; 0.0024150000; 0.0129469000; 0.1381240000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07419.mata;0.15; 0.0828973000; 0.0056945000; 0.0015748000; 0.0089103000; 0.1486425000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07431.mata;0.1; 0.0394187000; 0.0081187000; 0.0023313000; 0.0126091000; 0.0939803000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07461.mata;0.12; 0.0515588000; 0.0082941000; 0.0023823000; 0.0129461000; 0.1155750000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07468.mata;0.08; 0.0320633000; 0.0083448000; 0.0023850000; 0.0130095000; 0.0768372000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07473.mata;0.1; 0.0348581000; 0.0086880000; 0.0025537000; 0.0137807000; 0.0914229000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07591.mata;0.12; 0.0463127000; 0.0087311000; 0.0025156000; 0.0136122000; 0.1024972000
