name;automata-runtime;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06476.mata;ERR;8.63; 8.77516; 0.498209; 0.000369242; 0.000192265; false;16.6; 15.6044; 0.941824; 0.000451459; 0.000222762; false;37.03; 16.593; 18.4978; 2.70616; 0.0182779; 0.0137422; false;33.16; 8.4679; 18.2424; 7.60015; 0.00865718; 0.00764818; false;16.3; 16.5958; 0.0000; 0.5535; 0.0014; 0.0000; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;44.96; 14.1300; 5.0683; 29.1944; 29.2261; 0.0001; False;28.06; 19.652106899; 0.168715395; 0.002410001; false;17.19; 6.703881818; 0.736611139; 3.0737E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06499.mata;ERR;0.22; 0.0293099; 0.198156; 0.00126451; 0.000130164; false;0.19; 0.0322089; 0.176991; 0.000793773; 9.0862e-05; false;0.23; 0.0154768; 0.00756001; 0.178022; 0.0170561; 0.017035; false;0.36; 0.0262729; 0.00186708; 0.312298; 0.0115881; 0.0202537; false;1.34; 0.0474; 0.0000; 0.2112; 0.0014; 0.0000; False;4.58; 0.0461; 0.0459; 3.3727; 3.3803; 0.1290; False;2.04; 0.0451; 0.0194; 0.9575; 0.9810; 0.0001; False;3.76; 1.167195483; 0.069009838; 0.002091658; false;1.96; 0.077875005; 0.348630325; 2.3473E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06516.mata;ERR;0.03; 0.0525675; 0.00120866; 7.4123e-05; 5.844e-05; false;0.01; 0.0146237; 0.000575646; 3.8867e-05; 3.1407e-05; false;0.05; 0.0254398; 0.0141722; 0.006755; 0.00208909; 0.0020074; false;0.03; 0.0256139; 0.00185571; 0.00402001; 0.00132904; 0.000781892; false;1.11; 0.0411; 0.0000; 0.0021; 0.0002; 0.0000; False;1.13; 0.0253; 0.0390; 0.0240; 0.0272; 0.0021; False;0.82; 0.0249; 0.0096; 0.0040; 0.0071; 0.0001; False;1.86; 0.29924437; 0.111520254; 0.005332856; false;1.42; 0.092984437; 0.022937613; 4.87E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06570.mata;ERR;0.0; 0.000975194; 0.00110836; 8.9672e-05; 1.5631e-05; false;0.0; 0.000537295; 0.000630359; 7.9535e-05; 1.0754e-05; false;0.0; 0.000640679; 0.000383796; 0.00414101; 0.00169215; 0.001475; false;0.01; 0.00058585; 6.004e-05; 0.00244284; 0.00139503; 0.00109791; false;1.07; 0.0086; 0.0000; 0.0026; 0.0003; 0.0000; False;1.13; 0.0085; 0.0014; 0.0024; 0.0053; 0.0012; False;1.17; 0.0082; 0.0020; 0.0024; 0.0100; 0.0001; False;1.27; 0.13582443; 0.104498215; 0.003845188; false;0.91; 0.019017589; 0.011247508; 2.717E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06590.mata;ERR;0.03; 0.028228; 0.00779536; 0.000625035; 6.9934e-05; false;0.07; 0.0506747; 0.0157091; 0.00101563; 0.00010478; false;0.2; 0.03829; 0.0283783; 0.0691985; 0.0324308; 0.0312814; false;0.11; 0.0507384; 0.00433726; 0.0355201; 0.0120758; 0.011704; false;0.98; 0.0433; 0.0000; 0.0134; 0.0009; 0.0000; False;2.07; 0.0819; 0.0522; 0.6463; 0.6835; 0.0964; False;1.14; 0.0470; 0.0158; 0.0433; 0.0681; 0.0001; False;3.42; 0.457091585; 0.162932069; 0.002643938; false;1.81; 0.141552773; 0.1303218; 2.6396E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06599.mata;ERR;0.09; 0.175983; 0.00214556; 0.000145202; 6.1141e-05; false;0.09; 0.0994846; 0.00437315; 0.000168226; 0.000110459; false;0.15; 0.0715947; 0.0479136; 0.0221811; 0.00635845; 0.00634991; false;0.1; 0.0683537; 0.0068909; 0.0139161; 0.0034557; 0.00285299; false;1.08; 0.0735; 0.0000; 0.0078; 0.0004; 0.0000; False;1.54; 0.1325; 0.0905; 0.1121; 0.1164; 0.0089; False;1.01; 0.0723; 0.0275; 0.0161; 0.0221; 0.0001; False;2.71; 0.315224421; 0.067997997; 0.002695311; false;1.92; 0.16722417; 0.011680652; 2.8424E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06612.mata;ERR;0.05; 0.0823917; 0.00449376; 0.000241953; 0.000309287; false;0.07; 0.0708423; 0.00419635; 0.000236002; 0.000264682; false;0.12; 0.0922406; 0.0661464; 0.0315201; 0.00620591; 0.00872594; false;0.08; 0.059166; 0.00467582; 0.0130203; 0.00391112; 0.00341697; false;1.11; 0.0530; 0.0000; 0.0054; 0.0004; 0.0000; False;1.31; 0.0909; 0.0702; 0.0744; 0.0771; 0.0143; False;1.34; 0.0911; 0.0486; 0.0202; 0.0275; 0.0001; False;2.47; 0.287522905; 0.077966587; 0.002355126; false;1.69; 0.126583855; 0.011798058; 4.1694E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06622.mata;ERR;0.13; 0.132061; 0.0217212; 0.000731157; 0.000352415; false;0.11; 0.210635; 0.0093354; 0.000530555; 0.000412015; false;0.18; 0.188513; 0.0476; 0.0185616; 0.00807857; 0.0103402; false;0.12; 0.0986524; 0.0069199; 0.0176949; 0.00490775; 0.00441025; false;1.34; 0.1731; 0.0000; 0.0167; 0.0012; 0.0000; False;1.91; 0.1732; 0.2277; 0.3781; 0.3941; 0.0457; False;1.12; 0.0968; 0.0542; 0.0283; 0.0439; 0.0001; False;3.54; 0.684666507; 0.119843366; 0.002280878; false;2.06; 0.20551938; 0.029290144; 5.0508E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06647.mata;ERR;0.52; 0.601181; 0.00556144; 0.000132391; 9.4678e-05; false;0.55; 0.690358; 0.00562851; 0.000126897; 7.6879e-05; false;1.04; 0.632112; 0.462827; 0.0386033; 0.00315108; 0.00313404; false;0.66; 0.591707; 0.0693349; 0.0492221; 0.00237766; 0.00191279; false;1.31; 0.4006; 0.0000; 0.0057; 0.0003; 0.0000; False;3.69; 0.7673; 1.3867; 0.6776; 0.6797; 0.0019; False;2.16; 0.8374; 0.1919; 0.2098; 0.2188; 0.0001; False;4.1; 0.659979648; 0.070337338; 0.001978133; false;4.34; 0.560631443; 0.087740534; 3.9334E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06650.mata;ERR;0.02; 0.0307139; 0.00964664; 0.000500423; 5.8749e-05; false;0.02; 0.0186536; 0.0147794; 0.000418886; 4.8574e-05; false;0.08; 0.0159941; 0.00782904; 0.0362403; 0.0123042; 0.0124044; false;0.04; 0.0161419; 0.00118427; 0.0334169; 0.00621398; 0.0060765; false;1.04; 0.0179; 0.0000; 0.0067; 0.0002; 0.0000; False;1.6; 0.0305; 0.0160; 0.3292; 0.3366; 0.0498; False;1.26; 0.0302; 0.0117; 0.0751; 0.0969; 0.0001; False;1.97; 0.265378174; 0.0983661; 0.002546587; false;1.75; 0.100430829; 0.075697893; 3.462E-5; false
