name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-concat;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-concat;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-concat;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;java-brics-runtime;java-brics-construction;java-brics-concat;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-26.mata;0.0; 0.000126;0.0030429999999999997;0.000736; 0.000194; false; 0.009379;0.33; 0.000125;0.329657;0.002607;0.000704; 0.0002; false; 0.33815;0.01; 0.000139;0.003257;0.000748; 0.000223; false; 0.009806;0.03; 0.000147; 1.6e-05;0.013512;0.010241; 0.005345; false; 0.030799;1.08; 0.0062; 0.0000;0.0172;0.0015; 0.0006; False; 0.0195; 0.0269;6.14; 0.0063; 0.0001;3.1233; 2.0523; False; 5.1759; 5.1841;0.89; 0.00607748;0.016102427000000002; 1.8148E-5; false; 0.025813586; 0.099458275
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-27.mata;0.02; 0.000214;0.008383000000000002;0.001628; 0.000446; false; 0.023277;0.64; 0.000119;0.643694;0.003991;0.001006; 0.000335; false; 0.655853;0.02; 0.000214;0.008801;0.00175; 0.000594; false; 0.025118;0.06; 0.000225; 2.1e-05;0.026314;0.021093; 0.010517; false; 0.05984;0.81; 0.0046; 0.0000;0.020900000000000002;0.0014000000000000002; 0.0005; False; 0.0230; 0.0295;31.63; 0.0067; 0.0001;8.0479; 22.7169; False; 30.7652; 30.7771;0.7; 0.006905397;0.01348308; 1.7675E-5; false; 0.02293592; 0.090191743
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-28.mata;0.01; 0.000128;0.004763;0.000834; 0.00027; false; 0.013223;0.92; 0.000211;0.93465;0.008053000000000001;0.0013729999999999999; 0.000448; false; 0.956538;0.02; 0.000239;0.008674000000000001;0.0014529999999999999; 0.000421; false; 0.024035;0.06; 0.000233; 2.1e-05;0.027044;0.021023; 0.010614; false; 0.060376;1.09; 0.0065; 0.0000;0.0372;0.0024000000000000002; 0.0008; False; 0.0405; 0.0498;23.55; 0.0063; 0.0002;8.5197; 14.1554; False; 22.6756; 22.6869;0.85; 0.007492724;0.015197813999999997; 1.8608E-5; false; 0.025026399; 0.099243931
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-29.mata;0.0; 8.4e-05;0.0005690000000000001;0.000513; 0.000127; false; 0.002384;0.06; 6.8e-05;0.063932;0.000526;0.000337; 6.2e-05; false; 0.066248;0.0; 8.2e-05;0.0005809999999999999;0.00051; 0.000117; false; 0.002401;0.01; 9.6e-05; 1.5e-05;0.005347;0.003893; 0.001693; false; 0.012397;1.08; 0.0062; 0.0000;0.0054;0.0011; 0.0004; False; 0.0071; 0.0139;1.65; 0.0059; 0.0001;0.6572; 0.0438; False; 0.7013; 0.7080;0.91; 0.004840102;0.024291107; 1.7234E-5; false; 0.033956017; 0.098675598
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-3.mata;0.02; 0.000214;0.008568;0.001565; 0.000464; false; 0.023818;0.86; 0.000211;0.867367;0.006114999999999999;0.0012469999999999998; 0.000305; false; 0.885393;0.01; 0.000137;0.004784;0.000996; 0.000285; false; 0.013671;0.03; 0.000128; 1.6e-05;0.014048999999999999;0.012379999999999999; 0.006185; false; 0.033819;1.12; 0.0064; 0.0000;0.038400000000000004;0.0024000000000000002; 0.0008; False; 0.0419; 0.0514;27.88; 0.0045; 0.0001;6.3603000000000005; 21.0092; False; 27.3696; 27.3774;0.9; 0.007641351;0.016490871999999997; 1.8642E-5; false; 0.025847766; 0.102256049
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-30.mata;0.01; 0.000138;0.003235;0.000703; 0.000198; false; 0.009738;0.34; 0.000144;0.341129;0.002732;0.000709; 0.000207; false; 0.350084;0.0; 0.000132;0.003354;0.000701; 0.0002; false; 0.010129;0.03; 0.00014; 1.5e-05;0.013909000000000001;0.010412; 0.005183; false; 0.031071;1.06; 0.0064; 0.0000;0.018000000000000002;0.0015; 0.0006; False; 0.0204; 0.0279;6.09; 0.0064; 0.0001;2.3388999999999998; 2.8026; False; 5.1419; 5.1512;0.74; 0.005942063;0.015145697000000001; 1.5876E-5; false; 0.024181911; 0.096543246
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-31.mata;0.02; 0.000222;0.00884;0.001364; 0.000443; false; 0.024373;0.85; 0.000219;0.847643;0.007913;0.0013189999999999999; 0.000417; false; 0.869667;0.02; 0.000231;0.008966;0.0013570000000000001; 0.000441; false; 0.024856;0.06; 0.000224; 2.1e-05;0.026602;0.021129000000000002; 0.010555; false; 0.060004;1.08; 0.0065; 0.0000;0.0383;0.0023; 0.0008; False; 0.0416; 0.0510;25.38; 0.0067; 0.0001;6.428599999999999; 18.1659; False; 24.5945; 24.6048;0.67; 0.005577278;0.014023856; 1.9512E-5; false; 0.022791325; 0.082934092
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-32.mata;0.01; 0.000125;0.004793;0.000869; 0.000307; false; 0.013363;0.58; 0.000126;0.5819449999999999;0.004013;0.0008259999999999999; 0.000264; false; 0.593667;0.02; 0.000225;0.008497;0.001496; 0.000388; false; 0.023627;0.05; 0.000233; 2.5e-05;0.02654;0.02098; 0.010591; false; 0.059839;1.1; 0.0065; 0.0000;0.0379;0.0024000000000000002; 0.0008; False; 0.0415; 0.0509;17.75; 0.0045; 0.0001;5.2837; 11.7837; False; 17.0675; 17.0754;0.87; 0.00732936;0.015992976; 1.8023E-5; false; 0.024894466; 0.097390565
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-33.mata;0.0; 7.9e-05;0.000567;0.000533; 0.000121; false; 0.002474;0.04; 6.4e-05;0.059792;0.0005020000000000001;0.000333; 6.1e-05; false; 0.061963;0.0; 7.8e-05;0.000558;0.000504; 0.000125; false; 0.002368;0.01; 8.5e-05; 9e-06;0.0053;0.003807; 0.00169; false; 0.012248;1.03; 0.0062; 0.0000;0.0049;0.0012000000000000001; 0.0004; False; 0.0068; 0.0135;1.36; 0.0044; 0.0000;0.5499; 0.0438; False; 0.5939; 0.5990;0.7; 0.004437605;0.01833459; 2.2441E-5; false; 0.028731386; 0.090048146
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-34.mata;0.0; 7.9e-05;0.00182;0.00047099999999999996; 0.000124; false; 0.005504;0.21; 8e-05;0.21882400000000002;0.001381;0.00039600000000000003; 0.000118; false; 0.22355;0.0; 8.1e-05;0.0017980000000000001;0.000406; 0.000121; false; 0.005409;0.01; 8.5e-05; 1e-05;0.007077999999999999;0.005891; 0.002955; false; 0.017001;0.75; 0.0045; 0.0000;0.0103;0.0009; 0.0003; False; 0.0117; 0.0168;4.15; 0.0044; 0.0001;1.8397999999999999; 1.5336; False; 3.3734; 3.3799;0.89; 0.00602922;0.016479248; 2.0498E-5; false; 0.026434651; 0.098841907
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-35.mata;0.02; 0.000214;0.00858;0.001755; 0.000472; false; 0.024016;0.69; 0.000215;0.6967559999999999;0.004798;0.000993; 0.000298; false; 0.711149;0.02; 0.000206;0.008490000000000001;0.001637; 0.00051; false; 0.024108;0.05; 0.000212; 2.1e-05;0.025906;0.020711; 0.010183; false; 0.058803;1.13; 0.0065; 0.0000;0.0383;0.0025; 0.0008; False; 0.0418; 0.0512;19.86; 0.0045; 0.0001;5.821000000000001; 13.4561; False; 19.2773; 19.2866;0.9; 0.0073639;0.016441846; 1.8143E-5; false; 0.024793126; 0.099076625
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-36.mata;0.02; 0.000216;0.008559;0.001335; 0.000449; false; 0.023511;0.93; 0.000217;0.938604;0.007994;0.001439; 0.000469; false; 0.960354;0.02; 0.000216;0.008463;0.001454; 0.000518; false; 0.023618;0.06; 0.000235; 2.2e-05;0.025868000000000002;0.020574000000000002; 0.010523; false; 0.058822;1.13; 0.0066; 0.0000;0.0395;0.0024000000000000002; 0.0009; False; 0.0431; 0.0527;20.93; 0.0065; 0.0001;6.5893999999999995; 13.4849; False; 20.0745; 20.0845;0.88; 0.007648201;0.016072435; 2.1188E-5; false; 0.025244482; 0.099166399
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-37.mata;0.0; 8.1e-05;0.00057;0.000547; 0.000124; false; 0.002524;0.06; 0.000109;0.06457;0.000513;0.00033200000000000005; 6.1e-05; false; 0.066836;0.0; 9.1e-05;0.000585;0.000519; 0.00012; false; 0.002442;0.01; 9.7e-05; 1e-05;0.005581;0.004019; 0.001772; false; 0.012823;1.06; 0.0064; 0.0000;0.0051;0.0013; 0.0005; False; 0.0070; 0.0139;1.91; 0.0062; 0.0001;0.8182; 0.1018; False; 0.9202; 0.9273;0.87; 0.005178261;0.019722496; 2.1677E-5; false; 0.030344211; 0.102247499
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-38.mata;0.01; 0.000125;0.003228;0.000774; 0.000195; false; 0.009548;0.34; 0.000138;0.345376;0.002659;0.0007719999999999999; 0.000206; false; 0.354147;0.01; 0.000133;0.003283;0.000677; 0.000196; false; 0.009831;0.03; 0.000141; 1.5e-05;0.01299;0.009930999999999999; 0.00504; false; 0.029567;1.11; 0.0063; 0.0000;0.0184;0.0015; 0.0006; False; 0.0208; 0.0283;6.83; 0.0063; 0.0001;2.9714; 2.8114; False; 5.7831; 5.7920;0.73; 0.004891325;0.015860723; 2.4291E-5; false; 0.026013396; 0.082024577
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-39.mata;0.01; 0.000122;0.004565;0.000839; 0.000267; false; 0.012791;0.9; 0.000201;0.9119299999999999;0.007955;0.0013900000000000002; 0.000548; false; 0.934044;0.02; 0.000202;0.008553;0.001362; 0.000444; false; 0.023743;0.06; 0.000214; 2e-05;0.025891;0.020657000000000002; 0.010438; false; 0.058892;1.17; 0.0064; 0.0000;0.037500000000000006;0.0024000000000000002; 0.0008; False; 0.0410; 0.0503;24.05; 0.0066; 0.0002;7.842700000000001; 15.4224; False; 23.2654; 23.2775;0.88; 0.00728767;0.024349403999999998; 1.7572E-5; false; 0.033217582; 0.105303298
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-4.mata;0.02; 0.000222;0.008660999999999999;0.0013440000000000001; 0.000416; false; 0.023678;0.91; 0.000219;0.922661;0.008020000000000001;0.001369; 0.000411; false; 0.944391;0.01; 0.000144;0.00472;0.000865; 0.000281; false; 0.013304;0.03; 0.000128; 1.5e-05;0.013652999999999998;0.012013; 0.006133; false; 0.032983;0.81; 0.0046; 0.0000;0.023;0.0015; 0.0005; False; 0.0252; 0.0319;21.34; 0.0066; 0.0001;6.3740000000000006; 14.0749; False; 20.4491; 20.4592;0.72; 0.007672463;0.015880423; 1.7291E-5; false; 0.02508509; 0.100108861
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-40.mata;0.02; 0.000224;0.00879;0.001598; 0.000452; false; 0.024419;0.85; 0.000212;0.854825;0.007918000000000001;0.001581; 0.000498; false; 0.877379;0.02; 0.000236;0.008945000000000002;0.001783; 0.000512; false; 0.025411;0.06; 0.000242; 2.4e-05;0.026323;0.021384; 0.011056; false; 0.060741;1.1; 0.0063; 0.0000;0.037000000000000005;0.0023; 0.0008; False; 0.0406; 0.0507;28.04; 0.0065; 0.0002;7.050000000000001; 20.1228; False; 27.1730; 27.1831;0.89; 0.007484482;0.015946336999999998; 3.0263E-5; false; 0.02521775; 0.103828308
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-41.mata;0.0; 9e-05;0.000582;0.000572; 0.000123; false; 0.002575;0.06; 6.9e-05;0.064614;0.000541;0.000348; 6.3e-05; false; 0.06701;0.0; 8.3e-05;0.0005809999999999999;0.000534; 0.000119; false; 0.002522;0.01; 8.6e-05; 1e-05;0.005540999999999999;0.00397; 0.001741; false; 0.012718;1.04; 0.0062; 0.0000;0.0048;0.0011; 0.0004; False; 0.0067; 0.0133;2.11; 0.0062; 0.0001;1.0523; 0.0430; False; 1.0954; 1.1024;0.88; 0.005334833;0.027092561000000005; 2.1736E-5; false; 0.037168142; 0.105712437
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-42.mata;0.0; 8e-05;0.001768;0.000402; 0.000125; false; 0.005388;0.34; 0.000132;0.34902599999999995;0.002607;0.000676; 0.000181; false; 0.357402;0.0; 0.000137;0.002993;0.000647; 0.000204; false; 0.009121;0.03; 0.000135; 1.3e-05;0.012915000000000001;0.009741; 0.004964; false; 0.029197;1.08; 0.0062; 0.0000;0.0174;0.0016; 0.0006; False; 0.0197; 0.0271;5.44; 0.0062; 0.0001;2.6353999999999997; 1.8060; False; 4.4416; 4.4496;0.77; 0.005448332;0.013752594; 1.2568E-5; false; 0.022949436; 0.087332913
