name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance10452.mata;0.15; 0.0376433000;0.0085001; 0.0471590000; 0.0001808000; False; 0.0584311000; 0.1467394000;0.0; 0.002251; 0.000338; 4.1e-05; 2.2e-05; false; 0.00329;0.0; 0.002207; 0.002472; 0.000358; 3e-05; 2.4e-05; false; 0.005778;0.0; 0.001215; 0.000204; 2.2e-05; 1.6e-05; false; 0.001851;0.0; 0.002186; 0.001295; 0.001348; 0.000434; 0.000428; false; 0.006174;0.0; 0.002076; 0.000195; 0.001536; 0.000759; 0.000381; false; 0.006188;ERR;1.21; 0.0104; 0.0000; 0.0007; 0.0000; 0.0000; False; 0.0008; 0.0115;1.21; 0.0105; 0.0027; 0.0051; 0.0058; 0.0005; False; 0.0063; 0.0197;1.19; 0.0105; 0.0031; 0.0027; 0.0046; 0.0001; False; 0.0047; 0.0186;1.14; 0.099240675; 0.033553536; 0.002144865; false; 0.042460937; 0.23955282;1.1; 0.037223467; 0.011689568; 3.3748E-5; false; 0.019549697; 0.152328439
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance10477.mata;0.13; 0.0450133000;0.0062688; 0.0316898000; 0.0002486000; False; 0.0402555000; 0.1282664000;0.04; 0.036649; 0.002669; 0.000203; 0.000105; false; 0.046417;0.09; 0.033374; 0.060297; 0.003064; 0.000134; 0.000154; false; 0.103214;0.02; 0.021534; 0.001574; 7.7e-05; 5e-05; false; 0.026581;0.07; 0.034882; 0.018029; 0.011382; 0.004401; 0.004583; false; 0.077845;0.03; 0.021582; 0.001495; 0.005375; 0.001885; 0.001396; false; 0.034677;ERR;1.13; 0.0377; 0.0000; 0.0044; 0.0003; 0.0000; False; 0.0048; 0.0433;1.03; 0.0359; 0.0181; 0.0297; 0.0327; 0.0039; False; 0.0366; 0.0910;1.31; 0.0593; 0.0307; 0.0171; 0.0273; 0.0001; False; 0.0274; 0.1182;2.36; 0.309084629; 0.110297571; 0.002810442; false; 0.129358404; 0.654191021;1.54; 0.08765407; 0.008536806; 3.1895E-5; false; 0.015647535; 0.339057336
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance10483.mata;0.17; 0.0419205000;0.009901499999999999; 0.0561438000; 0.0002278000; False; 0.0694133000; 0.1677601000;0.01; 0.003964; 0.003569; 0.000529; 7.7e-05; false; 0.011416;0.01; 0.002184; 0.006853; 0.003152; 0.000649; 5.4e-05; false; 0.015237;0.01; 0.003815; 0.003623; 0.000526; 8.8e-05; false; 0.011344;0.06; 0.004042; 0.002952; 0.026167; 0.014001; 0.014471; false; 0.062736;0.03; 0.003753; 0.000474; 0.011029; 0.007854; 0.006496; false; 0.032005;ERR;0.99; 0.0095; 0.0000; 0.0037; 0.0004; 0.0000; False; 0.0042; 0.0143;1.06; 0.0100; 0.0079; 0.0246; 0.0294; 0.0036; False; 0.0331; 0.0514;1.26; 0.0186; 0.0172; 0.0140; 0.0600; 0.0001; False; 0.0602; 0.0968;1.87; 0.356813369; 0.16436361; 0.013732015; false; 0.184429437; 0.666009041;1.31; 0.053961145; 0.070008216; 4.044E-5; false; 0.089332218; 0.273338157
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance10534.mata;0.13; 0.0324419000;0.0061809000000000005; 0.0397320000; 0.0002974000; False; 0.0485191000; 0.1284508000;0.0; 0.001387; 0.001193; 0.000137; 6.9e-05; false; 0.003719;0.0; 0.001245; 0.001314; 0.000941; 0.000122; 6.6e-05; false; 0.004533;0.0; 0.001231; 0.001093; 0.000159; 6.4e-05; false; 0.003451;0.01; 0.001252; 0.000739; 0.007342; 0.00293; 0.002515; false; 0.015227;0.01; 0.001389; 0.000131; 0.002523; 0.001804; 0.001759; false; 0.008824;ERR;1.1; 0.0067; 0.0000; 0.0017; 0.0002; 0.0000; False; 0.0020; 0.0092;1.27; 0.0082; 0.0020; 0.0135; 0.0164; 0.0019; False; 0.0184; 0.0290;1.23; 0.0086; 0.0024; 0.0043; 0.0116; 0.0001; False; 0.0117; 0.0230;1.49; 0.181800692; 0.073872704; 0.001950971; false; 0.081946136; 0.367307144;0.9; 0.035768655; 0.042181627; 4.274E-5; false; 0.05051773; 0.189277908
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance10537.mata;0.16; 0.0384418000;0.008813900000000001; 0.0493893000; 0.0002405000; False; 0.0609761000; 0.1518512000;0.0; 0.002188; 0.002799; 0.000329; 0.000182; false; 0.007509;0.01; 0.002272; 0.004189; 0.002535; 0.000296; 0.000185; false; 0.01106;0.0; 0.002148; 0.00275; 0.000348; 0.000178; false; 0.007527;0.03; 0.002213; 0.001622; 0.017316; 0.008417; 0.006912; false; 0.037204;0.02; 0.001677; 0.00023; 0.008467; 0.004736; 0.004175; false; 0.020568;ERR;1.25; 0.0102; 0.0000; 0.0050; 0.0004; 0.0000; False; 0.0055; 0.0164;1.21; 0.0111; 0.0044; 0.0272; 0.0333; 0.0029; False; 0.0364; 0.0524;1.1; 0.0081; 0.0030; 0.0035; 0.0135; 0.0001; False; 0.0136; 0.0251;1.68; 0.220913518; 0.094923901; 0.002283521; false; 0.10386217; 0.403409049;1.12; 0.02903943; 0.042268997; 5.1703E-5; false; 0.049302891; 0.195896853
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance10563.mata;0.16; 0.0420407000;0.009346799999999999; 0.0716037000; 0.0003466000; False; 0.0837515000; 0.1761233000;0.0; 0.001623; 0.001006; 0.000162; 7.7e-05; false; 0.003958;0.0; 0.001858; 0.002144; 0.001059; 0.000113; 6.9e-05; false; 0.006184;0.0; 0.001741; 0.001077; 0.000137; 6.9e-05; false; 0.004052;0.01; 0.001784; 0.001113; 0.006764; 0.002929; 0.002631; false; 0.015787;0.01; 0.001788; 0.000187; 0.004051; 0.00201; 0.00154; false; 0.010908;ERR;1.05; 0.0071; 0.0000; 0.0016; 0.0002; 0.0000; False; 0.0019; 0.0094;1.25; 0.0109; 0.0043; 0.0148; 0.0180; 0.0028; False; 0.0210; 0.0364;1.18; 0.0110; 0.0034; 0.0035; 0.0106; 0.0001; False; 0.0107; 0.0256;1.37; 0.152027811; 0.056062606; 0.002099876; false; 0.064172857; 0.30787675;1.1; 0.029044546; 0.023349745; 4.7121E-5; false; 0.030835975; 0.187620445
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance10583.mata;0.16; 0.0527364000;0.0058249; 0.0285490000; 0.0001265000; False; 0.0362032000; 0.1749266000;0.05; 0.050736; 0.001044; 6.2e-05; 9.6e-05; false; 0.058734;0.09; 0.051427; 0.044004; 0.002249; 0.000129; 0.000143; false; 0.105034;0.06; 0.054131; 0.001541; 7.4e-05; 8.7e-05; false; 0.06552;0.15; 0.092871; 0.052574; 0.012836; 0.00323; 0.003026; false; 0.173242;0.11; 0.095351; 0.008533; 0.007219; 0.002367; 0.001946; false; 0.12464;ERR;1.2; 0.1425; 0.0000; 0.0058; 0.0004; 0.0000; False; 0.0063; 0.1500;1.51; 0.1391; 0.1661; 0.0592; 0.0655; 0.0052; False; 0.0708; 0.3771;1.46; 0.1450; 0.0939; 0.0180; 0.0266; 0.0001; False; 0.0268; 0.2673;2.64; 0.3904523; 0.04615901; 0.002142623; false; 0.054943077; 0.704336882;2.0; 0.196898731; 0.008038785; 5.0123E-5; false; 0.016111389; 0.466173664
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance10591.mata;0.2; 0.0536279000;0.010696599999999999; 0.0901802000; 0.0003699000; False; 0.1038426000; 0.2154703000;0.05; 0.036556; 0.015976; 0.001083; 0.000147; false; 0.060988;0.13; 0.03749; 0.076854; 0.016706; 0.000638; 0.000361; false; 0.138694;0.04; 0.026758; 0.012769; 0.000903; 0.00012; false; 0.045623;0.2; 0.035342; 0.018; 0.089465; 0.026671; 0.029227; false; 0.203083;0.12; 0.03911; 0.002771; 0.055067; 0.009249; 0.008978; false; 0.121096;ERR;1.21; 0.0626; 0.0000; 0.0293; 0.0008; 0.0000; False; 0.0302; 0.0942;2.15; 0.0382; 0.0506; 0.8224; 0.8507; 0.1728; False; 1.0235; 1.1133;1.25; 0.0370; 0.0172; 0.0973; 0.1195; 0.0001; False; 0.1196; 0.1745;3.09; 0.595263264; 0.105531378; 0.007234949; false; 0.124777479; 0.951928321;1.98; 0.192615803; 0.187646806; 1.25966E-4; false; 0.195479859; 0.639213049
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance10624.mata;0.17; 0.0647530000;0.0090633; 0.0330903000; 0.0001943000; False; 0.0451093000; 0.1725931000;0.03; 0.03309; 0.002537; 0.000178; 9.4e-05; false; 0.041922;0.06; 0.032406; 0.033213; 0.00139; 8.8e-05; 0.000149; false; 0.072967;0.04; 0.037361; 0.003225; 0.000229; 0.000109; false; 0.048324;0.07; 0.036703; 0.0187; 0.010548; 0.003951; 0.004162; false; 0.07807;0.04; 0.027326; 0.0031; 0.009411; 0.003081; 0.002504; false; 0.050081;ERR;1.04; 0.0351; 0.0000; 0.0039; 0.0003; 0.0000; False; 0.0042; 0.0399;1.3; 0.0620; 0.0330; 0.0348; 0.0378; 0.0033; False; 0.0411; 0.1367;1.22; 0.0429; 0.0208; 0.0134; 0.0225; 0.0001; False; 0.0226; 0.0870;2.34; 0.265722419; 0.101089619; 0.002935167; false; 0.116926784; 0.563580158;1.67; 0.15615971; 0.023728588; 3.5036E-5; false; 0.049002997; 0.522935068
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance10644.mata;0.16; 0.0388350000;0.009315599999999999; 0.0467104000; 0.0001871000; False; 0.0589837000; 0.1514635000;0.0; 0.001971; 0.000292; 4.2e-05; 2.3e-05; false; 0.00299;0.0; 0.002157; 0.002547; 0.000364; 2.9e-05; 2.4e-05; false; 0.005806;0.0; 0.002313; 0.000405; 4.1e-05; 3e-05; false; 0.003568;0.0; 0.002222; 0.001285; 0.001456; 0.000469; 0.000442; false; 0.006422;0.0; 0.001989; 0.000174; 0.00154; 0.000824; 0.00037; false; 0.006232;ERR;1.16; 0.0151; 0.0000; 0.0009; 0.0001; 0.0000; False; 0.0011; 0.0166;1.19; 0.0123; 0.0027; 0.0043; 0.0049; 0.0004; False; 0.0053; 0.0206;1.21; 0.0109; 0.0035; 0.0032; 0.0054; 0.0001; False; 0.0056; 0.0203;1.27; 0.094542308; 0.028083254; 0.00200635; false; 0.036209006; 0.206686289;1.04; 0.038483105; 0.012879778; 4.9521E-5; false; 0.021231532; 0.166646619
