name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-compl;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.28; 0.1293822000;0.010563000000000001; 0.0825281000; 0.0002077000; False; 0.0964420000; 0.2711000000;0.12; 0.111699; 0.028699; 0.0006; 5.9e-05; 3e-05; false; 0.143541;0.2; 0.192668; 0.03591; 0.002783; 0.000176; 2.7e-05; 1.2e-05; false; 0.234263;0.21; 0.196082; 0.037714; 0.000776; 0.00012; 4.1e-05; false; 0.237738;0.14; 0.11287; 0.027717; 0.005751; 0.003515; 0.0006; 0.000677; false; 0.153235;0.22; 0.187286; 0.042668; 0.001617; 0.004518; 0.001289; 0.000833; false; 0.242493;TO; 0.191517; 0.084374;MISSING;MISSING;MISSING;MISSING;1.18; 0.1692; 0.0000; 0.0015; 0.0001; 0.0000; False; 0.0016; 0.1711;1.05; 0.1677; 0.0131; 0.0196; 0.0201; 0.0016; False; 0.0218; 0.2028;1.35; 0.3129; 0.0124; 0.0142; 0.0162; 0.0001; False; 0.0164; 0.3423;1.99; 0.287434105; 0.026166415; 0.002092386; false; 0.036976147; 0.482249615;1.76; 0.069401833; 0.036813376; 2.9551E-5; false; 0.044533026; 0.295558021
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.25; 0.1594952000;0.0097837; 0.0984269000; 0.0005494000; False; 0.1159285000; 0.3545919000;0.14; 0.112395; 0.037935; 0.000974; 0.000129; 4.6e-05; false; 0.156207;0.16; 0.135263; 0.036223; 0.002973; 0.000271; 3.2e-05; 3.3e-05; false; 0.178848;0.15; 0.12296; 0.040408; 0.001089; 0.000108; 4.6e-05; false; 0.168908;0.15; 0.109407; 0.03908; 0.008667; 0.00508; 0.001419; 0.001345; false; 0.168646;0.11; 0.09613; 0.022435; 0.000734; 0.001862; 0.000794; 0.000469; false; 0.125053;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.27; 0.2193; 0.0000; 0.0026; 0.0001; 0.0000; False; 0.0028; 0.2225;1.36; 0.2210; 0.0168; 0.0243; 0.0249; 0.0023; False; 0.0273; 0.2655;1.13; 0.1339; 0.0055; 0.0056; 0.0065; 0.0001; False; 0.0066; 0.1463;1.86; 0.192375393; 0.029333955; 0.002000834; false; 0.037091427; 0.382411341;1.51; 0.052688789; 0.038922794; 3.0207E-5; false; 0.046584996; 0.23138285
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.2; 0.0848536000;0.009092399999999999; 0.0479000000; 0.0001797000; False; 0.0597691000; 0.2051725000;0.03; 0.03577; 0.011334; 0.000162; 2.3e-05; 7e-06; false; 0.048405;0.06; 0.05698; 0.019297; 0.000457; 9.7e-05; 1.9e-05; 9e-06; false; 0.078438;0.06; 0.057553; 0.01733; 0.000287; 3.9e-05; 1.1e-05; false; 0.076628;0.05; 0.048491; 0.011472; 0.000567; 0.000675; 0.000114; 0.000106; false; 0.062384;0.06; 0.056839; 0.014534; 0.000104; 0.000922; 0.000506; 0.000158; false; 0.07485;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.24; 0.1341; 0.0000; 0.0010; 0.0001; 0.0000; False; 0.0011; 0.1355;1.14; 0.1088; 0.0006; 0.0033; 0.0036; 0.0001; False; 0.0038; 0.1134;1.0; 0.0847; 0.0012; 0.0016; 0.0019; 0.0001; False; 0.0020; 0.0881;1.13; 0.143949894; 0.036613242; 0.002354765; false; 0.048687845; 0.303521214;1.14; 0.027073784; 0.017843988; 2.9887E-5; false; 0.030520047; 0.184716475
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;4.47; 4.2245616000;0.0078965; 0.2453712000; 0.0002292000; False; 0.2552029000; 4.5178231000;10.01; 9.28982; 1.96677; 0.046304; 0.000188; 7.9e-05; false; 11.3083;15.21; 14.0112; 3.05949; 0.004481; 0.000135; 1.8e-05; 4.1e-05; false; 17.0834;11.78; 9.8631; 3.14161; 0.054471; 0.000517; 0.000158; false; 13.0673;17.21; 18.5202; 3.55; 0.02732; 0.121157; 0.005504; 0.005071; false; 22.2364;13.14; 22.2922; 4.61442; 0.004023; 0.26974; 0.006125; 0.004692; false; 27.2047;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.73; 0.5606901000;0.008062; 0.0870386000; 0.0002933000; False; 0.0995361000; 0.7199769000;1.51; 1.35129; 0.334222; 0.002881; 0.000182; 3.9e-05; false; 1.69102;1.42; 1.31242; 0.272406; 0.001145; 0.000125; 1.7e-05; 1.7e-05; false; 1.58793;1.33; 1.23278; 0.256603; 0.002556; 0.000113; 3.3e-05; false; 1.49399;1.41; 1.30542; 0.26626; 0.004439; 0.00815; 0.00107; 0.001019; false; 1.58794;1.42; 1.30599; 0.271148; 0.000713; 0.003834; 0.001651; 0.000943; false; 1.58715;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;8.27; 7.2923; 0.0000; 0.0028; 0.0001; 0.0000; False; 0.0030; 7.2956;8.92; 7.8436; 0.0063; 0.1180; 0.1189; 0.0038; False; 0.1228; 7.9730;5.61; 4.9444; 0.0026; 0.0181; 0.0191; 0.0001; False; 0.0192; 4.9664;8.4; 0.228385587; 0.017663178; 0.001997869; false; 0.023739184; 0.371835314;6.28; 0.035192675; 0.065626199; 4.2857E-5; false; 0.076231155; 0.253644827
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.3; 0.1470111000;0.0098061; 0.0882071000; 0.0001737000; False; 0.1005843000; 0.2912153000;0.21; 0.20054; 0.042168; 0.002751; 0.000109; 3.1e-05; false; 0.2475;0.22; 0.20311; 0.044942; 0.000799; 8.6e-05; 1.4e-05; 1.3e-05; false; 0.250862;0.22; 0.207965; 0.045456; 0.002616; 0.000146; 3.3e-05; false; 0.258166;0.24; 0.211677; 0.04305; 0.003508; 0.00882; 0.001041; 0.001067; false; 0.270885;0.23; 0.206278; 0.044116; 0.00057; 0.003362; 0.001347; 0.000859; false; 0.259103;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.62; 0.4793; 0.0000; 0.0049; 0.0002; 0.0000; False; 0.0052; 0.4849;1.71; 0.4764; 0.0042; 0.1045; 0.1052; 0.0036; False; 0.1088; 0.5897;1.37; 0.2759; 0.0023; 0.0173; 0.0182; 0.0001; False; 0.0183; 0.2968;1.96; 0.242000913; 0.032905555; 0.002646734; false; 0.047749292; 0.416679704;1.78; 0.040446247; 0.056648035; 3.2072E-5; false; 0.063226617; 0.259394024
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.38; 0.2207724000;0.009691700000000001; 0.0867745000; 0.0001374000; False; 0.0985318000; 0.3779423000;0.61; 0.568249; 0.117304; 0.003183; 0.000117; 3.5e-05; false; 0.690571;0.57; 0.537243; 0.111041; 0.000894; 0.000106; 1.7e-05; 1.4e-05; false; 0.650864;0.36; 0.323418; 0.07573; 0.001911; 0.000103; 2.7e-05; false; 0.402365;0.46; 0.412058; 0.113679; 0.004039; 0.010318; 0.001413; 0.001264; false; 0.544092;0.64; 0.587202; 0.110385; 0.000719; 0.003896; 0.001504; 0.001045; false; 0.707064;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.99; 0.9639; 0.0000; 0.0032; 0.0001; 0.0000; False; 0.0034; 0.9676;2.85; 1.6718; 0.0055; 0.1335; 0.1343; 0.0042; False; 0.1386; 1.8161;1.77; 1.0139; 0.0027; 0.0207; 0.0217; 0.0001; False; 0.0218; 1.0386;2.59; 0.227138697; 0.032115531; 0.001559862; false; 0.039320665; 0.387853804;2.77; 0.042680696; 0.089059128; 4.1361E-5; false; 0.097012527; 0.294111677
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.17; 0.0700975000;0.009086200000000001; 0.0472286000; 0.0002023000; False; 0.0592185000; 0.1740006000;0.01; 0.012577; 0.007714; 0.000204; 2.6e-05; 8e-06; false; 0.021693;0.02; 0.013464; 0.008121; 0.000257; 5.9e-05; 1.1e-05; 7e-06; false; 0.023139;0.01; 0.011745; 0.008046; 0.000188; 3.6e-05; 9e-06; false; 0.021138;0.01; 0.013574; 0.00802; 0.000571; 0.000759; 0.00015; 0.000148; false; 0.024377;0.01; 0.011901; 0.008067; 8e-05; 0.001001; 0.000547; 0.000187; false; 0.023679;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.21; 0.0326; 0.0000; 0.0005; 0.0000; 0.0000; False; 0.0006; 0.0334;0.87; 0.0189; 0.0003; 0.0020; 0.0021; 0.0001; False; 0.0022; 0.0215;1.18; 0.0322; 0.0009; 0.0026; 0.0030; 0.0001; False; 0.0031; 0.0363;1.18; 0.132327857; 0.015719165; 0.001594491; false; 0.023367454; 0.226472057;0.94; 0.022490764; 0.01335618; 3.1613E-5; false; 0.020759264; 0.136849255
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.3; 0.1475537000;0.0090654; 0.0874463000; 0.0001955000; False; 0.0990347000; 0.2902767000;0.16; 0.146251; 0.038631; 0.002521; 0.000109; 2e-05; false; 0.189397;0.17; 0.163737; 0.042484; 0.000753; 8e-05; 1.4e-05; 1.3e-05; false; 0.20878;0.2; 0.19361; 0.042601; 0.002531; 0.000104; 3e-05; false; 0.240673;0.23; 0.198065; 0.042102; 0.003394; 0.008225; 0.000923; 0.000933; false; 0.255309;0.19; 0.18373; 0.028032; 0.000337; 0.002094; 0.00087; 0.000586; false; 0.217384;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.34; 0.4594; 0.0000; 0.0039; 0.0001; 0.0000; False; 0.0040; 0.4637;1.7; 0.4755; 0.0046; 0.1116; 0.1123; 0.0034; False; 0.1158; 0.5961;1.54; 0.4214; 0.0036; 0.0313; 0.0330; 0.0001; False; 0.0331; 0.4584;1.97; 0.215923079; 0.017419907; 0.001896245; false; 0.025071898; 0.351045992;1.75; 0.040405911; 0.085441722; 3.0711E-5; false; 0.093128935; 0.273268438
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.4; 0.2425377000;0.0067535; 0.0745422000; 0.0001680000; False; 0.0837082000; 0.3650417000;0.63; 0.589241; 0.115191; 0.002755; 0.000108; 1.3e-05; false; 0.708981;0.62; 0.586088; 0.117131; 0.001134; 0.000114; 1.8e-05; 1.7e-05; false; 0.705926;0.56; 0.525592; 0.115278; 0.002191; 0.000109; 1.2e-05; false; 0.64506;0.58; 0.533602; 0.108975; 0.003568; 0.008077; 0.000866; 0.000948; false; 0.657635;0.63; 0.595021; 0.113232; 0.000686; 0.003556; 0.00132; 0.000916; false; 0.716828;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;3.29; 2.3100; 0.0000; 0.0046; 0.0001; 0.0009; False; 0.0057; 2.3161;2.85; 1.7644; 0.0087; 0.1197; 0.1210; 0.0035; False; 0.1246; 1.8980;3.2; 2.5373; 0.0092; 0.0443; 0.0463; 0.0001; False; 0.0464; 2.5934;3.54; 0.254079001; 0.022013525; 0.002953493; false; 0.034078804; 0.536688417;2.7; 0.04233821; 0.081360274; 3.8503E-5; false; 0.08882435; 0.292668652
