name;automata-runtime;automata-construction;automata-trim;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-inclusion_check;vata-inclusion_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-inclusion;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-inclusion;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-inclusion_check;java-brics-inclusion_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.34;0.2451534;0.011440299999999999; 0.0375659000; False; 0.0515500000; 0.3382446000;0.45; 0.333422; 0.139371; 0.001153; false; 0.509374;1.17; 0.346854; 0.147871; 0.694211; 0.000598; false; 1.22848;0.51; 0.531974; 0.151208; 0.000852; false; 0.719734;0.68; 0.519036; 0.159906;0.086088; 0.063367; false; 0.855371;0.57; 0.655571; 0.155578;0.011377; 0.043275; false; 0.897638;ERR;ERR;ERR;1.32; 0.3533; 0.0000; 0.0012; False; 0.0012; 0.3553;7.97; 0.6401; 1.7500; 4.7359; True; 4.7360; 7.1283;1.38; 0.4019; 0.0627;0.0762; 0.0767; False; 0.0767; 0.5431;4.66;0.853494741; 0.151895795; false; 0.158639057; 1.27929956;2.92;0.313610285; 0.022665094; false; 0.028673791; 0.77147824
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.34;0.2358324;0.0129715; 0.0517412000; False; 0.0685181000; 0.3860382000;0.5; 0.360783; 0.152338; 0.000832; false; 0.551255;1.01; 0.340882; 0.142934; 0.545272; 0.000552; false; 1.06267;0.5; 0.354617; 0.152053; 0.001205; false; 0.546396;1.33; 0.374377; 0.153551;0.093015; 0.695; false; 1.3499;0.58; 0.397929; 0.142728;0.01171; 0.040965; false; 0.621811;ERR;ERR;ERR;1.86; 1.1255; 0.0000; 0.0020; False; 0.0021; 1.1289;35.44; 0.8901; 2.1834; 33.5993; False; 33.6000; 36.6946;2.08; 0.8411; 0.1854;0.14800000000000002; 0.1521; False; 0.1522; 1.1841;4.67;0.785745461; 0.074088152; false; 0.080515939; 1.249180423;3.01;0.227297525; 0.03072543; false; 0.037587862; 0.539690876
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.37;0.26487770000000005;0.013738400000000001; 0.0604525000; False; 0.0780425000; 0.3984165000;0.52; 0.390979; 0.149876; 0.001132; false; 0.576611;1.06; 0.393903; 0.151279; 0.54275; 0.000565; false; 1.12141;0.53; 0.388576; 0.155737; 0.001175; false; 0.582027;1.33; 0.392545; 0.145502;0.090753; 0.701635; false; 1.36087;0.51; 0.352556; 0.138797;0.010506; 0.036012; false; 0.567411;TO; 0.381496; 0.145734;1.73; 0.6374; 0.0000; 0.0015; False; 0.0016; 0.6401;29.19; 0.5917; 2.2919; 27.7615; False; 27.7622; 30.6574;2.06; 0.6520; 0.1216;0.1419; 0.1442; False; 0.1443; 0.9210;4.83;0.957066597; 0.075015855; false; 0.080863121; 1.324650215;2.44;0.258632374; 0.028806749; false; 0.034981878; 0.582252016
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.36;0.32968800000000004;0.0165701; 0.0663919000; False; 0.0886449000; 0.5063380000;0.52; 0.781801; 0.183088; 0.000874; false; 0.99802;1.06; 0.59205; 0.159855; 0.534448; 0.00058; false; 1.31785;0.54; 1.02065; 0.207474; 0.001213; false; 1.26707;1.35; 0.607785; 0.17864;0.087948; 0.699882; false; 1.60729;0.63; 0.723174; 0.179731;0.012229; 0.051312; false; 1.00368;ERR;ERR;ERR;1.87; 0.6770; 0.0000; 0.0018; False; 0.0019; 0.6802;29.0; 0.6693; 2.3004; 26.3466; False; 26.3471; 29.3319;1.68; 0.4071; 0.0702;0.0818; 0.0842; False; 0.0842; 0.5635;4.69;0.770924799; 0.08189428; false; 0.089174107; 1.195243517;2.33;0.38023042700000004; 0.046306225; false; 0.066825883; 0.80721609
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;0.34;0.2426683;0.01376; 0.0397524000; False; 0.0570772000; 0.3504548000;0.49; 0.419287; 0.166294; 0.000851; false; 0.621458;0.8; 0.345948; 0.105633; 0.457253; 0.000785; false; 0.932067;0.5; 0.529686; 0.154383; 0.001154; false; 0.716079;0.63; 0.494304; 0.175198;0.07932099999999999; 0.074214; false; 0.852307;0.57; 0.621591; 0.171322;0.012468; 0.044662; false; 0.887657;ERR;ERR;ERR;1.59; 0.6486; 0.0000; 0.0019; False; 0.0020; 0.6517;10.02; 0.4652; 1.5878; 7.1961; True; 7.1962; 9.2509;2.01; 0.5483; 0.1083;0.1257; 0.1280; False; 0.1281; 0.7874;4.38;0.690722477; 0.098638655; false; 0.104506712; 1.094372439;2.64;0.22924539900000002; 0.02092498; false; 0.026841051; 0.512613276
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;0.32;0.2241652;0.011961699999999999; 0.0395624000; False; 0.0551031000; 0.3313192000;0.45; 0.348743; 0.134048; 0.000601; false; 0.502184;0.82; 0.386181; 0.121155; 0.341926; 0.000372; false; 0.867713;0.29; 0.210673; 0.094733; 0.000621; false; 0.324997;0.67; 0.49292; 0.206752;0.08409; 0.083144; false; 0.893242;0.39; 0.429622; 0.126436;0.011382; 0.041198; false; 0.637715;ERR;ERR;ERR;1.75; 0.6332; 0.0000; 0.0020; False; 0.0020; 0.6365;26.52; 0.6694; 2.2418; 23.6955; False; 23.6958; 26.6144;1.9; 0.6372; 0.1189;0.14049999999999999; 0.1420; False; 0.1420; 0.9011;4.31;0.8334588559999999; 0.090894657; false; 0.097403331; 1.22772789;2.81;0.29449073800000003; 0.035892069; false; 0.049866486; 0.626597209
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.19;0.139259;0.0090764; 0.0246397000; False; 0.0354766000; 0.2030900000;0.5; 0.367728; 0.156019; 0.001319; false; 0.566255;0.67; 0.241392; 0.090829; 0.358595; 0.000362; false; 0.710367;0.44; 0.327078; 0.13371; 0.000856; false; 0.495054;0.56; 0.329934; 0.136007;0.056926000000000004; 0.047164; false; 0.602711;0.32; 0.213232; 0.094407;0.006495; 0.025944; false; 0.357505;TO; 0.196798; 0.083262;1.62; 0.5350; 0.0000; 0.0010; False; 0.0011; 0.5368;9.56; 0.5605; 2.0699; 6.4933; True; 6.4939; 9.1289;2.07; 0.6539; 0.1133;0.1394; 0.1403; False; 0.1404; 0.9109;5.14;0.929084214; 0.068496788; false; 0.0747204; 1.35509727;3.33;0.472769118; 0.034379104; false; 0.041829836; 0.931839606
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.31;0.2366662;0.015577599999999999; 0.0839249000; False; 0.1037312000; 0.4170012000;0.46; 0.34596; 0.137773; 0.000803; false; 0.512935;0.76; 0.360711; 0.09224; 0.34089; 0.000349; false; 0.814253;0.44; 0.323383; 0.132132; 0.000865; false; 0.488354;0.67; 0.352711; 0.139427;0.084112; 0.082565; false; 0.691619;0.49; 0.326509; 0.132476;0.00976; 0.038216; false; 0.534417;ERR;ERR;ERR;1.72; 0.7058; 0.0000; 0.0020; False; 0.0020; 0.7089;8.97; 0.8559; 2.2418; 5.6988; False; 5.6990; 8.8001;1.94; 0.9123; 0.2112;0.09989999999999999; 0.1013; False; 0.1013; 1.2283;4.5;0.997945298; 0.08086194; false; 0.086689793; 1.55942563;3.14;0.24435894; 0.01788784; false; 0.024071993; 0.645627034
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;0.31;0.2372549;0.009286200000000001; 0.0350492000; False; 0.0559378000; 0.3390559000;0.52; 0.341209; 0.166854; 0.001064; false; 0.556588;1.5; 0.508769; 0.221307; 0.792953; 0.000929; false; 1.57668;0.61; 0.42928; 0.19493; 0.000909; false; 0.665037;0.96; 0.512561; 0.196761;0.125302; 0.10109; false; 0.97949;0.78; 0.523032; 0.182472;0.015248; 0.080406; false; 0.836914;TO; 0.460002; 0.202433;1.92; 0.8304; 0.0000; 0.0018; False; 0.0019; 0.8336;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.51; 1.2809; 0.4507;0.3307; 0.3319; False; 0.3320; 2.0675;5.75;1.2103719169999998; 0.087800146; false; 0.094936988; 1.702609086;4.31;0.433371733; 0.222117758; false; 0.228518875; 1.021340746
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;0.47;0.3587016;0.0139597; 0.0528381000; False; 0.0703247000; 0.4851474000;0.73; 0.526215; 0.214015; 0.000983; false; 0.790807;1.36; 0.475029; 0.211204; 0.673194; 0.000784; false; 1.41348;0.52; 0.412506; 0.121556; 0.000654; false; 0.562176;0.88; 0.475103; 0.19357;0.1095; 0.098789; false; 0.916388;0.45; 0.284525; 0.122798;0.009149000000000001; 0.056643; false; 0.4987;TO; 0.452274; 0.211162;1.99; 0.8798; 0.0000; 0.0032; False; 0.0032; 0.8853;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.82; 0.4930; 0.0884;0.18519999999999998; 0.1859; False; 0.1859; 0.7699;4.82;0.9127642020000001; 0.080906006; false; 0.086829353; 1.318482821;4.52;0.605861515; 0.594412104; false; 0.63621143; 1.629307018
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.35;0.2784906;0.0131847; 0.0430436000; False; 0.0603809000; 0.4543737000;0.47; 0.958443; 0.165925; 0.001799; false; 1.1609;1.15; 0.570314; 0.174541; 0.605642; 0.000653; false; 1.38863;0.51; 0.540802; 0.165456; 0.002276; false; 0.743204;0.73; 0.576318; 0.167611;0.09325; 0.07693; false; 0.94725;0.51; 0.628845; 0.163983;0.010411; 0.045199; false; 0.880007;ERR;ERR;ERR;1.37; 0.3638; 0.0000; 0.0017; False; 0.0018; 0.3664;10.54; 0.6109; 2.1686; 6.8345; True; 6.8369; 9.6341;2.17; 0.7432; 0.1187;0.1434; 0.1446; False; 0.1446; 1.0097;4.24;0.830266379; 0.074146111; false; 0.080491538; 1.301519999;3.08;0.24320509299999998; 0.042214648; false; 0.04834578; 0.632463162
