name;automata-runtime;automata-construction;automata-trim;automata-uni;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;0.28;0.192017;0.012663; 0.0164841000; 0.0004194000; False; 0.0336036000; 0.2823636000;0.33; 0.276782; 0.077975; 0.0008; 0.000586; 0.000104; false; 0.36804;0.54; 0.290721; 0.087581; 0.191694; 0.000868; 0.000487; 0.00016; false; 0.585435;0.39; 0.331039; 0.086751; 0.000833; 0.000913; 0.000123; false; 0.432473;0.39; 0.284945; 0.076972;0.021748999999999998; 0.006017; 0.008416; 0.009879; false; 0.418118;0.39; 0.323168; 0.077829;0.0026290000000000003; 0.00294; 0.006171; 0.005154; false; 0.428522;ERR;1.48; 0.3093; 0.0000; 0.0032; 0.0018; 0.0014; False; 0.0066; 0.3171;2.22; 0.2921; 0.1077; 0.5428; 0.1022; False; 0.6450; 1.0458;TO;TO;1.58;0.09327913900000001; 0.009050418; 4.1573E-5; false; 0.016902238; 0.285451856
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;0.17;0.15455639999999998;0.006939699999999999; 0.0063312000; 0.0002101000; False; 0.0166060000; 0.2235377000;0.22; 0.184076; 0.049782; 0.000383; 0.000439; 7e-05; false; 0.241962;0.34; 0.182724; 0.050294; 0.123326; 0.000518; 0.00027; 0.000105; false; 0.365226;0.35; 0.452552; 0.088129; 0.000878; 0.000694; 0.000106; false; 0.555228;0.46; 0.619944; 0.092892;0.022979; 0.006543; 0.007422; 0.007569; false; 0.768297;0.43; 0.630201; 0.090516;0.0036880000000000003; 0.004205; 0.008975; 0.006225; false; 0.760236;ERR;1.52; 0.3201; 0.0000; 0.0026; 0.0011; 0.0011; False; 0.0050; 0.3262;2.65; 0.5447; 0.2135; 0.5733; 0.1322; False; 0.7056; 1.4653;TO;TO;2.04;0.096315873; 0.009774858; 3.0207E-5; false; 0.017521347; 0.398507158
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;0.28;0.2144376;0.0157195; 0.0105473000; 0.0003404000; False; 0.0304475000; 0.3225259000;0.36; 0.327697; 0.059007; 0.000486; 0.000475; 8e-05; false; 0.396135;0.69; 0.367863; 0.093632; 0.250435; 0.001097; 0.000501; 0.000107; false; 0.728032;0.44; 0.367844; 0.092178; 0.000975; 0.000797; 0.000132; false; 0.476554;0.53; 0.380794; 0.097888;0.03018; 0.008843; 0.013654; 0.013142; false; 0.557438;0.48; 0.385446; 0.099548;0.004064; 0.003989; 0.008451; 0.0078; false; 0.523044;ERR;1.6; 0.4222; 0.0000; 0.0040; 0.0019; 0.0019; False; 0.0078; 0.4333;3.01; 0.5318; 0.2797; 1.0052; 0.1463; False; 1.1516; 1.9641;TO;TO;2.27;0.121507312; 0.010734906; 5.0207E-5; false; 0.018115456; 0.426221358
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;0.3;0.2214222;0.013342999999999999; 0.0126478000; 0.0003847000; False; 0.0302579000; 0.3265968000;0.45; 0.385448; 0.09132; 0.000948; 0.000818; 0.000141; false; 0.49282;0.75; 0.389336; 0.093394; 0.284289; 0.00112; 0.000716; 0.000134; false; 0.786402;0.47; 0.389943; 0.10232; 0.001067; 0.001346; 0.000201; false; 0.514039;0.52; 0.396669; 0.090761;0.027223999999999998; 0.006804; 0.009837; 0.010783; false; 0.553439;0.48; 0.558806; 0.097133;0.003951; 0.005863; 0.011364; 0.007095; false; 0.704431;ERR;2.1; 0.6382; 0.0000; 0.0050; 0.0027; 0.0028; False; 0.0107; 0.6510;2.42; 0.3945; 0.1674; 0.7745; 0.1633; False; 0.9379; 1.5008;TO;TO;2.07;0.15584104099999999; 0.010567216; 3.3816E-5; false; 0.019175822; 0.46931607
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;0.31;0.23622189999999998;0.013368699999999999; 0.0132384000; 0.0003684000; False; 0.0313630000; 0.3262556000;0.51; 0.417032; 0.112105; 0.001111; 0.000969; 0.000237; false; 0.548742;0.87; 0.42481; 0.111879; 0.356186; 0.001171; 0.000683; 0.000133; false; 0.913422;0.49; 0.410767; 0.105563; 0.001118; 0.000902; 0.000152; false; 0.535711;0.58; 0.427516; 0.111314;0.03181; 0.008536; 0.012375; 0.012589; false; 0.618955;0.57; 0.441074; 0.122189;0.005468000000000001; 0.004457; 0.009975; 0.009353; false; 0.613208;ERR;1.67; 0.3475; 0.0000; 0.0044; 0.0023; 0.0019; False; 0.0087; 0.3576;3.29; 0.3471; 0.1916; 1.2996; 0.4082; False; 1.7079; 2.2484;TO;TO;2.53;0.194576582; 0.029232637; 4.138E-5; false; 0.039471913; 0.576577759
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-rhs.mata;0.32;0.2593461;0.012720799999999999; 0.0129281000; 0.0003517000; False; 0.0301699000; 0.3500773000;0.51; 0.441444; 0.102954; 0.001383; 0.001078; 0.000168; false; 0.565702;0.9; 0.50871; 0.106703; 0.37825; 0.001357; 0.000813; 0.000206; false; 1.01472;0.54; 0.670004; 0.11098; 0.00118; 0.001445; 0.000254; false; 0.805794;0.35; 0.357727; 0.06895;0.017804; 0.005244; 0.00792; 0.009565; false; 0.476494;0.3; 0.284126; 0.068085;0.002717; 0.002575; 0.005904; 0.005099; false; 0.378063;ERR;2.11; 0.7095; 0.0000; 0.0070; 0.0036; 0.0035; False; 0.0143; 0.7261;4.41; 0.6907; 0.4170; 1.7321; 0.4098; False; 2.1419; 3.2515;TO;TO;2.21;0.11059777; 0.011930486; 2.5132E-5; false; 0.018726734; 0.382303621
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-rhs.mata;0.29;0.2416669;0.007905800000000001; 0.0073707000; 0.0002303000; False; 0.0182027000; 0.3438919000;0.39; 0.291491; 0.119647; 0.001213; 0.001194; 0.000211; false; 0.433513;1.03; 0.48467; 0.132332; 0.43603; 0.001405; 0.000805; 0.000162; false; 1.07495;0.49; 0.398321; 0.116939; 0.001281; 0.001207; 0.000199; false; 0.537615;0.67; 0.478169; 0.116447;0.03639; 0.00956; 0.01554; 0.02312; false; 0.694031;0.59; 0.481742; 0.116302;0.0057009999999999995; 0.005434; 0.010363; 0.009931; false; 0.648841;ERR;1.51; 0.4575; 0.0000; 0.0049; 0.0026; 0.0027; False; 0.0103; 0.4705;2.79; 0.4479; 0.2710; 1.0360; 0.2737; False; 1.3098; 2.0299;TO;TO;2.65;0.165493925; 0.015181707; 3.9703E-5; false; 0.023362029; 0.486668947
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-rhs.mata;0.36;0.2892771;0.015483300000000002; 0.0147785000; 0.0003761000; False; 0.0348453000; 0.4077169000;0.49; 0.392921; 0.108525; 0.001334; 0.001693; 0.000292; false; 0.526721;0.8; 0.395589; 0.093003; 0.353207; 0.000694; 0.000668; 0.000166; false; 0.856449;0.35; 0.284331; 0.082361; 0.000644; 0.00083; 0.000141; false; 0.380348;0.46; 0.278665; 0.11083;0.038266999999999995; 0.009836; 0.019041; 0.019151; false; 0.493654;0.65; 0.512753; 0.127531;0.005712999999999999; 0.004839; 0.011492; 0.011369; false; 0.696341;ERR;2.18; 0.7729; 0.0000; 0.0067; 0.0041; 0.0039; False; 0.0147; 0.7903;3.95; 0.7688; 0.2747; 1.3467; 0.5188; False; 1.8656; 2.9108;TO;TO;2.34;0.1612468; 0.015002297; 4.0615E-5; false; 0.023007156; 0.396534269
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-rhs.mata;0.16;0.0800062;0.009394399999999999; 0.0074178000; 0.0001933000; False; 0.0205962000; 0.1566821000;0.04; 0.043513; 0.014462; 0.000113; 7.4e-05; 2.9e-05; false; 0.060272;0.06; 0.048782; 0.017657; 0.003493; 0.000175; 7.7e-05; 2.9e-05; false; 0.073022;0.06; 0.052072; 0.016874; 0.000134; 8.1e-05; 3.1e-05; false; 0.071657;0.07; 0.051951; 0.017722;0.003174; 0.00087; 0.000843; 0.000715; false; 0.077763;0.07; 0.052999; 0.015955;0.0005449999999999999; 0.001185; 0.001457; 0.000874; false; 0.076433;ERR;1.31; 0.0970; 0.0000; 0.0006; 0.0001; 0.0001; False; 0.0009; 0.1031;1.01; 0.0814; 0.0079; 0.0266; 0.0063; False; 0.0329; 0.1225;TO;TO;1.01;0.029747883; 0.003193741; 3.4176E-5; false; 0.011166771; 0.23030187
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-rhs.mata;0.2;0.1648079;0.0084195; 0.0078349000; 0.0002343000; False; 0.0197222000; 0.2229881000;0.35; 0.287057; 0.080195; 0.000626; 0.000901; 0.000156; false; 0.381814;1.15; 0.525509; 0.128787; 0.527759; 0.001412; 0.000901; 0.000169; false; 1.20573;0.6; 0.62558; 0.12131; 0.001237; 0.001512; 0.000196; false; 0.772804;0.72; 0.820383; 0.139198;0.038526; 0.009845; 0.014737; 0.016458; false; 1.05693;0.65; 0.657801; 0.125752;0.005634; 0.008564; 0.012717; 0.009548; false; 0.841675;ERR;1.7; 0.4384; 0.0000; 0.0039; 0.0024; 0.0022; False; 0.0086; 0.4484;5.07; 0.7998; 0.5117; 2.1024; 0.5493; False; 2.6518; 3.9658;TO;TO;2.45;0.111306912; 0.014905907; 3.5458E-5; false; 0.022706828; 0.445778078
