name;automata-runtime;automata-construction;automata-trim;mata-runtime;mata-mataparsing;mata-mataminterm;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;mona-runtime;pymata-runtime;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;TO;0.1691025;0.006481799999999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.318463; 0.088188;TO; 0.312747; 0.07667;0.018834;TO; 0.327855; 0.084769;0.003462;ERR;TO;TO;TO;TO;TO;0.085684598
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;TO;0.17753639999999998;0.012389500000000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.356554; 0.1082;TO; 0.371233; 0.091476;0.024038;TO; 0.360625; 0.089398;0.0037270000000000003;ERR;TO;TO;TO;TO;TO;0.079446286
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;TO;0.1487751;0.0087339;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.376079; 0.102521;TO; 0.418103; 0.103245;0.023264;TO; 0.37789; 0.091453;0.0039;ERR;TO;TO;TO;TO;TO;0.14485188799999998
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;TO;0.2936561;0.011493900000000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.422051; 0.121887;TO; 0.322889; 0.096703;0.024728;TO; 0.403894; 0.102437;0.004226000000000001;ERR;TO;TO;TO;TO;TO;0.113699893
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;TO;0.262567;0.011657400000000002;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.446299; 0.129911;TO; 0.448988; 0.117734;0.029459;TO; 0.248326; 0.070652;0.002563;ERR;TO;TO;TO;TO;TO;0.161946578
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;TO;0.2590289;0.011098799999999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.47533; 0.133355;TO; 0.436119; 0.110932;0.029618;TO; 0.444592; 0.126474;0.00473;ERR;TO;TO;TO;TO;TO;0.136504054
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;TO;0.2550397;0.0108513;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.346979; 0.130448;TO; 0.451521; 0.111856;0.031933;TO; 0.330607; 0.085311;0.003336;ERR;TO;TO;TO;TO;TO;0.212675746
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;TO;0.1330863;0.013674799999999999;TO; 0.053213; 0.01869;TO; 0.051666; 0.016029; 0.00404;TO; 0.045383; 0.015686;TO; 0.050114; 0.014626;0.002872;TO; 0.02787; 0.009475;0.00031800000000000003;ERR;TO;TO;TO;TO;TO;0.036992239999999996
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;TO;0.2552443;0.010410099999999999;TO; 0.525704; 0.147468;TO; 0.512586; 0.137706; 0.540482;TO; 0.4811; 0.129113;TO; 0.470736; 0.124782;0.032359;TO; 0.410447; 0.131653;0.0055969999999999995;ERR;TO;TO;TO;TO;TO;0.184192151
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;TO;0.0998922;0.0104387;TO; 0.069205; 0.022705;TO; 0.074876; 0.023116; 0.007606;TO; 0.071598; 0.022809;TO; 0.070148; 0.045234;0.004192;TO; 0.044335; 0.014067;0.00047599999999999997;ERR;TO;TO;TO;TO;TO;0.051225895
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;TO;0.1287808;0.0090353;TO; 0.093672; 0.027421;TO; 0.094774; 0.026464; 0.013699;TO; 0.098483; 0.028258;TO; 0.099001; 0.027314;0.005252;TO; 0.056318; 0.016406;0.000584;ERR;TO;TO;TO;TO;TO;0.104449312
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;TO;0.10616700000000001;0.010215;TO; 0.074588; 0.024842;TO; 0.115481; 0.032895; 0.021928;TO; 0.115146; 0.036319;TO; 0.095439; 0.030158;0.004307999999999999;TO; 0.132167; 0.032651;0.001304;ERR;TO;TO;TO;TO;TO;0.043114972
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;TO;0.12879970000000002;0.0240523;TO; 0.12983; 0.031883;TO; 0.153583; 0.041392; 0.033844;TO; 0.143182; 0.040668;TO; 0.14973; 0.037986;0.008163;TO; 0.148815; 0.036915;0.001444;ERR;TO;TO;TO;TO;TO;0.056757662
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;TO;0.131974;0.0104381;TO; 0.15846; 0.048376;TO; 0.179098; 0.050562; 0.04859;TO; 0.164722; 0.045317;TO; 0.170053; 0.041207;0.009212999999999999;TO; 0.170977; 0.043231;0.001669;ERR;TO;TO;TO;TO;TO;0.06479728400000001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;TO;0.1384153;0.0096165;TO; 0.211147; 0.063628;TO; 0.173467; 0.046065; 0.058936;TO; 0.184238; 0.04859;TO; 0.199166; 0.052269;0.011147;TO; 0.207187; 0.055911;0.001884;ERR;TO;TO;TO;TO;TO;0.112647954
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;TO;0.1940323;0.023665500000000003;TO; 0.256792; 0.047299;TO; 0.239759; 0.063806; 0.091024;TO; 0.213885; 0.054768;TO; 0.216597; 0.058601;0.014165;TO; 0.227827; 0.057526;0.0021809999999999998;ERR;TO;TO;TO;TO;TO;0.069755066
