                                                                          1st Quartile / Median / 3rd Quartile per op/bench                                                                           
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
benchop    mata           mata-old       mata-sim         awali            mona           vata             automata        brics           (j)alib        fado           (py)alib       (py)mata
inter/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.0    -              0.0, 0.0, 0.0    0.0, 0.0, 0.1   0.0, 0.0, 0.0   0.1, 0.1, 0.2  0.4, 9.1, 60   0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter/p    -              -              -                -                -              -                0.1, 0.1, 0.1   0.0, 0.1, 0.1   0.0, 0.0, 0.1  0.0, 0.1, 0.4  0.0, 0.0, 0.1  0.0, 0.0, 0.0
inter/zn   -              -              -                -                -              -                0.0, 0.0, 0.1   0.0, 0.0, 0.0   0.0, 0.1, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter/znc  -              -              -                -                -              -                -               0.0, 0.0, 0.2   -              1.3, 24.3, 60  -              0.0, 0.0, 0.9
minte/ai   0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2    0.0, 0.1, 0.2    60, 60, 60     0.0, 0.1, 0.2    -               -               -              -              -              -
minte/bcd  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1    0.0, 0.1, 0.1    -              0.0, 0.1, 0.1    -               -               -              -              -              -
minte/bci  0.1, 0.1, 60   0.0, 0.1, 0.1  0.0, 0.1, 60     0.0, 0.1, 0.1    -              0.0, 0.1, 0.1    -               -               -              -              -              -
minte/bcu  0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1    0.0, 0.1, 0.1    -              0.0, 0.1, 0.1    -               -               -              -              -              -
minte/bi   0.1, 60, 60    0.1, 0.4, 60   0.0, 0.2, 0.8    0.0, 0.2, 0.7    0.1, 1.0, 60   0.0, 0.2, 0.8    -               -               -              -              -              -
minte/biu  0.0, 0.2, 0.7  0.0, 0.2, 0.7  0.0, 0.2, 0.7    0.0, 0.2, 0.7    0.1, 0.9, 60   0.0, 0.2, 0.8    -               -               -              -              -              -
minte/ef   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.0    60, 60, 60     0.0, 0.0, 0.0    -               -               -              -              -              -
minte/p    0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1    0.0, 0.0, 0.1    60, 60, 60     0.0, 0.0, 0.1    -               -               -              -              -              -
overa/ai   0.1, 0.5, 0.7  0.1, 0.5, 0.7  0.2, 0.8, 1.4    0.2, 0.6, 1.1    -              0.2, 0.7, 1.7    0.2, 0.5, 1.5   0.4, 0.9, 1.3   0.9, 1.3, 1.9  1.0, 38.3, 60  0.2, 0.9, 1.4  0.2, 0.6, 0.8
overa/bcd  0.4, 1.3, 2.2  0.5, 1.2, 2.5  0.4, 0.9, 1.9    1.5, 4.9, 10.5   -              1.9, 5.5, 14.9   1.6, 7.1, 18.2  2.0, 5.5, 11.1  -              60, 60, 60     -              1.3, 4.6, 10.4
overa/bci  0.4, 0.9, 2.2  0.4, 1.1, 2.2  0.3, 0.7, 1.6    1.4, 5.0, 9.8    -              2.1, 6.5, 12.8   1.6, 6.5, 18.3  2.1, 5.5, 11.4  -              60, 60, 60     -              1.2, 4.1, 9.8
overa/bcu  0.2, 0.3, 0.5  0.2, 0.3, 0.5  0.2, 0.4, 0.8    0.2, 0.3, 0.5    -              0.2, 0.3, 0.6    0.2, 0.3, 0.3   0.3, 0.3, 0.4   -              0.4, 1.1, 2.1  -              0.2, 0.3, 0.6
overa/bi   60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60       0.4, 3.2, 60   60, 60, 60       60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
overa/biu  0.1, 0.7, 1.9  0.1, 0.7, 2.0  0.9, 60, 60      0.2, 1.4, 5.1    0.4, 2.7, 60   0.3, 3.2, 17.7   0.2, 0.4, 0.9   0.5, 1.2, 2.7   60, 60, 60     5.9, 60, 60    60, 60, 60     0.2, 1.0, 3.5
overa/ef   0.1, 0.1, 0.2  0.1, 0.1, 0.2  0.1, 0.1, 0.2    0.1, 0.1, 0.2    -              0.1, 0.1, 0.2    0.2, 0.2, 0.3   0.2, 0.3, 0.5   0.5, 0.7, 1.2  1.8, 25.7, 60  0.1, 0.2, 0.3  0.1, 0.1, 0.2
overa/p    0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2    0.0, 0.1, 0.2    60, 60, 60     0.1, 0.2, 0.3    0.2, 0.3, 0.3   0.3, 0.4, 0.6   0.4, 0.6, 0.8  0.2, 0.5, 0.8  0.1, 0.2, 0.4  0.1, 0.1, 0.3
overa/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.0    -              0.0, 0.0, 0.0    0.1, 0.1, 0.2   0.1, 0.2, 0.3   0.2, 0.3, 0.5  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.0
overa/znc  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.1, 1.4, 22.0   0.0, 0.1, 0.5    -              -                -               0.1, 0.1, 0.3   -              1.3, 24.4, 60  -              0.0, 0.1, 0.9
parsi/ai   0.1, 0.3, 0.5  0.1, 0.3, 0.5  0.1, 0.3, 0.4    0.1, 0.3, 0.5    60, 60, 60     0.1, 0.3, 0.5    0.1, 0.2, 0.3   0.1, 0.3, 0.4   0.5, 0.9, 1.3  0.2, 0.8, 60   0.1, 0.6, 0.7  0.1, 0.5, 0.7
parsi/bcd  0.2, 0.3, 0.5  0.2, 0.3, 0.4  0.2, 0.3, 0.5    0.1, 0.2, 0.4    -              0.1, 0.3, 0.4    0.1, 0.2, 0.2   0.1, 0.1, 0.1   -              60, 60, 60     -              0.2, 0.4, 0.6
parsi/bci  0.2, 0.4, 60   0.2, 0.3, 0.4  0.2, 0.4, 60     0.1, 0.2, 0.4    -              0.1, 0.3, 0.4    0.1, 0.2, 0.2   0.1, 0.1, 0.1   -              60, 60, 60     -              0.2, 0.4, 0.5
parsi/bcu  0.1, 0.3, 0.4  0.1, 0.3, 0.4  0.1, 0.3, 0.4    0.1, 0.3, 0.4    -              0.2, 0.3, 0.4    0.1, 0.2, 0.2   0.1, 0.1, 0.1   -              0.2, 0.3, 0.5  -              0.2, 0.3, 0.5
parsi/bi   0.4, 60, 60    0.1, 0.6, 60   0.0, 0.2, 0.5    0.0, 0.2, 0.5    0.1, 0.3, 60   0.0, 0.2, 0.5    0.1, 0.2, 0.3   0.1, 0.4, 1.3   1.3, 48.7, 60  60, 60, 60     60, 60, 60     60, 60, 60
parsi/biu  0.0, 0.2, 0.5  0.0, 0.2, 0.4  0.0, 0.2, 0.5    0.0, 0.2, 0.4    0.1, 0.3, 60   0.0, 0.2, 0.4    0.1, 0.2, 0.3   0.1, 0.4, 1.3   1.3, 49.4, 60  0.1, 60, 60    60, 60, 60     0.1, 0.6, 1.8
parsi/ef   0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.0, 0.1, 0.1    0.0, 0.1, 0.1    60, 60, 60     0.0, 0.1, 0.1    0.1, 0.1, 0.1   0.1, 0.1, 0.1   0.2, 0.3, 0.5  0.1, 0.2, 60   0.1, 0.1, 0.2  0.1, 0.1, 0.2
parsi/p    0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2    0.0, 0.1, 0.2    60, 60, 60     0.0, 0.1, 0.2    0.1, 0.1, 0.1   0.0, 0.1, 0.2   0.2, 0.3, 0.4  0.0, 0.1, 0.3  0.1, 0.1, 0.4  0.0, 0.1, 0.3
parsi/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.0    -              0.0, 0.0, 0.0    0.0, 0.0, 0.1   0.0, 0.0, 0.1   0.1, 0.1, 0.3  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
parsi/znc  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.0    -              -                -               0.0, 0.0, 0.0   -              0.0, 0.0, 60   -              0.0, 0.0, 0.0
reduc/ai   -              -              0.0, 0.3, 0.6    -                -              -                -               -               -              -              -              -
reduc/bcd  -              -              0.1, 0.3, 0.9    -                -              -                -               -               -              -              -              -
reduc/bci  -              -              0.1, 0.5, 60     -                -              -                -               -               -              -              -              -
reduc/bcu  -              -              0.0, 0.1, 0.3    -                -              -                -               -               -              -              -              -
reduc/bi   -              -              4.9, 20.2, 34.0  -                -              -                -               -               -              -              -              -
reduc/biu  -              -              0.8, 45.9, 52.1  -                -              -                -               -               -              -              -              -
reduc/ef   -              -              0.0, 0.0, 0.0    -                -              -                -               -               -              -              -              -
reduc/p    -              -              0.0, 0.0, 0.0    -                -              -                -               -               -              -              -              -
reduc/zn   -              -              0.0, 0.0, 0.0    -                -              -                -               -               -              -              -              -
reduc/znc  -              -              0.1, 1.4, 18.0   -                -              -                -               -               -              -              -              -
resul/ai   60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60       -              60, 60, 60       60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/bcd  60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60       -              60, 60, 60       60, 60, 60      60, 60, 60      -              60, 60, 60     -              60, 60, 60
resul/bci  60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60       -              60, 60, 60       60, 60, 60      60, 60, 60      -              60, 60, 60     -              60, 60, 60
resul/bcu  60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60       -              60, 60, 60       60, 60, 60      60, 60, 60      -              60, 60, 60     -              60, 60, 60
resul/bi   60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60       60, 60, 60     60, 60, 60       60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/biu  60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60       60, 60, 60     60, 60, 60       60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/ef   60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60       -              60, 60, 60       60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/p    60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60       60, 60, 60     60, 60, 60       60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/zn   60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60       -              60, 60, 60       60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
resul/znc  60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60       -              -                -               60, 60, 60      -              60, 60, 60     -              60, 60, 60
runti/ai   0.1, 0.5, 0.6  0.1, 0.5, 0.6  0.1, 0.8, 1.2    0.1, 0.6, 1.0    60, 60, 60     0.1, 0.7, 1.4    0.2, 0.4, 1.4   1.6, 3.2, 4.3   2.2, 4.5, 5.7  2.0, 37.8, 60  1.4, 2.0, 2.4  1.3, 1.7, 1.9
runti/bcd  0.9, 31.4, 60  0.8, 31.4, 60  0.8, 31.3, 60    4.8, 39.8, 60    60, 60, 60     5.0, 41.1, 60    6.2, 46.9, 60   11.7, 51.5, 60  60, 60, 60     60, 60, 60     60, 60, 60     4.9, 38.5, 60
runti/bci  0.8, 31.4, 60  0.8, 31.7, 60  0.6, 31.3, 60    4.6, 39.9, 60    60, 60, 60     6.0, 40.9, 60    6.2, 44.2, 60   11.8, 51.8, 60  60, 60, 60     60, 60, 60     60, 60, 60     4.7, 38.6, 60
runti/bcu  0.2, 0.3, 0.4  0.1, 0.3, 0.4  0.2, 0.4, 0.8    0.2, 0.3, 0.5    60, 60, 60     0.2, 0.3, 0.5    0.2, 0.2, 0.3   1.5, 1.8, 2.2   60, 60, 60     1.5, 2.1, 3.0  60, 60, 60     1.4, 1.6, 1.8
runti/bi   60, 60, 60     60, 60, 60     60, 60, 60       60, 60, 60       0.9, 3.2, 60   60, 60, 60       60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60
runti/biu  0.1, 0.7, 1.8  0.1, 0.6, 1.9  0.9, 60, 60      0.2, 1.3, 5.0    0.8, 3.0, 60   0.3, 3.2, 17.9   0.1, 0.3, 0.9   1.9, 4.2, 8.6   60, 60, 60     6.7, 60, 60    60, 60, 60     1.3, 2.1, 4.4
runti/ef   0.0, 0.1, 0.1  0.0, 0.1, 0.1  0.1, 0.1, 0.1    0.1, 0.1, 0.2    60, 60, 60     0.1, 0.1, 0.2    0.2, 0.2, 0.2   1.3, 1.5, 1.9   1.7, 2.3, 3.4  2.7, 24.9, 60  1.2, 1.3, 1.5  1.2, 1.3, 1.4
runti/p    0.0, 0.1, 0.2  0.0, 0.1, 0.2  0.0, 0.1, 0.2    0.0, 0.1, 0.2    60, 60, 60     0.1, 0.2, 0.2    0.2, 0.2, 0.3   1.4, 1.8, 2.1   1.6, 2.1, 2.6  1.2, 1.5, 1.8  1.2, 1.3, 1.5  1.2, 1.3, 1.4
runti/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.0    60, 60, 60     0.0, 0.0, 0.0    0.1, 0.1, 0.2   0.9, 1.0, 1.4   1.1, 1.3, 1.9  1.1, 1.2, 1.3  1.1, 1.2, 1.2  1.1, 1.2, 1.2
runti/znc  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.1, 1.4, 21.6   0.0, 0.1, 0.4    -              -                -               0.9, 1.0, 1.4   -              2.4, 25.2, 60  -              1.1, 1.2, 1.9
trans/ai   -              -              -                0.0, 0.0, 0.0    -              0.0, 0.1, 0.1    -               -               -              0.1, 2.3, 60   0.0, 0.1, 0.2  0.0, 0.0, 0.0
trans/bcd  -              -              -                0.0, 0.0, 0.0    -              0.0, 0.0, 0.0    -               -               -              60, 60, 60     -              0.0, 0.0, 0.0
trans/bci  -              -              -                0.0, 0.0, 0.0    -              0.0, 0.0, 0.0    -               -               -              60, 60, 60     -              0.0, 0.0, 0.0
trans/bcu  -              -              -                0.0, 0.0, 0.0    -              0.0, 0.0, 0.0    -               -               -              0.0, 0.1, 0.3  -              0.0, 0.0, 0.0
trans/bi   -              -              -                0.0, 0.0, 0.1    -              0.0, 0.1, 0.9    -               -               -              60, 60, 60     60, 60, 60     60, 60, 60
trans/biu  -              -              -                0.0, 0.0, 0.1    -              0.0, 0.1, 0.9    -               -               -              0.0, 60, 60    60, 60, 60     0.0, 0.0, 0.0
trans/ef   -              -              -                0.0, 0.0, 0.0    -              0.0, 0.0, 0.0    -               -               -              0.0, 0.0, 60   0.0, 0.0, 0.0  0.0, 0.0, 0.0
trans/p    -              -              -                0.0, 0.0, 0.0    -              0.0, 0.0, 0.0    -               -               -              0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trans/zn   -              -              -                0.0, 0.0, 0.0    -              0.0, 0.0, 0.0    -               -               -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trans/znc  -              -              -                0.0, 0.0, 0.0    -              -                -               -               -              0.0, 0.0, 60   -              0.0, 0.0, 0.0
trim/ai    -              -              -                -                -              -                0.0, 0.0, 0.0   -               -              -              -              -
trim/bcd   0.1, 0.2, 0.5  0.1, 0.2, 0.4  0.0, 0.1, 0.2    0.8, 2.8, 5.8    -              0.8, 2.5, 4.8    0.0, 0.0, 0.0   -               -              -              -              0.2, 1.0, 2.1
trim/bci   0.1, 0.2, 0.5  0.1, 0.2, 0.4  0.0, 0.1, 0.2    0.7, 2.7, 5.0    -              0.8, 2.8, 5.1    0.0, 0.0, 0.0   -               -              -              -              0.2, 0.9, 2.1
trim/bcu   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.0    -              0.0, 0.0, 0.0    0.0, 0.0, 0.0   -               -              -              -              0.0, 0.0, 0.0
trim/bi    9.2, 60, 60    1.0, 10.8, 60  0.0, 0.0, 0.2    0.6, 20.5, 30.3  -              0.2, 0.4, 19.1   0.3, 0.6, 1.2   -               -              -              -              60, 60, 60
trim/biu   0.0, 0.0, 0.2  0.0, 0.0, 0.2  0.0, 0.0, 0.0    0.0, 0.5, 2.3    -              0.1, 1.2, 8.1    0.0, 0.0, 0.1   -               -              -              -              0.0, 0.0, 0.0
trim/ef    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.0    -              0.0, 0.0, 0.0    0.0, 0.0, 0.0   -               -              -              -              0.0, 0.0, 0.0
trim/p     0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.0    -              0.0, 0.0, 0.0    0.0, 0.0, 0.0   -               -              -              -              0.0, 0.0, 0.0
trim/zn    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.0    -              0.0, 0.0, 0.0    0.0, 0.0, 0.0   -               -              -              -              0.0, 0.0, 0.0
trim/znc   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.2    -              -                -               -               -              -              -              0.0, 0.0, 0.3
union/bcu  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0    0.0, 0.0, 0.0    -              0.0, 0.0, 0.0    0.0, 0.0, 0.0   0.0, 0.0, 0.0   -              0.1, 0.5, 1.0  -              0.0, 0.0, 0.0
union/biu  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.0    0.0, 0.2, 1.2    0.0, 0.0, 60   0.1, 1.0, 7.1    0.0, 0.1, 0.4   0.0, 0.2, 0.5   60, 60, 60     4.8, 60, 60    60, 60, 60     0.0, 0.3, 1.8
