name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-construction;automata-inclusion_check;automata-inclusion_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-inclusion;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-inclusion;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-rhs.mata;10.38; 0.115889; 0.0375387; 10.5892; 0.0016;13.26;0.1264362; 13.1348443000; False;0.08; 0.0656461; 0.0219383; 0.00129892; false;0.17; 0.122491; 0.036842;0.01654257; 0.0118042; false;17.93; 0.120804; 0.036791;0.00263092; 18.2843; false;0.93; 0.1063; 0.0000; 0.0023; False;TO;MISSING;MISSING;MISSING;MISSING;11.6; 0.1860; 10.5890; 0.0324; False;9.29;4.062634014; 0.1628332; false;6.69;0.10888345499999999; 3.087722268; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-rhs.mata;18.13; 0.127289; 0.042; 18.5440; 0.0016;9.71;0.1183277; 9.5353032000; False;0.08; 0.0687626; 0.0230734; 0.00136291; false;0.1; 0.0685177; 0.0224395;0.0090538; 0.0071329; false;30.54; 0.128798; 0.0391171;0.00277587; 31.5666; false;1.39; 0.1819; 0.0000; 0.0032; False;TO;MISSING;MISSING;MISSING;MISSING;12.86; 0.1027; 12.0049; 0.0223; False;7.56;3.377507919; 0.193265396; false;10.68;0.115927863; 5.865004091; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;1.28; 0.432539; 0.149399; 0.2989; 0.4572;1.06;0.49999170000000004; 0.4697682000; False;1.03; 0.724684; 0.153749; 0.261988; false;1.42; 0.810564; 0.271198;0.1624892; 0.165813; false;0.98; 0.444059; 0.150895;0.01239235; 0.376114; false;1.73; 0.6592; 0.0000; 0.2676; False;TO;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;5.59;1.594111209; 0.063626888; false;5.36;0.997109715; 0.438425152; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;1.55; 0.875676; 0.233503; 0.2463; 0.2747;0.59;0.2725719; 0.2846436000; False;1.56; 0.857443; 0.258702; 0.449328; false;1.1; 0.479908; 0.255614;0.1773999; 0.167199; false;1.26; 0.615555; 0.152263;0.01341163; 0.49833; false;1.82; 0.6604; 0.0000; 0.2800; False;TO;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;4.7;1.148997825; 0.11021562; false;5.63;0.741395502; 0.487600319; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;1.69; 1.03748; 0.234649; 0.3106; 0.3526;1.03;0.4545652; 0.4657088000; False;1.25; 0.818858; 0.238754; 0.213019; false;1.23; 0.797286; 0.196018;0.1041724; 0.143578; false;1.59; 0.805432; 0.24335;0.0226131; 0.530408; false;2.41; 1.0989; 0.0000; 0.3811; False;TO;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;5.17;1.543197466; 0.069980523; false;6.03;0.730925618; 0.538961986; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.15; 0.614938; 0.154655; 0.2620; 0.1816;1.61;0.49507369999999995; 1.0030428000; False;1.0; 0.506703; 0.209085; 0.27916; false;1.55; 0.847162; 0.266546;0.19808189999999998; 0.213473; false;1.28; 0.715127; 0.161956;0.01508457; 0.408435; false;2.72; 1.2246; 0.0000; 0.3098; False;TO;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;6.18;1.44954548; 0.076223757; false;7.43;0.865444139; 0.784610162; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;0.74; 0.447408; 0.176193; 0.1032; 0.0585;0.52;0.2898168; 0.1848056000; False;0.64; 0.478487; 0.133026; 0.055096; false;0.77; 0.445855; 0.137915;0.0907412; 0.0995343; false;0.78; 0.430958; 0.135785;0.01249246; 0.205578; false;2.27; 0.6698; 0.0000; 0.0686; False;TO;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;5.26;0.9937906719999999; 0.137532187; false;5.15;0.7481646500000001; 0.326296238; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;0.49; 0.262812; 0.100376; 0.0861; 0.0401;0.38;0.22059840000000003; 0.1280244000; False;0.71; 0.483444; 0.162994; 0.0747606; false;0.8; 0.464689; 0.159456;0.08910770000000001; 0.0982512; false;0.93; 0.483145; 0.170994;0.01518543; 0.273373; false;2.45; 0.7020; 0.0000; 0.0711; False;TO;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;5.48;1.003027736; 0.093541495; false;4.92;0.511382531; 0.287129739; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;0.88; 0.499013; 0.168285; 0.1345; 0.0648;0.32;0.1749858; 0.1113954000; False;0.65; 0.471589; 0.153117; 0.0550632; false;0.56; 0.272741; 0.111506;0.0650709; 0.0918103; false;1.01; 0.496437; 0.186582;0.01605552; 0.311155; false;2.42; 0.7200; 0.0000; 0.0716; False;TO;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;5.35;0.847975865; 0.111164985; false;5.03;0.44235285; 0.414119115; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;0.81; 0.522296; 0.148152; 0.1406; 0.0496;0.66;0.3654869; 0.3761300000; False;0.68; 0.535493; 0.143059; 0.051022; false;0.59; 0.357579; 0.100541;0.0588123; 0.0688634; false;0.85; 0.454688; 0.146569;0.01297456; 0.236811; false;2.44; 0.7461; 0.0000; 0.0614; False;TO;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;5.14;0.9880786579999999; 0.081408204; false;4.06;0.396784743; 0.412993334; false
