name;automata-runtime;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-complement;pyfado-trimming;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-complement;pyautomata-lib-trimming;pyautomata-lib-emptiness;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-22.mata;ERR;0.0; 0.000151991; 2.4362e-05; 9.945e-06; 3.503e-06; false;0.0; 0.00015123; 9.6465e-05; 6.8484e-05; 1.4653e-05; 1.2787e-05; false;0.0; 0.000128929; 1.2267e-05; 0.000667206; 0.000481054; 4.9371e-05; false;1.23; 0.0066; 0.0000; 0.0001; 0.0000; 0.0000; False;1.22; 0.0064; 0.0002; 0.0001; 0.0000; 0.0000; False;1.05; 0.0046; 0.0004; 0.0001; 0.0000; 0.0000; False;0.87; 0.057273758; 0.016626905; 0.001621839; false;0.93; 0.012978463; 0.002041981; 2.0331E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-23.mata;ERR;0.0; 0.000205197; 3.5175e-05; 5.071e-06; 3.005e-06; false;0.0; 0.000236895; 0.000146846; 0.000133427; 3.1665e-05; 2.8508e-05; false;0.0; 0.000193451; 2.1454e-05; 0.000698623; 0.000432276; 6.0425e-05; false;1.22; 0.0067; 0.0000; 0.0002; 0.0000; 0.0000; False;1.19; 0.0068; 0.0004; 0.0001; 0.0000; 0.0000; False;1.23; 0.0083; 0.0008; 0.0002; 0.0000; 0.0000; False;0.96; 0.111676422; 0.017970331; 0.004315559; false;0.79; 0.006135553; 0.0020507; 2.4159E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-24.mata;ERR;0.0; 0.000224576; 3.4321e-05; 5.876e-06; 4.481e-06; false;0.0; 0.000237331; 0.00014942; 0.00012706; 2.8282e-05; 2.7169e-05; false;0.0; 0.000213566; 1.6951e-05; 0.000769543; 0.000519635; 6.4987e-05; false;1.22; 0.0072; 0.0000; 0.0001; 0.0000; 0.0000; False;1.17; 0.0065; 0.0003; 0.0001; 0.0000; 0.0000; False;1.11; 0.0064; 0.0009; 0.0002; 0.0000; 0.0000; False;1.0; 0.067088989; 0.023670893; 0.002103868; false;1.0; 0.00839978; 0.002447408; 2.2777E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-25.mata;ERR;0.0; 9.9895e-05; 2.2763e-05; 4.11e-06; 3.583e-06; false;0.0; 8.3432e-05; 5.0755e-05; 4.3528e-05; 4.822e-06; 3.387e-06; false;0.0; 9.8083e-05; 8.82e-06; 0.000584579; 0.000451651; 3.8897e-05; false;1.13; 0.0044; 0.0000; 0.0000; 0.0000; 0.0000; False;1.24; 0.0062; 0.0001; 0.0001; 0.0000; 0.0000; False;1.18; 0.0056; 0.0004; 0.0001; 0.0000; 0.0000; False;1.02; 0.075698043; 0.024633529; 0.002852965; false;0.99; 0.013759234; 0.002556995; 3.8518E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-26.mata;ERR;0.0; 0.000149729; 2.326e-05; 9.52e-06; 3.314e-06; false;0.0; 0.000126425; 8.2804e-05; 7.1957e-05; 1.281e-05; 1.0686e-05; false;0.0; 0.00014918; 1.287e-05; 0.00067678; 0.000478863; 4.6219e-05; false;1.28; 0.0066; 0.0000; 0.0001; 0.0000; 0.0000; False;1.02; 0.0044; 0.0002; 0.0000; 0.0000; 0.0000; False;1.2; 0.0071; 0.0008; 0.0002; 0.0000; 0.0001; False;1.09; 0.087113702; 0.028973217; 0.002643933; false;1.02; 0.005825827; 0.002464667; 2.9168E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-27.mata;ERR;0.0; 0.000135269; 2.2064e-05; 3.56e-06; 2.615e-06; false;0.0; 0.000135117; 9.7914e-05; 8.0787e-05; 1.7974e-05; 1.5834e-05; false;0.0; 0.000152306; 1.2293e-05; 0.000585694; 0.000380907; 6.762e-05; false;0.99; 0.0158; 0.0000; 0.0001; 0.0000; 0.0000; False;1.27; 0.0070; 0.0004; 0.0001; 0.0000; 0.0000; False;1.08; 0.0057; 0.0008; 0.0002; 0.0000; 0.0000; False;0.89; 0.050652161; 0.018906962; 0.001565373; false;0.99; 0.009277804; 0.007449511; 3.5599E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-28.mata;ERR;0.0; 0.000229934; 3.5514e-05; 6.088e-06; 3.586e-06; false;0.0; 0.000215983; 0.000145656; 0.000127595; 4.0201e-05; 2.7672e-05; false;0.0; 0.000245617; 2.1757e-05; 0.000707202; 0.000498688; 6.5428e-05; false;1.15; 0.0047; 0.0000; 0.0001; 0.0000; 0.0000; False;1.1; 0.0046; 0.0002; 0.0001; 0.0000; 0.0000; False;1.12; 0.0056; 0.0009; 0.0002; 0.0000; 0.0000; False;1.1; 0.068885499; 0.032691452; 0.002174147; false;0.97; 0.009502399; 0.002497282; 3.2565E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-29.mata;ERR;0.0; 0.000117748; 2.1018e-05; 1.4537e-05; 3.696e-06; false;0.0; 9.6843e-05; 5.8098e-05; 3.4523e-05; 1.7868e-05; 4.995e-06; false;0.0; 8.8497e-05; 1.172e-05; 0.000556738; 0.000450089; 3.6549e-05; false;1.21; 0.0063; 0.0000; 0.0001; 0.0000; 0.0000; False;1.17; 0.0066; 0.0002; 0.0001; 0.0000; 0.0000; False;1.11; 0.0045; 0.0003; 0.0001; 0.0000; 0.0000; False;1.1; 0.115118709; 0.016259009; 0.01006945; false;0.91; 0.004901949; 0.002252331; 3.5202E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-3.mata;ERR;0.0; 0.000227275; 3.4716e-05; 5.271e-06; 3.716e-06; false;0.0; 0.000198072; 0.000143594; 0.000113674; 2.7384e-05; 2.5433e-05; false;0.0; 0.000196324; 1.7815e-05; 0.000752422; 0.000507824; 6.6065e-05; false;1.26; 0.0064; 0.0000; 0.0001; 0.0000; 0.0000; False;1.27; 0.0064; 0.0003; 0.0001; 0.0000; 0.0000; False;1.04; 0.0047; 0.0005; 0.0001; 0.0000; 0.0000; False;1.12; 0.074282931; 0.027508763; 0.007915819; false;0.98; 0.008732013; 0.002195176; 3.4432E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-30.mata;ERR;0.0; 8.5707e-05; 1.5883e-05; 6.305e-06; 2.106e-06; false;0.0; 0.000233378; 0.000117444; 6.4664e-05; 1.3748e-05; 1.1528e-05; false;0.0; 8.124e-05; 7.921e-06; 0.000383984; 0.00030212; 2.987e-05; false;0.94; 0.0070; 0.0000; 0.0001; 0.0000; 0.0000; False;1.02; 0.0064; 0.0002; 0.0000; 0.0000; 0.0000; False;1.23; 0.0063; 0.0006; 0.0001; 0.0000; 0.0000; False;0.89; 0.068706161; 0.018595289; 0.002139298; false;1.03; 0.006776857; 0.002229603; 2.6168E-5; false
