name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-construction;automata-intersection;automata-trim;automata-inclusion_check;automata-inclusion_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-inclusion_check;awali-inclusion_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-inclusion;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-trimming;pyfado-inclusion;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-trimming;pyautomata-lib-inclusion;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut29.mata;0.09; 0.0823494; 0.0163867; 0.0006; 0.0003;0.2;0.09512549999999999;0.016198100000000003; 0.0000902000; 0.0439673000; True;0.09; 0.0759894; 0.0229531;0.00010412099999999999;2.2902e-05; 8.789e-06; true;0.1; 0.0770243; 0.0253731;0.005811614000000001;0.00026967600000000005;0.00021854; 0.000360875; true;0.07; 0.0602878; 0.0161745;0.0006599900000000001;0.0006603010000000001;0.00042483099999999997; 0.0007453; true;1.09; 0.0607; 0.0000; 0.0002; 0.0000; 0.0000; True;1.46; 0.1181; 0.0257; 0.1081; 0.0000; 0.0003; True;1.0; 0.0704; 0.0155; 0.0002; 0.0000; 0.0001; True;1.57;0.18267788899999995;0.04423500599999999; 0.018297835; true;1.29;0.050812335;0.003584781; 0.001769005; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.09; 0.0739072; 0.020853; 0.0009; 0.0003;0.18;0.08651990000000001;0.012719900000000001; 0.0000894000; 0.0413901000; True;0.13; 0.103946; 0.0376914;0.000176603;2.6991000000000003e-05; 9.962e-06; true;0.12; 0.0895779; 0.0339284;0.015882317;0.000458262;0.00031831299999999997; 0.00644819; true;0.17; 0.106492; 0.0377993;0.003220074;0.0010244590000000001;0.000661188; 0.0260249; true;1.07; 0.0946; 0.0000; 0.0005; 0.0000; 0.0000; True;2.62; 0.1885; 1.1366; 0.1009; 0.0000; 0.0778; True;1.46; 0.1647; 0.1929; 0.0004; 0.0000; 0.0049; True;2.62;0.536913562;0.060057323; 0.033162327; true;1.95;0.155058425;0.015200137; 0.094562989; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.05; 0.0647556; 0.0103785; 0.0004; 0.0002;0.15;0.0630773;0.0089845; 0.0000547000; 0.0250163000; True;0.05; 0.0488771; 0.0161052;6.5003e-05;1.4727999999999999e-05; 7.624e-06; true;0.04; 0.026322; 0.010446;0.003295337;0.000148719;0.000110936; 0.000347793; true;0.06; 0.0455115; 0.0156618;0.000549998;0.000754395;0.000553499; 0.00120372; true;1.24; 0.0809; 0.0000; 0.0004; 0.0000; 0.0000; True;1.1; 0.0691; 0.0177; 0.0564; 0.0000; 0.0004; True;1.37; 0.0650; 0.0107; 0.0001; 0.0000; 0.0001; True;1.46;0.148867386;0.055544545; 0.031855677; true;1.33;0.068816005;0.0026747760000000002; 0.002570839; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut70.mata;0.08; 0.0661285; 0.0126903; 0.0030; 0.0030;0.21;0.0941132;0.07354839999999999; 0.0000870000; 0.0393826000; True;0.12; 0.100593; 0.0265099;0.002447274;0.000698993; 1.5828e-05; true;0.14; 0.101122; 0.0267081;0.008897987;0.009317268;0.008711206999999999; 0.00117267; true;0.14; 0.0985661; 0.0271766;0.001446591;0.006340751999999999;0.006648313999999999; 0.00180786; true;1.06; 0.1797; 0.0000; 0.0023; 0.0004; 0.0002; False;7.91; 0.0853; 0.2972; 6.8050; 0.0000; 0.0009; True;1.44; 0.1516; 0.0705; 0.0081; 0.0000; 0.0008; False;2.39;0.356621074;0.078924588; 0.013154629; true;1.76;0.075444503;0.065271877; 0.013522106; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut51.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.15; 0.118493; 0.0298289; 0.0033; 0.0026;0.24;0.1211744;0.031864; 0.0000887000; 0.0519140000; True;0.15; 0.164512; 0.05396;0.002112793;0.0007809399999999999; 8.295e-06; true;0.16; 0.118403; 0.0329985;0.013901122999999998;0.006249685;0.009724824; 0.00326321; true;0.15; 0.113878; 0.0320921;0.002072993;0.00493845;0.004692273; 0.00325323; true;1.36; 0.2592; 0.0000; 0.0039; 0.0007; 0.0006; False;11.62; 0.1730; 0.4137; 10.4813; 0.0000; 0.0009; True;1.44; 0.1682; 0.1002; 0.0082; 0.0000; 0.0132; False;2.39;0.3721403889999999;0.080417504; 0.023233963; true;1.57;0.089874174;0.053707339; 0.004160774; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata;0.25; 0.121969; 0.0236961; 0.1204; 0.0161;0.25;0.1010294;0.0455648; 0.0004257000; 0.0471769000; True;0.09; 0.0739025; 0.0315421;0.0060931679999999995;0.002312784; 0.00193946; true;0.17; 0.0880673; 0.0292379;0.028601932;0.048158866;0.031958402999999996; 0.0460828; true;0.11; 0.0918196; 0.0175018;0.0009017610000000001;0.007061754999999999;0.01020883; 0.00568548; true;0.94; 0.0886; 0.0000; 0.0005; 0.0001; 0.0001; True;1.33; 0.0856; 0.2899; 0.0133; 0.0000; 0.0002; True;1.52; 0.1549; 0.0820; 0.0016; 0.0000; 0.0005; True;2.26;0.29152643800000005;0.1580919; 0.0514829; true;1.58;0.08061866200000001;0.090418668; 0.004207721; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata;0.01; 0.0148308; 0.00290014; 0.0004; 0.0002;0.1;0.0411249;0.009835900000000002; 0.0000539000; 0.0230095000; True;0.02; 0.0225854; 0.0103837;0.00027228100000000003;4.0296e-05; 8.029e-06; true;0.03; 0.0207664; 0.0102369;0.002223969;0.000523229;0.000524378; 0.000264561; true;0.03; 0.0214913; 0.0102064;0.000387577;0.001042603;0.000853003; 0.000884874; true;1.07; 0.0293; 0.0000; 0.0003; 0.0000; 0.0001; False;0.87; 0.0242; 0.0052; 0.0043; 0.0000; 0.0001; True;0.98; 0.0282; 0.0071; 0.0005; 0.0000; 0.0002; False;1.25;0.118888821;0.039342807; 0.012435727; true;1.16;0.027544915;0.003800876; 0.001040732; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.03; 0.0304011; 0.0043696; 0.0013; 0.0009;0.19;0.089564;0.0198629; 0.0000859000; 0.0432974000; True;0.05; 0.0555529; 0.0147126;0.001336356;0.000304641; 1.9645e-05; true;0.07; 0.0503663; 0.0153727;0.002280791;0.0034255139999999997;0.0048807880000000005; 0.00165191; true;0.06; 0.0610379; 0.0136548;0.00041372399999999997;0.00267314;0.002331077; 0.00113097; true;1.18; 0.0725; 0.0000; 0.0006; 0.0001; 0.0003; True;1.19; 0.0794; 0.0161; 0.0756; 0.0000; 0.0004; True;1.03; 0.0471; 0.0088; 0.0004; 0.0000; 0.0001; False;1.41;0.12605736599999998;0.060331979; 0.007978288; true;1.16;0.024614260999999995;0.011209251; 0.002175871; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.05; 0.0462505; 0.00520463; 0.0002; 0.0001;0.2;0.0900609;0.0146987; 0.0000780000; 0.0516515000; True;0.07; 0.0648703; 0.016364;0.000223936;4.9547e-05; 1.0635e-05; true;0.07; 0.0624105; 0.0156912;0.002207234;0.000402297;0.0006647980000000001; 0.000514725; true;0.08; 0.0643504; 0.0166421;0.000405753;0.001065157;0.001016985; 0.00172868; true;1.19; 0.0517; 0.0000; 0.0004; 0.0000; 0.0001; False;1.46; 0.0903; 0.0151; 0.0679; 0.0000; 0.0007; True;1.26; 0.0848; 0.0125; 0.0006; 0.0000; 0.0002; False;1.34;0.24953508700000002;0.082491275; 0.017521335; true;1.16;0.027662889999999996;0.00626019; 0.005121295; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.61; 0.491811; 0.149502; 0.0458; 0.0308;0.35;0.2551631;0.0208051; 0.0000918000; 0.0446409000; True;0.59; 0.495329; 0.141206;0.008140738;0.001278035; 8.452e-06; true;0.83; 0.487697; 0.142666;0.094012643;0.023695287;0.059137760000000004; 0.0716613; true;1.03; 0.259285; 0.0851075;0.005820981;0.007642042;0.00889031; 0.69571; true;1.76; 0.6830; 0.0000; 0.0023; 0.0002; 0.0007; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.179284033;MISSING;MISSING;MISSING;3.5;0.24651752;0.029344882000000003; 0.45014876; true
