name;mata-runtime;mata-mataparsing;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-brics-runtime;java-brics-construction;java-brics-interall;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-intersection;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-interall;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06020-*.mata;0.01;0.014712;4.2e-05;3.7999999999999995e-05;1e-06; true;0.017849;0.02; 0.014386;0.007908;8.899999999999998e-05;4.6e-05; 1e-06; true; 0.024678;0.02; 0.014757;0.000797;0.000599;0.000446; 2.3e-05; true; 0.019508;1.3; 0.0413; 0.0195; 0.1000; 0.0053; 0.0000; True; 0.1054; 0.1667;1.03; 0.0293; 0.0131; 0.0006; 0.0001; 0.0002; True; 0.0008; 0.0437;1.36;0.07396319;0.002487472;2.2447e-05; true;0.017772565;0.331106929;0.02;0.022078;0.0018960000000000003;6.8e-05;7.599999999999999e-05;2e-06; true;0.029891;0.84;0.1278908;0.0065655;0.0135472;0.0001817; True;0.022495;0.237482;2.12;0.124436713;0.132793491; 0.075759085; 0.002792996; true; 0.235763715; 0.574823898
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06021-*.mata;0.01;0.010263;5.9999999999999995e-05;4.4999999999999996e-05;2e-06; true;0.012651;0.01; 0.010039;0.0054;9.099999999999999e-05;5.4000000000000005e-05; 1e-06; true; 0.01725;0.01; 0.010528;0.0005580000000000001;0.000554;0.000408; 3.3e-05; true; 0.014328;1.22; 0.0420; 0.0120; 0.0688; 0.0043; 0.0000; True; 0.0732; 0.1276;1.24; 0.0387; 0.0186; 0.0007; 0.0002; 0.0003; True; 0.0011; 0.0589;1.46;0.121296461;0.002994607;3.2147e-05; true;0.009329949;0.327174411;0.02;0.013636;0.0032530000000000002;0.000193;5.4000000000000005e-05;2e-06; true;0.021481;0.88;0.0655547;0.0090594;0.0145096;0.0003101; True;0.0262727;0.1856427;1.82;0.091354317;0.200888448; 0.054790918; 0.002553007; true; 0.265327264; 0.562505748
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06026-*.mata;0.01;0.014829;0.000103;4.1e-05;3e-06; true;0.018497;0.02; 0.015693;0.008400000000000001;0.000107;5.6e-05; 1e-06; true; 0.026879;0.02; 0.015358;0.000715;0.000706;0.00053; 2.3e-05; true; 0.020607;1.17; 0.0311; 0.0125; 0.0337; 0.0027; 0.0000; True; 0.0365; 0.0805;1.21; 0.0200; 0.0080; 0.0005; 0.0001; 0.0002; True; 0.0007; 0.0290;1.38;0.068861247;0.015704589;4.1875e-05; true;0.029383415;0.336054134;0.01;0.007991;0.001532;8.4e-05;2.5e-05;1e-06; true;0.011413;0.84;0.0364030999999999;0.0117441;0.0100891;0.0002581; True;0.024481;0.109171;1.74;0.056818738;0.138132472; 0.043490932; 0.002304646; true; 0.189996795; 0.426086915
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06027-*.mata;0.02;0.020714; 0.000719; 0.000147;0.000137; false;0.026223;0.04; 0.021347;0.011533; 0.002897; 0.002458; 0.002138; false; 0.043444;0.03; 0.020899;0.001276; 0.001791; 0.001568; 0.00087; false; 0.030537;1.13; 0.0274; 0.0083; 0.0140; 0.0018; 0.0330; False; 0.0489; 0.0850;1.32; 0.0721; 0.0281; 0.0246; 0.0131; 0.0133; False; 0.0380; 0.1394;1.36;0.05435601;0.028358767;3.754e-05; false;0.04921344;0.348345447;0.02;0.020986; 0.002917; 0.00041; 9.8e-05;7.4e-05; false;0.028376;0.87;0.0491683;0.0084068; 0.0153209000;0.0002852; False;0.0265739;0.1279849;1.77;0.072049052;0.15050260499999998; 0.067192724; 0.002512774; false; 0.236205424; 0.535659876
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06030-*.mata;0.01;0.015626;4.1e-05;1.8e-05;8.2e-05; false;0.019077;0.02; 0.015974;0.008714;9.300000000000001e-05;5.6000000000000006e-05; 2.1e-05; false; 0.027437;0.02; 0.016888;0.001042;0.000899;0.000723; 8.7e-05; false; 0.023467;1.23; 0.0340; 0.0089; 0.0595; 0.0085; 0.0001; False; 0.0682; 0.1122;1.25; 0.0348; 0.0178; 0.0018; 0.0008; 0.0009; False; 0.0028; 0.0559;1.23;0.099918691;0.003348479;3.5972e-05; false;0.010219393;0.344808011;0.0;0.00849;0.00020899999999999998;2.4e-05;1.3000000000000001e-05;2.4e-05; false;0.010393;0.87;0.0875171999999999;0.0092445;0.014228;0.0002701; False;0.0261601;0.1905474;1.68;0.055698091;0.133317579; 0.035566325; 0.002207714; false; 0.181931855; 0.376723274
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06031-*.mata;0.02;0.023397;5.8e-05;1.7e-05;2e-06; true;0.028269;0.04; 0.023029;0.013499;0.000166;8.9e-05; 1e-06; true; 0.040555;0.03; 0.023569;0.0013520000000000001;0.00088;0.000679; 2.6e-05; true; 0.031342;1.29; 0.0364; 0.0189; 0.0603; 0.0088; 0.0000; True; 0.0691; 0.1250;1.03; 0.0402; 0.0221; 0.0014; 0.0002; 0.0003; True; 0.0017; 0.0645;1.38;0.08265773;0.002458875;2.5135e-05; true;0.009918078;0.277981949;0.01;0.011912;0.0005909999999999999;3.8e-05;9e-06;2e-06; true;0.0149;0.91;0.0825642;0.0196124;0.0158347;0.0002956; True;0.0407647;0.1989592;2.07;0.090154854;0.131015055; 0.06767703; 0.00239632; true; 0.208726812; 0.487174704
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06036-*.mata;0.01;0.017965;0.00039400000000000004;0.000111;3e-06; true;0.022369;0.02; 0.015147;0.00838;0.001469;0.0014449999999999999; 2e-06; true; 0.029145;0.02; 0.01695;0.001103;0.001269;0.0010010000000000002; 2.3e-05; true; 0.023976;1.55; 0.0324; 0.0060; 0.3672; 0.0077; 0.0000; True; 0.3750; 0.4140;1.13; 0.0407; 0.0184; 0.0126; 0.0002; 0.0003; True; 0.0129; 0.0726;1.22;0.10072358;0.003703937;2.7803e-05; true;0.01315213;0.343004702;0.01;0.010362;0.0014520000000000002;0.000271;0.000127;2e-06; true;0.014424;0.93;0.0596233999999999;0.0095328;0.015125;0.0002693; True;0.0280987;0.1942242;1.85;0.084598525;0.18282968099999997; 0.080354467; 0.002258958; true; 0.287514502; 0.685942872
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06040-*.mata;0.06;0.051955;0.000288;3.3e-05;3e-06; true;0.064017;0.09; 0.054075;0.031359;0.0007009999999999999;0.000425; 1e-06; true; 0.095233;0.06; 0.053286;0.003524;0.001192;0.000741; 4e-05; true; 0.067917;1.25; 0.0583; 0.0222; 0.1214; 0.0056; 0.0000; True; 0.1271; 0.2085;1.1; 0.0502; 0.0258; 0.0027; 0.0001; 0.0002; True; 0.0029; 0.0796;1.68;0.1934547999999999;0.003614204;2.2883e-05; true;0.0093333;0.676868107;0.03;0.028613;0.002948;0.000205;5.4e-05;1e-06; true;0.037895;0.89;0.0600804999999999;0.0084604999999999;0.015407700000000002;0.0002169; True;0.0268727;0.1444557;2.74;0.111878417;0.212878568; 0.159726363; 0.002371678; true; 0.382933816; 0.775318345
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06041-*.mata;0.0;0.002934; 2.9e-05; 1e-05;1.9e-05; false;0.003668;0.0; 0.002826;0.0015010000000000002; 7.4e-05; 7e-05; 4.8e-05; false; 0.005099;0.01; 0.002971;0.00018600000000000002; 0.000742; 0.000719; 9.5e-05; false; 0.006219;1.08; 0.0071; 0.0009; 0.0016; 0.0006; 0.0005; False; 0.0028; 0.0109;1.23; 0.0118; 0.0036; 0.0009; 0.0013; 0.0015; False; 0.0024; 0.0181;1.03;0.0251046409999999;0.003284805;2.7271e-05; false;0.009863796;0.169573655;0.0;0.001599; 0.00014; 3e-05; 7e-06;1.2e-05; false;0.002163;0.85;0.0282084;0.0058611; 0.0089299000;0.0002622; False;0.0172304;0.1043901;1.32;0.035118982;0.07778011; 0.041406688; 0.00872059; false; 0.134665656; 0.301435108
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06046-*.mata;0.02;0.016375;7.2e-05;2.4999999999999998e-05;2e-06; true;0.020045;0.02; 0.015519;0.008860999999999999;0.000187;6.1e-05; 2e-06; true; 0.027326;0.02; 0.014981;0.000988;0.0009459999999999999;0.000707; 4e-05; true; 0.02137;1.48; 0.0436; 0.0198; 0.2503; 0.0105; 0.0000; True; 0.2609; 0.3247;1.27; 0.0372; 0.0176; 0.0010; 0.0002; 0.0003; True; 0.0013; 0.0566;1.2;0.0873222709999999;0.004442604;2.424e-05; true;0.011423942;0.340490311;0.01;0.008427;0.000212;4.3e-05;2.6000000000000002e-05;2e-06; true;0.010358;0.89;0.0830493;0.0099473;0.014407199999999998;0.00027; True;0.0277052;0.1771684;1.77;0.08079959;0.141835241; 0.044742262; 0.002349669; true; 0.195884299; 0.491392942
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06047-*.mata;0.0;0.002745;3.7999999999999995e-05;1.6e-05;1e-06; true;0.003644;0.0; 0.002645;0.0017419999999999998;5.1e-05;3.6e-05; 1e-06; true; 0.005154;0.0; 0.002581;0.000201;0.000748;0.000605; 2.1e-05; true; 0.005745;1.09; 0.0082; 0.0012; 0.0440; 0.0044; 0.0000; True; 0.0485; 0.0581;1.2; 0.0109; 0.0036; 0.0014; 0.0002; 0.0002; True; 0.0017; 0.0165;1.18;0.036498396;0.003517408;3.3756e-05; true;0.012112892;0.221300031;0.0;0.001587;0.000332;3.2999999999999996e-05;1e-05;1e-06; true;0.002387;0.85;0.0412888;0.0093379999999999;0.0170756;0.0002891; True;0.0291645;0.1409376;1.67;0.050474538;0.197802732; 0.113352887; 0.002557302; true; 0.325217605; 0.470792818
