name;automata-old-runtime;automata-old-construction;automata-old-trim;automata-old-compl;automata-old-emptiness_check;automata-old-emptiness_result;automata-old-interpretation;automata-old-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-compl;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.12; 0.0938102000;0.009048; 0.0064208000; 0.0001710000; False; 0.0181900000; 0.1646023000;0.66; 0.0224837000;0.0059333; 0.0042898000; 0.0001583000; False; 0.0122728000; 0.0689342000;1.01; 0.017707063; 0.049798225; 0.014833895; 0.001799226; false; 0.072655526; 0.158083399
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.1; 0.0431016000;0.0223953; 0.0061721000; 0.0001671000; False; 0.0440848000; 0.1516626000;0.79; 0.0312203000;0.0066673; 0.0045799000; 0.0001107000; False; 0.0135395000; 0.0951546000;1.0; 0.017178632; 0.074150597; 0.029133492; 0.005530737; false; 0.116168023; 0.208886639
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.1; 0.0359298000;0.0089531; 0.0065643000; 0.0001695000; False; 0.0182160000; 0.0993562000;0.74; 0.0460876000;0.009475299999999999; 0.0067654000; 0.0001824000; False; 0.0215986000; 0.1402366000;1.13; 0.012720659; 0.06809964; 0.023885065; 0.002891445; false; 0.10337962; 0.21736523
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.08; 0.0281011000;0.0077072; 0.0045449000; 0.0001664000; False; 0.0145002000; 0.0842466000;0.76; 0.0373765000;0.0094714; 0.0069753000; 0.0001835000; False; 0.0194036000; 0.1116503000;0.94; 0.015423538; 0.045122271; 0.010803348; 0.001486062; false; 0.062096914; 0.144184594
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.12; 0.0624236000;0.0091135; 0.0041120000; 0.0001377000; False; 0.0159154000; 0.1592372000;0.85; 0.0353405000;0.0094973; 0.0070885000; 0.0001879000; False; 0.0193919000; 0.1126670000;1.04; 0.015484382; 0.057424566; 0.039639733; 0.007467757; false; 0.109920479; 0.192458586
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.12; 0.0376320000;0.0090338; 0.0064658000; 0.0001987000; False; 0.0181908000; 0.1153565000;0.82; 0.0575672000;0.0131545; 0.0075534000; 0.0001982000; False; 0.0235660000; 0.1464963000;1.01; 0.014539222; 0.082362298; 0.013881459; 0.001777755; false; 0.113660774; 0.191721768
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.11; 0.0524900000;0.0173454; 0.0065910000; 0.0001760000; False; 0.0268782000; 0.1452979000;0.85; 0.0361731000;0.0089109; 0.0064617000; 0.0002038000; False; 0.0182302000; 0.1059918000;1.13; 0.01495219; 0.080769069; 0.017859699; 0.002300462; false; 0.108287278; 0.204453529
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.1; 0.0234717000;0.0077022; 0.0063837000; 0.0002269000; False; 0.0168609000; 0.1195687000;0.83; 0.0593407000;0.0117059; 0.0076545000; 0.0001951000; False; 0.0223676000; 0.1488139000;0.94; 0.015453414; 0.048369997; 0.01596574; 0.001302706; false; 0.070992975; 0.165020188
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.11; 0.0352511000;0.008767; 0.0072001000; 0.0001927000; False; 0.0185825000; 0.1078204000;0.82; 0.0383060000;0.0092043; 0.0065534000; 0.0001723000; False; 0.0185240000; 0.1226844000;1.04; 0.015203377; 0.042956386; 0.014286299; 0.001973343; false; 0.065953455; 0.149325049
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.12; 0.0381945000;0.0093711; 0.0063964000; 0.0001097000; False; 0.0184373000; 0.1134859000;0.84; 0.0337205000;0.009064500000000001; 0.0069047000; 0.0001574000; False; 0.0317267000; 0.1159477000;1.0; 0.015064757; 0.045414073; 0.01512907; 0.001931665; false; 0.068964874; 0.152280239
