name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-compl;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-old-runtime;java-automatalib-old-construction;java-automatalib-old-compl;java-automatalib-old-emptiness_check;java-automatalib-old-emptiness_result;java-automatalib-old-interpretation;java-automatalib-old-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-5.mata;0.08; 0.0215420000;0.0054549; 0.0039282000; 0.0001142000; False; 0.0112706000; 0.0662330000;0.0; 8.6e-05; 1.9e-05; 6e-06; 2e-06; false; 0.000252;0.0; 5.7e-05; 4.2e-05; 2.9e-05; 5e-06; 3e-06; false; 0.000253;0.0; 5.8e-05; 8e-06; 0.000488; 0.000404; 2.8e-05; false; 0.001671;0.48; 9.3e-05; 5e-06; 1e-05; false; 0.000411;1.02; 0.0046; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0048;1.16; 0.0057; 0.0001; 0.0001; 0.0002; 0.0000; 0.0000; False; 0.0002; 0.0062;1.13; 0.0058; 0.0002; 0.0003; 0.0004; 0.0001; False; 0.0005; 0.0067;1.09; 0.059673565; 0.017481607; 0.002275814; false; 0.027346402; 0.158135035;0.92; 0.007648962; 0.002071378; 2.275E-5; false; 0.008972014; 0.077914701
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-6.mata;0.09; 0.0334705000;0.0181162; 0.0140135000; 0.0001944000; False; 0.0348957000; 0.1228685000;0.0; 5.8e-05; 1.4e-05; 4e-06; 1e-06; false; 0.00016;0.0; 5.5e-05; 4.3e-05; 2.7e-05; 3e-06; 2e-06; false; 0.000224;0.0; 5.7e-05; 8e-06; 0.000451; 0.000358; 2.4e-05; false; 0.001547;0.31; 9.1e-05; 5e-06; 1e-05; false; 0.00038;1.16; 0.0062; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0065;1.25; 0.0061; 0.0001; 0.0001; 0.0002; 0.0000; 0.0000; False; 0.0002; 0.0066;1.02; 0.0042; 0.0001; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0047;1.1; 0.063100659; 0.023311447; 0.00302526; false; 0.035109178; 0.179124158;0.93; 0.006001256; 0.002405548; 3.0008E-5; false; 0.011332961; 0.090491411
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-7.mata;0.11; 0.0622147000;0.0056533; 0.0041930000; 0.0001217000; False; 0.0119089000; 0.1433289000;0.0; 5.8e-05; 1.4e-05; 4e-06; 1e-06; false; 0.000173;0.0; 8.6e-05; 5.6e-05; 4.1e-05; 8e-06; 6e-06; false; 0.000397;0.0; 6.2e-05; 1e-05; 0.00049; 0.000366; 2.5e-05; false; 0.001634;0.31; 5.7e-05; 4e-06; 7e-06; false; 0.00025;0.93; 0.0043; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0045;1.16; 0.0065; 0.0001; 0.0001; 0.0002; 0.0000; 0.0000; False; 0.0003; 0.0071;0.97; 0.0061; 0.0001; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0067;1.03; 0.062772796; 0.015467048; 0.001980345; false; 0.029954503; 0.181414975;0.91; 0.006056678; 0.002592603; 3.4463E-5; false; 0.010646514; 0.090025649
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-8.mata;0.13; 0.0360205000;0.0092113; 0.0062579000; 0.0001751000; False; 0.0184438000; 0.1083915000;0.0; 8.9e-05; 2e-05; 6e-06; 2e-06; false; 0.000267;0.0; 8.3e-05; 5.8e-05; 4.2e-05; 7e-06; 5e-06; false; 0.000369;0.0; 9.3e-05; 1.4e-05; 0.000686; 0.000581; 4.1e-05; false; 0.002398;0.5; 6.7e-05; 4e-06; 7e-06; false; 0.000287;1.18; 0.0066; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0069;1.15; 0.0058; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0062;1.18; 0.0163; 0.0001; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0168;0.8; 0.050007316; 0.014887422; 0.002022913; false; 0.023462376; 0.135658751;0.81; 0.00487115; 0.002407664; 2.2594E-5; false; 0.009330782; 0.085666952
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-9.mata;0.07; 0.0217772000;0.0056424000000000005; 0.0043330000; 0.0001227000; False; 0.0119869000; 0.0673868000;0.0; 5.5e-05; 1.4e-05; 4e-06; 1e-06; false; 0.000181;0.0; 5.5e-05; 4e-05; 2.7e-05; 4e-06; 3e-06; false; 0.000237;0.0; 0.000101; 1.5e-05; 0.000651; 0.000524; 4.2e-05; false; 0.002318;0.52; 8.2e-05; 7e-06; 1.5e-05; false; 0.000433;0.98; 0.0043; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0045;1.23; 0.0140; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0144;1.08; 0.0062; 0.0002; 0.0003; 0.0004; 0.0001; False; 0.0006; 0.0072;1.03; 0.093683951; 0.016944477; 0.009372552; false; 0.032743306; 0.200079191;0.87; 0.006832391; 0.002309215; 3.4161E-5; false; 0.011264847; 0.096778025
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03005-1.mata;0.12; 0.0340736000;0.0090059; 0.0063072000; 0.0001893000; False; 0.0181383000; 0.1035823000;0.0; 9.7e-05; 1.9e-05; 6e-06; 3e-06; false; 0.000267;0.0; 9e-05; 5.3e-05; 3.8e-05; 7e-06; 5e-06; false; 0.000339;0.0; 8.1e-05; 1.3e-05; 0.000594; 0.000458; 3.4e-05; false; 0.002046;0.49; 8.2e-05; 4e-06; 9e-06; false; 0.000317;1.21; 0.0062; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0065;1.09; 0.0062; 0.0001; 0.0001; 0.0002; 0.0000; 0.0000; False; 0.0002; 0.0067;1.04; 0.0071; 0.0001; 0.0002; 0.0003; 0.0000; False; 0.0003; 0.0077;1.11; 0.065118759; 0.018566253; 0.002208529; false; 0.027726624; 0.205396482;0.78; 0.004660336; 0.001776993; 2.2811E-5; false; 0.007432003; 0.066601451
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03140-1.mata;0.12; 0.0338497000;0.0087229; 0.0065190000; 0.0001906000; False; 0.0180953000; 0.1569251000;0.0; 8.1e-05; 1.9e-05; 6e-06; 2e-06; false; 0.000243;0.0; 8.6e-05; 5.8e-05; 4.1e-05; 7e-06; 5e-06; false; 0.00039;0.0; 8.5e-05; 1.5e-05; 0.000728; 0.000581; 4.1e-05; false; 0.002504;0.56; 9e-05; 5e-06; 1.2e-05; false; 0.000367;1.19; 0.0062; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0065;1.21; 0.0067; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0071;1.01; 0.0047; 0.0001; 0.0002; 0.0003; 0.0000; False; 0.0004; 0.0053;1.1; 0.092685422; 0.019512031; 0.001826972; false; 0.027336908; 0.192536559;0.73; 0.003943058; 0.001531899; 1.6654E-5; false; 0.006188767; 0.059318818
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-1.mata;0.12; 0.0371869000;0.0086028; 0.0062145000; 0.0001852000; False; 0.0175782000; 0.1543228000;0.0; 9.1e-05; 2e-05; 7e-06; 2e-06; false; 0.000274;0.0; 8.4e-05; 5.7e-05; 4.1e-05; 6e-06; 5e-06; false; 0.000346;0.0; 9.1e-05; 1e-05; 0.000764; 0.000605; 4e-05; false; 0.002563;0.48; 8.2e-05; 5e-06; 1.1e-05; false; 0.000362;1.26; 0.0062; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0066;0.94; 0.0047; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0050;1.21; 0.0062; 0.0002; 0.0003; 0.0004; 0.0000; False; 0.0005; 0.0070;0.94; 0.050289612; 0.013844563; 0.002203218; false; 0.022232422; 0.129614154;0.99; 0.006069289; 0.002302998; 3.2506E-5; false; 0.010320428; 0.108435578
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-2.mata;0.12; 0.0348924000;0.0086549; 0.0062176000; 0.0001981000; False; 0.0176951000; 0.1044344000;0.0; 8.4e-05; 2e-05; 6e-06; 2e-06; false; 0.000262;0.0; 9.3e-05; 5.6e-05; 3.8e-05; 7e-06; 1e-05; false; 0.000371;0.0; 8.2e-05; 1e-05; 0.000656; 0.000507; 3.4e-05; false; 0.002199;0.5; 9.2e-05; 5e-06; 1.1e-05; false; 0.000373;1.02; 0.0044; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0046;0.95; 0.0045; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0048;1.18; 0.0063; 0.0001; 0.0002; 0.0004; 0.0001; False; 0.0004; 0.0070;1.09; 0.096445202; 0.050284082; 0.005420005; false; 0.085505941; 0.291833113;0.91; 0.006390833; 0.00213094; 2.833E-5; false; 0.009589034; 0.088879497
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-3.mata;0.12; 0.0348410000;0.0087684; 0.0063479000; 0.0001759000; False; 0.0180336000; 0.1043683000;0.0; 8.8e-05; 2e-05; 6e-06; 2e-06; false; 0.000271;0.0; 8.7e-05; 5.8e-05; 4.1e-05; 8e-06; 6e-06; false; 0.000368;0.0; 8.9e-05; 9e-06; 0.000663; 0.000518; 3.9e-05; false; 0.002286;0.5; 9.7e-05; 5e-06; 1.1e-05; false; 0.000367;1.25; 0.0065; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0068;1.03; 0.0057; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0061;1.23; 0.0058; 0.0002; 0.0003; 0.0004; 0.0001; False; 0.0004; 0.0066;0.95; 0.052789814; 0.017044193; 0.001940013; false; 0.024851719; 0.138940313;0.9; 0.00425321; 0.002490754; 3.2681E-5; false; 0.016017398; 0.091210405
