name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-intersection;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.03;0.026068;0.011464;0.002655;0.001487;1.3e-05; false;0.044501;0.05; 0.026843; 0.010922;0.001513; 0.009619; 0.013362; 0.003555; false; 0.068217;0.05;0.018476;0.010255;0.000259;0.006638;0.011199;0.003138; false;0.05323;3.94; 0.0277; 0.0018; 2.9477; 0.1168; 0.0003; False; 3.0649; 3.0947;TO;1.22;0.037870777;0.055986568;2.3035e-05; false;0.062639387;0.203116806;0.02;0.013559;0.01049;0.001726;0.000857;0.000451;1e-05; false;0.029162;0.91;0.0620541;0.0098991999999999;0.0389482;0.0003259; False;0.0518554;0.170109;TO;0.052312342
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.08;0.051337;0.016475;0.011355;0.006664;2.3e-05; false;0.088116;0.17; 0.050377; 0.015189;0.002728; 0.050755; 0.069855; 0.000393; false; 0.191184;0.17;0.051253;0.015487;0.0004579999999999;0.030736;0.05702;0.016451; false;0.174317;46.73; 0.0469; 0.0042; 46.3554; 1.9343; 0.0010; False; 48.2908; 48.3421;TO;1.75;0.036540432;0.262969648;4.5534e-05; false;0.2703341;0.467313861;0.08;0.06451;0.01679;0.006279;0.005265;0.002771;2.2e-05; false;0.098409;0.94;0.0262931;0.0085197;0.1198681;0.0003196; False;0.1307266;0.1984915;TO;0.070800741
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;2.01;0.400783;0.087274;1.13428;0.660333;0.00055; false;2.30656;21.85; 0.521166; 0.13432;0.037467; 10.6132; 9.06461; 2.43587; false; 22.8237;20.58;0.486495;0.133521;0.005111;7.29151;9.95168;2.11405; false;20.0008;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;44.09;0.212944085;20.442635525;0.000220333; false;20.465221604;20.876934468;2.36;0.521823;0.12494;0.000953;1.48643;0.503158;0.000256; false;2.66315;29.4;0.06012;0.0090658;30.2006621;0.0003692; False;30.2120026;30.3310884;TO;0.128181488
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.13;0.079429;0.023217;0.02687;0.016059;3.3e-05; false;0.148954;0.49; 0.079821; 0.024851;0.004763; 0.193696; 0.209936; 0.001065; false; 0.517555;0.4;0.077027;0.022865;0.00075;0.083954;0.158228;0.044949; false;0.391873;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;2.15;0.043883414;0.390526769;7.228e-05; false;0.443061915;0.686713628;0.07;0.052951;0.014191;0.00865;0.005579;0.004367;1.9e-05; false;0.087794;1.08;0.0265058;0.0082128;0.3023912;0.0002438; False;0.3126736;0.3891822;TO;0.080952167
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.2;0.105015;0.030775;0.049565;0.033322;4.7e-05; false;0.223141;0.72; 0.104275; 0.029262;0.00607; 0.298393; 0.325448; 0.001035; false; 0.768133;0.66;0.10562;0.03095;0.001017;0.166391;0.285115;0.064967; false;0.659687;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;3.08;0.0594893499999999;0.869445257;4.7012e-05; false;0.892166482;1.146890027;0.15;0.080803;0.017071;0.025334;0.021843;0.012895;2.7e-05; false;0.162026;1.63;0.0460088;0.0103744;0.5841695;0.0003457; False;0.5977522;0.7006413;TO;0.060136907
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.26;0.135541;0.040947;0.095763;0.053497;9.1e-05; false;0.331784;1.25; 0.138355; 0.040457;0.00816; 0.682686; 0.630389; 0.001063; false; 1.50579;1.16;0.129163;0.035763;0.001296;0.320812;0.55415;0.12397; false;1.17146;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;3.61;0.046683949;1.712974109;5.0618e-05; false;1.737017272;1.979205149;0.18;0.123312;0.02166;0.02928;0.017222;0.015009;2.5e-05; false;0.209354;1.93;0.0496299;0.0105759;0.9664614;0.0002983; False;0.9802647;1.0894479;TO;0.074313063
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;0.38;0.161808;0.04489;0.152035;0.071575;9.3e-05; false;0.43683;1.48; 0.155994; 0.042106;0.009187; 0.744658; 0.710198; 0.002098; false; 1.66921;1.29;0.088254;0.028356;0.000884;0.369914;0.61167;0.183423; false;1.28743;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;5.04;0.152302836;1.790845236;3.2062e-05; false;1.814249065;2.254391247;0.34;0.16394;0.040438;0.065512;0.055799;0.03278;7e-05; false;0.363733;2.38;0.0328766;0.00709;1.4378126;0.0003877; False;1.4473262;1.5178699;TO;0.061209559
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;0.45;0.176083;0.045883;0.252158;0.110816;0.00013; false;0.592349;2.52; 0.201919; 0.049859;0.011873; 1.59203; 1.21069; 0.00272; false; 3.07573;2.33;0.169518;0.047117;0.001475;0.605503;1.13101;0.264265; false;2.22652;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;6.05;0.136239318;2.151619235;4.2317e-05; false;2.158802927;2.454234258;0.25;0.10229;0.030976;0.062449;0.036287;0.031704;7.4e-05; false;0.267949;2.57;0.0383267;0.0068896;1.9812034;0.0002591; False;1.9903396;2.074356;TO;0.054257843
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;0.58;0.355686;0.067803;0.535656;0.198921;9.6e-05; false;1.16938;3.3; 0.355303; 0.071763;0.013351; 2.52377; 1.64342; 0.004344; false; 4.61852;2.39;0.205266;0.05161;0.001071;0.769602;1.05483;0.280658; false;2.36928;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;7.23;0.079155218;2.717268618;3.3219e-05; false;2.725229892;2.966721366;0.52;0.200253;0.056593;0.139422;0.100273;0.049814;8.9e-05; false;0.554952;3.26;0.0389013;0.0122773;2.4031578;0.000377; False;2.418963;2.5011775;TO;0.08764728
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;0.63;0.226832;0.054692;0.286113;0.139967;0.000165; false;0.717907;4.42; 0.255559; 0.067683;0.014339999999999999; 4.33315; 2.83039; 0.004196; false; 7.51598;3.38;0.16372;0.039536;0.001334;1.21674;1.65089;0.344583; false;3.42334;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;9.28;0.065913535;6.762252026;7.7647e-05; false;6.861014367;7.133811156;0.57;0.225217;0.055771;0.169552;0.092423;0.051614;4e-05; false;0.602373;4.95;0.0605338;0.0122011;4.0879857;0.0003516; False;4.1046457;4.2298395;TO;0.094274178
