name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.12; 0.060365; 0.023332; 0.043802; 0.000771; false; 0.132635
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.14; 0.066315; 0.027719; 0.053483; 0.000773; false; 0.153755
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.13; 0.069236; 0.031051; 0.04372; 0.000737; false; 0.150887
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.13; 0.068115; 0.026524; 0.047863; 0.000764; false; 0.148604
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.04; 0.019857; 0.011817; 0.015548; 0.000341; false; 0.050073
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.16; 0.083755; 0.033977; 0.050328; 0.00076; false; 0.174978
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.08; 0.040315; 0.017736; 0.027909; 0.000452; false; 0.089906
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.14; 0.074106; 0.028677; 0.048423; 0.000818; false; 0.15781
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.11; 0.043654; 0.019773; 0.053211; 0.00086; false; 0.123923
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.11; 0.069916; 0.020563; 0.030985; 0.000478; false; 0.125999
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.05; 0.026684; 0.014523; 0.013891; 0.000356; false; 0.057891
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.15; 0.074153; 0.034655; 0.050619; 0.00082; false; 0.168658
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.03; 0.021184; 0.011971; 0.011027; 0.000265; false; 0.046658
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.05; 0.024397; 0.013296; 0.017288; 0.000339; false; 0.057908
