name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-compl;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-old-runtime;java-automatalib-old-construction;java-automatalib-old-compl;java-automatalib-old-emptiness_check;java-automatalib-old-emptiness_result;java-automatalib-old-interpretation;java-automatalib-old-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_187.0.mata;0.22; 0.0854452000;0.0089834; 0.0759467000; 0.0002472000; False; 0.0880265000; 0.2196589000;0.07; 0.058184; 0.02161; 0.001022; 0.000137; 3.1e-05; false; 0.083355;0.08; 0.065739; 0.022288; 0.002367; 0.004016; 0.000974; 0.00087; false; 0.098381;0.07; 0.060786; 0.019701; 0.000283; 0.002299; 0.001065; 0.000573; false; 0.087344;2.04; 0.075943; 0.038179; 0.000391; 2.3e-05; false; 1.61694;1.35; 0.1273; 0.0000; 0.0025; 0.0003; 0.0000; False; 0.0029; 0.1307;1.38; 0.1268; 0.0046; 0.0265; 0.0272; 0.0011; 0.0022; False; 0.0307; 0.1624;1.3; 0.1248; 0.0037; 0.0090; 0.0103; 0.0001; False; 0.0105; 0.1393;1.53; 0.149990451; 0.02156068; 0.00217261; false; 0.03056632; 0.288715475;1.4; 0.02891975; 0.033425162; 4.0423E-5; false; 0.041762464; 0.214085188
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1874.0.mata;0.27; 0.1169802000;0.009400299999999999; 0.0965380000; 0.0003045000; False; 0.1089838000; 0.2711823000;0.18; 0.160886; 0.040807; 0.001933; 0.000183; 6.2e-05; false; 0.207499;0.19; 0.153865; 0.041161; 0.006152; 0.008693; 0.002548; 0.002742; false; 0.218426;0.17; 0.14792; 0.038029; 0.000691; 0.006461; 0.001764; 0.001215; false; 0.200077;5.09; 0.180663; 0.083571; 0.000894; 3.3e-05; false; 4.70649;1.46; 0.2829; 0.0000; 0.0057; 0.0006; 0.0000; False; 0.0065; 0.2898;1.44; 0.2486; 0.0124; 0.0733; 0.0745; 0.0021; 0.0080; False; 0.0847; 0.3461;1.4; 0.2685; 0.0081; 0.0204; 0.0232; 0.0001; False; 0.0233; 0.3002;1.86; 0.205468484; 0.023794755; 0.002159293; false; 0.032174667; 0.38231539;1.65; 0.045827639; 0.046580672; 3.2711E-5; false; 0.053963502; 0.308923069
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1875.0.mata;0.26; 0.1157610000;0.0085712; 0.0883641000; 0.0001933000; False; 0.0998448000; 0.2575716000;0.18; 0.160833; 0.042163; 0.002175; 0.000268; 6.4e-05; false; 0.209885;0.19; 0.15182; 0.040561; 0.005251; 0.006919; 0.001681; 0.001707; false; 0.211015;0.19; 0.166158; 0.037824; 0.000669; 0.006298; 0.001751; 0.001182; false; 0.217805;4.61; 0.194805; 0.091635; 0.000779; 3.1e-05; false; 4.2658;1.4; 0.2559; 0.0000; 0.0040; 0.0003; 0.0000; False; 0.0045; 0.2608;1.14; 0.1655; 0.0115; 0.0881; 0.0887; 0.0012; 0.0050; False; 0.0950; 0.2723;1.22; 0.1672; 0.0046; 0.0117; 0.0133; 0.0001; False; 0.0134; 0.1854;1.97; 0.260296373; 0.045611558; 0.002096858; false; 0.053973656; 0.453222944;1.76; 0.089241378; 0.066736177; 3.3657E-5; false; 0.086446578; 0.38149852
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1877.0.mata;0.22; 0.0909668000;0.005972; 0.0714763000; 0.0002812000; False; 0.0794745000; 0.2090976000;0.2; 0.171375; 0.046671; 0.00223; 0.000301; 7.7e-05; false; 0.224828;0.15; 0.116542; 0.027627; 0.007462; 0.010181; 0.002953; 0.002702; false; 0.171367;0.18; 0.149303; 0.040614; 0.000715; 0.006588; 0.001789; 0.001257; false; 0.20475;4.92; 0.195565; 0.086518; 0.000874; 3.3e-05; false; 4.54637;1.18; 0.1788; 0.0000; 0.0035; 0.0004; 0.0000; False; 0.0039; 0.1832;1.51; 0.2558; 0.0131; 0.0764; 0.0774; 0.0021; 0.0086; False; 0.0881; 0.3573;1.08; 0.1634; 0.0047; 0.0114; 0.0130; 0.0001; False; 0.0131; 0.1816;1.94; 0.211593471; 0.030036038; 0.001866213; false; 0.037269753; 0.42904196;1.65; 0.074724688; 0.068891009; 3.4544E-5; false; 0.085618608; 0.385151588
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1878.0.mata;0.17; 0.0726488000;0.006014; 0.0591120000; 0.0002048000; False; 0.0669867000; 0.1685986000;0.19; 0.164916; 0.047146; 0.002175; 0.000284; 7.3e-05; false; 0.219604;0.2; 0.167669; 0.031816; 0.00948; 0.01133; 0.002683; 0.002537; false; 0.230703;0.19; 0.148962; 0.044027; 0.000829; 0.007733; 0.002003; 0.001445; false; 0.209367;4.91; 0.191854; 0.082858; 0.000711; 2.1e-05; false; 4.56346;1.04; 0.1665; 0.0000; 0.0035; 0.0004; 0.0000; False; 0.0040; 0.1709;1.59; 0.2780; 0.0146; 0.0823; 0.0835; 0.0021; 0.0084; False; 0.0941; 0.3871;1.13; 0.3233; 0.0045; 0.0121; 0.0138; 0.0001; False; 0.0139; 0.3419;1.94; 0.201473045; 0.032247821; 0.002435539; false; 0.042798567; 0.418333498;1.46; 0.049157839; 0.103374971; 3.0285E-5; false; 0.113000124; 0.308874835
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1879.0.mata;0.17; 0.0704154000;0.0060209; 0.0567143000; 0.0001845000; False; 0.0648088000; 0.1635406000;0.14; 0.124661; 0.042617; 0.001315; 0.000179; 4.1e-05; false; 0.172386;0.19; 0.155652; 0.040941; 0.006541; 0.009296; 0.002688; 0.002775; false; 0.221444;0.18; 0.155414; 0.035255; 0.00078; 0.007363; 0.002025; 0.001374; false; 0.206245;4.58; 0.210101; 0.089232; 0.001119; 2.9e-05; false; 4.22186;1.08; 0.1637; 0.0000; 0.0036; 0.0006; 0.0000; False; 0.0044; 0.1688;1.44; 0.2786; 0.0149; 0.0817; 0.0828; 0.0022; 0.0087; False; 0.0938; 0.3877;1.07; 0.2112; 0.0045; 0.0114; 0.0130; 0.0001; False; 0.0131; 0.2292;1.95; 0.24170282; 0.032680274; 0.002335943; false; 0.041849707; 0.437439598;1.41; 0.041432444; 0.079562106; 3.2228E-5; false; 0.097161764; 0.289952416
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1887.0.mata;0.16; 0.0699832000;0.005883800000000001; 0.0559143000; 0.0001314000; False; 0.0636596000; 0.1615488000;0.15; 0.122796; 0.039747; 0.002287; 0.00014; 5.1e-05; false; 0.168792;0.19; 0.159194; 0.034655; 0.007335; 0.009383; 0.002352; 0.002346; false; 0.21849;0.16; 0.122996; 0.037478; 0.000972; 0.007004; 0.001975; 0.000857; false; 0.175055;4.37; 0.120076; 0.053088; 0.000811; 2.9e-05; false; 4.01203;1.52; 0.2877; 0.0000; 0.0042; 0.0003; 0.0000; False; 0.0046; 0.2928;1.62; 0.2949; 0.0157; 0.0815; 0.0825; 0.0021; 0.0086; False; 0.0934; 0.4045;1.3; 0.2957; 0.0087; 0.0121; 0.0155; 0.0001; False; 0.0157; 0.3206;1.64; 0.232331249; 0.024200586; 0.001634718; false; 0.030325943; 0.403742334;1.7; 0.095485334; 0.070238371; 3.2642E-5; false; 0.076626292; 0.371934642
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1897.0.mata;0.29; 0.1283124000;0.0100485; 0.1028634000; 0.0003779000; False; 0.1168141000; 0.2906181000;0.19; 0.163128; 0.039249; 0.002513; 0.000295; 8.6e-05; false; 0.208894;0.21; 0.166696; 0.039749; 0.006383; 0.008604; 0.002461; 0.002431; false; 0.229519;0.19; 0.155474; 0.043025; 0.000715; 0.006894; 0.001947; 0.001343; false; 0.21413;5.09; 0.193327; 0.089248; 0.000769; 2.9e-05; false; 4.66298;1.47; 0.2699; 0.0000; 0.0036; 0.0004; 0.0000; False; 0.0041; 0.2746;1.14; 0.1633; 0.0078; 0.0483; 0.0489; 0.0013; 0.0051; False; 0.0553; 0.2267;1.12; 0.1701; 0.0047; 0.0115; 0.0131; 0.0001; False; 0.0132; 0.1883;1.89; 0.304890641; 0.018240919; 0.001484012; false; 0.026087967; 0.471211435;1.79; 0.058734024; 0.050172203; 3.1758E-5; false; 0.058249359; 0.311912779
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_277.0.mata;0.24; 0.0966571000;0.008933100000000001; 0.0838515000; 0.0002913000; False; 0.0954127000; 0.2340287000;0.08; 0.07128; 0.019425; 0.001109; 0.00014; 3e-05; false; 0.093617;0.09; 0.073489; 0.018767; 0.002507; 0.004062; 0.001053; 0.00101; false; 0.102437;0.14; 0.124864; 0.025266; 0.000333; 0.002502; 0.001123; 0.000731; false; 0.157001;3.84; 0.146163; 0.068696; 0.000512; 2.2e-05; false; 3.39618;1.2; 0.2186; 0.0000; 0.0037; 0.0003; 0.0000; False; 0.0041; 0.2231;1.37; 0.2611; 0.0095; 0.0508; 0.0516; 0.0012; 0.0039; False; 0.0568; 0.3278;1.16; 0.1358; 0.0039; 0.0096; 0.0111; 0.0001; False; 0.0112; 0.1511;1.83; 0.249449843; 0.034412423; 0.003213778; false; 0.048302451; 0.441093918;1.5; 0.043396423; 0.049059358; 3.3977E-5; false; 0.057198364; 0.288624697
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_357.0.mata;0.14; 0.0540160000;0.0057239; 0.0455046000; 0.0001325000; False; 0.0532009000; 0.1367304000;0.05; 0.045039; 0.013243; 0.000766; 9.2e-05; 2.3e-05; false; 0.060449;0.05; 0.042838; 0.012328; 0.001578; 0.002614; 0.000678; 0.000671; false; 0.061939;0.05; 0.043682; 0.013268; 0.000232; 0.001918; 0.000884; 0.000538; false; 0.0624;1.64; 0.097105; 0.041653; 0.000485; 3.3e-05; false; 1.24712;1.41; 0.1428; 0.0000; 0.0026; 0.0002; 0.0000; False; 0.0029; 0.1461;1.05; 0.0802; 0.0030; 0.0205; 0.0209; 0.0008; 0.0019; False; 0.0236; 0.1070;1.3; 0.1814; 0.0026; 0.0069; 0.0079; 0.0001; False; 0.0080; 0.1923;1.64; 0.204326162; 0.030949948; 0.002435619; false; 0.041095152; 0.386206408;1.33; 0.039395647; 0.100926077; 3.934E-5; false; 0.111391356; 0.302545083
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_378.0.mata;0.24; 0.0913606000;0.0094365; 0.0795293000; 0.0002220000; False; 0.0917733000; 0.2504171000;0.08; 0.078234; 0.022161; 0.001457; 0.000173; 4.6e-05; false; 0.104309;0.1; 0.078135; 0.020496; 0.002968; 0.004983; 0.001265; 0.001297; false; 0.110996;0.09; 0.071383; 0.021747; 0.000346; 0.002905; 0.001299; 0.00083; false; 0.101065;11.44; 0.078334; 0.041114; 0.000321; 2.2e-05; false; 11.4161;1.2; 0.1479; 0.0000; 0.0023; 0.0002; 0.0000; False; 0.0026; 0.1509;1.42; 0.1479; 0.0050; 0.0373; 0.0381; 0.0015; 0.0033; False; 0.0430; 0.1962;1.47; 0.1401; 0.0049; 0.0133; 0.0152; 0.0001; False; 0.0154; 0.1607;1.47; 0.200785122; 0.050402965; 0.012077675; false; 0.069972181; 0.40223288;1.4; 0.056391262; 0.026076482; 3.4723E-5; false; 0.043980903; 0.297297341
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_379.0.mata;0.21; 0.0851388000;0.009130000000000001; 0.0717199000; 0.0001707000; False; 0.0836011000; 0.2114841000;0.08; 0.077203; 0.020643; 0.001359; 0.000188; 3.9e-05; false; 0.101819;0.09; 0.074961; 0.021272; 0.002955; 0.004709; 0.001109; 0.001128; false; 0.108083;0.09; 0.075275; 0.020156; 0.000422; 0.003465; 0.001533; 0.000797; false; 0.104645;1.92; 0.098037; 0.043599; 0.000317; 1.7e-05; false; 1.4267;1.35; 0.1384; 0.0000; 0.0025; 0.0002; 0.0000; False; 0.0028; 0.1416;1.34; 0.1396; 0.0052; 0.0371; 0.0381; 0.0013; 0.0031; False; 0.0427; 0.1878;1.31; 0.1248; 0.0027; 0.0069; 0.0080; 0.0001; False; 0.0081; 0.1357;1.33; 0.147818557; 0.02082729; 0.003372777; false; 0.029283908; 0.278734691;1.42; 0.038609858; 0.037411223; 3.1431E-5; false; 0.044859263; 0.211317505
