name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-uni;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.02;0.022949;0.011158;6.9e-05;4.4e-05;1.7e-05; false;0.036548;0.02;0.0152;0.010782;0.001431;0.000368;0.00036;0.000303; false;0.030697;0.02;0.014254;0.007094;0.000128;0.000537;0.000641;0.000269; false;0.024807;1.12;0.0371;0.0017;0.0052;0.0006;0.0015; False;0.0073;0.0464;TO;1.07;0.044418992;0.007844319;3.7622e-05; false;0.015781094;0.204414379;0.02;0.022876;0.010149;7.9e-05;4.7e-05;1.7e-05; false;0.035494;0.69;0.0430525;0.0073449;0.0058551;0.0002157; False;0.0153391;0.1448267;TO;0.04755087
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.05;0.046016;0.01664;0.000114;7.2e-05;4.1e-05; false;0.065209;0.03;0.029538;0.010149;0.001862;0.000656;0.000572;0.000817; false;0.045079;0.05;0.046178;0.017928;0.000456;0.000948;0.001386;0.000814; false;0.070702;1.24;0.081;0.008;0.0263;0.0013;0.0063; False;0.0339;0.1232;TO;1.18;0.039507501;0.002746907;2.1962e-05; false;0.00946149;0.198338537;0.03;0.028293;0.011222;0.000138;5.6e-05;2.1e-05; false;0.041405;0.86;0.0430947;0.0094308;0.0082414;0.0002611; False;0.0197886;0.1440602;TO;0.069706235
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;0.58;0.526696;0.11258;0.000574;0.000726;0.000104; false;0.652609;0.68;0.653493;0.125531;0.036136;0.008948;0.013161;0.015391; false;0.869166;0.67;0.867327;0.138649;0.00528;0.004813;0.011904;0.011991; false;1.06178;5.23;0.7773;0.5251;2.4224;0.0134;0.5652; False;3.0012;4.3056;TO;2.67;0.1951381469999999;0.029269116;2.94e-05; false;0.060881722;0.680471082;0.46;0.403706;0.086646;0.000594;0.000707;0.000104; false;0.505425;1.52;0.0680274;0.0112208999999999;0.0206012;0.0003229; False;0.0344183;0.1662168;TO;0.112185576
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.08;0.071656;0.025255;0.000175;0.000113;5.5e-05; false;0.10061;0.06;0.047038;0.017697;0.002778;0.000816;0.000539;0.000561; false;0.071631;0.09;0.072764;0.022922;0.000716;0.00142;0.001752;0.001128; false;0.105142;1.45;0.1335;0.0163;0.0583;0.0019;0.0133; False;0.0735;0.2238;TO;1.42;0.038215782;0.00332749;2.8483e-05; false;0.011272806;0.187209015;0.08;0.077443;0.02108;0.000174;0.000116;4.4e-05; false;0.101949;0.9;0.0266066;0.0067364;0.0052412;0.0001487; False;0.014917;0.0769806;TO;0.06708765
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.13;0.108378;0.031278;0.000261;0.000161;6e-05; false;0.14433;0.12;0.095313;0.029979;0.005973;0.001589;0.001344;0.001369; false;0.13902;0.12;0.103981;0.026762;0.000939;0.001622;0.002309;0.001598; false;0.141877;1.58;0.1776;0.027;0.1001;0.0027;0.0228; False;0.1257;0.3309;TO;1.31;0.090028531;0.009113878;2.9514e-05; false;0.021546339;0.508405198;0.11;0.102229;0.02878;0.000254;0.00023;6e-05; false;0.136294;1.03;0.045208;0.0105773;0.0087633;0.0003288; False;0.022466;0.1262052;TO;0.065318748
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.14;0.235008;0.043741;0.000289;0.000188;6.8e-05; false;0.284407;0.16;0.194012;0.046109;0.007401;0.001911;0.002099;0.001941; false;0.258205;0.16;0.182438;0.042058;0.002156;0.00357;0.00411;0.002105; false;0.243049;1.76;0.1978;0.0397;0.1525;0.004;0.0348; False;0.1914;0.4296;TO;1.58;0.052240294;0.004813773;3.9446e-05; false;0.012307251;0.222051349;0.12;0.109923;0.024012;0.000144;0.000108;4.6e-05; false;0.137458;0.97;0.0514019999999999;0.0067154;0.0056053;0.0001887; False;0.0143229;0.1046834;TO;0.077858009
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;0.11;0.088486;0.029712;0.000186;0.000139;5.8e-05; false;0.122176;0.11;0.085776;0.027973;0.005032;0.001444;0.001243;0.001246; false;0.125903;0.12;0.088641;0.032307;0.0008849999999999;0.001295;0.002027;0.001562; false;0.132619;1.7;0.2425;0.058;0.2176;0.0039;0.0481; False;0.2697;0.5708;TO;1.65;0.1193594309999999;0.012107407;2.3176e-05; false;0.03206509;0.371956774;0.12;0.111288;0.024918;0.000182;0.000156;5.8e-05; false;0.14003;1.11;0.0658694;0.0109989;0.0095953;0.0003554; False;0.0237003;0.1737799;TO;0.05764388
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;0.21;0.178247;0.042132;0.000431;0.000313;0.0001; false;0.227521;0.24;0.211936;0.049471;0.010896;0.002886;0.002695;0.003582; false;0.287826;0.23;0.266828;0.061363;0.0018419999999999;0.002413;0.005745;0.003233; false;0.348903;1.62;0.1672;0.038;0.2296;0.0042;0.0666; False;0.3005;0.5068;TO;1.61;0.065852428;0.006467635;3.597e-05; false;0.0227418;0.30243153;0.2;0.180497;0.041755;0.000398;0.000261;9.5e-05; false;0.228744;1.15;0.053921;0.0111342;0.0104106;0.0003221; False;0.0246763;0.1377232;TO;0.070316955
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;0.22;0.19121;0.054191;0.000488;0.000346;0.000114; false;0.254258;0.26;0.191613;0.062137;0.012166;0.003418;0.004179;0.004369; false;0.285419;0.24;0.186183;0.057849;0.0017;0.002193;0.00369;0.002956; false;0.263439;2.06;0.31;0.0964;0.4535;0.0051;0.0879; False;0.5467;0.954;TO;1.55;0.0942449099999999;0.005899599;2.6417e-05; false;0.021550399;0.483464512;0.24;0.203282;0.052478;0.0005;0.000763;0.000173; false;0.26748;1.16;0.0619944;0.0068622;0.0060613;0.0001999; False;0.0150099;0.14447;TO;0.064726884
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;0.28;0.267148;0.060531;0.000561;0.000429;0.000136; false;0.337495;0.32;0.252989;0.062155;0.015356;0.003904;0.00535;0.005235; false;0.353295;0.3;0.284342;0.065441;0.002349;0.002825;0.004507;0.004402; false;0.372056;2.44;0.3753;0.121;0.5038;0.0062;0.1098; False;0.6199;1.1173;TO;1.76;0.1137992049999999;0.006247934;6.1153e-05; false;0.013360693;0.293640016;0.25;0.230405;0.053969;0.000535;0.000479;0.000132; false;0.293524;1.12;0.05744;0.0124014;0.0101674;0.0096477; False;0.0343149;0.1433833;TO;0.099974596
