name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-compl;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_597.0.mata;0.18;0.135584;0.045222;0.000907;0.000369; false;0.19638;0.32;0.096177;0.067251;0.11321;0.019912;0.023061; false;0.331447;0.17; 0.136085; 0.00904; 0.020821; 0.005902; 0.005234; false; 0.189294;3.06; 0.1893; 0.0592; 1.7056; 1.7119; 0.0215; 0.0541; False; 1.7876; 2.0370;1.97;0.2352;0.0502;0.5254;0.5443;0.0001; False;0.5445;0.8311;2.21;0.183744036;0.061204205;2.8616e-05; false;0.068159076;0.601737851;0.16;0.153791;0.010937;0.000791;6.6e-05;0.000111; false;0.178152;1.06;0.1115025;0.0096751;0.0949418;0.0002736; False;0.1080913;0.2910094;3.74;0.241274058;0.762029279;0.075424288;0.00738387; false;0.859988292;1.465232559
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_657.0.mata;0.21;0.164071;0.05622;0.000998;0.000403; false;0.239036;0.36;0.164788;0.051231;0.126979;0.013595;0.014034; false;0.379291;0.11; 0.086847; 0.005552; 0.014506; 0.004266; 0.004091; false; 0.124026;2.65; 0.1254; 0.0409; 1.5752; 1.5820; 0.0210; 0.0763; False; 1.6794; 1.8466;2.11;0.2287;0.0628;0.6832;0.6938;0.0001; False;0.6939;0.9868;2.89;0.381729619;0.07780816;3.391e-05; false;0.095955925;1.137682412;0.14;0.125845;0.014346;0.001023;9.1e-05;0.000102; false;0.154678;1.03;0.1303722;0.0172388999999999;0.1262912;0.0003345; False;0.1484504;0.3602636;4.15;0.271056705;0.959412155;0.054495562;0.00206453; false;1.022745465;1.695001696
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_670.0.mata;0.26;0.201861;0.057072;0.001384;0.00051; false;0.284171;0.48;0.159443;0.112018;0.151645;0.025827;0.020435; false;0.489109;0.23; 0.180219; 0.01333; 0.026381; 0.007332; 0.007063; false; 0.248489;3.54; 0.3092; 0.1101; 2.1489; 2.1577; 0.0232; 0.0658; False; 2.2468; 2.6671;2.17;0.2702;0.0765;0.7531;0.7757;0.0001; False;0.7759;1.1242;2.41;0.411048719;0.075029408;2.8776e-05; false;0.083144438;0.880962428;0.21;0.19663;0.017324;0.001335;9.7e-05;0.000118; false;0.233986;1.1;0.2038718;0.0094019;0.1423451;0.0003199; False;0.1545869;0.499914;4.05;0.335462652;0.963183269;0.109997315;0.002110216; false;1.091306107;1.913587033
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_671.0.mata;0.25;0.202048;0.054541;0.00112;0.000457; false;0.279661;0.53;0.200962;0.11507;0.158619;0.025965;0.025756; false;0.545992;0.24; 0.192888; 0.014098; 0.025651; 0.00707; 0.006475; false; 0.264001;3.67; 0.2959; 0.1025; 2.2012; 2.2106; 0.0234; 0.0675; False; 2.3016; 2.7010;2.18;0.2815;0.0787;0.8929;0.9151;0.0001; False;0.9152;1.277;2.36;0.38313325;0.1142692;3.4496e-05; false;0.131074032;0.899780798;0.11;0.106761;0.010537;0.000645;5.7e-05;6.9e-05; false;0.128852;1.08;0.2396183;0.0096811;0.1511383;0.0003135; False;0.1640636;0.5571444;3.75;0.217092681;0.831326702;0.04670055;0.00193318; false;0.886643394;1.472397618
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_673.0.mata;0.53;0.414238;0.112303;0.002099;0.000966; false;0.571217;0.61;0.219009;0.128215;0.19146;0.030571;0.031014; false;0.621976;0.53; 0.417883; 0.037515; 0.052118; 0.013066; 0.01244; false; 0.569355;6.26; 0.5648; 0.2173; 4.3342; 4.3413; 0.0227; 0.0715; False; 4.4356; 5.2192;2.8;0.552;0.1546;1.0969;1.1186;0.0001; False;1.1187;1.8276;2.95;0.304773936;0.072671069;2.8215e-05; false;0.079477551;0.909371174;0.46;0.456997;0.022995;0.001381;0.000111;0.000141; false;0.505602;1.25;0.4590483;0.0086538;0.241356;0.0002972; False;0.2658486;0.8831396;4.6;0.288531078;0.972737298;0.103742248;0.002037356; false;1.087864257;1.993439934
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_678.0.mata;0.51;0.411509;0.112556;0.002083;0.000872; false;0.573314;0.71;0.280772;0.145969;0.230703;0.026149;0.026255; false;0.740048;0.47; 0.357952; 0.038221; 0.054095; 0.01244; 0.013794; false; 0.519127;5.03; 0.4501; 0.1082; 3.3427; 3.3498; 0.0230; 0.0776; False; 3.4505; 4.0103;3.1;0.5432;0.1523;1.5393;1.5826;0.0001; False;1.5828;2.2811;2.95;0.355182872;0.140413549;4.1364e-05; false;0.148753442;1.091536674;0.45;0.44156;0.029463;0.002569;0.000185;0.000236; false;0.496464;1.22;0.2746999;0.0145648;0.0948511;0.0003069; False;0.1117466;0.5317475;4.33;0.253017815;0.966698024;0.066960009;0.002447354; false;1.043669692;1.899689351
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested6_true-unreach-call.i_7.0.mata;0.0;0.003741;0.000732;5.6e-05;2.1e-05; false;0.005222;0.01;0.003703;0.001621;0.002672;0.000616;0.00059; false;0.0098;0.01; 0.003763; 0.000212; 0.001832; 0.000924; 0.000424; false; 0.00864;1.17; 0.0129; 0.0020; 0.0162; 0.0166; 0.0010; 0.0009; False; 0.0186; 0.0336;1.21;0.0137;0.0028;0.0079;0.009;0.0001; False;0.0092;0.0258;1.15;0.041700678;0.022314997;4.6146e-05; false;0.029010322;0.178734407;0.0;0.002268;0.000404;0.000195;2.2e-05;9e-06; false;0.003295;0.88;0.0298368;0.0094527999999999;0.0507968;0.0002762; False;0.0632158;0.1335676;1.29;0.045072019;0.081298172;0.02212258;0.002121575; false;0.116323345;0.264597837
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1070.0.mata;0.01;0.013576;0.002294;8.9e-05;5.7e-05; false;0.01789;0.03;0.013686;0.006168;0.007841;0.001898;0.001872; false;0.032951;0.02; 0.01377; 0.000714; 0.003999; 0.001642; 0.001103; false; 0.023528;1.29; 0.0261; 0.0103; 0.0740; 0.0751; 0.0028; 0.0062; False; 0.0842; 0.1209;0.89;0.0154;0.0041;0.0109;0.0123;0.0001; False;0.0124;0.0321;1.32;0.040703443;0.028691095;3.1534e-05; false;0.066040534;0.252387169;0.01;0.006902;0.001397;0.000223;2.4e-05;1.5e-05; false;0.009493;0.94;0.0536685;0.0181328;0.0846911;0.0003149; False;0.1103587;0.2344077;1.73;0.067999559;0.140641395;0.041655253;0.002078917; false;0.191314996;0.467414198
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1072.0.mata;0.03;0.027753;0.004373;0.000168;0.00011; false;0.036278;0.06;0.028205;0.014314;0.010466;0.003158;0.002585; false;0.061603;0.04; 0.028737; 0.001429; 0.006575; 0.002458; 0.001772; false; 0.045163;1.47; 0.0451; 0.0196; 0.1267; 0.1285; 0.0051; 0.0121; False; 0.1458; 0.2110;1.12;0.0291;0.0081;0.0201;0.0225;0.0001; False;0.0226;0.0601;1.54;0.066545956;0.063631259;3.6192e-05; false;0.070694878;0.34126203;0.01;0.014487;0.002747;0.000398;3.6e-05;4.2e-05; false;0.019483;0.88;0.0506932;0.0082793;0.0865021;0.0002341; False;0.0975383;0.2019503;2.09;0.101400216;0.17491585;0.029371104;0.001920661; false;0.213479716;0.525631251
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1107.0.mata;0.1;0.091178;0.009367;0.000781;0.000422; false;0.114416;0.21;0.08499;0.045479;0.044662;0.018165;0.018118; false;0.220775;0.13; 0.086187; 0.004543; 0.026159; 0.004807; 0.004206; false; 0.134396;2.01; 0.1289; 0.1378; 0.4864; 0.4908; 0.0127; 0.0600; False; 0.5636; 0.8312;1.54;0.1342;0.0499;0.1009;0.1133;0.0001; False;0.1135;0.2989;2.04;0.13309612;0.056992109;3.1098e-05; false;0.067973051;0.420913776;0.05;0.048327;0.008791;0.001304;0.000107;6.3e-05; false;0.064308;1.06;0.0983246;0.0107029;0.1300253;0.0004128; False;0.1438483;0.3139147;2.85;0.137209744;0.24678157;0.036777284;0.002044858; false;0.292485539;0.743000033
