name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-concat;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;java-brics-runtime;java-brics-construction;java-brics-concat;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.0;6.5e-05;0.00035;0.0004349999999999;7.9e-05; false;0.001934;0.01;0.000109;1e-05;0.005532;0.0038109999999999;0.001581; false;0.01266;1.9; 0.0061; 0.0001;0.7407;0.01; 0.0406; False; 0.7918; 0.7988;0.75;0.005906946;0.041885714;3.0646e-05; false;0.053270235;0.12994672;0.04;5.9e-05;0.046257;0.000275;0.000192;4.7e-05; false;0.047591
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.0;4.7e-05;0.0004129999999999;0.000442;7.9e-05; false;0.001912;0.0;5.9e-05;7e-06;0.002953;0.002267;0.000935; false;0.00711;1.83; 0.0049; 0.0001;0.8573;0.0107; 0.0764; False; 0.9447; 0.9512;1.05;0.00591947;0.017098913;4.1549e-05; false;0.029027895;0.100380959;0.07;7.5e-05;0.077248;0.000522;0.0003109999999999;6e-05; false;0.079536
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.0;6.1e-05;0.000335;0.0004469999999999;7.8e-05; false;0.001869;0.0;6e-05;1.1e-05;0.003323;0.002468;0.000933; false;0.007887;1.88; 0.0048; 0.0001;0.9599000000000001;0.0125; 0.0745; False; 1.0471; 1.0534;1.01;0.006917145;0.0409719999999999;2.6588e-05; false;0.055531485;0.136287119;0.04;5.7e-05;0.046147;0.000396;0.000289;4.3e-05; false;0.047933
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.0;7.8e-05;0.000555;0.00052;0.00012; false;0.002342;0.01;9.2e-05;9e-06;0.005056;0.0037129999999999;0.001603; false;0.011875;2.17; 0.0049; 0.0001;1.0718;0.0137; 0.0805; False; 1.1665; 1.1726;1.01;0.005744726;0.016267028;2.5498e-05; false;0.02695147;0.097838166;0.07;7.4e-05;0.077089;0.000385;0.0002529999999999;4.1e-05; false;0.078877
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.0;9.4e-05;0.000658;0.0005889999999999;0.000131; false;0.002712;0.01;0.000102;1e-05;0.005611;0.004218;0.001904; false;0.013408;2.33; 0.0066; 0.0001;1.1627999999999998;0.0144; 0.0763; False; 1.2537; 1.2618;0.94;0.004974313;0.024815071;2.0071e-05; false;0.052906573;0.127220199;0.08;7.4e-05;0.082905;0.000528;0.000329;8e-05; false;0.08522
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.0;8.2e-05;0.000544;0.000521;0.000119; false;0.002398;0.01;9.6e-05;1.1e-05;0.005309;0.0037689999999999;0.00156; false;0.012373;2.22; 0.0046; 0.0001;0.9894000000000001;0.012; 0.0772; False; 1.0789; 1.0851;0.95;0.004305085;0.013946321;2.3104e-05; false;0.023238437;0.078843402;0.08;7.6e-05;0.082405;0.000553;0.000341;7.6e-05; false;0.084821
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.0;0.000111;0.00065;0.000529;7.6e-05; false;0.002491;0.0;6.4e-05;7e-06;0.003257;0.0024159999999999;0.000928; false;0.007767;1.91; 0.0065; 0.0001;0.7998000000000001;0.0119; 0.0771; False; 0.8892; 0.8973;0.92;0.005712091;0.015665129;2.0576e-05; false;0.025698347;0.097894775;0.07;7.5e-05;0.076852;0.0005189999999999;0.000322;7.2e-05; false;0.079369
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.0;8e-05;0.000553;0.00051;0.000113; false;0.002323;0.01;9e-05;1e-05;0.005215;0.003743;0.001597; false;0.012072;1.89; 0.0068; 0.0001;0.7138;0.0154; 0.0777; False; 0.8074; 0.8156;0.82;0.004739269;0.021546518;1.5991e-05; false;0.029564325;0.092545397;0.07;6.3e-05;0.081655;0.000408;0.00027;4.6e-05; false;0.083592
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.0;8.4e-05;0.000562;0.000516;0.000114; false;0.002359;0.01;8.5e-05;1.5e-05;0.005029;0.0037279999999999;0.001682; false;0.012046;1.68; 0.0072; 0.0001;0.7018;0.0127; 0.0740; False; 0.7890; 0.7972;0.98;0.005354457;0.014995008;1.8839e-05; false;0.023893555;0.094353345;0.07;7.2e-05;0.072385;0.000505;0.0002909999999999;5.2e-05; false;0.07453
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.0;8.9e-05;0.000658;0.000616;0.000132; false;0.002718;0.01;0.000119;1.2e-05;0.0058759999999999;0.004316;0.00184; false;0.013966;2.36; 0.0067; 0.0001;1.1292;0.015; 0.0790; False; 1.2236; 1.2315;0.89;0.006162468;0.017806755;2.4145e-05; false;0.02919373;0.111578765;0.04;5.3e-05;0.0482;0.000299;0.0002179999999999;4.3e-05; false;0.049643
