name;automata-runtime;automata-construction;automata-trim;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-inclusion_check;vata-inclusion_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-inclusion_check;mona-inclusion_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-inclusion;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-inclusion;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-old-runtime;java-automatalib-old-construction;java-automatalib-old-inclusion_check;java-automatalib-old-inclusion_result;java-automatalib-old-interpretation;java-automatalib-old-overall;java-brics-runtime;java-brics-construction;java-brics-inclusion_check;java-brics-inclusion_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;0.24;0.1266965;0.006522; 0.0853855000; False; 0.0934127000; 0.2432397000;0.26; 0.183861; 0.070406; 0.023986; false; 0.291575;0.3; 0.182412; 0.070497;0.032339; 0.025622; false; 0.322841;0.31; 0.18309; 0.070159;0.004288999999999999; 0.065508; false; 0.335558;ERR;ERR;ERR;ERR;ERR;ERR;1.12; 0.2917; 0.0000; 0.0306; False; 0.0306; 0.3229;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.22; 0.2897; 0.0456;0.06609999999999999; 0.0684; False; 0.0685; 0.4051;2.78;0.30742428899999996; 0.033958106; false; 0.038272515; 0.520782596;2.52;0.159840076; 0.119951806; false; 0.124288169; 0.423538811
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;0.24;0.12621;0.0065064; 0.0840717000; False; 0.0920366000; 0.2415899000;0.26; 0.182983; 0.074368; 0.019364; false; 0.291464;0.31; 0.195144; 0.073416;0.03221; 0.025309; false; 0.339574;0.33; 0.192494; 0.073657;0.004215; 0.071362; false; 0.355776;ERR;ERR;ERR;ERR;ERR;ERR;1.12; 0.2947; 0.0000; 0.0242; False; 0.0243; 0.3196;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.21; 0.2953; 0.0464;0.0688; 0.0712; False; 0.0712; 0.4143;2.72;0.308425331; 0.034951099; false; 0.038793781; 0.480797166;3.01;0.212656524; 0.149276112; false; 0.156075212; 0.560328528
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;0.23;0.1228668;0.0063584; 0.0801069000; False; 0.0879475000; 0.2341474000;0.25; 0.175938; 0.071611; 0.018683; false; 0.280741;0.29; 0.173633; 0.070831;0.031121000000000003; 0.027096; false; 0.315535;0.3; 0.177524; 0.070034;0.00415; 0.062917; false; 0.328035;ERR;ERR;ERR;ERR;ERR;ERR;1.08; 0.2825; 0.0000; 0.0236; False; 0.0237; 0.3067;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.2; 0.2876; 0.0448;0.0645; 0.0669; False; 0.0669; 0.4006;2.91;0.328664386; 0.037285445; false; 0.041293969; 0.512428324;2.68;0.176331346; 0.134028648; false; 0.139094116; 0.471307592
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;0.23;0.110459;0.006503; 0.0904883000; False; 0.0985189000; 0.2322487000;0.22; 0.155472; 0.060169; 0.021505; false; 0.248455;0.26; 0.161605; 0.060136;0.027506000000000003; 0.022169; false; 0.282539;0.31; 0.151559; 0.061112;0.003634; 0.10063; false; 0.329045;ERR;ERR;ERR;ERR;ERR;ERR;1.07; 0.2350; 0.0000; 0.0235; False; 0.0235; 0.2590;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.15; 0.2389; 0.0404;0.0852; 0.0888; False; 0.0888; 0.3692;3.06;0.382024256; 0.040395181; false; 0.046390488; 0.574060371;2.68;0.146506742; 0.172020051; false; 0.177068969; 0.473049502
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;0.23;0.1122187;0.0065094; 0.0899416000; False; 0.0980078000; 0.2337104000;0.22; 0.152804; 0.06114; 0.018841; false; 0.245;0.25; 0.149729; 0.060281;0.027038; 0.022361; false; 0.27061;0.3; 0.153221; 0.060786;0.003688; 0.095142; false; 0.324672;ERR;ERR;ERR;ERR;ERR;ERR;1.07; 0.2376; 0.0000; 0.0208; False; 0.0208; 0.2589;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.15; 0.2374; 0.0397;0.0854; 0.0890; False; 0.0890; 0.3672;2.96;0.341627613; 0.030381137; false; 0.034210587; 0.538727454;2.49;0.121738176; 0.163351773; false; 0.169803263; 0.422909465
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;0.24;0.1167617;0.006877299999999999; 0.1032720000; False; 0.1117834000; 0.2522682000;0.23; 0.168241; 0.066697; 0.012157; false; 0.260603;0.27; 0.162883; 0.067002;0.029606; 0.026882; false; 0.298573;0.32; 0.164282; 0.06594;0.003869; 0.106817; false; 0.353516;ERR;ERR;ERR;ERR;ERR;ERR;1.09; 0.2688; 0.0000; 0.0134; False; 0.0135; 0.2828;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.2; 0.2609; 0.0424;0.0874; 0.0909; False; 0.0909; 0.3953;3.25;0.45474288800000007; 0.031264427; false; 0.035688801; 0.65130165;2.81;0.17597690300000002; 0.160993654; false; 0.165983492; 0.504503542
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;1.23;0.4678452;0.0089191; 0.6543150000; False; 0.6648216000; 1.1560165000;1.21; 0.902193; 0.358239; 0.034427; false; 1.3486;1.51; 0.89393; 0.350921;0.17483500000000002; 0.157816; false; 1.62988;7.95; 0.897693; 0.351312;0.017903; 7.03732; false; 8.35564;TO;MISSING;MISSING;MISSING;MISSING;MISSING;3.27; 2.5294; 0.0000; 0.0299; False; 0.0300; 2.5609;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;40.73;33.20483843; 0.083266793; false; 0.087363146; 33.89681078;9.12;1.1007703519999998; 1.037982986; false; 1.042159119; 2.783248655
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;1.93;0.4699396;0.008032300000000001; 1.3398544000; False; 1.3494109000; 1.8523972000;1.28; 0.908664; 0.36012; 0.04619; false; 1.37095;1.61; 0.91085; 0.36078;0.189083; 0.194431; false; 1.70771;TO; 0.91267; 0.359258;0.017426;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;3.33; 2.5626; 0.0000; 0.0406; False; 0.0406; 2.6047;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;47.08;37.837122122; 0.071643339; false; 0.075837137; 38.571384653;41.85;1.105062664; 19.005555173; false; 19.009991159; 20.734211227
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.63;0.4577334;0.0083715; 1.0524967000; False; 1.0624045000; 1.5540311000;1.28; 0.91995; 0.368344; 0.044647; false; 1.39085;1.57; 0.907107; 0.360684;0.181189; 0.177471; false; 1.679;TO; 0.917678; 0.36142;0.018592;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;3.36; 2.5986; 0.0000; 0.0396; False; 0.0396; 2.6397;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;46.48;38.074404762; 0.09260361; false; 0.096660763; 38.806434876;40.65;1.169816514; 18.862736914; false; 18.86721619; 20.642064007
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.38;0.1827497;0.005507; 0.1699676000; False; 0.1769778000; 0.3834465000;0.34; 0.251035; 0.097229; 0.003863; false; 0.366525;0.38; 0.23708; 0.096098;0.032935; 0.026312; false; 0.405796;13.79; 0.240929; 0.09753;0.003904; 14.1534; false; 14.5102;ERR;ERR;ERR;ERR;ERR;ERR;1.22; 0.4272; 0.0000; 0.0030; False; 0.0030; 0.4307;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;8.81;0.374426818; 3.355523786; false; 3.360050653; 3.926249341
