name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;java-automatalib-old-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-rhs.mata;27.08;0.1946389;0.0142528; 27.4975297000; 0.0008633000; False; 27.5195219000; 27.7661962000;2.68; 0.413064; 0.089795; 1.97098; 0.811198; 0.000537; false; 3.30968;21.49; 0.554314; 0.135531;0.04315; 12.0602; 7.88916; 1.94662; false; 22.6492;21.84; 0.501357; 0.130679;0.005339999999999999; 7.44264; 10.0924; 2.60479; false; 20.8;ERR;17.89; 0.6670; 0.0000; 13.8721; 3.6635; 0.0034; False; 17.5392; 18.2129;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;42.81;0.13179142500000002; 20.374838627; 5.9923E-5; false; 20.396769088; 20.75239052
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-rhs.mata;0.44;0.08465460000000001;0.0096196; 0.3537147000; 0.0003475000; False; 0.3678756000; 0.5126221000;0.13; 0.079401; 0.025946; 0.027942; 0.018247; 3.6e-05; false; 0.155325;0.45; 0.084351; 0.031158;0.004793; 0.176565; 0.193698; 0.000652; false; 0.494703;0.39; 0.076242; 0.023226;0.00072; 0.080586; 0.158756; 0.060147; false; 0.404284;ERR;1.68; 0.1542; 0.0000; 0.1944; 0.0370; 0.0006; False; 0.2322; 0.3869;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;2.47;0.047135921; 0.49737197; 3.5167E-5; false; 0.505310292; 0.724909574
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-rhs.mata;0.61;0.0578652;0.0062333; 0.5958404000; 0.0083458000; False; 0.6233872000; 0.7214485000;0.19; 0.181152; 0.040864; 0.09485; 0.059671; 4.7e-05; false; 0.38125;0.74; 0.233499; 0.052034;0.005868; 0.799557; 0.371905; 0.001709; false; 1.46849;0.68; 0.107021; 0.03099;0.000984; 0.20815; 0.294276; 0.083991; false; 0.730508;ERR;1.64; 0.1645; 0.0000; 0.6497; 0.0761; 0.0006; False; 0.7265; 0.8931;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;3.06;0.053569222; 0.894557473; 3.2863E-5; false; 0.912093465; 1.198437138
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-rhs.mata;0.96;0.1484597;0.0094424; 1.1552272000; 0.0003023000; False; 1.1688289000; 1.3895182000;0.25; 0.344849; 0.099725; 0.081647; 0.03059; 3.7e-05; false; 0.563269;0.88; 0.081352; 0.026769;0.00446; 0.369302; 0.456768; 0.00065; false; 0.942362;1.14; 0.110939; 0.038731;0.0012530000000000002; 0.325244; 0.509292; 0.127923; false; 1.11937;ERR;1.85; 0.2015; 0.0000; 0.5408; 0.1391; 0.0009; False; 0.6809; 0.8851;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;3.86;0.058713748; 1.226349028; 3.6541E-5; false; 1.234780941; 1.450238529
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-rhs.mata;1.55;0.1239245;0.0102251; 1.5048964000; 0.0004204000; False; 1.5199941000; 1.7083287000;0.36; 0.157964; 0.042443; 0.151689; 0.083835; 6.5e-05; false; 0.442269;1.59; 0.152283; 0.041334;0.009268; 0.722863; 0.881287; 0.001976; false; 1.81409;1.45; 0.087318; 0.029264;0.000924; 0.42506; 0.723897; 0.172618; false; 1.44413;ERR;2.45; 0.3296; 0.0000; 0.8130; 0.2287; 0.0010; False; 1.0428; 1.3763;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;4.99;0.150376883; 2.34729981; 5.3523E-5; false; 2.375076459; 2.942995697
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-rhs.mata;2.65;0.1468645;0.0119547; 2.5869052000; 0.0003808000; False; 2.6036977000; 2.8131918000;0.45; 0.182187; 0.051554; 0.174307; 0.105184; 0.000138; false; 0.521252;2.42; 0.188956; 0.049683;0.011812; 1.27228; 1.13915; 0.001624; false; 2.67078;2.38; 0.1772; 0.047869;0.0016649999999999998; 0.658157; 1.12059; 0.296787; false; 2.30934;ERR;3.0; 0.3287; 0.0000; 1.6282; 0.3216; 0.0022; False; 1.9531; 2.2889;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;6.2;0.140995672; 2.665113285; 3.9867E-5; false; 2.672980447; 3.150810035
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-rhs.mata;2.72;0.0946427;0.0095049; 2.7726547000; 0.0002401000; False; 2.7854378000; 2.9331016000;0.35; 0.11792; 0.036849; 0.168832; 0.094994; 8.2e-05; false; 0.425592;2.52; 0.116509; 0.036839;0.007942; 1.1676; 1.43963; 0.004857; false; 2.77836;2.9; 0.13218; 0.03555;0.0012070000000000002; 0.909119; 1.34474; 0.370363; false; 2.79941;ERR;3.67; 0.2918; 0.0000; 1.6631; 0.6066; 0.0025; False; 2.2723; 2.5663;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;7.4;0.161967067; 2.833617845; 3.4813E-5; false; 2.841596458; 3.23109874
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-rhs.mata;3.05;0.1307024;0.006764699999999999; 3.0113818000; 0.0004007000; False; 3.0214567000; 3.2178735000;0.77; 0.235872; 0.060545; 0.348685; 0.182996; 0.000244; false; 0.840743;4.33; 0.285057; 0.066751;0.012615999999999999; 2.55116; 2.89654; 0.002756; false; 5.82719;3.4; 0.207725; 0.0449;0.00222; 1.28406; 1.73925; 0.439981; false; 3.72785;ERR;4.43; 0.4444; 0.0000; 2.7981; 0.7410; 0.0034; False; 3.5427; 3.9899;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;8.96;0.09459539; 3.550340352; 4.707E-5; false; 3.569283402; 3.846783591
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-rhs.mata;0.16;0.0596955;0.008950000000000001; 0.0424363000; 0.0003399000; False; 0.0556354000; 0.1688086000;0.03; 0.024229; 0.010129; 0.002735; 0.001552; 1.5e-05; false; 0.041156;0.06; 0.024624; 0.010508;0.001619; 0.012384; 0.014566; 0.003947; false; 0.069977;0.05; 0.025737; 0.010421;0.000274; 0.00719; 0.010604; 0.003255; false; 0.060606;ERR;1.09; 0.0332; 0.0000; 0.0072; 0.0012; 0.0000; False; 0.0085; 0.0424;4.62; 0.0433; 0.0028; 3.3889; 0.2241; 0.0006; False; 3.6137; 3.6601;TO;TO;1.35;0.03789087; 0.073761577; 2.3907E-5; false; 0.081494237; 0.305213478
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-rhs.mata;5.79;0.16819230000000002;0.011189900000000001; 6.7181706000; 0.0004143000; False; 6.7336730000; 6.9642002000;0.79; 0.259487; 0.070409; 0.525182; 0.294635; 0.000166; false; 1.16193;4.97; 0.40491; 0.091526;0.016593999999999998; 2.7568; 2.61648; 0.004346; false; 5.90118;4.6; 0.274467; 0.078494;0.003011; 1.52968; 2.17257; 0.534673; false; 4.60547;ERR;4.46; 0.3840; 0.0000; 2.9080; 0.8140; 0.0024; False; 3.7246; 4.1113;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;10.89;0.08379788299999999; 5.258197788; 4.678E-5; false; 5.27751613; 5.580734612
