name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-compl;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.22;0.186245;0.046015;0.001385;0.000141;4.8e-05; false;0.23839;0.2;0.184721; 0.03059; 0.006362; 0.003375; 0.000718; 0.000714; false; 0.228949;0.21;0.184676;0.041059;0.001114;0.004131;0.001317;0.000723; false;0.237402;1.48; 0.2962; 0.0246; 0.0391; 0.0399; 0.0016; 0.0032; False; 0.0449; 0.3663;1.15; 0.1877; 0.0098; 0.0104; 0.0113; 0.0001; False; 0.0114; 0.2093;1.79; 0.060512142; 0.039619594; 3.1368E-5; false; 0.057324247; 0.286740695;0.11;0.099061;0.024995;0.002708;0.000221;3.5e-05;1e-05; false;0.12951;1.07; 0.0405636000;0.0099986; 0.0907283000; 0.0002528000; False; 0.1077001000; 0.2443791000;1.93; 0.126917718; 0.131602386; 0.02886432; 0.0021888; false; 0.169060273; 0.498012027
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.12;0.103495;0.029767;0.001075;0.000102;4.6e-05; false;0.13835;0.15;0.130534; 0.040428; 0.007779; 0.004556; 0.000842; 0.000942; false; 0.188992;0.15;0.126407;0.037102;0.000896;0.002611;0.001098;0.00061; false;0.173272;1.47; 0.2219; 0.0176; 0.0267; 0.0274; 0.0014; 0.0022; False; 0.0312; 0.2712;1.27; 0.1375; 0.0065; 0.0076; 0.0092; 0.0001; False; 0.0093; 0.1537;1.64; 0.049254647; 0.035538128; 5.0258E-5; false; 0.042191152; 0.26632869;0.16;0.136656;0.035829;0.002922;0.00028;3.4e-05;3.3e-05; false;0.179443;1.07; 0.0309270000;0.0066251; 0.0567099000; 0.0002012000; False; 0.0654474000; 0.1361506000;1.64; 0.06231503; 0.144990758; 0.064209271; 0.002223997; false; 0.217174446; 0.434501744
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.06;0.058828;0.017577;0.000185;2.1e-05;7e-06; false;0.077976;0.05;0.054383; 0.012213; 0.000531; 0.000565; 0.00011; 0.000129; false; 0.068862;0.05;0.04549;0.018219;0.000167;0.001518;0.000857;0.000221; false;0.069529;1.36; 0.1495; 0.0011; 0.0060; 0.0065; 0.0004; 0.0003; False; 0.0072; 0.1580;1.43; 0.1469; 0.0020; 0.0033; 0.0038; 0.0001; False; 0.0039; 0.1531;1.34; 0.02744196; 0.014520067; 3.5943E-5; false; 0.022721048; 0.186349626;0.03;0.034491;0.010724;0.000256;5.5e-05;1.1e-05;5e-06; false;0.046531;0.87; 0.0382103000;0.007073899999999999; 0.0498794000; 0.0002208000; False; 0.0595211000; 0.1484671000;1.43; 0.091995295; 0.085524483; 0.023588991; 0.003375089; false; 0.119582145; 0.359323981
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;12.29;11.3852;2.35802;0.084279;0.000244;8e-05; false;13.8331;12.31;11.2017; 2.35052; 0.01792; 0.08974; 0.006856; 0.006635; false; 13.6787;14.22;13.6565;2.01972;0.001586;0.179513;0.002908;0.002627; false;15.8692;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;14.44;12.951;3.09839;0.004741;0.000161;1.9e-05;3.3e-05; false;16.0617;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.84;0.772375;0.181541;0.002509;7.5e-05;2e-05; false;0.957657;1.38;1.26267; 0.259701; 0.004083; 0.008571; 0.00131; 0.001326; false; 1.53927;1.38;1.26189;0.264515;0.000506;0.003269;0.001428;0.000793; false;1.53498;8.59; 7.6196; 0.0061; 0.1120; 0.1128; 0.0014; 0.0036; False; 0.1178; 7.7438;7.38; 6.6869; 0.0027; 0.0182; 0.0191; 0.0001; False; 0.0192; 6.7089;8.75; 0.033561519; 0.061495713; 3.0468E-5; false; 0.068538621; 0.244786261;1.03;0.929859;0.252941;0.001125;8.8e-05;1.6e-05;1.6e-05; false;1.18553;8.29; 0.0451476000;0.0094643; 0.0786932000; 0.0001951000; False; 0.0910041000; 0.1932322000;8.12; 0.049536089; 0.179271334; 0.055170392; 0.009274297; false; 0.263770338; 0.461046091
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.13;0.117522;0.028829;0.00244;6.7e-05;1.7e-05; false;0.150152;0.14;0.123183; 0.030074; 0.001782; 0.005127; 0.000581; 0.00057; false; 0.162453;0.14;0.12268;0.034176;0.000445;0.003141;0.001304;0.000783; false;0.165508;1.09; 0.2656; 0.0024; 0.0521; 0.0525; 0.0007; 0.0017; False; 0.0550; 0.3231;1.06; 0.2632; 0.0021; 0.0171; 0.0180; 0.0001; False; 0.0181; 0.2836;1.69; 0.032419023; 0.069299465; 3.5086E-5; false; 0.08753219; 0.240896886;0.22;0.200526;0.041027;0.000774;6.9e-05;1.4e-05;1.2e-05; false;0.24402;0.93; 0.0271949000;0.0059646000000000005; 0.0582380000; 0.0002042000; False; 0.0664096000; 0.1289642000;2.09; 0.067116909; 0.161958907; 0.020889479; 0.002214893; false; 0.202623077; 0.407366869
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.58;0.528156;0.1216;0.003953;0.000119;3.3e-05; false;0.655549;0.52;0.498706; 0.07623; 0.002208; 0.005676; 0.000683; 0.000657; false; 0.585008;0.53;0.472119;0.116435;0.000494;0.003369;0.001373;0.000817; false;0.59686;1.9; 0.9691; 0.0030; 0.0641; 0.0647; 0.0008; 0.0021; False; 0.0676; 1.0399;1.8; 0.9611; 0.0025; 0.0205; 0.0215; 0.0001; False; 0.0216; 0.9854;2.64; 0.034436116; 0.097160086; 3.6835E-5; false; 0.11211611; 0.283467436;0.5;0.450143;0.117297;0.001093;0.000109;1.9e-05;1.6e-05; false;0.57025;2.44; 0.0460507000;0.0057211; 0.0887522000; 0.0001926000; False; 0.0967470000; 0.2400770000;2.34; 0.053196264; 0.162330664; 0.029888842; 0.001880087; false; 0.19989275; 0.385701741
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.01;0.011725;0.008082;0.000192;2.5e-05;9e-06; false;0.021249;0.01;0.012932; 0.007848; 0.000532; 0.000732; 0.000148; 0.000153; false; 0.02349;0.02;0.013049;0.007911;7.3e-05;0.001092;0.000632;0.000164; false;0.024971;1.14; 0.0205; 0.0003; 0.0021; 0.0022; 0.0002; 0.0001; False; 0.0025; 0.0235;0.97; 0.0331; 0.0005; 0.0014; 0.0018; 0.0000; False; 0.0019; 0.0356;0.9; 0.017565726; 0.009205203; 3.0189E-5; false; 0.016098816; 0.114306293;0.0;0.007215;0.005539;0.000153;3.4e-05;8e-06;5e-06; false;0.013991;0.89; 0.0397207000;0.0103108; 0.0484559000; 0.0001930000; False; 0.0615248000; 0.1571683000;1.17; 0.03029868; 0.118464688; 0.026222802; 0.003834304; false; 0.162543218; 0.280623333
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.2;0.176057;0.045872;0.00393;9.7e-05;2.8e-05; false;0.227803;0.23;0.197123; 0.044127; 0.003464; 0.008337; 0.000947; 0.00094; false; 0.25662;0.22;0.200739;0.047104;0.000516;0.00363;0.001366;0.000759; false;0.25725;1.74; 0.4599; 0.0050; 0.0979; 0.0982; 0.0007; 0.0017; False; 0.1007; 0.5659;1.61; 0.4009; 0.0035; 0.0295; 0.0311; 0.0001; False; 0.0312; 0.4360;1.81; 0.061576356; 0.067808907; 3.543E-5; false; 0.075945694; 0.259154416;0.12;0.114716;0.025874;0.000462;4.9e-05;1e-05;9e-06; false;0.142241;1.47; 0.0579523000;0.0095967; 0.0922354000; 0.0001912000; False; 0.1046559000; 0.2278919000;1.86; 0.069335321; 0.15994673; 0.026926909; 0.002447239; false; 0.197712858; 0.39059302
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.65;0.60276;0.121158;0.004151;0.000118;1.3e-05; false;0.729832;0.6;0.543503; 0.116871; 0.00391; 0.008201; 0.00085; 0.000946; false; 0.676003;0.65;0.607147;0.117665;0.000569;0.00342;0.001463;0.000863; false;0.733463;2.92; 1.8006; 0.0055; 0.0935; 0.0942; 0.0012; 0.0031; False; 0.0986; 1.9050;2.85; 1.7648; 0.0042; 0.0350; 0.0370; 0.0001; False; 0.0371; 1.8065;3.29; 0.030698517; 0.080281598; 3.7814E-5; false; 0.086798102; 0.251184815;0.61;0.568958;0.120398;0.001119;0.000108;1.7e-05;1.7e-05; false;0.692016;2.36; 0.0468513000;0.0091702; 0.0998403000; 0.0002725000; False; 0.1116526000; 0.2203915000;3.18; 0.048481358; 0.162492155; 0.030024037; 0.001543603; false; 0.200486668; 0.395673987
