name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-concat;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-concat;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;java-brics-runtime;java-brics-construction;java-brics-concat;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.0; 6.5e-05;0.00035000000000000005;0.00043499999999999995; 7.9e-05; false; 0.001934;0.01; 0.000109; 1e-05;0.005532;0.0038109999999999997; 0.001581; false; 0.01266;1.16; 0.0063; 0.0000;0.0052;0.0011; 0.0004; False; 0.0070; 0.0140;1.9; 0.0061; 0.0001;0.7407;0.01; 0.0406; False; 0.7918; 0.7988;0.75; 0.005906946;0.041885714000000004; 3.0646E-5; false; 0.053270235; 0.12994672
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.0; 4.7e-05;0.00041299999999999996;0.000442; 7.9e-05; false; 0.001912;0.0; 5.9e-05; 7e-06;0.002953;0.002267; 0.000935; false; 0.00711;1.15; 0.0057; 0.0000;0.006;0.001; 0.0004; False; 0.0078; 0.0143;1.83; 0.0049; 0.0001;0.8573;0.0107; 0.0764; False; 0.9447; 0.9512;1.05; 0.00591947;0.017098913; 4.1549E-5; false; 0.029027895; 0.100380959
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.0; 6.1e-05;0.000335;0.00044699999999999997; 7.8e-05; false; 0.001869;0.0; 6e-05; 1.1e-05;0.003323;0.002468; 0.000933; false; 0.007887;1.21; 0.0063; 0.0000;0.0051;0.0011; 0.0004; False; 0.0070; 0.0139;1.88; 0.0048; 0.0001;0.9599000000000001;0.0125; 0.0745; False; 1.0471; 1.0534;1.01; 0.006917145;0.040971999999999995; 2.6588E-5; false; 0.055531485; 0.136287119
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.0; 7.8e-05;0.000555;0.00052; 0.00012; false; 0.002342;0.01; 9.2e-05; 9e-06;0.005056;0.0037129999999999997; 0.001603; false; 0.011875;1.25; 0.0065; 0.0000;0.0056;0.0011; 0.0004; False; 0.0074; 0.0145;2.17; 0.0049; 0.0001;1.0718;0.0137; 0.0805; False; 1.1665; 1.1726;1.01; 0.005744726;0.016267028; 2.5498E-5; false; 0.02695147; 0.097838166
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.0; 9.4e-05;0.000658;0.0005889999999999999; 0.000131; false; 0.002712;0.01; 0.000102; 1e-05;0.005611;0.004218; 0.001904; false; 0.013408;1.11; 0.0048; 0.0000;0.004200000000000001;0.0006000000000000001; 0.0003; False; 0.0054; 0.0106;2.33; 0.0066; 0.0001;1.1627999999999998;0.0144; 0.0763; False; 1.2537; 1.2618;0.94; 0.004974313;0.024815071; 2.0071E-5; false; 0.052906573; 0.127220199
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.0; 8.2e-05;0.000544;0.000521; 0.000119; false; 0.002398;0.01; 9.6e-05; 1.1e-05;0.005309;0.0037689999999999998; 0.00156; false; 0.012373;1.05; 0.0045; 0.0000;0.0036;0.0005; 0.0002; False; 0.0048; 0.0097;2.22; 0.0046; 0.0001;0.9894000000000001;0.012; 0.0772; False; 1.0789; 1.0851;0.95; 0.004305085;0.013946321; 2.3104E-5; false; 0.023238437; 0.078843402
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.0; 0.000111;0.00065;0.000529; 7.6e-05; false; 0.002491;0.0; 6.4e-05; 7e-06;0.0032570000000000003;0.0024159999999999997; 0.000928; false; 0.007767;0.97; 0.0064; 0.0000;0.006;0.0012000000000000001; 0.0011; False; 0.0087; 0.0159;1.91; 0.0065; 0.0001;0.7998000000000001;0.0119; 0.0771; False; 0.8892; 0.8973;0.92; 0.005712091;0.015665129; 2.0576E-5; false; 0.025698347; 0.097894775
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.0; 8e-05;0.0005530000000000001;0.00051; 0.000113; false; 0.002323;0.01; 9e-05; 1e-05;0.005215;0.0037430000000000002; 0.001597; false; 0.012072;1.21; 0.0070; 0.0000;0.006500000000000001;0.0013; 0.0005; False; 0.0087; 0.0165;1.89; 0.0068; 0.0001;0.7138;0.0154; 0.0777; False; 0.8074; 0.8156;0.82; 0.004739269;0.021546518; 1.5991E-5; false; 0.029564325; 0.092545397
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.0; 8.4e-05;0.000562;0.000516; 0.000114; false; 0.002359;0.01; 8.5e-05; 1.5e-05;0.0050290000000000005;0.0037279999999999995; 0.001682; false; 0.012046;1.18; 0.0065; 0.0000;0.004999999999999999;0.001; 0.0004; False; 0.0068; 0.0139;1.68; 0.0072; 0.0001;0.7018;0.0127; 0.0740; False; 0.7890; 0.7972;0.98; 0.005354457;0.014995008; 1.8839E-5; false; 0.023893555; 0.094353345
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.0; 8.9e-05;0.000658;0.000616; 0.000132; false; 0.002718;0.01; 0.000119; 1.2e-05;0.005875999999999999;0.004316; 0.00184; false; 0.013966;1.16; 0.0070; 0.0000;0.0059;0.0012000000000000001; 0.0005; False; 0.0080; 0.0155;2.36; 0.0067; 0.0001;1.1292;0.015; 0.0790; False; 1.2236; 1.2315;0.89; 0.006162468;0.017806755; 2.4145E-5; false; 0.02919373; 0.111578765
