name;automata-runtime;automata-construction;automata-trim;automata-uni;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-rhs.mata;0.2;0.1388441;0.0081932; 0.0076165000; 0.0002703000; False; 0.0188908000; 0.1980302000;0.35; 0.295637; 0.083995; 0.000537; 0.000692; 0.00014; false; 0.393014;0.32; 0.265171; 0.078219; 0.000522; 0.000609; 0.000107; false; 0.356219;0.36; 0.273869; 0.105227; 0.000525; 0.000631; 0.000123; false; 0.394469;0.41; 0.323818; 0.078778;0.017701; 0.004866; 0.008605; 0.008969; false; 0.452097;0.37; 0.281515; 0.083009;0.002999; 0.002643; 0.005783; 0.00569; false; 0.394642;ERR;1.3; 0.4052; 0.0000; 0.0034; 0.0021; 0.0020; False; 0.0077; 0.4153;2.78; 0.3968; 0.2366; 1.0044; 0.0065; 0.2507; False; 1.2617; 1.8968;TO;TO;2.0;0.076175229; 0.010984999; 3.1263E-5; false; 0.019867248; 0.266930335
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-rhs.mata;0.21;0.1540417;0.0095412; 0.0085006000; 0.0002803000; False; 0.0215294000; 0.2178837000;0.4; 0.325771; 0.092677; 0.000556; 0.000737; 0.000124; false; 0.432618;0.36; 0.309782; 0.084526; 0.000567; 0.000756; 0.000136; false; 0.408507;0.38; 0.31882; 0.089597; 0.00056; 0.000857; 0.000153; false; 0.423467;0.48; 0.331721; 0.09758;0.023538; 0.008573; 0.017942; 0.020762; false; 0.515266;0.41; 0.291156; 0.106741;0.006342; 0.006123; 0.008913; 0.0081; false; 0.451208;ERR;1.33; 0.4309; 0.0000; 0.0035; 0.0027; 0.0022; False; 0.0085; 0.4417;2.9; 0.4283; 0.2632; 1.1041; 0.0074; 0.2863; False; 1.3978; 2.0908;TO;TO;2.26;0.119620911; 0.014512741; 2.7111E-5; false; 0.02289223; 0.32784265
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-rhs.mata;0.15;0.0812662;0.0091797; 0.0077958000; 0.0002506000; False; 0.0212478000; 0.1620172000;0.05; 0.051933; 0.016524; 6.6e-05; 6e-05; 2.1e-05; false; 0.070517;0.04; 0.036544; 0.01038; 6.6e-05; 5.5e-05; 2.2e-05; false; 0.048818;0.05; 0.046081; 0.011; 6.8e-05; 6.2e-05; 2.1e-05; false; 0.05906;0.03; 0.028972; 0.011538;0.0016480000000000002; 0.000404; 0.000374; 0.000384; false; 0.044952;0.04; 0.029153; 0.011406;0.00031999999999999997; 0.000867; 0.001107; 0.000559; false; 0.046103;ERR;0.96; 0.0471; 0.0000; 0.0005; 0.0001; 0.0001; False; 0.0008; 0.0481;0.96; 0.0506; 0.0042; 0.0136; 0.0007; 0.0034; False; 0.0178; 0.0729;TO;TO;1.07;0.020521314; 0.001909439; 2.5693E-5; false; 0.00788217; 0.141174643
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-rhs.mata;0.21;0.1557111;0.008236799999999999; 0.0079743000; 0.0002483000; False; 0.0193679000; 0.2182803000;0.42; 0.337467; 0.102422; 0.00059; 0.000747; 0.000141; false; 0.456323;0.35; 0.293304; 0.089454; 0.000584; 0.000778; 0.000158; false; 0.397913;0.41; 0.345346; 0.083546; 0.001; 0.000717; 0.000122; false; 0.443021;0.41; 0.302577; 0.087545;0.021676; 0.006813; 0.009154; 0.010472; false; 0.449595;0.38; 0.296205; 0.090262;0.004094; 0.002791; 0.006214; 0.006018; false; 0.418004;ERR;1.4; 0.5198; 0.0000; 0.0048; 0.0030; 0.0029; False; 0.0109; 0.5324;3.34; 0.4608; 0.3456; 1.2792; 0.0071; 0.3038; False; 1.5902; 2.3982;TO;TO;2.21;0.11136541900000001; 0.017372917; 4.9985E-5; false; 0.026358504; 0.313690627
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-rhs.mata;0.09;0.0518016;0.00594; 0.0048748000; 0.0001313000; False; 0.0136583000; 0.1029260000;0.07; 0.059763; 0.015628; 9.5e-05; 8.8e-05; 3.6e-05; false; 0.078301;0.05; 0.044482; 0.015389; 9.6e-05; 9.3e-05; 3e-05; false; 0.062571;0.06; 0.048942; 0.014308; 0.000196; 0.000136; 4.3e-05; false; 0.066804;0.09; 0.067942; 0.023687;0.004314; 0.001189; 0.001035; 0.000973; false; 0.102242;0.06; 0.05691; 0.016698;0.000555; 0.000921; 0.0013; 0.000815; false; 0.080743;ERR;1.0; 0.0759; 0.0000; 0.0011; 0.0004; 0.0003; False; 0.0019; 0.0782;1.01; 0.0720; 0.0081; 0.0289; 0.0010; 0.0066; False; 0.0365; 0.1169;TO;TO;1.26;0.033194513; 0.003898532; 4.2222E-5; false; 0.018172619; 0.159308512
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-rhs.mata;0.12;0.0615396;0.0063823000000000005; 0.0069328000; 0.0002687000; False; 0.0164769000; 0.1180683000;0.07; 0.058326; 0.019626; 0.000121; 9.5e-05; 3.8e-05; false; 0.08093;0.11; 0.094337; 0.022421; 0.000124; 0.000125; 5.8e-05; false; 0.120275;0.07; 0.058063; 0.019342; 0.000123; 0.000133; 4e-05; false; 0.080622;0.09; 0.081733; 0.02129;0.003172; 0.00079; 0.000683; 0.000754; false; 0.110593;0.09; 0.079319; 0.017789;0.000562; 0.000851; 0.001307; 0.000973; false; 0.103775;ERR;1.02; 0.0997; 0.0000; 0.0011; 0.0004; 0.0005; False; 0.0021; 0.1024;1.06; 0.0900; 0.0134; 0.0507; 0.0013; 0.0114; False; 0.0635; 0.1671;TO;TO;1.35;0.083851707; 0.004972454; 5.5068E-5; false; 0.01438044; 0.262766122
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-rhs.mata;0.11;0.0651739;0.006933899999999999; 0.0054360000; 0.0001426000; False; 0.0153282000; 0.1195097000;0.1; 0.091296; 0.025908; 0.000144; 0.000114; 4.7e-05; false; 0.120769;0.09; 0.073105; 0.02232; 0.000146; 0.000118; 5.4e-05; false; 0.098662;0.09; 0.074282; 0.028914; 0.000157; 0.000197; 5.4e-05; false; 0.107194;0.09; 0.071364; 0.022268;0.003952; 0.000968; 0.000879; 0.00091; false; 0.102801;0.09; 0.070495; 0.022561;0.000797; 0.00109; 0.001762; 0.001268; false; 0.102365;ERR;1.11; 0.1421; 0.0000; 0.0010; 0.0004; 0.0003; False; 0.0018; 0.1442;1.16; 0.1155; 0.0203; 0.0783; 0.0026; 0.0181; False; 0.0991; 0.2354;TO;TO;1.3;0.036709484; 0.004502017; 3.6042E-5; false; 0.012074184; 0.147680264
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-rhs.mata;0.12;0.0666369;0.006117599999999999; 0.0070509000; 0.0001795000; False; 0.0159350000; 0.1182736000;0.11; 0.100475; 0.026133; 0.000169; 0.000154; 5.8e-05; false; 0.130717;0.12; 0.108647; 0.026335; 0.000176; 0.000147; 5.7e-05; false; 0.13884;0.11; 0.10041; 0.027545; 0.000182; 0.00014; 5.7e-05; false; 0.132327;0.11; 0.087136; 0.026481;0.004834; 0.001426; 0.001185; 0.001213; false; 0.125334;0.11; 0.086054; 0.029429;0.001719; 0.00227; 0.003628; 0.002886; false; 0.132965;ERR;1.06; 0.1353; 0.0000; 0.0011; 0.0004; 0.0004; False; 0.0020; 0.1378;1.2; 0.1632; 0.0286; 0.1113; 0.0020; 0.0252; False; 0.1386; 0.3309;TO;TO;1.4;0.053069576; 0.005463791; 3.9894E-5; false; 0.014787279; 0.206848747
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-rhs.mata;0.12;0.0733684;0.0062814; 0.0056280000; 0.0001452000; False; 0.0146754000; 0.1250373000;0.12; 0.111053; 0.031075; 0.0002; 0.000175; 6.7e-05; false; 0.146806;0.18; 0.180178; 0.033727; 0.000209; 0.000184; 6.8e-05; false; 0.218376;0.12; 0.099612; 0.030353; 0.000216; 0.000177; 6.9e-05; false; 0.134628;0.13; 0.09894; 0.030463;0.005717; 0.001625; 0.001482; 0.001494; false; 0.14319;0.14; 0.11065; 0.029293;0.001056; 0.001279; 0.00225; 0.001783; false; 0.150597;ERR;1.09; 0.1878; 0.0000; 0.0013; 0.0005; 0.0005; False; 0.0024; 0.1908;1.27; 0.1611; 0.0392; 0.1528; 0.0024; 0.0587; False; 0.2139; 0.4148;TO;TO;1.52;0.061750194999999994; 0.013311267; 5.2518E-5; false; 0.024600752; 0.277165822
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-rhs.mata;0.14;0.0976452;0.0110109; 0.0106639000; 0.0002598000; False; 0.0280214000; 0.1643176000;0.17; 0.136382; 0.041972; 0.00024; 0.000338; 9e-05; false; 0.184435;0.16; 0.12812; 0.047738; 0.000252; 0.00027; 8.2e-05; false; 0.182888;0.14; 0.132698; 0.032261; 0.000246; 0.000203; 7.7e-05; false; 0.1699;0.16; 0.12995; 0.032927;0.006831; 0.002037; 0.002222; 0.002282; false; 0.180118;0.15; 0.115907; 0.035091;0.001348; 0.001626; 0.002712; 0.002173; false; 0.16462;ERR;1.08; 0.1945; 0.0000; 0.0013; 0.0006; 0.0006; False; 0.0026; 0.1978;1.38; 0.1796; 0.0490; 0.2191; 0.0030; 0.0456; False; 0.2678; 0.4969;TO;TO;1.49;0.064018428; 0.005821029; 4.8092E-5; false; 0.014955501; 0.233481231
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-rhs.mata;0.13;0.0843369;0.006768700000000001; 0.0057584000; 0.0002132000; False; 0.0157135000; 0.1376133000;0.17; 0.141109; 0.042489; 0.000563; 0.000508; 0.000144; false; 0.193983;0.15; 0.131378; 0.039086; 0.00026; 0.000255; 9.1e-05; false; 0.176251;0.15; 0.131706; 0.039037; 0.000261; 0.000264; 8.9e-05; false; 0.17649;0.2; 0.162381; 0.039394;0.007972; 0.002057; 0.002657; 0.002848; false; 0.221707;0.19; 0.158807; 0.038248;0.001434; 0.001638; 0.002915; 0.002366; false; 0.210701;ERR;1.1; 0.2157; 0.0000; 0.0015; 0.0008; 0.0007; False; 0.0030; 0.2194;1.46; 0.1938; 0.0615; 0.2659; 0.0031; 0.0563; False; 0.3254; 0.5814;TO;TO;1.65;0.080735863; 0.004360658; 2.044E-5; false; 0.016300588; 0.25233208
