name;automata-runtime;automata-construction;automata-trim;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-inclusion_check;vata-inclusion_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-inclusion_check;mona-inclusion_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-inclusion;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-inclusion;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-inclusion_check;java-brics-inclusion_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.21;0.1324589;0.0076468; 0.0296584000; False; 0.0388425000; 0.2008822000;0.3; 0.233098; 0.082124; 0.000546; false; 0.332395;0.29; 0.225942; 0.08129; 0.00115; 0.000476; false; 0.325469;0.27; 0.20393; 0.081653; 0.000562; false; 0.302904;0.38; 0.215027; 0.082652;0.046055; 0.041426; false; 0.399571;0.3; 0.205303; 0.083032;0.006197; 0.022706; false; 0.333585;21.1; 0.228858; 0.069708; 0.00519; false; 0.572275;1.16; 0.3788; 0.0000; 0.0014; False; 0.0014; 0.3809;11.42; 0.3333; 1.2162; 9.1150; False; 9.1150; 10.6658;1.2; 0.3275; 0.0580;0.067; 0.0675; False; 0.0676; 0.4545;3.89;0.5831955729999999; 0.053271938; false; 0.059208815; 0.827232141;2.5;0.211384874; 0.021345203; false; 0.027965971; 0.453342116
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.19;0.136746;0.0077189; 0.0248592000; False; 0.0340380000; 0.1955744000;0.27; 0.206111; 0.083629; 0.000718; false; 0.309024;0.28; 0.205945; 0.083904; 0.002008; 0.000596; false; 0.311231;0.27; 0.205274; 0.08271; 0.000592; false; 0.305611;0.41; 0.24406; 0.081723;0.044865999999999996; 0.044878; false; 0.431761;0.3; 0.205743; 0.081825;0.005941999999999999; 0.021156; false; 0.33144;20.6; 0.225639; 0.074095; 0.005282; false; 0.59788;1.09; 0.3433; 0.0000; 0.0011; False; 0.0011; 0.3451;15.2; 0.3339; 1.2205; 12.9438; False; 12.9438; 14.4994;1.24; 0.3487; 0.0589;0.06830000000000001; 0.0690; False; 0.0691; 0.4783;4.35;0.6369885710000001; 0.069883316; false; 0.075575071; 0.910429535;2.46;0.218845569; 0.024818271; false; 0.03195846; 0.445615001
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.21;0.1314029;0.0074711; 0.0298729000; False; 0.0388736000; 0.1989584000;0.29; 0.214721; 0.081895; 0.000577; false; 0.315394;0.28; 0.213812; 0.080991; 0.001198; 0.000494; false; 0.313349;0.31; 0.240678; 0.082018; 0.000557; false; 0.340219;0.36; 0.203539; 0.080308;0.044205; 0.038884; false; 0.38162;0.3; 0.217066; 0.080705;0.006006; 0.02091; false; 0.339879;20.96; 0.209208; 0.070369; 0.005676; false; 0.605143;1.09; 0.3295; 0.0000; 0.0014; False; 0.0014; 0.3316;11.51; 0.3466; 1.2045; 9.2617; False; 9.2617; 10.8141;1.2; 0.3286; 0.0582;0.0681; 0.0687; False; 0.0687; 0.4570;3.97;0.614603382; 0.057059945; false; 0.06291707; 0.938185128;2.51;0.164794421; 0.014198328; false; 0.020244243; 0.374934513
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T27-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T27-rhs.mata;0.23;0.1466701;0.0079992; 0.0347275000; False; 0.0445943000; 0.2228141000;0.45; 0.365515; 0.115676; 0.000669; false; 0.500389;0.34; 0.25491; 0.092327; 0.00578; 0.000526; false; 0.375173;0.31; 0.232336; 0.087093; 0.000676; false; 0.340487;0.68; 0.209951; 0.087036;0.046173; 0.353; false; 0.712797;0.37; 0.262612; 0.089973;0.006405; 0.020306; false; 0.397856;21.0; 0.214693; 0.075689; 0.004024; false; 0.592319;1.1; 0.3410; 0.0000; 0.0014; False; 0.0014; 0.3431;18.63; 0.3353; 1.1750; 16.4537; False; 16.4538; 17.9654;1.21; 0.3414; 0.0605;0.0699; 0.0712; False; 0.0712; 0.4747;3.98;0.54919617; 0.078473039; false; 0.084657211; 0.85521496;2.31;0.15281100299999997; 0.021680525; false; 0.027873159; 0.389745093
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T28-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T28-rhs.mata;0.19;0.1342186;0.0074329; 0.0246897000; False; 0.0336897000; 0.1923703000;0.3; 0.232707; 0.083971; 0.000712; false; 0.336102;0.27; 0.205881; 0.082874; 0.001979; 0.000512; false; 0.308483;0.29; 0.229254; 0.085356; 0.000611; false; 0.333147;0.43; 0.228329; 0.089755;0.051356; 0.055948; false; 0.443436;0.33; 0.223987; 0.083998;0.005933000000000001; 0.020603; false; 0.349872;21.14; 0.214065; 0.074781; 0.010199; false; 0.776529;1.09; 0.3314; 0.0000; 0.0013; False; 0.0014; 0.3335;15.42; 0.3314; 1.1396; 13.2588; False; 13.2588; 14.7311;1.29; 0.3560; 0.0626;0.08320000000000001; 0.0846; False; 0.0846; 0.5059;4.09;0.844017896; 0.062974005; false; 0.06939627; 1.139829945;2.66;0.293041188; 0.022936813; false; 0.029440753; 0.612859635
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T29-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T29-rhs.mata;0.28;0.17977179999999998;0.009748; 0.0428591000; False; 0.0545146000; 0.2702662000;0.29; 0.216809; 0.090417; 0.000729; false; 0.327198;0.31; 0.217445; 0.092321; 0.006624; 0.000426; false; 0.336945;0.3; 0.225931; 0.091125; 0.000574; false; 0.336297;0.72; 0.217023; 0.091452;0.046787; 0.375863; false; 0.748531;0.32; 0.21309; 0.086994;0.0061909999999999995; 0.022232; false; 0.346075;21.43; 0.230847; 0.075706; 0.004294; false; 0.620957;1.11; 0.3409; 0.0000; 0.0010; False; 0.0010; 0.3427;21.06; 0.3926; 1.1948; 18.7450; False; 18.7451; 20.3339;1.24; 0.3383; 0.0594;0.0687; 0.0703; False; 0.0703; 0.4696;4.45;0.6781455019999999; 0.080992782; false; 0.088454666; 0.994264657;2.43;0.17125622100000001; 0.029990658; false; 0.037004001; 0.408308581
/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-rhs.mata;0.69;0.2244707;0.0084583; 0.4074564000; True; 0.4176624000; 0.6685986000;0.51; 0.350657; 0.153258; 0.012081; true; 0.549735;0.53; 0.362601; 0.156958; 0.001749; 0.0121; true; 0.569304;0.51; 0.354127; 0.159185; 0.010816; true; 0.555605;2.43; 0.364543; 0.159179;0.083437; 1.82444; true; 2.46111;0.61; 0.36021; 0.151336;0.010024; 0.100445; true; 0.651647;35.21; 0.348925; 0.155434; 0.003404; true; 1.10462;1.34; 0.5553; 0.0000; 0.0144; True; 0.0144; 0.5708;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.66; 0.6145; 0.1461;0.11810000000000001; 0.1278; True; 0.1278; 0.8916;4.66;0.629196401; 0.048512911; true; 0.054900369; 0.97701106;4.05;0.305197357; 0.192660421; true; 0.200374301; 0.765614471
/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-rhs.mata;0.94;0.2288111;0.0093409; 0.6106495000; True; 0.6218384000; 0.8766629000;0.55; 0.382436; 0.156235; 0.012798; true; 0.589674;0.53; 0.361019; 0.159431; 0.001752; 0.01178; true; 0.567101;0.53; 0.375652; 0.157064; 0.011342; true; 0.578252;2.62; 0.37759; 0.159494;0.09260499999999999; 1.97063; true; 2.63456;0.64; 0.378575; 0.150584;0.010503; 0.10207; true; 0.674779;37.33; 0.395512; 0.1634; 0.00357; true; 1.21199;1.35; 0.5861; 0.0000; 0.0162; True; 0.0162; 0.6037;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.7; 0.5959; 0.1506;0.1234; 0.1334; True; 0.1334; 0.8826;5.72;0.8269503539999999; 0.070723404; true; 0.077638992; 1.182824305;4.06;0.342546312; 0.202953381; true; 0.210709559; 0.820162552
/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.85;0.2542318;0.010795299999999999; 0.5342206000; True; 0.5470557000; 0.8290722000;0.58; 0.383949; 0.172382; 0.024239; true; 0.624823;0.58; 0.389041; 0.176687; 0.001936; 0.015171; true; 0.629441;0.59; 0.395538; 0.180927; 0.014027; true; 0.63416;3.15; 0.397307; 0.171289;0.10005700000000001; 2.45249; true; 3.15801;0.72; 0.402932; 0.172404;0.011887; 0.141079; true; 0.767017;41.31; 0.388371; 0.14239; 0.004482; true; 1.25546;1.49; 0.6411; 0.0000; 0.0177; True; 0.0178; 0.6602;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.76; 0.6433; 0.1626;0.1446; 0.1558; True; 0.1558; 0.9648;4.72;0.653601137; 0.048940198; true; 0.054902457; 0.962210831;4.1;0.366471933; 0.177355701; true; 0.184750819; 0.866213887
/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;0.84;0.247218;0.0101735; 0.5283662000; True; 0.5402455000; 0.8149486000;0.59; 0.407992; 0.178336; 0.015566; true; 0.644214;0.61; 0.428043; 0.177061; 0.002057; 0.01554; true; 0.66352;0.59; 0.41305; 0.17544; 0.014596; true; 0.64396;3.33; 0.427628; 0.173356;0.101072; 2.60641; true; 3.34545;0.73; 0.401769; 0.176384;0.01215; 0.148114; true; 0.776817;42.5; 0.417237; 0.167063; 0.003799; true; 1.21125;1.43; 0.6420; 0.0000; 0.0188; True; 0.0188; 0.6653;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.89; 0.6688; 0.1706;0.1577; 0.1716; True; 0.1716; 1.0143;5.68;0.8348801690000001; 0.071566621; true; 0.077547107; 1.231023779;3.85;0.33332564200000003; 0.214352059; true; 0.221967859; 0.885529227
