name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-concat;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-concat;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-concat;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;java-brics-runtime;java-brics-construction;java-brics-concat;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11716-1.mata;0.0; 9.2e-05;0.0005560000000000001;0.000508; 0.000113; false; 0.002361;0.04; 6.5e-05;0.044198;0.000317;0.000283; 4e-05; false; 0.045737;0.0; 5.5e-05;0.00029099999999999997;0.00030199999999999997; 7.4e-05; false; 0.001335;0.01; 7.9e-05; 9e-06;0.005376000000000001;0.003835; 0.001709; false; 0.012277;0.81; 0.0047; 0.0000;0.003;0.0005; 0.0002; False; 0.0042; 0.0092;1.46; 0.0046; 0.0000;0.6009;0.007; 0.0441; False; 0.6524; 0.6578;0.73; 0.004070322;0.013565237; 2.1478E-5; false; 0.022331773; 0.073132287
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11716-2.mata;0.57; 0.005131;0.209358;0.049422999999999995; 0.005944; false; 0.591371;0.67; 0.004973;0.199879;0.147501;0.045913; 0.006697; false; 0.704681;0.54; 0.005307;0.191477;0.048513; 0.005705; false; 0.574559;1.38; 0.004983; 0.000398;0.5577000000000001;0.596568; 0.291351; false; 1.46093;1.81; 0.0088; 0.0000;0.8662;0.1474; 0.0198; False; 1.0340; 1.0962;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.34; 0.020880883;0.148421007; 3.3184E-5; false; 0.157799623; 0.261468598
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11716-3.mata;0.04; 0.000457;0.013928;0.004285000000000001; 0.000872; false; 0.044941;0.19; 0.000246;0.16282100000000002;0.007851;0.004027; 0.000737; false; 0.19333;0.05; 0.000436;0.01803;0.0047279999999999996; 0.000868; false; 0.053961;0.1; 0.000249; 2.3e-05;0.04175;0.041044; 0.021689; false; 0.107722;0.85; 0.0049; 0.0000;0.0655;0.011; 0.0026; False; 0.0794; 0.0888;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;0.93; 0.007789176;0.057174659; 3.8035E-5; false; 0.065340302; 0.124802723
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11716-4.mata;0.05; 0.000213;0.015948999999999998;0.016494; 0.004271; false; 0.06632;0.07; 0.000215;0.018558;0.012702000000000001;0.015787; 0.004274; false; 0.081068;0.05; 0.000235;0.015842000000000002;0.016389; 0.004215; false; 0.065992;0.32; 0.000234; 2.6e-05;0.129665;0.146585; 0.073662; false; 0.358923;2.53; 0.0051; 0.0000;0.21660000000000001;1.4746; 0.0149; False; 1.7064; 1.7185;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.76; 0.008472331;0.36326929799999996; 2.7929E-5; false; 0.373664565; 0.434269995
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11716-5.mata;0.0; 5.5e-05;0.000385;0.00039900000000000005; 8.7e-05; false; 0.001774;0.05; 7.1e-05;0.053578;0.00043799999999999997;0.000289; 4.1e-05; false; 0.055533;0.0; 5.5e-05;0.000307;0.000331; 7.5e-05; false; 0.001373;0.01; 0.000111; 9e-06;0.005301;0.003786; 0.001676; false; 0.01212;0.84; 0.0046; 0.0000;0.003;0.0005; 0.0002; False; 0.0042; 0.0092;1.41; 0.0046; 0.0000;0.5341;0.0069; 0.0411; False; 0.5823; 0.5877;0.76; 0.004103613;0.013900208; 2.557E-5; false; 0.023693526; 0.074845755
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11716-6.mata;0.0; 5.4e-05;0.000295;0.000306; 7.5e-05; false; 0.001372;0.04; 6.8e-05;0.056006;0.000384;0.000271; 4.6e-05; false; 0.057805;0.0; 5.5e-05;0.000285;0.00031999999999999997; 8.7e-05; false; 0.001357;0.01; 8.3e-05; 7e-06;0.003236;0.002404; 0.000965; false; 0.007658;0.86; 0.0045; 0.0000;0.0035;0.0006000000000000001; 0.0003; False; 0.0046; 0.0095;1.43; 0.0046; 0.0000;0.5344;0.0071; 0.0416; False; 0.5834; 0.5888;0.76; 0.004235203;0.013229668; 1.6459E-5; false; 0.020449426; 0.072394433
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11829-1.mata;2.74; 0.024685;0.937823;0.26229199999999997; 0.019636; false; 2.86676;3.13; 0.013925;0.5627449999999999;0.77132;0.26244500000000004; 0.017432; false; 3.2497;2.8; 0.014704;0.995566;0.271717; 0.017046; false; 2.93012;6.89; 0.014939; 0.000979;2.7501830000000003;2.998163; 1.55774; false; 7.38283;10.42; 0.0251; 0.0000;4.442;5.1259; 0.1135; False; 9.6817; 9.9922;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;4.31; 0.057645373;1.1973085550000002; 3.9663E-5; false; 1.206535376; 1.39550294
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11829-2.mata;0.01; 9.2e-05;0.003717;0.003251; 0.000757; false; 0.014458;0.03; 0.000177;0.023275999999999998;0.0037089999999999996;0.003231; 0.000759; false; 0.039137;0.01; 9.2e-05;0.003619;0.003345; 0.00076; false; 0.014485;0.06; 0.000112; 1.3e-05;0.027299;0.027677; 0.013322; false; 0.070868;0.88; 0.0046; 0.0000;0.036500000000000005;0.0673; 0.0034; False; 0.1073; 0.1141;14.94; 0.0048; 0.0001;12.7025;0.0397; 1.4046; False; 14.1470; 14.1558;0.87; 0.006735891;0.086472946; 2.2343E-5; false; 0.096629826; 0.162487427
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11829-3.mata;0.04; 0.000291;0.017678;0.011904000000000001; 0.001783; false; 0.059889;0.05; 0.000289;0.025452999999999996;0.010307;0.008138; 0.001625; false; 0.067468;0.03; 0.000188;0.011477;0.007539; 0.001725; false; 0.041283;0.16; 0.000202; 2.1e-05;0.057844;0.066428; 0.030498; false; 0.159843;1.18; 0.0048; 0.0000;0.0936;0.2706; 0.0056; False; 0.3700; 0.3793;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.17; 0.008568296;0.14783583099999997; 2.4313E-5; false; 0.158615547; 0.22840749
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11829-4.mata;1.1; 0.005601;0.385676;0.107855; 0.017202; false; 1.1846;1.27; 0.005661;0.221794;0.321229;0.10814499999999999; 0.017246; false; 1.34298;1.13; 0.005965;0.391833;0.107417; 0.016876; false; 1.19025;3.21; 0.011201; 0.00093;1.175807;1.472548; 0.682472; false; 3.36511;3.83; 0.0137; 0.0000;1.8371;1.1066; 0.0506; False; 2.9948; 3.1398;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.2; 0.039181037;0.41232596499999996; 1.8974E-5; false; 0.41912272; 0.556225893
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11983-1.mata;0.08; 0.000487;0.024239999999999998;0.020741000000000002; 0.004155; false; 0.096553;0.08; 0.00027;0.022173;0.01609;0.017245999999999997; 0.004146; false; 0.096802;0.07; 0.000269;0.019613;0.017591000000000002; 0.004198; false; 0.078301;0.38; 0.000512; 5.5e-05;0.139328;0.16538; 0.07391; false; 0.389722;2.69; 0.0052; 0.0000;0.24430000000000002;1.6989; 0.0157; False; 1.9593; 1.9738;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.64; 0.011781547;0.29093566800000004; 2.4008E-5; false; 0.301583362; 0.382878237
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11983-2.mata;0.06; 0.000334;0.015981;0.014134999999999998; 0.00295; false; 0.063109;0.06; 0.000337;0.019812;0.012799999999999999;0.013366; 0.003012; false; 0.076086;0.06; 0.000357;0.018443;0.015577; 0.002964; false; 0.070063;0.27; 0.000366; 4e-05;0.103016;0.115496; 0.050434; false; 0.276442;1.79; 0.0051; 0.0000;0.1617;0.8336; 0.0106; False; 1.0061; 1.0172;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.24; 0.009617671;0.19528218600000002; 3.4092E-5; false; 0.205218435; 0.276525049
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance12028-1.mata;0.09; 0.000313;0.025296;0.022906000000000003; 0.005441; false; 0.104067;0.12; 0.000615;0.027465;0.026803;0.025895; 0.005481; false; 0.144029;0.11; 0.000596;0.030011999999999997;0.025674000000000002; 0.005448; false; 0.114704;0.47; 0.00036; 4.2e-05;0.169205;0.21294; 0.099595; false; 0.493799;3.68; 0.0052; 0.0000;0.30820000000000003;2.6246; 0.0206; False; 2.9537; 2.9699;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.05; 0.014835222;0.387083524; 2.9315E-5; false; 0.399047466; 0.477649512
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance12028-2.mata;0.13; 0.001122;0.042687;0.017379; 0.002446; false; 0.144965;0.26; 0.001147;0.154221;0.030721000000000002;0.016315999999999997; 0.002471; false; 0.273915;0.15; 0.001159;0.05249000000000001;0.01928; 0.002444; false; 0.166783;0.37; 0.000653; 5.2e-05;0.14490999999999998;0.15264899999999998; 0.078668; false; 0.384543;1.21; 0.0061; 0.0000;0.2298;0.1246; 0.0093; False; 0.3641; 0.3841;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.11; 0.017731937;0.11815423; 2.4307E-5; false; 0.12805037; 0.218564684
