name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-compl;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08717.mata;0.1; 0.0275717000;0.0056483; 0.0325588000; 0.0001411000; False; 0.0400864000; 0.1024054000;0.01; 0.012749; 0.001904; 0.000155; 6.1e-05; false; 0.017301;0.01; 0.006833; 0.005324; 0.001072; 0.00012; 7.6e-05; false; 0.014796;0.01; 0.012662; 0.001911; 0.000185; 4.3e-05; false; 0.017397;0.02; 0.011706; 0.003394; 0.00498; 0.001685; 0.001683; false; 0.025092;0.01; 0.006589; 0.000506; 0.003732; 0.0015; 0.001184; false; 0.014914;0.47; 0.010567; 1.4e-05; 5e-06; false; 0.016178;0.89; 0.0167; 0.0000; 0.0026; 0.0002; 0.0000; False; 0.0029; 0.0200;0.92; 0.0171; 0.0157; 0.0271; 0.0286; 0.0020; 0.0037; False; 0.0344; 0.0674;0.87; 0.0145; 0.0057; 0.0070; 0.0115; 0.0001; False; 0.0116; 0.0320;1.74; 0.214390283; 0.054220076; 0.002257422; false; 0.062633423; 0.398893091;1.23; 0.051101503; 0.051837248; 4.3161E-5; false; 0.059655346; 0.267986906
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08769.mata;0.17; 0.0681365000;0.0085984; 0.0359424000; 0.0001480000; False; 0.0472192000; 0.1606438000;0.03; 0.027153; 0.006514; 0.00049; 5.4e-05; false; 0.039175;0.07; 0.046559; 0.01762; 0.00696; 0.0006; 5.9e-05; false; 0.076857;0.05; 0.047073; 0.006579; 0.000532; 5.3e-05; false; 0.059237;0.13; 0.040582; 0.014931; 0.041892; 0.018861; 0.021267; false; 0.140545;0.08; 0.031656; 0.003035; 0.025329; 0.009969; 0.01003; false; 0.083878;ERR;ERR;ERR;ERR;ERR;ERR;0.96; 0.0456; 0.0000; 0.0128; 0.0007; 0.0000; False; 0.0136; 0.0604;1.5; 0.0459; 0.0276; 0.3530; 0.3703; 0.0146; 0.0578; False; 0.4428; 0.5172;0.99; 0.0472; 0.0303; 0.0670; 0.0912; 0.0001; False; 0.0913; 0.1694;2.85; 0.356376742; 0.128217849; 0.004980472; false; 0.1457026; 0.67289076;2.06; 0.117205348; 0.069099882; 3.8425E-5; false; 0.077832594; 0.431449037
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08817.mata;0.22; 0.0739609000;0.0098152; 0.0677848000; 0.0003783000; False; 0.0810725000; 0.2203585000;0.06; 0.048715; 0.009876; 0.001295; 0.000123; false; 0.068112;0.09; 0.05081; 0.030595; 0.007759; 0.001009; 6.7e-05; false; 0.098787;0.07; 0.05239; 0.014461; 0.001108; 0.000103; false; 0.078506;0.19; 0.035368; 0.021881; 0.078523; 0.029296; 0.029051; false; 0.198096;0.11; 0.05047; 0.004006; 0.034889; 0.013113; 0.013142; false; 0.121556;ERR;ERR;ERR;ERR;ERR;ERR;1.07; 0.0450; 0.0000; 0.0141; 0.0010; 0.0000; False; 0.0151; 0.0615;1.69; 0.0474; 0.0287; 0.4615; 0.4956; 0.0271; 0.0957; False; 0.6184; 0.6955;1.22; 0.0681; 0.0311; 0.0798; 0.1228; 0.0001; False; 0.1230; 0.2232;3.3; 0.391810396; 0.135178134; 0.00257792; false; 0.145427677; 0.773001594;1.82; 0.084110362; 0.06442507; 3.3575E-5; false; 0.071494957; 0.319116117
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08868.mata;0.16; 0.0597836000;0.0129012; 0.0146822000; 0.0003517000; False; 0.0310644000; 0.1509663000;0.07; 0.032207; 0.013264; 0.004288; 0.000515; false; 0.076283;0.08; 0.029822; 0.001101; 0.019047; 0.005574; 0.000547; false; 0.078977;0.04; 0.018634; 0.009769; 0.003766; 0.000496; false; 0.048943;0.32; 0.029349; 0.029601; 0.123034; 0.06376; 0.055074; false; 0.30999;0.15; 0.017398; 0.003464; 0.061525; 0.031743; 0.035376; false; 0.156909;0.53; 0.027736; 6.4e-05; 1.1e-05; false; 0.042429;1.06; 0.0362; 0.0000; 0.0205; 0.0090; 0.0000; False; 0.0296; 0.0696;2.67; 0.0367; 0.6191; 0.9097; 0.9292; 0.0528; 0.1056; False; 1.0877; 1.7450;1.16; 0.0336; 0.0353; 0.0458; 0.1115; 0.0001; False; 0.1117; 0.1826;3.38; 0.449511186; 0.13595065; 0.002173142; false; 0.144899205; 0.726794667;2.07; 0.090422122; 0.197301043; 5.2622E-5; false; 0.206592523; 0.411482305
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08891.mata;0.22; 0.0887333000;0.008726999999999999; 0.0507739000; 0.0002612000; False; 0.0627801000; 0.2425975000;0.09; 0.086679; 0.003814; 0.000245; 0.000137; false; 0.103188;0.16; 0.069221; 0.09779; 0.003454; 0.000139; 0.000105; false; 0.176844;0.06; 0.060284; 0.001829; 0.00013; 6.3e-05; false; 0.068307;0.14; 0.064471; 0.039597; 0.021639; 0.00528; 0.005102; false; 0.141438;0.09; 0.076754; 0.004195; 0.008022; 0.00272; 0.001629; false; 0.102846;ERR;ERR;ERR;ERR;ERR;ERR;1.05; 0.0724; 0.0000; 0.0050; 0.0003; 0.0000; False; 0.0054; 0.0785;1.23; 0.0878; 0.0703; 0.0901; 0.0926; 0.0053; 0.0073; False; 0.1053; 0.2641;1.15; 0.0855; 0.0391; 0.0336; 0.0454; 0.0001; False; 0.0455; 0.1713;2.7; 0.301577273; 0.054022732; 0.002406489; false; 0.06370151; 0.561272164;2.04; 0.138744933; 0.012012089; 3.9145E-5; false; 0.019893726; 0.473007633
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08893.mata;0.15; 0.0395031000;0.0099402; 0.0574910000; 0.0002975000; False; 0.0708440000; 0.1541430000;0.0; 0.001237; 0.001059; 0.000128; 6.5e-05; false; 0.003389;0.0; 0.00137; 0.001382; 0.001013; 0.000143; 6.1e-05; false; 0.00482;0.0; 0.001254; 0.001079; 0.000142; 6.5e-05; false; 0.003456;0.01; 0.00126; 0.000765; 0.007016; 0.002859; 0.002894; false; 0.015241;0.01; 0.001589; 0.000154; 0.00469; 0.002222; 0.001712; false; 0.011819;ERR;ERR;ERR;ERR;ERR;ERR;1.01; 0.0060; 0.0000; 0.0012; 0.0001; 0.0000; False; 0.0014; 0.0077;1.02; 0.0061; 0.0010; 0.0073; 0.0086; 0.0018; 0.0010; False; 0.0114; 0.0187;1.02; 0.0069; 0.0021; 0.0040; 0.0100; 0.0001; False; 0.0101; 0.0194;1.27; 0.122541012; 0.041652622; 0.00208159; false; 0.050051023; 0.237223495;0.97; 0.031988295; 0.013130049; 2.9323E-5; false; 0.020425101; 0.134831335
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08923.mata;0.11; 0.0243760000;0.0057256; 0.0290530000; 0.0001348000; False; 0.0368262000; 0.0984865000;0.0; 0.001035; 0.000319; 3.1e-05; 2.5e-05; false; 0.001833;0.0; 0.00103; 0.000982; 0.000346; 3.1e-05; 2.8e-05; false; 0.002829;0.0; 0.001018; 0.000297; 2.9e-05; 2.6e-05; false; 0.001775;0.0; 0.001015; 0.000615; 0.002053; 0.000619; 0.000593; false; 0.005193;0.0; 0.001052; 0.0001; 0.001474; 0.000811; 0.000534; false; 0.00481;ERR;ERR;ERR;ERR;ERR;ERR;1.03; 0.0070; 0.0000; 0.0009; 0.0001; 0.0000; False; 0.0011; 0.0083;1.0; 0.0074; 0.0015; 0.0050; 0.0058; 0.0010; 0.0004; False; 0.0072; 0.0163;0.98; 0.0090; 0.0023; 0.0017; 0.0040; 0.0001; False; 0.0042; 0.0158;1.19; 0.134021092; 0.03535091; 0.002447711; false; 0.044773948; 0.248108685;0.93; 0.028647872; 0.012136083; 3.0023E-5; false; 0.01932734; 0.133868962
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08956.mata;0.14; 0.0538543000;0.0055382; 0.0039588000; 0.0001235000; False; 0.0114003000; 0.1391692000;0.05; 0.04946; 0.003348; 0.000298; 0.000185; false; 0.061792;0.35; 0.049393; 0.290559; 0.006626; 0.000356; 0.000236; false; 0.356603;0.07; 0.070945; 0.003344; 0.000327; 0.000201; false; 0.083297;0.11; 0.070411; 0.024975; 0.013392; 0.005842; 0.00575; false; 0.12569;0.11; 0.084328; 0.003584; 0.011381; 0.003587; 0.003234; false; 0.112602;0.55; 0.090946; 1.3e-05; 6e-06; false; 0.182849;1.07; 0.0759; 0.0000; 0.0077; 0.0005; 0.0000; False; 0.0083; 0.0855;1.39; 0.0761; 0.0870; 0.1843; 0.1957; 0.0136; 0.0281; False; 0.2375; 0.4020;1.17; 0.0948; 0.0807; 0.0217; 0.0339; 0.0001; False; 0.0340; 0.2106;3.04; 0.340079401; 0.089282317; 0.002390937; false; 0.098639799; 0.661755804;1.97; 0.132088998; 0.017679528; 3.9002E-5; false; 0.024984139; 0.428332045
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance09008.mata;0.15; 0.0386198000;0.0094897; 0.0380841000; 0.0001809000; False; 0.0504408000; 0.1617528000;0.0; 0.001181; 0.002613; 0.000131; 8.2e-05; false; 0.004832;0.0; 0.001067; 0.001588; 0.002358; 0.000139; 8.3e-05; false; 0.006081;0.0; 0.000573; 0.001496; 7.2e-05; 5.4e-05; false; 0.002686;0.02; 0.001089; 0.00075; 0.011228; 0.004182; 0.003746; false; 0.021407;0.01; 0.000898; 0.000108; 0.007656; 0.003748; 0.002282; false; 0.015858;0.45; 0.001036; 2.6e-05; 8e-06; false; 0.004005;1.14; 0.0058; 0.0000; 0.0026; 0.0001; 0.0000; False; 0.0028; 0.0090;1.08; 0.0061; 0.0006; 0.0135; 0.0144; 0.0026; 0.0008; False; 0.0179; 0.0248;0.99; 0.0099; 0.0020; 0.0177; 0.0280; 0.0001; False; 0.0282; 0.0404;1.52; 0.166712776; 0.060118698; 0.002608088; false; 0.070540566; 0.312897785;1.09; 0.017480439; 0.036884679; 4.6849E-5; false; 0.044792846; 0.13360369
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance09052.mata;0.13; 0.0575376000;0.0072266; 0.0042385000; 0.0001253000; False; 0.0143390000; 0.1197131000;0.07; 0.062057; 0.006051; 0.000424; 0.00019; false; 0.084305;0.36; 0.068972; 0.300597; 0.003891; 0.000288; 0.000261; false; 0.387828;0.08; 0.068796; 0.006528; 0.000493; 0.000286; false; 0.089844;0.12; 0.061857; 0.025315; 0.015752; 0.007554; 0.007026; false; 0.122653;0.09; 0.062991; 0.00354; 0.012148; 0.00527; 0.006141; false; 0.096679;0.57; 0.063345; 1.3e-05; 5e-06; false; 0.138122;1.08; 0.0752; 0.0000; 0.0077; 0.0006; 0.0000; False; 0.0083; 0.0847;1.33; 0.0767; 0.0857; 0.1654; 0.1731; 0.0088; 0.0233; False; 0.2052; 0.3688;1.12; 0.1165; 0.0620; 0.0219; 0.0342; 0.0001; False; 0.0343; 0.2141;3.08; 0.332702079; 0.117451611; 0.002130113; false; 0.13315947; 0.658083811;2.02; 0.109271084; 0.017048709; 2.4486E-5; false; 0.02419441; 0.423803501
