name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-rhs.mata;4.75;0.0992102;0.007009100000000001; 4.5706465000; 0.0002572000; False; 4.5806305000; 4.7179557000;0.57; 0.163659; 0.050212; 0.301673; 0.14115; 0.000186; false; 0.666767;0.61; 0.183123; 0.050619; 0.000296; 0.319052; 0.141106; 0.000173; false; 0.70439;0.61; 0.161918; 0.051144; 0.334417; 0.141787; 0.000186; false; 0.69921;4.27; 0.177281; 0.059608;0.020755; 2.17489; 2.03808; 0.004336; false; 4.48664;3.81; 0.170671; 0.045652;0.0019169999999999999; 1.31588; 2.1368; 0.04388; false; 3.72112;ERR;4.1; 0.2471; 0.0000; 2.3982; 0.8113; 0.0029; False; 3.2125; 3.4627;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;12.03;0.074837454; 4.271143987; 3.2623E-5; false; 4.277756124; 4.502871856
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-rhs.mata;5.94;0.12311269999999999;0.0076101; 5.7355931000; 0.0002762000; False; 5.7469854000; 5.9100947000;0.82; 0.192549; 0.068858; 0.471278; 0.174351; 0.000217; false; 0.920176;0.73; 0.181878; 0.056534; 0.000312; 0.403511; 0.167276; 0.000221; false; 0.822227;0.68; 0.200374; 0.063132; 0.348862; 0.164132; 0.000204; false; 0.788507;6.34; 0.1925; 0.053057;0.01146; 3.30855; 2.369; 0.676248; false; 6.61722;4.95; 0.196225; 0.066972;0.002173; 1.86112; 2.69018; 0.046983; false; 4.87222;ERR;5.17; 0.2860; 0.0000; 3.2779; 1.0090; 0.0041; False; 4.2912; 4.5847;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;13.9;0.086765043; 5.092338946; 3.6732E-5; false; 5.099965403; 5.334401769
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-rhs.mata;7.16;0.11379920000000002;0.0078476; 7.0569845000; 0.0003399000; False; 7.0680618000; 7.2237722000;0.86; 0.196365; 0.057778; 0.49817; 0.205638; 0.000313; false; 0.97143;0.83; 0.225866; 0.059247; 0.000339; 0.434326; 0.205685; 0.00022; false; 0.938579;0.85; 0.204649; 0.058233; 0.490944; 0.190646; 0.000241; false; 0.957407;7.12; 0.217537; 0.058501;0.013462; 3.69561; 2.76337; 0.729158; false; 7.48627;5.68; 0.189561; 0.05925;0.002412; 2.16857; 3.10946; 0.048036; false; 5.58676;ERR;5.71; 0.2837; 0.0000; 3.6872; 1.1978; 0.0054; False; 4.8904; 5.1778;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;16.62;0.075597677; 6.006286401; 3.3168E-5; false; 6.013438814; 6.22227245
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-rhs.mata;8.96;0.1397928;0.0071863; 8.7174624000; 0.0002315000; False; 8.7277797000; 8.9069921000;0.96; 0.208126; 0.061931; 0.585053; 0.234918; 0.003465; false; 1.10855;0.93; 0.220802; 0.062331; 0.000345; 0.540261; 0.222889; 0.002433; false; 1.06203;0.9; 0.20631; 0.062061; 0.530839; 0.221778; 0.003274; false; 1.03711;8.08; 0.233483; 0.063232;0.015992; 4.12337; 3.17027; 0.828771; false; 8.445;6.12; 0.213411; 0.056125;0.002273; 2.22126; 3.4448; 0.0591; false; 6.00482;ERR;6.64; 0.2974; 0.0000; 4.3858; 1.4614; 0.0052; False; 5.8526; 6.1544;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;19.96;0.082549657; 7.632310342; 2.5314E-5; false; 7.638485433; 7.877946517
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-rhs.mata;10.66;0.127909;0.0085631; 10.6374810000; 0.0002567000; False; 10.6496267000; 10.8166291000;1.16; 0.221622; 0.067882; 0.756106; 0.268968; 0.000282; false; 1.331;1.19; 0.248018; 0.06775; 0.000399; 0.766693; 0.268751; 0.000259; false; 1.3677;1.21; 0.251178; 0.067504; 0.773809; 0.261859; 0.00024; false; 1.36989;9.34; 0.254987; 0.074089;0.017284; 5.05105; 3.47342; 0.93962; false; 9.82099;7.3; 0.229908; 0.062798;0.002359; 2.92561; 3.89664; 0.063555; false; 7.18902;ERR;7.74; 0.3743; 0.0000; 5.1466; 1.7857; 0.0060; False; 6.9383; 7.3201;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;29.44;0.086505531; 9.289658401; 5.1003E-5; false; 9.299058263; 9.542868172
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-rhs.mata;12.85;0.133671;0.0085415; 12.8211686000; 0.0002430000; False; 12.8331450000; 13.0091844000;1.22; 0.253217; 0.099762; 0.743891; 0.283966; 0.00028; false; 1.40023;1.16; 0.247984; 0.083313; 0.000382; 0.697296; 0.29452; 0.000268; false; 1.34458;1.17; 0.245821; 0.073717; 0.705879; 0.290911; 0.000281; false; 1.33877;10.29; 0.250586; 0.072925;0.017551; 5.5639; 3.76475; 1.08819; false; 10.7685;8.9; 0.235048; 0.071449;0.00257; 3.43033; 4.9226; 0.089769; false; 8.76274;ERR;8.92; 0.3467; 0.0000; 6.3548; 2.0161; 0.0066; False; 8.3776; 8.7331;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;26.74;0.106057236; 9.573748144; 3.9228E-5; false; 9.583457317; 9.859758385
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-rhs.mata;15.51;0.1466747;0.0102419; 15.4606783000; 0.0002601000; False; 15.4750625000; 15.6728202000;1.55; 0.255039; 0.097327; 1.00567; 0.369245; 0.000316; false; 1.74788;1.37; 0.286762; 0.099514; 0.000464; 0.82212; 0.347272; 0.000256; false; 1.57767;1.51; 0.291611; 0.075113; 0.990945; 0.348208; 0.000209; false; 1.72286;11.01; 0.287896; 0.077276;0.022921999999999998; 5.91819; 4.06492; 1.16726; false; 11.5494;10.03; 0.29217; 0.091032;0.003163; 4.10743; 5.27257; 0.088604; false; 9.86863;ERR;10.04; 0.3539; 0.0000; 7.2906; 2.2370; 0.0074; False; 9.5351; 9.8985;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;31.54;0.098549738; 11.174667289; 5.4362E-5; false; 11.18351915; 11.428275466
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-rhs.mata;18.9;0.141048;0.0079121; 18.7516363000; 0.0002498000; False; 18.7625599000; 18.9417448000;1.69; 0.410114; 0.076181; 1.01354; 0.376829; 0.000206; false; 1.89643;1.58; 0.295948; 0.086326; 0.000495; 1.02348; 0.386768; 0.000321; false; 1.81271;1.66; 0.290555; 0.096979; 1.12352; 0.363233; 0.000302; false; 1.89793;13.53; 0.278639; 0.085471;0.022638; 7.26411; 5.10282; 1.39815; false; 14.1678;11.44; 0.285007; 0.07958;0.003268; 4.49755; 6.21782; 0.103035; false; 11.198;ERR;11.71; 0.3797; 0.0000; 8.6328; 2.6004; 0.0019; False; 11.2353; 11.6249;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;35.93;0.112962635; 14.219551405; 5.2237E-5; false; 14.227388625; 14.519776614
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-rhs.mata;22.15;0.15923189999999998;0.0093236; 21.8580139000; 0.0003554000; False; 21.8711180000; 22.0867473000;1.61; 0.289914; 0.080119; 1.02369; 0.434337; 0.000239; false; 1.84735;1.78; 0.332621; 0.0872; 0.000484; 1.08505; 0.488491; 0.000438; false; 2.01803;1.78; 0.314101; 0.081229; 1.10072; 0.504298; 0.000199; false; 2.01891;13.8; 0.330123; 0.114698;0.034786; 6.80147; 5.71792; 1.4374; false; 14.4522;11.86; 0.316699; 0.116447;0.002913; 4.52409; 6.52862; 0.110092; false; 11.6115;ERR;13.13; 0.3964; 0.0000; 9.6559; 2.9769; 0.0024; False; 12.6354; 13.0361;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;35.84;0.104449135; 14.279997378; 4.2564E-5; false; 14.288086705; 14.570890956
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-rhs.mata;0.24;0.0960659;0.009553599999999999; 0.0977680000; 0.0001777000; True; 0.1112736000; 0.2622099000;0.07; 0.050206; 0.016342; 0.006425; 0.005347; 2e-06; true; 0.080864;0.06; 0.045932; 0.012287; 0.003803; 0.002379; 0.002182; 2e-06; true; 0.068346;0.06; 0.048953; 0.011563; 0.0058; 0.005005; 3e-06; true; 0.073425;0.14; 0.038966; 0.011234;0.0016120000000000002; 0.035922; 0.056766; 3e-06; true; 0.146083;0.13; 0.034353; 0.015003;0.00036899999999999997; 0.026319; 0.055038; 0.001205; true; 0.135764;ERR;1.05; 0.0488; 0.0000; 0.0501; 0.0113; 0.0000; True; 0.0615; 0.1106;32.89; 0.0480; 0.0044; 31.0681; 1.8979; 0.0000; True; 32.9662; 33.0188;TO;TO;1.67;0.033321962; 0.161219446; 4.9478E-5; true; 0.170538111; 0.295401362
