                                                    1st Quartile / Median / 3rd Quartile per op/bench                                                     
----------------------------------------------------------------------------------------------------------------------------------------------------------
benchop    mata             awali            vata              automata        brics           (j)alib        fado            (py)alib       (py)mata
---------  ---------------  ---------------  ----------------  --------------  --------------  -------------  --------------  -------------  -------------
compl/p    0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -               0.0, 0.1, 0.1   0.0, 0.0, 0.1  0.1, 0.3, 0.5   0.0, 0.1, 0.1  0.0, 0.0, 0.0
compl/zn   0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -               0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
conca/zn   0.0, 0.0, 0.0    0.0, 0.0, 0.2    -                 -               0.0, 0.0, 0.2   -              1.2, 9.2, 60    -              0.0, 0.0, 0.2
deter/ai   -                -                -                 -               -               -              -               0.0, 0.2, 0.3  -
deter/bi   -                -                -                 -               -               -              -               60, 60, 60     -
deter/ef   -                -                -                 -               -               -              -               0.0, 0.0, 0.0  -
deter/p    -                -                -                 -               -               -              0.1, 0.3, 0.5   0.0, 0.1, 0.1  -
deter/zn   -                -                -                 -               -               -              0.0, 0.0, 0.0   0.0, 0.0, 0.0  -
empti/bcd  0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.6     0.0, 0.0, 0.0   0.0, 0.0, 0.0   -              0.1, 0.9, 60    -              0.0, 0.0, 0.0
empti/bci  0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     0.0, 0.0, 0.0   0.0, 0.0, 0.0   -              0.1, 0.9, 60    -              0.0, 0.0, 0.0
empti/bi   0.0, 0.0, 60     0.0, 0.2, 60     0.0, 1.1, 60      0.0, 0.0, 60    0.0, 0.0, 60    60, 60, 60     60, 60, 60      60, 60, 60     0.0, 0.0, 60
empti/p    0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -               0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.1   0.0, 0.0, 0.0  0.0, 0.0, 0.0
empti/zn   0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -               0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 14.6  0.0, 0.0, 0.0  0.0, 0.0, 0.0
inclu/ai   0.0, 0.0, 0.0    0.0, 0.0, 0.3    0.0, 0.1, 0.5     0.0, 0.1, 0.9   0.0, 0.1, 0.3   0.1, 0.1, 0.1  0.7, 35.3, 60   0.0, 0.2, 0.3  0.0, 0.0, 0.0
inclu/ef   0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.1  1.6, 19.6, 60   0.0, 0.0, 0.0  0.0, 0.0, 0.0
inter/bcd  0.1, 0.5, 1.2    0.4, 1.6, 4.0    0.7, 2.8, 6.3     1.4, 5.4, 15.1  1.4, 4.8, 10.0  -              60, 60, 60      -              0.6, 2.8, 7.6
inter/bci  0.1, 0.4, 1.2    0.4, 1.7, 4.4    0.7, 2.5, 6.2     1.0, 5.5, 14.9  1.4, 4.7, 10.1  -              60, 60, 60      -              0.7, 2.9, 7.2
inter/bi   6.6, 18.6, 44.1  6.8, 14.7, 18.7  10.3, 25.7, 36.3  6.1, 9.2, 28.3  60, 60, 60      60, 60, 60     60, 60, 60      60, 60, 60     60, 60, 60
inter/ef   0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.1, 0.1  0.1, 0.9, 60    0.0, 0.0, 0.0  0.0, 0.0, 0.0
minte/ai   0.0, 0.1, 0.2    0.0, 0.1, 0.2    0.0, 0.1, 0.2     -               -               -              -               -              -
minte/bcd  0.0, 0.1, 0.1    0.0, 0.1, 0.1    0.0, 0.1, 0.1     -               -               -              -               -              -
minte/bci  0.0, 0.1, 0.1    0.0, 0.1, 0.1    0.0, 0.1, 0.1     -               -               -              -               -              -
minte/bi   0.1, 0.3, 1.4    0.0, 0.2, 1.1    0.0, 0.2, 1.1     -               -               -              -               -              -
minte/ef   0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -               -               -              -               -              -
parsi/ai   0.1, 0.3, 0.5    0.0, 0.0, 0.4    0.0, 0.1, 0.4     0.1, 0.2, 0.3   0.1, 0.3, 0.4   0.4, 0.8, 1.0  0.1, 0.7, 60    0.1, 0.5, 0.7  0.1, 0.5, 0.7
parsi/bcd  0.2, 0.3, 0.5    0.0, 0.0, 0.3    0.0, 0.0, 0.3     0.1, 0.2, 0.3   0.1, 0.1, 0.1   -              0.3, 0.8, 60    -              0.2, 0.3, 0.6
parsi/bci  0.2, 0.3, 0.5    0.0, 0.0, 0.3    0.0, 0.0, 0.3     0.1, 0.2, 0.3   0.1, 0.1, 0.1   -              0.3, 0.7, 60    -              0.2, 0.3, 0.5
parsi/bi   0.1, 0.3, 0.8    0.0, 0.1, 0.4    0.0, 0.2, 0.7     0.1, 0.2, 0.3   0.1, 0.4, 1.3   1.2, 49.5, 60  60, 60, 60      60, 60, 60     0.2, 2.6, 60
parsi/ef   0.0, 0.1, 0.1    0.0, 0.0, 0.1    0.0, 0.0, 0.1     0.1, 0.1, 0.1   0.0, 0.1, 0.1   0.2, 0.3, 0.5  0.1, 0.1, 60    0.1, 0.1, 0.2  0.1, 0.1, 0.2
parsi/p    0.0, 0.1, 0.1    0.0, 0.0, 0.1    0.0, 0.0, 0.1     -               0.1, 0.2, 0.2   0.3, 0.4, 0.6  0.0, 0.1, 0.1   0.0, 0.1, 0.1  0.0, 0.1, 0.1
parsi/zn   0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -               0.0, 0.0, 0.0   0.1, 0.1, 0.1  0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
resul/ai   60, 60, 60       60, 60, 60       60, 60, 60        60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60      60, 60, 60     60, 60, 60
resul/bcd  60, 60, 60       60, 60, 60       60, 60, 60        60, 60, 60      60, 60, 60      -              60, 60, 60      -              60, 60, 60
resul/bci  60, 60, 60       60, 60, 60       60, 60, 60        60, 60, 60      60, 60, 60      -              60, 60, 60      -              60, 60, 60
resul/bi   60, 60, 60       60, 60, 60       60, 60, 60        60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60      60, 60, 60     60, 60, 60
resul/ef   60, 60, 60       60, 60, 60       60, 60, 60        60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60      60, 60, 60     60, 60, 60
resul/p    60, 60, 60       60, 60, 60       60, 60, 60        -               60, 60, 60      60, 60, 60     60, 60, 60      60, 60, 60     60, 60, 60
resul/zn   60, 60, 60       60, 60, 60       60, 60, 60        -               60, 60, 60      60, 60, 60     60, 60, 60      60, 60, 60     60, 60, 60
runti/ai   0.1, 0.5, 0.7    0.1, 0.6, 1.2    0.2, 0.7, 1.4     0.2, 0.4, 1.5   1.4, 2.7, 3.7   2.1, 4.0, 4.7  1.9, 38.3, 60   1.3, 2.0, 2.4  1.3, 1.7, 1.9
runti/bcd  0.3, 0.8, 60     0.4, 4.6, 60     0.5, 5.3, 60      0.3, 5.2, 60    1.7, 10.9, 60   60, 60, 60     3.3, 60, 60     60, 60, 60     1.6, 4.6, 60
runti/bci  0.3, 0.8, 60     0.3, 4.3, 60     0.5, 4.9, 60      0.3, 5.4, 60    1.6, 11.2, 60   60, 60, 60     3.9, 60, 60     60, 60, 60     1.6, 4.4, 60
runti/bi   0.4, 5.7, 60     0.7, 9.9, 60     1.4, 38.5, 60     0.2, 1.3, 60    2.9, 9.4, 60    60, 60, 60     60, 60, 60      60, 60, 60     1.6, 7.6, 60
runti/ef   0.1, 0.1, 0.1    0.1, 0.1, 0.2    0.1, 0.1, 0.2     0.2, 0.2, 0.2   1.1, 1.3, 1.6   1.7, 2.2, 3.1  2.9, 22.9, 60   1.1, 1.2, 1.4  1.1, 1.2, 1.3
runti/p    0.0, 0.1, 0.1    0.0, 0.1, 0.1    0.0, 0.1, 0.2     60, 60, 60      1.4, 1.9, 2.2   1.9, 2.6, 3.0  1.3, 1.6, 1.9   1.2, 1.3, 1.4  1.2, 1.2, 1.3
runti/zn   0.0, 0.0, 0.0    0.0, 0.0, 0.1    0.0, 0.0, 0.0     60, 60, 60      0.9, 0.9, 1.1   1.0, 1.1, 1.2  1.2, 1.4, 25.3  1.1, 1.2, 1.2  1.1, 1.1, 1.2
trans/ai   -                -                -                 -               -               -              0.0, 2.3, 60    0.0, 0.1, 0.1  0.0, 0.0, 0.0
trans/bcd  -                -                -                 -               -               -              0.1, 0.5, 60    -              0.0, 0.0, 0.0
trans/bci  -                -                -                 -               -               -              0.1, 0.5, 60    -              0.0, 0.0, 0.0
trans/bi   -                -                -                 -               -               -              60, 60, 60      60, 60, 60     0.0, 0.0, 60
trans/ef   -                -                -                 -               -               -              0.0, 0.0, 60    0.0, 0.0, 0.0  0.0, 0.0, 0.0
trans/p    -                -                -                 -               -               -              0.0, 0.1, 0.1   0.0, 0.0, 0.0  0.0, 0.0, 0.0
trans/zn   -                -                -                 -               -               -              0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/bcd   0.0, 0.0, 0.1    0.0, 0.0, 2.5    0.0, 0.0, 2.2     0.0, 0.0, 0.0   -               -              -               -              0.0, 0.0, 0.8
trim/bci   0.0, 0.0, 0.1    0.0, 0.0, 2.1    0.0, 0.0, 2.2     0.0, 0.0, 0.0   -               -              -               -              0.0, 0.0, 0.8
trim/bi    0.0, 0.4, 3.0    0.1, 1.2, 20.3   0.2, 1.2, 16.3    0.0, 0.2, 0.6   -               -              -               -              0.0, 0.0, 60
trim/ef    0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     0.0, 0.0, 0.0   -               -              -               -              0.0, 0.0, 0.0
trim/p     0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -               -               -              -               -              0.0, 0.0, 0.0
trim/zn    0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     -               -               -              -               -              0.0, 0.0, 0.0
union/bcd  0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     0.0, 0.0, 0.0   0.0, 0.0, 0.0   -              0.1, 0.5, 1.1   -              0.0, 0.0, 0.0
union/bci  0.0, 0.0, 0.0    0.0, 0.0, 0.0    0.0, 0.0, 0.0     0.0, 0.0, 0.0   0.0, 0.0, 0.0   -              0.2, 0.5, 1.3   -              0.0, 0.0, 0.0
union/bi   0.0, 0.2, 1.5    0.0, 0.2, 1.1    0.1, 1.1, 6.3     0.0, 0.1, 0.4   0.0, 0.2, 0.5   60, 60, 60     5.5, 60, 60     60, 60, 60     0.0, 0.3, 1.7
