 Average / Median / Average with Timeouts
-----------------------------------------
op     mata              mata-old
-----  ----------------  ----------------
empti  0.0, 0.0, 44.0    0.0, 0.0, 50.1
fair-  8.6, 1.2, 46.3    2.4, 0.1, 50.4
inter  27.9, 31.6, 39.7  20.0, 24.7, 43.8
minte  0.7, 0.2, 0.7     0.2, 0.1, 35.7
overa  8.8, 1.3, 46.3    2.4, 0.1, 50.5
parsi  0.3, 0.2, 0.3     0.4, 0.2, 35.8
runti  8.2, 1.2, 46.2    2.1, 0.1, 50.4
trim   1.9, 0.3, 23.3    5.9, 6.4, 38.0
