name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-0.111-runtime;mata-0.111-mataparsing;mata-0.111-mataminterm;mata-0.111-inclusion_check;mata-0.111-inclusion_check_result;mata-0.111-overall;mata-0.112-runtime;mata-0.112-mataparsing;mata-0.112-mataminterm;mata-0.112-inclusion_check;mata-0.112-inclusion_check_result;mata-0.112-overall;mata-0.113-runtime;mata-0.113-mataparsing;mata-0.113-mataminterm;mata-0.113-inclusion_check;mata-0.113-inclusion_check_result;mata-0.113-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-rhs.mata;0.11; 0.078421; 0.037919; 0.0024; false; 0.124694;0.14; 0.1066; 0.036329; 0.002349; false; 0.15067;0.89; 0.108775; 0.033617; 0.753418; false; 0.899614;0.33; 0.063995; 0.036951; 0.241899; false; 0.348545
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;1.16; 0.675641; 0.269739; 0.239177; false; 1.23677;0.9; 0.530014; 0.182393; 0.214318; false; 0.961118;3.0; 0.596348; 0.170077; 2.26718; false; 3.06687;4.27; 0.398565; 0.247215; 3.62148; false; 4.3188
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;1.01; 0.695509; 0.176754; 0.183167; false; 1.08865;1.22; 0.682158; 0.276403; 0.279489; false; 1.30243;2.65; 0.530993; 0.264579; 1.86338; false; 2.71887;3.84; 0.67933; 0.214693; 2.97876; false; 3.90708
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.92; 0.46696; 0.247181; 0.207007; false; 0.975413;1.23; 0.662115; 0.263934; 0.307868; false; 1.29188;3.49; 0.625064; 0.245282; 2.63318; false; 3.55443;4.44; 0.625969; 0.246353; 3.59503; false; 4.52048
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;0.76; 0.500621; 0.178857; 0.107089; false; 0.822928;0.92; 0.647459; 0.16746; 0.133603; false; 0.984096;2.67; 0.561824; 0.175412; 1.95914; false; 2.73381;4.55; 0.698643; 0.261652; 3.60418; false; 4.62021
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;0.29; 0.186724; 0.083748; 0.026317; false; 0.313274;0.29; 0.188207; 0.081689; 0.027145; false; 0.316;0.75; 0.333226; 0.124514; 0.309136; false; 0.794285;0.5; 0.189581; 0.082699; 0.232134; false; 0.521752
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;0.29; 0.187972; 0.082342; 0.0289; false; 0.316675;0.5; 0.334317; 0.125821; 0.051503; false; 0.537503;0.73; 0.314403; 0.117209; 0.324011; false; 0.779097;0.53; 0.214621; 0.083248; 0.237241; false; 0.553761
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;0.51; 0.343812; 0.138129; 0.03948; false; 0.54757;0.36; 0.195834; 0.105428; 0.049811; false; 0.378867;0.51; 0.238739; 0.087513; 0.190237; false; 0.534228;0.86; 0.28596; 0.138112; 0.453679; false; 0.903746
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;0.36; 0.272857; 0.085182; 0.021127; false; 0.395408;0.49; 0.342454; 0.131544; 0.038367; false; 0.540381;0.63; 0.199615; 0.105541; 0.322269; false; 0.65637;0.6; 0.192838; 0.083296; 0.335427; false; 0.626878
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;0.43; 0.309363; 0.114749; 0.020109; false; 0.461072;0.36; 0.190439; 0.125927; 0.039101; false; 0.384216;0.78; 0.345315; 0.130509; 0.306515; false; 0.81484;0.63; 0.313125; 0.097188; 0.238733; false; 0.667628
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;0.42; 0.295911; 0.10632; 0.034859; false; 0.461469;0.24; 0.160847; 0.072562; 0.022837; false; 0.270402;0.63; 0.297432; 0.116814; 0.232199; false; 0.673326;0.63; 0.178204; 0.068848; 0.386501; false; 0.646287
