                                                    1st Quartile / Median / 3rd Quartile per op/bench                                                     
----------------------------------------------------------------------------------------------------------------------------------------------------------
benchop    mata             awali            vata              automata        brics           (j)alib        fado            (py)alib       (py)mata
resul/zn   60, 60, 60       60, 60, 60       60, 60, 60        -               60, 60, 60      60, 60, 60     60, 60, 60      60, 60, 60     60, 60, 60
runti/ai   0.1, 0.6, 0.8    0.2, 0.7, 1.2    0.2, 0.8, 1.6     0.2, 0.5, 1.6   2.2, 3.2, 4.7   2.9, 4.9, 5.8  60, 60, 60      1.7, 2.3, 2.8  1.5, 1.9, 2.4
runti/bcd  3.3, 37.5, 60    5.1, 39.4, 60    5.8, 41.8, 60     5.4, 45.4, 60   12.0, 52.8, 60  60, 60, 60     60, 60, 60      60, 60, 60     5.2, 39.1, 60
runti/bci  3.4, 37.0, 60    5.4, 39.6, 60    5.6, 40.8, 60     5.7, 44.5, 60   12.3, 52.8, 60  60, 60, 60     60, 60, 60      60, 60, 60     5.6, 39.5, 60
runti/bi   60, 60, 60       60, 60, 60       60, 60, 60        60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60      60, 60, 60     60, 60, 60
runti/ef   0.1, 0.1, 0.2    0.1, 0.1, 0.2    0.1, 0.1, 0.2     0.2, 0.2, 0.2   1.2, 1.4, 1.8   1.8, 2.4, 3.4  1.3, 2.1, 14.4  1.2, 1.4, 1.7  1.2, 1.3, 1.4
runti/p    0.0, 0.1, 0.1    0.0, 0.1, 0.1    0.1, 0.1, 0.2     60, 60, 60      1.4, 1.9, 2.1   1.8, 2.5, 2.9  1.3, 1.6, 1.9   1.2, 1.3, 1.4  1.2, 1.2, 1.3
runti/zn   0.0, 0.0, 0.0    0.0, 0.0, 0.1    0.0, 0.0, 0.0     60, 60, 60      0.9, 1.0, 1.1   1.0, 1.1, 1.1  1.1, 1.2, 19.4  1.1, 1.1, 1.2  1.1, 1.1, 1.2
trans/ai   -                -                -                 -               -               -              60, 60, 60      0.1, 0.3, 0.5  0.0, 0.0, 0.0
trans/bcd  -                -                -                 -               -               -              -               -              0.0, 0.0, 0.0
