name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06042.mata;0.12; 0.055597; 0.037075; 0.035306; 0.000165; 8.5e-05; false; 0.136727
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06076.mata;0.01; 0.004434; 0.003917; 0.003295; 0.000357; 0.000279; false; 0.014345
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06210.mata;0.02; 0.008808; 0.01676; 0.000955; 7e-05; 6.7e-05; false; 0.028764
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06234.mata;0.07; 0.020496; 0.047366; 0.001056; 8.9e-05; 3.2e-05; false; 0.072961
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06244.mata;0.05; 0.007594; 0.040617; 0.001482; 0.000107; 5.7e-05; false; 0.051519
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06264.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06295.mata;0.06; 0.022329; 0.03739; 0.001341; 0.000152; 5.5e-05; false; 0.064562
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06296.mata;0.17; 0.054325; 0.100652; 0.009157; 0.000471; 9e-05; false; 0.172988
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06368.mata;0.0; 0.000537; 0.000819; 0.000312; 5.6e-05; 3e-05; false; 0.002087
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06421.mata;0.22; 0.023633; 0.193106; 0.003645; 0.000318; 0.000209; false; 0.225604
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06476.mata;15.4; 11.0878; 0.011978; 4.67722; 0.000491; 0.000158; false; 16.7327
