name;automata-old-runtime;automata-old-construction;automata-old-trim;automata-old-compl;automata-old-emptiness_check;automata-old-emptiness_result;automata-old-interpretation;automata-old-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-compl;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07137.mata;0.39; 0.0966758000;0.0119688; 0.2211212000; 0.0004166000; False; 0.2360212000; 0.4202655000;0.97; 0.0895619000;0.0150869; 0.2055456000; 0.0003414000; False; 0.2234668000; 0.3885763000;5.47; 0.141720892; 1.055613599; 0.178095616; 0.002787485; false; 1.25476015; 1.689680237
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07152.mata;0.2; 0.0457702000;0.010197099999999999; 0.0661186000; 0.0003258000; False; 0.0796054000; 0.1831823000;0.95; 0.0633589000;0.009445199999999999; 0.1320899000; 0.0003956000; False; 0.1711867000; 0.2938435000;1.95; 0.050772341; 0.163782467; 0.106759009; 0.002620304; false; 0.2814598; 0.483543994
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07170.mata;0.19; 0.0456926000;0.0103052; 0.0557553000; 0.0002905000; False; 0.0692021000; 0.2101733000;0.92; 0.0272115000;0.0098794; 0.0500160000; 0.0003035000; False; 0.0628092000; 0.1896203000;1.44; 0.03781128; 0.182615411; 0.068640126; 0.002115478; false; 0.260487957; 0.414497415
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07273.mata;0.19; 0.0653368000;0.0099496; 0.0439414000; 0.0001959000; False; 0.0566197000; 0.1949548000;0.94; 0.0594841000;0.0100053; 0.0349264000; 0.0001380000; False; 0.0478272000; 0.1627868000;1.96; 0.067162547; 0.160511839; 0.080655126; 0.001980679; false; 0.249545641; 0.494900043
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07319.mata;0.13; 0.0448934000;0.005512; 0.0264436000; 0.0001240000; False; 0.0337044000; 0.1218238000;0.75; 0.0850790000;0.0091639; 0.0472099000; 0.0001751000; False; 0.0590975000; 0.2227129000;1.99; 0.06650491; 0.160771437; 0.081238864; 0.00256548; false; 0.252022485; 0.523486866
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07419.mata;0.41; 0.0941527000;0.0127993; 0.2235242000; 0.0004241000; False; 0.2394442000; 0.4209474000;1.1; 0.0882259000;0.0198501; 0.2102082000; 0.0002698000; False; 0.2379064000; 0.4361358000;5.15; 0.140052103; 1.161385222; 0.331172887; 0.006535615; false; 1.530596803; 1.969238777
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07431.mata;0.12; 0.0717891000;0.0088094; 0.0063582000; 0.0001671000; False; 0.0180912000; 0.1548988000;0.9; 0.0729005000;0.014637200000000001; 0.0074859000; 0.0002328000; False; 0.0254820000; 0.1667715000;1.71; 0.02846238; 0.14552495; 0.160220504; 0.01419263; false; 0.326129323; 0.432673095
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07461.mata;0.12; 0.0369654000;0.0097724; 0.0070971000; 0.0002872000; False; 0.0202287000; 0.1769019000;0.96; 0.0706160000;0.0155636; 0.0098104000; 0.0003462000; False; 0.0418336000; 0.2033002000;1.95; 0.075279573; 0.142618464; 0.076927447; 0.002210049; false; 0.228801518; 0.520715702
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07468.mata;0.17; 0.0463919000;0.008778; 0.0596389000; 0.0002625000; False; 0.0717967000; 0.1906753000;0.95; 0.0470090000;0.010065600000000001; 0.0586927000; 0.0003227000; False; 0.0720413000; 0.1758185000;2.06; 0.039933814; 0.257542316; 0.119786462; 0.002874312; false; 0.387549871; 0.548987269
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07473.mata;0.16; 0.0478467000;0.018869499999999997; 0.0509300000; 0.0002138000; False; 0.0726241000; 0.2135890000;0.8; 0.0500495000;0.0067878; 0.0496648000; 0.0002306000; False; 0.0586461000; 0.1802826000;1.23; 0.031489128; 0.091093641; 0.025989262; 0.002186909; false; 0.124642331; 0.235598923
