name;automata-runtime;automata-construction;automata-trim;automata-uni;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-uni;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-union;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-uni;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-31-*.mata;0.25;0.1070444;0.039045300000000005;0.07829330000000001; 0.0002163000; False; 0.1216679000; 0.2572681000;1.16; 0.227478; 0.524007;0.05198900000000001;0.14031800000000003; 0.007755; false; 1.20146;7.76; 0.218009; 0.550325;0.3510170000000001;2.9128869999999996;3.2713009999999993; 0.227323; false; 7.66194;2.48; 0.220575; 0.533771;0.07265300000000001;0.4542;1.0200989999999999; 0.065064; false; 2.53456;1.4; 0.214078; 0.519216;0.00017300000000000003; 5e-06; true; 1.02634;3.2; 1.1430; 0.0000; 1.1333; 0.0088; 0.0032; False; 1.1454; 2.3085;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;5.6;0.8194606159999996; 0.176370034; 3.7275E-5; false; 0.183066232; 1.88424605
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-32-*.mata;0.26;0.10845399999999998;0.03991619999999999;0.09454250000000002; 0.0003018000; False; 0.1779516000; 0.3193915000;1.25; 0.244447; 0.558674;0.05675399999999999;0.142852; 0.00848; false; 1.29791;10.04; 0.238537; 0.572191;0.7194079999999998;3.7810909999999995;4.237116; 0.24825; false; 9.97367;2.66; 0.161043; 0.550272;0.07792299999999999;0.504899;1.179272; 0.078615; false; 2.72326;1.62; 0.247664; 0.602694;0.00016799999999999996; 4e-06; true; 1.19206;3.8; 1.2593; 0.0000; 1.4588; 0.0101; 0.0042; False; 1.4732; 2.7566;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;6.72;0.8626647919999999; 0.286131922; 3.7374E-5; false; 0.293901127; 2.085260524
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-33-*.mata;0.49;0.2478652;0.09863690000000003;0.14629; 0.0002650000; False; 0.2506042000; 0.5668597000;1.46; 0.263214; 0.652122;0.06335400000000001;0.17379899999999998; 0.009768; false; 1.53847;10.65; 0.260562; 0.640456;0.5921059999999999;3.964728;4.62896; 0.264927; false; 10.5689;2.94; 0.268246; 0.634033;0.086371;0.514655;1.198055; 0.081019; false; 3.00885;1.45; 0.248503; 0.582473;0.00015; 5e-06; true; 1.17786;3.66; 1.4179; 0.0000; 1.4664; 0.0107; 0.0033; False; 1.4806; 2.9231;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;7.41;0.8807636920000002; 0.147141205; 3.8083E-5; false; 0.159610513; 2.05348224
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-34-*.mata;0.48;0.19331689999999993;0.06146559999999999;0.1865701; 0.0002004000; False; 0.2542296000; 0.5258237000;1.51; 0.272053; 0.62777;0.06844199999999999;0.193988; 0.011159; false; 1.57359;12.21; 0.249669; 0.659053;0.808833;4.499981;5.276098; 0.367573; false; 12.087;3.35; 0.280193; 0.691882;0.106696;0.606734;1.4119970000000002; 0.09041; false; 3.43218;1.49; 0.274329; 0.651981;0.00017599999999999994; 5e-06; true; 1.26132;3.96; 1.5499; 0.0000; 1.5892; 0.0112; 0.0034; False; 1.6040; 3.1802;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;7.64;1.006613257; 0.257597946; 4.5289E-5; false; 0.2651604; 2.413916386
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-35-*.mata;0.37;0.18770600000000004;0.055645999999999994;0.12452529999999999; 0.0001745000; False; 0.1938365000; 0.4210577000;1.4; 0.272617; 0.488306;0.07125499999999997;0.24725700000000003; 0.013357; false; 1.44734;16.26; 0.310201; 0.744417;0.9012199999999998;6.451306;7.104317; 0.337609; false; 16.1295;2.61; 0.314953; 0.619521;0.06699600000000001;0.4029379999999999;1.0867660000000001; 0.066695; false; 2.70177;2.02; 0.310966; 0.765834;0.00020499999999999994; 5e-06; true; 1.56396;4.26; 1.5333; 0.0000; 1.8940; 0.0123; 0.0041; False; 1.9106; 3.4741;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;8.42;1.0830815520000001; 0.361918475; 5.8325E-5; false; 0.368919447; 2.547915223
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-36-*.mata;0.65;0.3488708;0.1470129;0.3050613; 0.0001288000; False; 0.4583366000; 0.8565998000;1.91; 0.325859; 0.850243;0.08120000000000001;0.21492100000000003; 0.013345; false; 1.97905;15.75; 0.327389; 0.806752;1.019494;5.88771;6.787806000000001; 0.461686; false; 15.5827;4.0; 0.319114; 0.824964;0.110397;0.7461269999999999;1.705524; 0.104851; false; 4.09174;1.96; 0.310005; 0.815838;0.00015499999999999997; 4e-06; true; 1.55426;5.03; 1.7915; 0.0000; 2.1056; 0.0134; 0.0043; False; 2.1235; 3.9486;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;8.75;1.258491758; 0.351383308; 5.0114E-5; false; 0.372742695; 2.734109585
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-37-*.mata;0.48;0.14969899999999997;0.075267;0.2278752; 0.0001812000; False; 0.3142767000; 0.4999776000;1.62; 0.323827; 0.716732;0.059738999999999993;0.191143; 0.010384; false; 1.69462;18.06; 0.33926; 0.872317;1.1037610000000002;6.757276000000001;7.895313; 0.531103; false; 17.8187;3.18; 0.182448; 0.537481;0.059537;0.6356940000000001;1.5800349999999996; 0.077533; false; 3.24696;1.81; 0.239746; 0.80155;0.00020899999999999996; 5e-06; true; 1.55858;5.08; 2.0551; 0.0000; 2.2933; 0.0133; 0.0044; False; 2.3112; 4.4030;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;7.98;1.3223265719999997; 0.339027465; 3.6353E-5; false; 0.345615442; 2.742870799
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-38-*.mata;0.57;0.28214949999999994;0.06713570000000002;0.24357859999999995; 0.0014468000; False; 0.3274006000; 0.7104446000;1.62; 0.289889; 0.571985;0.09235799999999997;0.2828339999999999; 0.013456; false; 1.68913;21.76; 0.362561; 1.00077;1.2046990000000002;8.363722000000001;9.707854000000001; 0.55607; false; 21.5332;4.68; 0.351427; 0.894004;0.12804099999999996;0.899214;2.0503699999999996; 0.126961; false; 4.79258;2.08; 0.331019; 0.872165;0.0002790000000000002; 7e-06; true; 1.72758;5.32; 2.0887; 0.0000; 2.2145; 0.0160; 0.0057; False; 2.2363; 4.3701;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;9.58;1.5609462279999997; 0.305669524; 4.8324E-5; false; 0.31617526; 3.092165036
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-39-*.mata;0.49;0.2318535;0.0639223;0.15954689999999996; 0.0001544000; False; 0.2278057000; 0.5114638000;1.61; 0.348912; 0.699194;0.051383;0.23993199999999998; 0.010999; false; 1.67106;20.82; 0.272439; 0.935044;0.794548;8.178397999999998;9.409214; 0.642771; false; 20.567;4.93; 0.200096; 0.959055;0.11611999999999997;0.97378;2.294673; 0.137433; false; 5.03362;2.26; 0.374366; 0.99117;0.00019499999999999997; 5e-06; true; 1.87323;5.47; 2.0482; 0.0000; 2.3915; 0.0210; 0.0075; False; 2.4202; 4.5094;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;9.2;1.547736236; 0.314902135; 4.2111E-5; false; 0.32061235; 3.032651625
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-4-*.mata;0.14;0.05588750000000001;0.0114294;0.0090692; 0.0003634000; False; 0.0250005000; 0.1294873000;0.01; 0.004187; 0.010273;0.00037;0.00017299999999999998; 9e-05; false; 0.018397;0.02; 0.004115; 0.010372;0.005338;0.003306;0.003202; 0.001506; false; 0.03081;0.02; 0.004252; 0.010795;0.0008799999999999999;0.002023;0.0025629999999999997; 0.000987; false; 0.025923;0.53; 0.004591; 0.010768;3.6e-05; 5e-06; true; 0.020199;1.09; 0.0127; 0.0000; 0.0012; 0.0002; 0.0001; False; 0.0015; 0.0146;1.26; 0.0131; 0.0058; 0.0462; 0.0014; 0.0188; False; 0.0665; 0.0858;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.41;0.051994288; 0.004378523; 4.3013E-5; false; 0.014127669; 0.253389682
