name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06083-*.mata;0.13; 0.122191;0.001221;9.3e-05;2.4000000000000004e-05; 2e-06; true; 0.151684
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06084-*.mata;0.01; 0.014017; 0.001472; 0.000503; 9.5e-05; 9.6e-05; false; 0.018837
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06085-*.mata;0.0; 0.001705;0.00017800000000000002;1.4e-05;5.999999999999999e-06; 1e-06; true; 0.002473
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06088-*.mata;0.02; 0.015152;0.008497000000000001;3.7999999999999995e-05;7e-06; 1e-06; true; 0.026935
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06089-*.mata;0.0; 0.001071; 0.000197; 5.8e-05; 1.9e-05; 2e-05; false; 0.00176
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06092-*.mata;0.04; 0.03712;0.009781;0.000526;0.00010099999999999999; 2e-06; true; 0.054872
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06093-*.mata;0.01; 0.011315;9.999999999999999e-05;3.1e-05;7e-06; 2e-06; true; 0.013465
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06094-*.mata;0.09; 0.047776;0.027751;0.0055780000000000005;0.001116; 0.000338; false; 0.093182
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06095-*.mata;0.03; 0.028565;0.002369;0.000135;3.6e-05; 2e-06; true; 0.039208
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06098-*.mata;0.02; 0.018919;0.002766;0.000149;1.2e-05; 2e-06; true; 0.026211
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06099-*.mata;0.03; 0.021713;0.002056;0.001233;0.000307; 0.000161; false; 0.029685
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06102-*.mata;0.05; 0.04367;0.006971000000000001;0.00034500000000000004;6.9e-05; 2e-06; true; 0.060594
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06103-*.mata;0.02; 0.025976;0.000541;3.2e-05;2.5e-05; 2e-06; true; 0.045589
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06104-*.mata;0.0; 0.00684; 0.000938; 1.2e-05; 2e-06; 1e-06; true; 0.009208
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06105-*.mata;0.04; 0.033278;0.0032689999999999998;0.000149;3.5e-05; 1e-06; true; 0.043152
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06108-*.mata;0.01; 0.008139;0.0008529999999999999;6.7e-05;1.9e-05; 2e-06; true; 0.010697
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06109-*.mata;0.04; 0.039835;0.002018;8.7e-05;8.599999999999999e-05; 0.00018; false; 0.048855
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06112-*.mata;0.01; 0.007929;0.0018040000000000003;0.000102;2.7000000000000002e-05; 1e-06; true; 0.011768
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06113-*.mata;0.0; 0.002322; 0.000255; 1.2e-05; 5e-06; 1e-06; true; 0.003131
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06114-*.mata;0.01; 0.011665;0.002877;0.0007250000000000001;0.00016700000000000002; 7.7e-05; false; 0.017913
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06115-*.mata;0.01; 0.008266;0.0032069999999999998;0.00046499999999999997;8.499999999999999e-05; 2e-06; true; 0.013848
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06118-*.mata;0.0; 0.004161;0.000252;3.4e-05;1.2e-05; 1e-06; true; 0.005448
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06119-*.mata;0.02; 0.016796;0.005145;0.001106;0.00023999999999999998; 0.000111; false; 0.02696
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06122-*.mata;0.02; 0.016182;0.003138;0.000247;7.000000000000001e-05; 7.9e-05; false; 0.023115
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06123-*.mata;0.03; 0.025825;0.000316;1.4e-05;4.9999999999999996e-06; 2e-06; true; 0.031159
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06124-*.mata;0.02; 0.016836;0.006197;0.0006950000000000001;0.000158; 1e-06; true; 0.027853
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06125-*.mata;0.02; 0.02028;0.000838;3.2e-05;1.3e-05; 2e-06; true; 0.028003
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06128-*.mata;0.01; 0.01415;0.001307;9.5e-05;3.9e-05; 0.000127; false; 0.018472
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06129-*.mata;0.0; 0.002382;0.000186;1.4000000000000001e-05;8e-06; 2e-06; true; 0.003273
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06132-*.mata;0.0; 0.002388;0.00032;2.2e-05;4e-06; 2e-06; true; 0.003374
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06133-*.mata;0.02; 0.014011;0.004417;0.0006590000000000001;0.000133; 7.5e-05; false; 0.02229
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06134-*.mata;0.0; 0.006003;0.000719;1.6e-05;4e-06; 2e-06; true; 0.007974
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06135-*.mata;0.01; 0.008402;0.000105;1e-05;4.9999999999999996e-06; 2e-06; true; 0.009962
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06138-*.mata;0.06; 0.056436;0.014003999999999999;0.001937;0.000417; 3.8e-05; false; 0.080947
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06139-*.mata;0.01; 0.011465;0.004849;0.00032100000000000005;8.4e-05; 2e-06; true; 0.019212
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06142-*.mata;0.02; 0.01836;0.000439;4.599999999999999e-05;1.4e-05; 1e-06; true; 0.022058
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06143-*.mata;0.01; 0.008603;0.000104;8e-06;4.9999999999999996e-06; 1e-06; true; 0.010482
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06144-*.mata;0.02; 0.0212; 0.002507; 0.001019; 0.000191; 0.000164; false; 0.028015
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06145-*.mata;0.0; 0.01599;0.000747;7.1e-05;2.6000000000000002e-05; 2e-06; true; 0.022486
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06148-*.mata;0.0; 0.006697;0.000778;0.00011099999999999999;2.7000000000000002e-05; 2e-06; true; 0.009205
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06149-*.mata;0.02; 0.020931;0.001205;0.000116;4e-05; 2e-06; true; 0.028454
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06152-*.mata;0.03; 0.025363;0.006408999999999999;0.0003400000000000001;9.3e-05; 1e-06; true; 0.039697
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06153-*.mata;0.01; 0.009568;0.000221;3.1e-05;3e-06; 1e-06; true; 0.011052
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06154-*.mata;0.01; 0.007648;0.0021579999999999998;0.000344;0.000196; 6.9e-05; false; 0.012146
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06155-*.mata;0.01; 0.01291;0.0012330000000000002;7.299999999999999e-05;1.8e-05; 1e-06; true; 0.017278
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06158-*.mata;0.01; 0.012104;0.000761;8e-05;2.4e-05; 6e-05; false; 0.015255
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06159-*.mata;0.01; 0.009278;0.001055;5.8e-05;4.2999999999999995e-05; 5e-05; false; 0.012252
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06162-*.mata;0.02; 0.01753;0.000174;1.1000000000000001e-05;4.9999999999999996e-06; 1e-06; true; 0.020688
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06163-*.mata;0.0; 0.004605; 0.000175; 2.6e-05; 9e-06; 2.6e-05; false; 0.005639
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06164-*.mata;0.01; 0.020187;0.000643;7.5e-05;1.6e-05; 1e-06; true; 0.02515
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06165-*.mata;0.01; 0.00664;0.001588;0.0005809999999999999;0.000156; 5.6e-05; false; 0.01071
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06168-*.mata;0.01; 0.012896;0.0003420000000000001;1.4000000000000001e-05;6.999999999999999e-06; 2e-06; true; 0.01773
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06169-*.mata;0.0; 0.00456; 0.000566; 4.6e-05; 1.7e-05; 3e-05; false; 0.006188
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06173-*.mata;0.09; 0.074403;0.008365;0.00045299999999999995;0.00013800000000000002; 0.000388; false; 0.100575
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06174-*.mata;0.0; 0.005367;0.001103;0.000205;5.2e-05; 2e-06; true; 0.008192
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06175-*.mata;0.46; 0.079216;0.386571;0.003131;0.00066; 2e-06; true; 0.489096
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06178-*.mata;0.01; 0.010183;0.002394;0.000456;0.000101; 4.8e-05; false; 0.015271
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06179-*.mata;0.02; 0.016629;0.0033090000000000003;0.000486;0.00016500000000000003; 8.6e-05; false; 0.024422
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06180-*.mata;0.0; 0.004466;0.0009310000000000001;4.4999999999999996e-05;3.2999999999999996e-05; 1e-06; true; 0.006525
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06181-*.mata;0.0; 0.012206;0.000975;0.000124;2.4e-05; 1e-06; true; 0.014812
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06186-*.mata;0.05; 0.029128;0.014405999999999999;0.001512;0.000309; 2e-06; true; 0.052809
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06187-*.mata;0.0; 0.0027;0.000175;1.5e-05;1.1000000000000001e-05; 2e-06; true; 0.003623
