name;automata-runtime;automata-construction;automata-trim;automata-uni;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;java-automatalib-old-runtime;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;0.32;0.27074339999999997;0.0132856; 0.0124661000; 0.0171473000; False; 0.0470676000; 0.4010190000;0.45; 0.403514; 0.080565; 0.000527; 0.000612; 0.000112; false; 0.496668;0.4; 0.285556; 0.080623;0.022274000000000002; 0.006681; 0.010527; 0.008946; false; 0.426948;0.6; 0.480462; 0.115412;0.004678; 0.004507; 0.01001; 0.009354; false; 0.640679;ERR;1.53; 0.5348; 0.0000; 0.0078; 0.0037; 0.0035; False; 0.0150; 0.5519;3.48; 0.4438; 0.2644; 1.3215; 0.0070; 0.3644; False; 1.6930; 2.4034;TO;TO;2.64;0.18763428999999998; 0.012514918; 4.1296E-5; false; 0.031203494; 0.467248253
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;0.24;0.1689667;0.0176931; 0.0138296000; 0.0003457000; False; 0.0619388000; 0.2750928000;0.61; 0.497182; 0.130724; 0.00137; 0.002062; 0.000304; false; 0.653047;0.67; 0.506853; 0.122037;0.03611; 0.009051; 0.013551; 0.015383; false; 0.718574;0.62; 0.498478; 0.116218;0.0048850000000000005; 0.00445; 0.010279; 0.010377; false; 0.66123;ERR;1.93; 0.6722; 0.0000; 0.0075; 0.0043; 0.0046; False; 0.0164; 0.6934;5.07; 0.8187; 0.5184; 2.1939; 0.0130; 0.5097; False; 2.7167; 4.0557;TO;TO;2.39;0.11246584600000001; 0.014921587; 3.0069E-5; false; 0.022686127; 0.350022312
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.16;0.0861152;0.0101322; 0.0080728000; 0.0002074000; False; 0.0224295000; 0.1686879000;0.06; 0.055266; 0.018637; 0.000135; 9.6e-05; 3.2e-05; false; 0.076872;0.07; 0.056783; 0.021412;0.0032329999999999998; 0.000935; 0.000832; 0.000669; false; 0.086583;0.07; 0.056181; 0.022134;0.0005269999999999999; 0.001608; 0.001885; 0.000868; false; 0.088553;ERR;1.42; 0.0938; 0.0000; 0.0014; 0.0002; 0.0003; False; 0.0020; 0.0966;1.34; 0.0824; 0.0079; 0.0244; 0.0012; 0.0055; False; 0.0312; 0.1219;TO;TO;0.96;0.028465397000000003; 0.002237715; 3.3365E-5; false; 0.007416156; 0.148973226
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;0.32;0.25073650000000003;0.014918; 0.0143691000; 0.0003308000; False; 0.0341839000; 0.3411673000;0.47; 0.411293; 0.08428; 0.000615; 0.00094; 0.000163; false; 0.511473;0.72; 0.528344; 0.126092;0.042057; 0.010709; 0.01737; 0.016874; false; 0.760728;0.38; 0.299707; 0.088573;0.002966; 0.002715; 0.006538; 0.006164; false; 0.41789;ERR;2.12; 0.8475; 0.0000; 0.0262; 0.0088; 0.0081; False; 0.0471; 0.8971;4.17; 0.4605; 0.3775; 1.4944; 0.0140; 0.5718; False; 2.0803; 2.9210;TO;TO;2.8;0.204010484; 0.030836622; 2.8084E-5; false; 0.03750227; 0.552017408
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.17;0.0985363;0.010051; 0.0085904000; 0.0002454000; False; 0.0228314000; 0.2123132000;0.09; 0.079122; 0.024516; 0.000208; 0.000215; 5e-05; false; 0.10793;0.1; 0.079174; 0.024482;0.00447; 0.00121; 0.000949; 0.000972; false; 0.114238;0.1; 0.082254; 0.024294;0.000827; 0.001514; 0.002098; 0.001295; false; 0.117063;ERR;1.08; 0.1282; 0.0000; 0.0010; 0.0003; 0.0004; False; 0.0017; 0.1305;1.49; 0.1349; 0.0163; 0.0905; 0.0020; 0.0137; False; 0.1063; 0.2580;TO;TO;1.33;0.071278458; 0.00442011; 2.6718E-5; false; 0.016218138; 0.290744489
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.11;0.0592998;0.008200899999999999; 0.0114306000; 0.0003572000; False; 0.0231515000; 0.1301080000;0.06; 0.056595; 0.017971; 0.000124; 9e-05; 3.8e-05; false; 0.077247;0.07; 0.057344; 0.024919;0.003362; 0.000911; 0.000725; 0.000773; false; 0.090241;0.07; 0.058064; 0.019281;0.000579; 0.001044; 0.00145; 0.00095; false; 0.084648;ERR;1.46; 0.1620; 0.0000; 0.0020; 0.0005; 0.0006; False; 0.0032; 0.1661;1.47; 0.1439; 0.0233; 0.0865; 0.0022; 0.0203; False; 0.1092; 0.2770;TO;TO;1.44;0.146536773; 0.005789639; 2.664E-5; false; 0.031818649; 0.351749958
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;0.18;0.11063390000000001;0.0095541; 0.0080215000; 0.0001955000; False; 0.0212998000; 0.2207044000;0.15; 0.13198; 0.038474; 0.000327; 0.000205; 8.5e-05; false; 0.176863;0.16; 0.129408; 0.035025;0.007814999999999999; 0.002165; 0.002177; 0.002198; false; 0.18302;0.16; 0.129411; 0.03252;0.001189; 0.001767; 0.002816; 0.001973; false; 0.174872;ERR;1.57; 0.1977; 0.0000; 0.0020; 0.0006; 0.0007; False; 0.0033; 0.2020;1.65; 0.1846; 0.0404; 0.1566; 0.0040; 0.0351; False; 0.1958; 0.4216;TO;TO;1.44;0.057507709000000004; 0.004621785; 2.9321E-5; false; 0.011063767; 0.219942743
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;0.18;0.1234696;0.0097781; 0.0105961000; 0.0002494000; False; 0.0240951000; 0.2015511000;0.18; 0.154564; 0.040722; 0.000369; 0.000289; 8.8e-05; false; 0.2018;0.19; 0.152711; 0.037729;0.009108000000000002; 0.002306; 0.002182; 0.002161; false; 0.210437;0.19; 0.155785; 0.038058;0.0014559999999999998; 0.002013; 0.00324; 0.002565; false; 0.209084;ERR;1.08; 0.1506; 0.0000; 0.0016; 0.0004; 0.0005; False; 0.0026; 0.1537;1.84; 0.2528; 0.0570; 0.2228; 0.0042; 0.0500; False; 0.2772; 0.5878;TO;TO;1.65;0.06349922699999999; 0.005060673; 2.5435E-5; false; 0.011560823; 0.241881877
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;0.21;0.1444674;0.011205699999999999; 0.0093573000; 0.0003364000; False; 0.0248065000; 0.2299903000;0.22; 0.18436; 0.045241; 0.000436; 0.000311; 0.000104; false; 0.236939;0.23; 0.185318; 0.047974;0.011739; 0.003325; 0.003894; 0.004167; false; 0.262068;0.21; 0.173563; 0.046535;0.0017620000000000001; 0.002229; 0.003875; 0.003053; false; 0.238236;ERR;1.56; 0.2552; 0.0000; 0.0024; 0.0011; 0.0011; False; 0.0047; 0.2614;1.95; 0.3308; 0.0747; 0.3028; 0.0046; 0.0667; False; 0.3741; 0.7805;TO;TO;1.4;0.060582727; 0.010211913; 2.5637E-5; false; 0.022765438; 0.229937617
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;0.22;0.1873701;0.0108463; 0.0120024000; 0.0003257000; False; 0.0268524000; 0.2696777000;0.24; 0.211659; 0.051001; 0.000504; 0.000364; 0.000114; false; 0.271226;0.28; 0.217193; 0.056204;0.012743; 0.003309; 0.004007; 0.004494; false; 0.303872;0.25; 0.207852; 0.048196;0.00184; 0.002208; 0.004027; 0.003294; false; 0.274293;ERR;1.41; 0.2899; 0.0000; 0.0018; 0.0007; 0.0007; False; 0.0032; 0.2941;2.03; 0.2882; 0.0835; 0.3268; 0.0059; 0.0804; False; 0.4133; 0.7860;TO;TO;1.67;0.115922513; 0.005292522; 4.3562E-5; false; 0.02583471; 0.369130501
