name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-4.mata;0.07; 0.000195;0.02405;0.014006;0.011120999999999999; 0.002905; false; 0.079694
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06250-1.mata;0.66; 0.000455;0.622395;0.015146;0.007475; 0.001031; false; 0.676088
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06315-1.mata;0.07; 0.000242;0.021036;0.013769;0.017644; 0.004614; false; 0.088272
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06342-1.mata;0.11; 0.000398;0.07356499999999998;0.012145;0.00591; 0.001097; false; 0.121601
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-1.mata;1.22; 0.00813;0.25296599999999997;0.262729;0.08211299999999999; 0.018737; false; 1.23853
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-10.mata;0.32; 0.000117;0.33001;0.0018809999999999999;0.000549; 0.000112; false; 0.336452
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-11.mata;1.23; 0.000121;1.2421229999999999;0.006465;0.00157; 0.000625; false; 1.26142
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-12.mata;1.48; 0.000222;1.484871;0.007892;0.002006; 0.000557; false; 1.50781
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-13.mata;0.07; 9.1e-05;0.081528;0.0005449999999999999;0.00035; 6.7e-05; false; 0.084112
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-14.mata;0.32; 0.000116;0.33006599999999997;0.001985;0.0005639999999999999; 0.000109; false; 0.336853
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-15.mata;0.71; 0.000133;0.7172999999999999;0.003836;0.001134; 0.000399; false; 0.729436
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-16.mata;1.16; 0.000229;1.179437;0.005785;0.001529; 0.000373; false; 1.19792
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-17.mata;0.06; 9.9e-05;0.074129;0.000533;0.000326; 6.6e-05; false; 0.076465
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-18.mata;0.38; 0.00013;0.389768;0.001901;0.000554; 0.000111; false; 0.396496
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-19.mata;1.06; 0.00023;1.0687200000000001;0.007809;0.002086; 0.000552; false; 1.09197
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-2.mata;0.21; 8.4e-05;0.219358;0.001335;0.000414; 0.000114; false; 0.223933
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-20.mata;0.79; 0.000209;0.801344;0.005574;0.001239; 0.000255; false; 0.818312
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-21.mata;0.05; 7.4e-05;0.06345300000000001;0.000371;0.000266; 4.2e-05; false; 0.065304
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-22.mata;0.25; 0.000119;0.258292;0.0016979999999999999;0.0004890000000000001; 0.000108; false; 0.264271
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-23.mata;0.77; 0.000208;0.7669170000000001;0.007083;0.001452; 0.000453; false; 0.787125
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-24.mata;1.05; 0.000217;1.058347;0.006954;0.00164; 0.000478; false; 1.0792
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-25.mata;0.07; 8.2e-05;0.08182600000000001;0.000609;0.000385; 6.8e-05; false; 0.084412
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-26.mata;0.39; 0.000125;0.394704;0.002658;0.0006889999999999999; 0.00021; false; 0.403337
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-27.mata;0.86; 0.000215;0.868309;0.0056;0.0013800000000000002; 0.000312; false; 0.885929
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-28.mata;1.16; 0.000128;1.160732;0.0071059999999999995;0.0016510000000000001; 0.000636; false; 1.18129
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-29.mata;0.07; 8.1e-05;0.076365;0.000503;0.00034; 6.2e-05; false; 0.078719
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-3.mata;0.72; 0.000199;0.733792;0.004332;0.0012460000000000001; 0.000399; false; 0.747478
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-30.mata;0.41; 0.000133;0.419493;0.00266;0.000755; 0.000202; false; 0.428167
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-31.mata;1.33; 0.000206;1.3379409999999998;0.007332;0.00175; 0.000476; false; 1.35999
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-32.mata;1.39; 0.000213;1.401043;0.0054670000000000005;0.0012540000000000001; 0.000268; false; 1.41786
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-33.mata;0.04; 5.1e-05;0.044402000000000004;0.000281;0.000204; 4.3e-05; false; 0.04578
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-34.mata;0.21; 7.9e-05;0.22131099999999998;0.001434;0.000448; 0.000116; false; 0.226118
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-35.mata;1.26; 0.000204;1.269375;0.007518;0.001765; 0.000524; false; 1.29182
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-36.mata;0.58; 0.000122;0.5838650000000001;0.0037660000000000003;0.000959; 0.000322; false; 0.595336
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-37.mata;0.04; 5.6e-05;0.047738;0.00028399999999999996;0.000197; 4.6e-05; false; 0.049146
