name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-compl;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance14322.mata;0.19; 0.0594185000;0.010342500000000001; 0.0582431000; 0.0003277000; False; 0.0780930000; 0.1977570000;0.03; 0.03056; 0.002216; 0.000204; 5.9e-05; false; 0.037577;0.03; 0.017924; 0.00959; 0.006143; 0.002126; 0.002051; false; 0.039841;0.04; 0.031273; 0.001685; 0.005868; 0.002054; 0.001493; false; 0.046398;ERR;ERR;ERR;ERR;ERR;ERR;1.22; 0.0546; 0.0000; 0.0053; 0.0005; 0.0000; False; 0.0060; 0.0616;1.07; 0.0301; 0.0276; 0.0284; 0.0302; 0.0022; 0.0037; False; 0.0362; 0.0943;1.23; 0.0338; 0.0146; 0.0124; 0.0226; 0.0001; False; 0.0227; 0.0719;2.27; 0.215836772; 0.136292885; 0.00267935; false; 0.16598637; 0.571823987;1.64; 0.07723449; 0.031028016; 4.2001E-5; false; 0.059230126; 0.34286764
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance14326.mata;0.18; 0.0437071000;0.010506199999999999; 0.0504339000; 0.0002619000; False; 0.0643533000; 0.1638326000;0.0; 0.001044; 0.00059; 7.3e-05; 4.4e-05; false; 0.002395;0.01; 0.002128; 0.001271; 0.006912; 0.00409; 0.00325; false; 0.018324;0.01; 0.001023; 0.000167; 0.003283; 0.001796; 0.001146; false; 0.008893;ERR;ERR;ERR;ERR;ERR;ERR;1.09; 0.0071; 0.0000; 0.0015; 0.0002; 0.0000; False; 0.0018; 0.0093;1.06; 0.0076; 0.0021; 0.0074; 0.0089; 0.0019; 0.0012; False; 0.0121; 0.0220;1.28; 0.0079; 0.0025; 0.0021; 0.0058; 0.0001; False; 0.0059; 0.0165;1.5; 0.235537386; 0.04997608; 0.002124059; false; 0.058622653; 0.389691794;1.15; 0.028013713; 0.013976504; 2.8733E-5; false; 0.020979316; 0.173111308
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance14379.mata;0.14; 0.0304201000;0.0094981; 0.0488481000; 0.0002046000; False; 0.0611202000; 0.1399644000;0.0; 0.002916; 0.000474; 4.8e-05; 4.9e-05; false; 0.004281;0.01; 0.005067; 0.0026; 0.005761; 0.002225; 0.002315; false; 0.01888;0.01; 0.004998; 0.000307; 0.003193; 0.001659; 0.001078; false; 0.013111;ERR;ERR;ERR;ERR;ERR;ERR;1.07; 0.0092; 0.0000; 0.0011; 0.0001; 0.0000; False; 0.0013; 0.0108;1.33; 0.0163; 0.0068; 0.0143; 0.0167; 0.0030; 0.0022; False; 0.0219; 0.0454;0.95; 0.0108; 0.0032; 0.0023; 0.0049; 0.0001; False; 0.0050; 0.0192;1.56; 0.194952502; 0.061227189; 0.002217276; false; 0.069317872; 0.381429124;1.3; 0.026979753; 0.012626348; 4.2361E-5; false; 0.020919677; 0.20173802
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance14382.mata;0.12; 0.0283999000;0.0077203; 0.0439096000; 0.0001686000; False; 0.0540243000; 0.1233597000;0.0; 0.000512; 0.000297; 5.8e-05; 2.6e-05; false; 0.001309;0.0; 0.00083; 0.000537; 0.003925; 0.001346; 0.001288; false; 0.008353;0.01; 0.000902; 9.5e-05; 0.002081; 0.000947; 0.000533; false; 0.005928;ERR;ERR;ERR;ERR;ERR;ERR;1.14; 0.0060; 0.0000; 0.0010; 0.0001; 0.0000; False; 0.0012; 0.0074;1.3; 0.0087; 0.0012; 0.0058; 0.0075; 0.0023; 0.0012; False; 0.0111; 0.0213;1.05; 0.0060; 0.0013; 0.0011; 0.0032; 0.0001; False; 0.0033; 0.0108;1.33; 0.160858051; 0.066904465; 0.002268157; false; 0.075615495; 0.328630334;1.05; 0.017900006; 0.009892678; 2.9838E-5; false; 0.018666409; 0.137630646
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance14468.mata;0.96; 0.0292822000;0.022756000000000002; 0.8710564000; 0.0003822000; False; 0.8966811000; 0.9672340000;0.21; 0.006594; 0.201563; 0.010024; 0.000279; false; 0.234193;1.45; 0.009124; 0.004415; 0.828171; 0.284416; 0.270202; false; 1.39762;0.75; 0.004726; 0.000293; 0.564005; 0.092663; 0.087369; false; 0.750469;0.5; 0.008374; 2.1e-05; 1e-05; false; 0.015192;1.47; 0.0202; 0.0000; 0.2407; 0.0072; 0.0000; False; 0.2480; 0.2751;47.69; 0.0155; 0.0151; 40.2035; 40.2746; 0.1242; 8.7172; False; 49.1161; 49.1555;2.93; 0.0221; 0.0074; 1.6099; 1.9469; 0.0001; False; 1.9470; 1.9800;3.78; 1.350143492; 0.091820382; 0.002533738; false; 0.100814991; 1.627245209;4.95; 0.097603047; 1.678046647; 3.2678E-5; false; 1.688483661; 1.966518988
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance14488.mata;0.13; 0.0471153000;0.0089237; 0.0074250000; 0.0002153000; False; 0.0195334000; 0.1550406000;0.01; 0.012229; 0.001034; 0.000107; 3.3e-05; false; 0.015725;0.02; 0.012458; 0.006193; 0.004679; 0.001583; 0.001514; false; 0.028055;0.02; 0.01236; 0.000691; 0.003079; 0.001389; 0.000825; false; 0.020817;0.53; 0.011767; 1.6e-05; 7e-06; false; 0.01969;1.28; 0.0295; 0.0000; 0.0032; 0.0002; 0.0000; False; 0.0035; 0.0335;1.36; 0.0179; 0.0082; 0.0145; 0.0163; 0.0026; 0.0031; False; 0.0220; 0.0485;1.37; 0.0273; 0.0129; 0.0082; 0.0132; 0.0001; False; 0.0133; 0.0540;1.74; 0.315718554; 0.063985784; 0.002699613; false; 0.073809742; 0.539123314;1.22; 0.056052829; 0.008146183; 3.1185E-5; false; 0.02303742; 0.302988951
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance14621.mata;0.1; 0.0259401000;0.0059601; 0.0315168000; 0.0001416000; False; 0.0395928000; 0.1015133000;0.0; 0.001347; 0.000485; 5.7e-05; 5.7e-05; false; 0.002637;0.01; 0.001356; 0.000789; 0.00376; 0.001397; 0.001324; false; 0.009034;0.01; 0.00246; 0.000177; 0.002645; 0.001549; 0.001022; false; 0.009277;ERR;ERR;ERR;ERR;ERR;ERR;1.06; 0.0078; 0.0000; 0.0016; 0.0002; 0.0000; False; 0.0018; 0.0101;1.37; 0.0125; 0.0040; 0.0114; 0.0142; 0.0035; 0.0015; False; 0.0193; 0.0361;1.04; 0.0083; 0.0024; 0.0018; 0.0051; 0.0001; False; 0.0052; 0.0161;1.56; 0.173530827; 0.050678421; 0.002264068; false; 0.058985275; 0.37407283;1.11; 0.036334902; 0.014841263; 3.4922E-5; false; 0.022077325; 0.171128405
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance14719.mata;0.17; 0.0387059000;0.0088875; 0.0551265000; 0.0002487000; False; 0.0669221000; 0.2082688000;0.0; 0.001823; 0.000607; 0.000104; 4.2e-05; false; 0.003317;0.0; 0.001716; 0.000962; 0.003382; 0.001267; 0.001252; false; 0.009069;0.0; 0.001844; 0.000145; 0.002044; 0.001138; 0.000695; false; 0.007226;ERR;ERR;ERR;ERR;ERR;ERR;1.25; 0.0098; 0.0000; 0.0014; 0.0001; 0.0000; False; 0.0016; 0.0118;1.11; 0.0075; 0.0016; 0.0037; 0.0045; 0.0010; 0.0008; False; 0.0063; 0.0155;1.39; 0.0113; 0.0035; 0.0029; 0.0070; 0.0001; False; 0.0072; 0.0223;1.41; 0.14197294; 0.044447325; 0.002437222; false; 0.054319621; 0.293933574;1.16; 0.023576281; 0.024392523; 3.2582E-5; false; 0.031476153; 0.162760123
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance14761.mata;0.13; 0.0733328000;0.0063004; 0.0049201000; 0.0001504000; False; 0.0134694000; 0.1345889000;0.08; 0.077258; 0.00354; 0.000617; 0.000222; false; 0.092435;0.18; 0.068914; 0.047324; 0.024619; 0.014468; 0.014741; false; 0.177046;0.13; 0.101857; 0.005914; 0.01286; 0.005594; 0.005038; false; 0.145146;0.54; 0.062072; 0.00011; 1.3e-05; false; 0.137358;1.12; 0.0933; 0.0000; 0.0094; 0.0010; 0.0000; False; 0.0105; 0.1054;2.54; 0.1997; 0.8151; 0.3129; 0.3252; 0.0156; 0.0545; False; 0.3954; 1.4122;1.5; 0.1506; 0.0995; 0.0359; 0.0610; 0.0001; False; 0.0611; 0.3137;3.34; 0.546754447; 0.128735331; 0.002383794; false; 0.138689911; 0.98431446;2.15; 0.129592705; 0.066037221; 3.4162E-5; false; 0.087962128; 0.466084527
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance14763.mata;0.22; 0.0719553000;0.0091249; 0.0625522000; 0.0003355000; False; 0.0747840000; 0.2168578000;0.05; 0.032188; 0.023279; 0.000139; 5.9e-05; false; 0.060405;0.23; 0.055411; 0.027877; 0.133877; 0.006531; 0.006732; false; 0.236451;0.2; 0.058576; 0.003068; 0.138986; 0.002577; 0.002033; false; 0.211862;ERR;ERR;ERR;ERR;ERR;ERR;1.22; 0.0540; 0.0000; 0.0470; 0.0005; 0.0000; False; 0.0476; 0.1024;2.49; 0.0909; 0.0631; 1.0679; 1.0730; 0.0064; 0.0129; False; 1.0924; 1.2471;1.88; 0.0936; 0.0356; 0.4635; 0.4751; 0.0001; False; 0.4753; 0.6053;3.12; 0.685964878; 0.027555489; 0.002441112; false; 0.03772768; 0.92123955;2.29; 0.142704032; 0.073962623; 4.0408E-5; false; 0.08277724; 0.583261228
