name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-intersection;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-interall;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-interall;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06020-*.mata;0.12;0.0637798;0.009342899999999996;0.010782500000000002; 0.0001319000; True; 0.0225400000; 0.1311819000;0.01; 0.014712;4.2e-05;3.7999999999999995e-05; 1e-06; true; 0.017849;0.02; 0.014386;0.007908;8.899999999999998e-05;4.6e-05; 1e-06; true; 0.024678;0.02; 0.014757;0.000797;0.000599;0.000446; 2.3e-05; true; 0.019508;0.36; 0.017548;5.1000000000000006e-05; 7e-06; true; 0.04832;1.24; 0.0602; 0.0000; 0.0004; 0.0000; 0.0000; True; 0.0005; 0.0613;1.3; 0.0413; 0.0195; 0.1000; 0.0053; 0.0000; True; 0.1054; 0.1667;1.03; 0.0293; 0.0131; 0.0006; 0.0001; 0.0002; True; 0.0008; 0.0437;2.16;0.30208475900000004; 0.09000144; 0.002741848; true; 0.099268143; 0.584884444;1.36;0.07396319; 0.002487472; 2.2447E-5; true; 0.017772565; 0.331106929
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06021-*.mata;0.15;0.05840529999999999;0.0091828;0.010930500000000001; 0.0001321000; True; 0.0224060000; 0.1442190000;0.01; 0.010263;5.9999999999999995e-05;4.4999999999999996e-05; 2e-06; true; 0.012651;0.01; 0.010039;0.0054;9.099999999999999e-05;5.4000000000000005e-05; 1e-06; true; 0.01725;0.01; 0.010528;0.0005580000000000001;0.000554;0.000408; 3.3e-05; true; 0.014328;ERR;ERR;ERR;ERR;ERR;ERR;1.17; 0.0282; 0.0000; 0.0003; 0.0000; 0.0000; True; 0.0003; 0.0290;1.22; 0.0420; 0.0120; 0.0688; 0.0043; 0.0000; True; 0.0732; 0.1276;1.24; 0.0387; 0.0186; 0.0007; 0.0002; 0.0003; True; 0.0011; 0.0589;1.71;0.177044778; 0.078362655; 0.011940114; true; 0.097101106; 0.409324481;1.46;0.121296461; 0.002994607; 3.2147E-5; true; 0.009329949; 0.327174411
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06026-*.mata;0.15;0.0515337;0.009133800000000001;0.0147625; 0.0001986000; True; 0.0263967000; 0.1409356000;0.01; 0.014829;0.000103;4.1e-05; 3e-06; true; 0.018497;0.02; 0.015693;0.008400000000000001;0.000107;5.6e-05; 1e-06; true; 0.026879;0.02; 0.015358;0.000715;0.000706;0.00053; 2.3e-05; true; 0.020607;ERR;ERR;ERR;ERR;ERR;ERR;0.98; 0.0175; 0.0000; 0.0002; 0.0000; 0.0000; True; 0.0002; 0.0181;1.17; 0.0311; 0.0125; 0.0337; 0.0027; 0.0000; True; 0.0365; 0.0805;1.21; 0.0200; 0.0080; 0.0005; 0.0001; 0.0002; True; 0.0007; 0.0290;1.57;0.206023351; 0.064735871; 0.002317388; true; 0.073236022; 0.414109256;1.38;0.068861247; 0.015704589; 4.1875E-5; true; 0.029383415; 0.336054134
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06027-*.mata;0.14;0.0543455;0.009173099999999998; 0.0147863000; 0.0002128000; False; 0.0268429000; 0.1544616000;0.02; 0.020714; 0.000719; 0.000147; 0.000137; false; 0.026223;0.04; 0.021347;0.011533; 0.002897; 0.002458; 0.002138; false; 0.043444;0.03; 0.020899;0.001276; 0.001791; 0.001568; 0.00087; false; 0.030537;0.53; 0.021201; 2.9e-05; 6e-06; true; 0.044182;1.03; 0.0223; 0.0000; 0.0011; 0.0001; 0.0000; False; 0.0013; 0.0241;1.13; 0.0274; 0.0083; 0.0140; 0.0018; 0.0330; False; 0.0489; 0.0850;1.32; 0.0721; 0.0281; 0.0246; 0.0131; 0.0133; False; 0.0380; 0.1394;1.86;0.259478277; 0.045603669; 0.002290456; false; 0.07037929; 0.582288152;1.36;0.05435601; 0.028358767; 3.754E-5; false; 0.04921344; 0.348345447
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06030-*.mata;0.14;0.07887709999999999;0.009451500000000002;0.0134664; 0.0002033000; False; 0.0259451000; 0.1695658000;0.01; 0.015626;4.1e-05;1.8e-05; 8.2e-05; false; 0.019077;0.02; 0.015974;0.008714;9.300000000000001e-05;5.6000000000000006e-05; 2.1e-05; false; 0.027437;0.02; 0.016888;0.001042;0.000899;0.000723; 8.7e-05; false; 0.023467;0.48; 0.017741;3.2e-05; 5e-06; true; 0.041624;1.03; 0.0184; 0.0000; 0.0002; 0.0000; 0.0000; False; 0.0002; 0.0189;1.23; 0.0340; 0.0089; 0.0595; 0.0085; 0.0001; False; 0.0682; 0.1122;1.25; 0.0348; 0.0178; 0.0018; 0.0008; 0.0009; False; 0.0028; 0.0559;1.59;0.20366277; 0.054518193; 0.00234196; false; 0.063606817; 0.422688907;1.23;0.099918691; 0.003348479; 3.5972E-5; false; 0.010219393; 0.344808011
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06031-*.mata;0.13;0.0456098;0.0059141;0.008448899999999999; 0.0001407000; True; 0.0161193000; 0.1198105000;0.02; 0.023397;5.8e-05;1.7e-05; 2e-06; true; 0.028269;0.04; 0.023029;0.013499;0.000166;8.9e-05; 1e-06; true; 0.040555;0.03; 0.023569;0.0013520000000000001;0.00088;0.000679; 2.6e-05; true; 0.031342;ERR;ERR;ERR;ERR;ERR;ERR;1.03; 0.0261; 0.0000; 0.0002; 0.0000; 0.0000; True; 0.0003; 0.0268;1.29; 0.0364; 0.0189; 0.0603; 0.0088; 0.0000; True; 0.0691; 0.1250;1.03; 0.0402; 0.0221; 0.0014; 0.0002; 0.0003; True; 0.0017; 0.0645;1.8;0.267004465; 0.073848853; 0.001973727; true; 0.081753413; 0.589317179;1.38;0.08265773; 0.002458875; 2.5135E-5; true; 0.009918078; 0.277981949
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06036-*.mata;0.15;0.0591024;0.008768;0.0142524; 0.0001616000; True; 0.0254800000; 0.1803122000;0.01; 0.017965;0.00039400000000000004;0.000111; 3e-06; true; 0.022369;0.02; 0.015147;0.00838;0.001469;0.0014449999999999999; 2e-06; true; 0.029145;0.02; 0.01695;0.001103;0.001269;0.0010010000000000002; 2.3e-05; true; 0.023976;ERR;ERR;ERR;ERR;ERR;ERR;1.12; 0.0224; 0.0000; 0.0013; 0.0000; 0.0000; True; 0.0014; 0.0242;1.55; 0.0324; 0.0060; 0.3672; 0.0077; 0.0000; True; 0.3750; 0.4140;1.13; 0.0407; 0.0184; 0.0126; 0.0002; 0.0003; True; 0.0129; 0.0726;1.78;0.27757702400000006; 0.069881321; 0.001977407; true; 0.077243662; 0.581532638;1.22;0.10072358; 0.003703937; 2.7803E-5; true; 0.01315213; 0.343004702
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06040-*.mata;0.18;0.0836018;0.008912399999999997;0.014151500000000001; 0.0002152000; True; 0.0257551000; 0.2122865000;0.06; 0.051955;0.000288;3.3e-05; 3e-06; true; 0.064017;0.09; 0.054075;0.031359;0.0007009999999999999;0.000425; 1e-06; true; 0.095233;0.06; 0.053286;0.003524;0.001192;0.000741; 4e-05; true; 0.067917;0.66; 0.054825;4.1e-05; 5e-06; true; 0.146068;1.19; 0.0602; 0.0000; 0.0007; 0.0000; 0.0000; True; 0.0007; 0.0616;1.25; 0.0583; 0.0222; 0.1214; 0.0056; 0.0000; True; 0.1271; 0.2085;1.1; 0.0502; 0.0258; 0.0027; 0.0001; 0.0002; True; 0.0029; 0.0796;2.69;0.479792216; 0.103862517; 0.004885122; true; 0.115595452; 0.825655383;1.68;0.19345479999999998; 0.003614204; 2.2883E-5; true; 0.0093333; 0.676868107
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06041-*.mata;0.13;0.074073;0.0093371; 0.0139035000; 0.0002424000; False; 0.0257212000; 0.1555607000;0.0; 0.002934; 2.9e-05; 1e-05; 1.9e-05; false; 0.003668;0.0; 0.002826;0.0015010000000000002; 7.4e-05; 7e-05; 4.8e-05; false; 0.005099;0.01; 0.002971;0.00018600000000000002; 0.000742; 0.000719; 9.5e-05; false; 0.006219;0.52; 0.00284; 1.9e-05; 4e-06; true; 0.005605;1.13; 0.0078; 0.0000; 0.0002; 0.0000; 0.0000; False; 0.0003; 0.0083;1.08; 0.0071; 0.0009; 0.0016; 0.0006; 0.0005; False; 0.0028; 0.0109;1.23; 0.0118; 0.0036; 0.0009; 0.0013; 0.0015; False; 0.0024; 0.0181;1.29;0.156583514; 0.026190669; 0.002226475; false; 0.034797915; 0.304650238;1.03;0.025104640999999997; 0.003284805; 2.7271E-5; false; 0.009863796; 0.169573655
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06046-*.mata;0.15;0.0542755;0.009177000000000001;0.014665500000000001; 0.0001957000; True; 0.0266454000; 0.1773451000;0.02; 0.016375;7.2e-05;2.4999999999999998e-05; 2e-06; true; 0.020045;0.02; 0.015519;0.008860999999999999;0.000187;6.1e-05; 2e-06; true; 0.027326;0.02; 0.014981;0.000988;0.0009459999999999999;0.000707; 4e-05; true; 0.02137;ERR;ERR;ERR;ERR;ERR;ERR;1.04; 0.0278; 0.0000; 0.0004; 0.0000; 0.0000; True; 0.0004; 0.0289;1.48; 0.0436; 0.0198; 0.2503; 0.0105; 0.0000; True; 0.2609; 0.3247;1.27; 0.0372; 0.0176; 0.0010; 0.0002; 0.0003; True; 0.0013; 0.0566;1.7;0.19711594999999998; 0.045177814; 0.002515756; true; 0.053633488; 0.476645652;1.2;0.08732227099999999; 0.004442604; 2.424E-5; true; 0.011423942; 0.340490311
