name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1357.0.mata;0.18; 0.159657; 0.038278; 0.002718; 0.000771; 0.000105; 6.1e-05; false; 0.204513
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1370.0.mata;0.14; 0.127862; 0.024499; 0.002055; 0.000411; 4.8e-05; 7e-06; false; 0.156907
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1371.0.mata;0.21; 0.186286; 0.046106; 0.003296; 0.00078; 7.7e-05; 1.1e-05; false; 0.23963
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1375.0.mata;0.18; 0.145026; 0.048191; 0.003345; 0.000928; 0.000129; 6e-05; false; 0.201385
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1379.0.mata;0.12; 0.110672; 0.03029; 0.002154; 0.000395; 5.6e-05; 8e-06; false; 0.145624
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1427.0.mata;0.15; 0.152716; 0.024697; 0.002064; 0.000423; 5.6e-05; 9e-06; false; 0.181904
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1437.0.mata;0.06; 0.0538; 0.014501; 0.001092; 0.000343; 4e-05; 6e-06; false; 0.071042
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1471.0.mata;0.14; 0.10746; 0.034095; 0.003915; 0.000529; 3.2e-05; 1.5e-05; false; 0.150157
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1475.0.mata;0.16; 0.139158; 0.034725; 0.002994; 0.00031; 2.3e-05; 2.9e-05; false; 0.180235
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1477.0.mata;0.13; 0.113542; 0.034821; 0.004058; 0.000552; 3.7e-05; 3.9e-05; false; 0.157538
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1479.0.mata;0.21; 0.202766; 0.03266; 0.002628; 0.000292; 2e-05; 2.6e-05; false; 0.241053
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1575.0.mata;0.16; 0.126445; 0.044824; 0.003586; 0.000873; 9.8e-05; 4.4e-05; false; 0.179467
