name;automata-old-runtime;automata-old-construction;automata-old-trim;automata-old-intersection;automata-old-emptiness_check;automata-old-emptiness_result;automata-old-interpretation;automata-old-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-intersection;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;5.39;0.18736629999999999;0.0121172; 5.8809229000; 0.0004027000; False; 5.8966787000; 6.1578998000;6.24;0.0666381;0.011350299999999999; 5.4373882000; 0.0003746000; False; 5.4518245000; 5.6241933000;TO;0.092689943
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;5.88;0.210116;0.012334600000000001; 6.3789525000; 0.0003758000; False; 6.3946906000; 6.6530363000;6.36;0.06854350000000001;0.0121493; 5.7683253000; 0.0003805000; False; 5.7840124000; 5.9166891000;TO;0.217961482
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;7.69;0.20962770000000003;0.0138107; 7.9103584000; 0.0002564000; False; 7.9277288000; 8.2107242000;9.09;0.09404670000000001;0.0116218; 8.7646826000; 0.0004091000; False; 8.7795566000; 8.9365459000;TO;0.135348001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;9.68;0.1308108;0.0086967; 10.1843679000; 0.0002325000; False; 10.1954393000; 10.3879567000;9.99;0.0719389;0.0126464; 9.1002655000; 0.0003337000; False; 9.1164475000; 9.2545026000;TO;0.074364653
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;10.69;0.2622468;0.0124574; 11.3240339000; 0.0002521000; False; 11.3395318000; 11.6456388000;12.45;0.040805499999999995;0.0079751; 12.6727119000; 0.0004283000; False; 12.6831694000; 12.7634292000;TO;0.104522527
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;12.82;0.22083950000000002;0.0116126; 13.1094592000; 0.0002894000; False; 13.1241613000; 13.3909440000;15.16;0.0428847;0.0084873; 15.4071694000; 0.0003914000; False; 15.4181341000; 15.5018327000;TO;0.15356821
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;17.05;0.2385995;0.0134851; 17.8545602000; 0.0002622000; False; 17.8714222000; 18.1745068000;16.19;0.0741299;0.0128663; 15.8721678000; 0.0002787000; False; 15.8884530000; 16.0284553000;TO;0.11280648600000001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;20.02;0.2634594;0.0458628; 20.8185930000; 0.0003482000; False; 20.8680270000; 21.1812678000;20.8;0.0769256;0.0132157; 20.0461222000; 0.0003478000; False; 20.0628067000; 20.2293528000;TO;0.07787066100000001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;23.85;0.2499556;0.013073099999999999; 24.3330312000; 0.0003749000; False; 24.3493901000; 24.6450554000;22.49;0.0770488;0.0131462; 22.3517897000; 0.0003551000; False; 22.3682854000; 22.5105282000;TO;0.100011052
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;24.65;0.19083089999999997;0.009537; 25.5966050000; 0.0003609000; False; 25.6087219000; 25.8445381000;27.87;0.08307619999999999;0.0160054; 27.1737415000; 0.0003444000; False; 27.1935064000; 27.3428838000;TO;0.092006275
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.28;0.0973261;0.015744699999999997; 0.1526660000; 0.0003548000; False; 0.1715335000; 0.3155225000;1.19;0.0480626;0.0100088; 0.1153047000; 0.0003007000; False; 0.1284055000; 0.2405601000;TO;0.060758390999999995
