name;automata-runtime;automata-construction;automata-trim;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-inclusion_check;vata-inclusion_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-inclusion_check;mona-inclusion_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-inclusion;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-inclusion;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-inclusion_check;java-brics-inclusion_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.38;0.277471;0.0104486; 0.0597458000; False; 0.0719369000; 0.3748207000;0.79; 0.64427; 0.168383; 0.005174; false; 0.856015;1.53; 0.426714; 0.270881;0.16611199999999998; 0.617116; false; 1.53848;1.05; 0.605127; 0.261775;0.016894; 0.185949; false; 1.12522;2.1; 0.61651; 0.189665; 0.01381; false; 1.70521;1.71; 0.7381; 0.0000; 0.0024; False; 0.0025; 0.7428;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.08; 0.8497; 0.1512;0.1405; 0.1535; False; 0.1536; 1.1591;6.18;1.084925767; 0.10697718; false; 0.13066323; 1.642715926;4.35;0.473654811; 0.228557843; false; 0.256832659; 1.339037465
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;0.36;0.25942109999999996;0.0123751; 0.0580818000; False; 0.0723465000; 0.3581616000;0.9; 0.624656; 0.276695; 0.007943; false; 0.971738;1.77; 0.676852; 0.253376;0.171118; 0.635814; false; 1.79555;1.09; 0.622418; 0.269948;0.016749; 0.204049; false; 1.16787;2.38; 0.638222; 0.238834; 0.013604; false; 1.94083;1.8; 0.7689; 0.0000; 0.0027; False; 0.0028; 0.7736;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.77; 1.1309; 0.4094;0.2761; 0.2980; False; 0.2980; 1.8429;5.64;0.9664269329999999; 0.104829296; false; 0.110788583; 1.441074855;4.48;0.41580027199999997; 0.206638741; false; 0.213699665; 0.990393849
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.6;0.4400531;0.03514249999999999; 0.1243776000; False; 0.1621016000; 0.6446947000;0.86; 0.619189; 0.24095; 0.008572; false; 0.929092;1.68; 0.631087; 0.262423;0.170189; 0.589593; false; 1.71397;1.03; 0.603735; 0.261243;0.016488; 0.156366; false; 1.09358;2.12; 0.631835; 0.162787; 0.017778; false; 1.65686;1.39; 0.6426; 0.0000; 0.0019; False; 0.0019; 0.6457;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.77; 1.1031; 0.2774;0.2586; 0.2813; False; 0.2814; 1.6666;5.04;1.076470185; 0.092878224; false; 0.099397553; 1.662286832;3.87;0.597586447; 0.24592263; false; 0.266042862; 1.4741216
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;0.59;0.4446542;0.0161007; 0.1522101000; False; 0.1709291000; 0.6607549000;0.92; 0.655903; 0.262437; 0.009582; false; 0.986601;1.48; 0.686106; 0.261946;0.163297; 0.351217; false; 1.5168;0.67; 0.372319; 0.160566;0.010197000000000001; 0.132729; false; 0.715211;2.24; 0.651745; 0.239835; 0.016506; false; 1.96137;1.75; 0.7014; 0.0000; 0.0024; False; 0.0025; 0.7053;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.01; 0.6060; 0.2386;0.247; 0.2672; False; 0.2673; 1.1162;5.81;0.868885548; 0.073101631; false; 0.07966793; 1.350791062;4.8;0.5498446269999999; 0.205152883; false; 0.22515123; 1.139089054
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-rhs.mata;0.35;0.2493125;0.0109838; 0.0637074000; False; 0.0765544000; 0.3533162000;0.79; 0.511589; 0.259768; 0.011142; false; 0.850665;1.77; 0.671032; 0.259022;0.173946; 0.625416; false; 1.78828;1.13; 0.661974; 0.252226;0.017258; 0.209913; false; 1.19768;2.09; 0.660469; 0.207982; 0.011912; false; 1.65288;2.19; 1.0641; 0.0000; 0.0037; False; 0.0037; 1.0703;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.84; 0.6414; 0.1725;0.15; 0.1644; False; 0.1644; 0.9823;5.98;0.9672408779999999; 0.092891364; false; 0.099334471; 1.49257603;4.65;0.42681056399999995; 0.212223324; false; 0.219728167; 1.003326949
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.38;0.2799952;0.0103783; 0.0460821000; False; 0.0593370000; 0.3820709000;0.62; 0.44995; 0.176894; 0.004309; false; 0.666357;0.81; 0.440285; 0.174748;0.07446799999999999; 0.13337; false; 0.851328;1.72; 0.451045; 0.176074;0.008217; 1.13696; false; 1.8043;3.17; 0.443913; 0.177616; 0.010079; false; 2.71263;2.01; 0.7865; 0.0000; 0.0015; False; 0.0015; 0.7896;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;8.68; 0.7216; 0.0705;6.6884999999999994; 6.7086; False; 6.7087; 7.5042;12.11;6.032523635; 0.096263447; false; 0.124712718; 6.542106005;5.07;0.308865821; 0.606026809; false; 0.626238733; 1.479218696
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;TO;0.10912;0.010345100000000001;MISSING;MISSING;MISSING;MISSING;0.12; 0.092991; 0.038164; 0.002119; false; 0.139536;0.16; 0.099492; 0.040169;0.016455; 0.014495; false; 0.176812;15.65; 0.095313; 0.03739;0.001817; 15.9705; false; 16.1118;6.34; 0.094673; 0.041876; 0.082665; false; 6.11483;0.96; 0.0981; 0.0000; 0.0017; False; 0.0017; 0.1001;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;9.81; 0.1670; 0.0211;8.4602; 8.5058; False; 8.5058; 8.6947;7.33;2.968781302; 0.257443534; false; 0.274992988; 3.413089207;8.31;0.130494216; 4.688672761; false; 4.706790558; 5.030638877
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;9.98;0.1128558;0.0091561; 9.9170564000; False; 9.9285416000; 10.0819598000;0.14; 0.107421; 0.042498; 0.002494; false; 0.158921;0.17; 0.107001; 0.043004;0.017093999999999998; 0.01486; false; 0.188219;23.95; 0.107539; 0.043607;0.002118; 24.4376; false; 24.598;9.03; 0.107544; 0.041453; 0.102701; false; 8.92899;1.33; 0.1824; 0.0000; 0.0032; False; 0.0032; 0.1860;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;9.66; 0.1096; 0.0234;8.7991; 8.8274; False; 8.8275; 8.9611;8.59;4.013978651; 0.130295019; false; 0.136038769; 4.348684776;9.7;0.12879591499999998; 5.698850626; false; 5.715566607; 6.028457543
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;10.99;0.1119637;0.008982500000000001; 10.8645359000; False; 10.8758259000; 11.0289856000;0.14; 0.105791; 0.042786; 0.002225; false; 0.156747;0.17; 0.109593; 0.038426;0.017014; 0.012392; false; 0.18274;20.88; 0.108539; 0.037753;0.002133; 21.2603; false; 21.4147;9.43; 0.104229; 0.047218; 0.078522; false; 9.31627;1.29; 0.1798; 0.0000; 0.0033; False; 0.0033; 0.1835;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;8.46; 0.1641; 0.0217;7.2538; 7.2793; False; 7.2794; 7.4657;9.8;4.548867813; 0.139498708; false; 0.145056407; 4.876570946;9.56;0.09332735; 5.649017763; false; 5.668108798; 5.961413158
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;10.36;0.1040164;0.0097812; 10.2482970000; False; 10.2606169000; 10.4078237000;0.13; 0.094608; 0.03669; 0.002025; false; 0.139291;0.16; 0.102584; 0.038481;0.017166; 0.013894; false; 0.178134;31.21; 0.087433; 0.02244;0.001078; 31.7825; false; 31.8973;8.83; 0.09251; 0.037924; 0.160154; false; 8.69489;1.28; 0.1720; 0.0000; 0.0028; False; 0.0029; 0.1752;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;9.18; 0.1692; 0.0215;8.1215; 8.1417; False; 8.1417; 8.3332;9.31;4.4247963200000004; 0.162861916; false; 0.178469093; 4.778770425;8.13;0.079742079; 4.300499766; false; 4.308978256; 4.588096925
