name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.07; 0.045558; 0.01636; 0.011103; 0.006289; 0.004874; 2.1e-05; false; 0.086934
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.11; 0.063597; 0.020815; 0.019213; 0.010282; 0.008632; 2e-05; false; 0.12524
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;0.24; 0.119678; 0.03373; 0.046679; 0.033732; 0.019732; 6.8e-05; false; 0.258303
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;0.18; 0.084245; 0.025819; 0.042938; 0.025363; 0.01966; 2.9e-05; false; 0.201556
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;0.22; 0.098391; 0.02843; 0.058663; 0.034824; 0.026948; 3.4e-05; false; 0.251122
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;0.51; 0.195511; 0.053845; 0.137151; 0.095935; 0.049855; 7.3e-05; false; 0.540692
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;0.36; 0.126937; 0.0374; 0.10974; 0.06747; 0.042761; 4.4e-05; false; 0.390164
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;0.03; 0.023532; 0.00935; 0.001889; 0.001203; 0.000515; 1e-05; false; 0.038495
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;0.83; 0.240017; 0.065574; 0.000505; 0.415335; 0.196124; 0.000157; false; 0.931353
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;0.64; 0.156158; 0.050061; 0.000309; 0.306858; 0.211465; 0.000269; false; 0.735238
