name;automata-old-runtime;automata-old-construction;automata-old-trim;automata-old-intersection;automata-old-emptiness_check;automata-old-emptiness_result;automata-old-interpretation;automata-old-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-intersection;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-interall;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08782-*.mata;0.14;0.048458100000000004;0.0095847;0.0153864; 0.0002169000; True; 0.0281994000; 0.1344239000;0.88;0.09858270000000001;0.0092354;0.0145284; 0.0002519000; True; 0.0264261000; 0.1905217000;1.92;0.08878392199999999;0.312225237; 0.092385084; 0.002643443; true; 0.426504708; 0.786380419
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08783-*.mata;0.15;0.0539505;0.0095625;0.028739; 0.0002495000; True; 0.0413743000; 0.1549072000;0.85;0.0721064;0.008711099999999996;0.0126582; 0.0003005000; True; 0.0241619000; 0.1537283000;1.97;0.06682975499999999;0.207122574; 0.092525023; 0.002399787; true; 0.314845624; 0.571415763
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08784-*.mata;0.14;0.0632426;0.009274600000000003;0.014315099999999999; 0.0002874000; True; 0.0262049000; 0.1986773000;0.93;0.0501136;0.009488499999999997;0.029393899999999997; 0.0003898000; True; 0.0550538000; 0.1652669000;1.65;0.05445597099999999;0.124814113; 0.048434453; 0.002411503; true; 0.191268375; 0.449298112
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08785-*.mata;0.18;0.07700470000000001;0.0197699;0.0242352; 0.0002986000; False; 0.0510027000; 0.2137963000;0.93;0.0713679;0.0094138;0.0310069; 0.0003025000; False; 0.0478744000; 0.1825058000;2.34;0.076798163;0.170736646; 0.066036161; 0.002187897; false; 0.246600551; 0.550759516
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08788-*.mata;0.08;0.0294426;0.0058333;0.0107482; 0.0001309000; True; 0.0186077000; 0.0849364000;0.84;0.0605963;0.008361200000000003;0.0328994; 0.0002215000; True; 0.0434638000; 0.2173056000;2.2;0.067362823;0.271838508; 0.105934813; 0.007173145; true; 0.392543318; 0.601539637
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08789-*.mata;0.13;0.038293799999999996;0.0094058; 0.0147917000; 0.0002658000; True; 0.0271815000; 0.1372532000;0.92;0.035935299999999996;0.009562000000000001; 0.0139745000; 0.0002693000; True; 0.0260581000; 0.1144506000;1.38;0.044633751;0.101625859; 0.069472861; 0.006790691; true; 0.188245762; 0.358068445
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08792-*.mata;0.13;0.042787;0.0080773;0.0143991; 0.0002084000; False; 0.0253002000; 0.1236103000;0.8;0.027756799999999998;0.005771699999999999;0.008339399999999999; 0.0001374000; False; 0.0158505000; 0.0894297000;1.6;0.044606221999999994;0.10287615800000001; 0.073452276; 0.011335397; false; 0.195448754; 0.384108304
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08793-*.mata;0.15;0.059391200000000005;0.009757500000000002;0.014418; 0.0001284000; True; 0.0264711000; 0.1460195000;0.91;0.08186299999999999;0.007988200000000003;0.01497; 0.0002573000; True; 0.0256646000; 0.2020839000;2.3;0.16188537900000002;0.18743951099999998; 0.117189958; 0.002477938; true; 0.319428067; 0.695030207
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08794-*.mata;0.14;0.0691615;0.0178186;0.0246643; 0.0002242000; False; 0.0557189000; 0.1791137000;0.85;0.0552903;0.008650899999999998;0.014913000000000001; 0.0001684000; False; 0.0260391000; 0.1417772000;2.17;0.08042403000000001;0.12799913699999999; 0.06943084; 0.001479505; false; 0.206731043; 0.572558993
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08795-*.mata;0.17;0.0709792;0.010065000000000001;0.0166366; 0.0003272000; False; 0.0304974000; 0.2007009000;0.91;0.0450059;0.009473599999999999;0.0166246; 0.0002017000; False; 0.0290167000; 0.1139699000;2.08;0.06988802;0.135604455; 0.092798823; 0.002180007; false; 0.245915625; 0.523297699
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08798-*.mata;0.17;0.1033187;0.0146573;0.019883500000000002; 0.0018618000; False; 0.0447737000; 0.2361126000;0.85;0.059141900000000004;0.0087698;0.0130017; 0.0002022000; False; 0.0239471000; 0.1465080000;2.54;0.08458352100000001;0.263752698; 0.093470567; 0.002751682; false; 0.37531319; 0.730473916
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08799-*.mata;0.13;0.044778700000000005;0.0067234;0.0129581; 0.0002577000; True; 0.0220436000; 0.1205906000;0.92;0.11213659999999999;0.0097688;0.014863900000000001; 0.0002020000; True; 0.0338131000; 0.2411200000;1.87;0.132458463;0.11367795600000001; 0.08880864; 0.001760023; true; 0.211916444; 0.614435383
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08802-*.mata;0.1;0.0452713;0.0156865; 0.0122253000; 0.0002164000; False; 0.0304130000; 0.1331266000;0.89;0.0454281;0.0092428; 0.0157002000; 0.0002835000; False; 0.0279640000; 0.1320691000;1.41;0.074541179;0.109319903; 0.019753311; 0.001527621; false; 0.134911216; 0.390040985
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08803-*.mata;0.12;0.0627891;0.0070845000000000005;0.008849000000000001; 0.0001372000; True; 0.0176202000; 0.1665059000;0.85;0.0479906;0.026640300000000002;0.0450089; 0.0001904000; True; 0.0754241000; 0.1801833000;1.73;0.075984471;0.10230459700000001; 0.050287262; 0.002039525; true; 0.161306496; 0.414623693
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08804-*.mata;0.15;0.0480707;0.0090357; 0.0141543000; 0.0002472000; False; 0.0259623000; 0.1311405000;0.88;0.050842700000000005;0.0089711; 0.0139703000; 0.0002371000; False; 0.0254956000; 0.1469831000;1.65;0.092825816;0.110765065; 0.057148678; 0.001978189; false; 0.188437707; 0.462543496
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08805-*.mata;0.15;0.0468162;0.016178800000000004;0.028073499999999998; 0.0001376000; True; 0.0461629000; 0.1734614000;0.93;0.044790699999999996;0.009441800000000002;0.0089119; 0.0001629000; True; 0.0206902000; 0.1099130000;1.53;0.07321438699999999;0.15576493299999997; 0.07248718; 0.005612154; true; 0.243438366; 0.552571974
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08808-*.mata;0.1;0.040378700000000003;0.0059924999999999996; 0.0085834000; 0.0001361000; False; 0.0162325000; 0.0945072000;0.92;0.0482656;0.0092948; 0.0140769000; 0.0002598000; False; 0.0261731000; 0.1212406000;1.71;0.074134158;0.192749903; 0.114607208; 0.001860408; false; 0.314692271; 0.569157321
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08809-*.mata;0.13;0.040811099999999996;0.007044100000000001; 0.0086719000; 0.0001678000; False; 0.0179306000; 0.1152685000;0.82;0.0499314;0.0166223; 0.0178547000; 0.0002584000; False; 0.0377070000; 0.1544640000;1.4;0.060032584;0.117803294; 0.043497605; 0.010449171; false; 0.178497165; 0.377097824
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08812-*.mata;0.13;0.04567539999999999;0.009016799999999998;0.014878599999999999; 0.0001832000; True; 0.0265196000; 0.1320291000;0.92;0.050147;0.0057537;0.0085527; 0.0001497000; True; 0.0161011000; 0.1774996000;1.82;0.052111047;0.173312136; 0.069151025; 0.002563698; true; 0.253279671; 0.468925198
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08813-*.mata;0.14;0.04463179999999999;0.009288199999999998;0.0147072; 0.0002207000; True; 0.0266697000; 0.1305682000;0.88;0.0463827;0.0091892;0.0164094; 0.0002491000; True; 0.0283013000; 0.1499563000;1.66;0.056490553;0.10068118300000001; 0.054774778; 0.002468743; true; 0.165449437; 0.375242801
/home/experiments/nfa-bench/benchmarks/z3-noodler/automata-oldrk/intersection/instance08814-*.mata;0.12;0.08561759999999999;0.009944099999999999;0.018916000000000002; 0.0001690000; True; 0.0307614000; 0.1815929000;0.86;0.0517602;0.0086286;0.0122232; 0.0003125000; True; 0.0236719000; 0.1317953000;1.73;0.102866325;0.137476737; 0.050850581; 0.002119032; true; 0.197080628; 0.469299182
