name;automata-old-runtime;automata-old-construction;automata-old-trim;automata-old-uni;automata-old-emptiness_check;automata-old-emptiness_result;automata-old-interpretation;automata-old-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-uni;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;0.19;0.14471610000000001;0.008868000000000001; 0.0234041000; 0.0004763000; False; 0.0349781000; 0.2246204000;1.51;0.0701413;0.0130848; 0.0122615000; 0.0003596000; False; 0.0285429000; 0.1674081000;TO;0.138530394
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;0.3;0.2611178;0.0157992; 0.0140084000; 0.0004387000; False; 0.0334794000; 0.3482531000;1.3;0.06728200000000001;0.016280700000000002; 0.0129357000; 0.0004107000; False; 0.0328072000; 0.1464768000;TO;0.080510559
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;0.3;0.29303;0.0186424; 0.0103264000; 0.0002530000; False; 0.0380192000; 0.3833892000;1.3;0.050378000000000006;0.010826700000000002; 0.0088452000; 0.0003213000; False; 0.0223535000; 0.1190914000;TO;0.077328411
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;0.36;0.3294232;0.0146675; 0.0148424000; 0.0003801000; False; 0.0330865000; 0.4125172000;1.44;0.0808849;0.0152667; 0.0144250000; 0.0003511000; False; 0.0331130000; 0.1825679000;TO;0.132150826
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;0.42;0.3911236;0.017006300000000002; 0.0161533000; 0.0003894000; False; 0.0368758000; 0.4828743000;1.77;0.1494094;0.015546; 0.0551395000; 0.0003687000; False; 0.0739891000; 0.3452393000;TO;0.087607313
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.15;0.09072749999999999;0.021307; 0.0075013000; 0.0001974000; False; 0.0315155000; 0.1784137000;0.99;0.027074599999999997;0.0066376000000000004; 0.0059666000; 0.0001517000; False; 0.0146339000; 0.0857986000;TO;0.048281318000000004
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;0.22;0.18651269999999998;0.011476299999999998; 0.0087014000; 0.0003878000; False; 0.0228915000; 0.2654160000;1.34;0.0629596;0.0089174; 0.0159741000; 0.0002441000; False; 0.0269613000; 0.1460233000;TO;0.127638576
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.1;0.07255120000000001;0.0061932; 0.0051225000; 0.0001314000; False; 0.0132965000; 0.1141017000;0.92;0.0479093;0.011660799999999999; 0.0094330000; 0.0003784000; False; 0.0245652000; 0.1308851000;TO;0.053883373
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.15;0.0818114;0.0078033; 0.0085737000; 0.0002788000; False; 0.0190874000; 0.1676420000;0.86;0.0328867;0.0290399; 0.0331232000; 0.0003730000; False; 0.0660860000; 0.1451006000;TO;0.065148952
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;0.15;0.1027678;0.0102843; 0.0091608000; 0.0003576000; False; 0.0228503000; 0.1606311000;1.26;0.0918646;0.011235799999999999; 0.0094891000; 0.0003425000; False; 0.0238260000; 0.1762577000;TO;0.083256887
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;0.19;0.1216923;0.0108659; 0.0114571000; 0.0003091000; False; 0.0254511000; 0.1935229000;1.15;0.0500845;0.011433800000000001; 0.0100590000; 0.0003719000; False; 0.0246825000; 0.1312485000;TO;0.088980172
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;0.22;0.145002;0.0118577; 0.0106492000; 0.0004204000; False; 0.0260802000; 0.2371630000;1.24;0.1055647;0.0122078; 0.0105245000; 0.0004457000; False; 0.0266897000; 0.2015113000;TO;0.11881334600000001
