name;automata-runtime;automata-construction;automata-trim;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-inclusion_check;automata-min-inclusion_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-rhs.mata;11.27;0.0922841;0.0065433999999999996; 11.6089782000; False; 11.6177389000; 11.7473615000;1.11;0.0636118;0.0093777; 0.1790418000; False; 0.1910031000; 0.3303113000;7.67;0.125653633;3.597262753; 0.145008439; false; 3.758037408; 4.100113718
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.57;0.26434810000000003;0.009799599999999999; 0.2818098000; False; 0.2936932000; 0.5847494000;2.18;0.2086033;0.0149841; 0.4948634000; False; 0.5125898000; 0.8085814000;6.14;0.414890499;0.850933964; 0.08863317; false; 0.945727554; 1.70912366
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;0.98;0.4534399;0.0227654; 0.4454930000; False; 0.4745166000; 0.9711114000;2.61;0.2695653;0.0154362; 0.4704122000; False; 0.4886106000; 0.8762221000;5.93;0.322683474;0.956083425; 0.088837584; false; 1.064574505; 1.861794928
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.92;0.47439470000000006;0.0144543; 0.4831743000; False; 0.5003045000; 1.0450960000;2.36;0.2263815;0.0141729; 0.4244328000; False; 0.4409472000; 0.7518678000;5.68;0.358979343;0.748768455; 0.058669947; false; 0.814626769; 1.551571628
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.3;0.4789559;0.024831600000000002; 0.7469877000; False; 0.7748119000; 1.2975152000;2.76;0.3016874;0.0291895; 0.6012121000; False; 0.6335351000; 1.0438303000;5.35;0.33013957;0.645886635; 0.068181379; false; 0.720303986; 1.484544799
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;0.34;0.1670279;0.010885800000000001; 0.1289507000; False; 0.1420896000; 0.3492547000;1.59;0.1597247;0.012094299999999999; 0.1476325000; False; 0.1620073000; 0.3742233000;4.06;0.180312937;0.399996582; 0.057314242; false; 0.463914964; 0.947584961
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;0.47;0.3459559;0.012371700000000001; 0.1594362000; False; 0.1742653000; 0.5741502000;1.61;0.12137529999999999;0.0118597; 0.1442974000; False; 0.1587687000; 0.4178589000;4.4;0.219392378;0.437711852; 0.088149444; false; 0.531692167; 1.097284798
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;0.48;0.321419;0.013497; 0.1649994000; False; 0.1817875000; 0.5573806000;1.71;0.1400077;0.013420600000000001; 0.2070308000; False; 0.2234012000; 0.4502221000;3.77;0.247416991;0.38319886000000003; 0.071423022; false; 0.461133975; 0.996493206
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;0.48;0.45678030000000003;0.0128387; 0.1799740000; False; 0.1956518000; 0.7084120000;1.6;0.1221528;0.0120752; 0.1883292000; False; 0.2029544000; 0.3998261000;4.19;0.312218989;0.385368557; 0.067013752; false; 0.458909234; 1.039416355
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;0.43;0.2632463;0.011003800000000001; 0.1885139000; False; 0.2034970000; 0.4996424000;1.56;0.1142084;0.0122326; 0.1425592000; False; 0.1574852000; 0.3439764000;4.64;0.326307325;0.480371527; 0.116159567; false; 0.603562482; 1.190180573
