name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-inclusion_check;vata-inclusion_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-inclusion_check;awali-inclusion_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-inclusion;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-inclusion;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.19;0.07298500000000001;0.008926599999999998;0.0135553; 0.0463672000; True; 0.0723069000; 0.1993737000;0.05; 0.037433; 0.017669;3.3e-05;1.8e-05; 2.8e-05; true; 0.057778;0.04; 0.036888; 0.017634;0.001738;2.5e-05;1.9e-05; 1.1e-05; true; 0.058959;0.04; 0.03806; 0.017824;2.4e-05;1.6e-05; 7e-06; true; 0.057918;0.05; 0.038226; 0.018492;0.002809;7.099999999999999e-05;5.4e-05; 0.000496; true; 0.062695;0.03; 0.023261; 0.011239;0.00033299999999999996;0.0007199999999999999;0.00057; 0.00139; true; 0.039865;ERR;ERR;ERR;1.01; 0.0499; 0.0000; 0.0002; 0.0000; 0.0000; True; 0.0003; 0.0504;1.39; 0.0868; 0.0045; 0.0287; 0.1394; True; 0.1681; 0.2599;1.25; 0.0897; 0.0063; 0.0008;0.0019; 0.0019; True; 0.0028; 0.0991;1.6;0.17907678;0.059320132; 0.009360514; true; 0.075872086; 0.402749842;1.32;0.048853277;0.006295818; 0.005594313; true; 0.020098397; 0.214445779
/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut49.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.23;0.0951448;0.0099313;0.0152921; 0.0559358000; True; 0.0849355000; 0.2279251000;0.07; 0.059749; 0.031563;3.1e-05;1.4e-05; 9e-06; true; 0.094993;0.09; 0.070874; 0.03176;0.004432;2.8000000000000003e-05;2.6000000000000002e-05; 1e-05; true; 0.111697;0.07; 0.065944; 0.04252;3e-05;1.3000000000000001e-05; 8e-06; true; 0.111793;0.1; 0.080636; 0.030751;0.007948;9.699999999999999e-05;5.9e-05; 0.001516; true; 0.124997;0.08; 0.060287; 0.025379;0.001111;0.000727;0.00046699999999999997; 0.002445; true; 0.094612;ERR;ERR;ERR;1.42; 0.1395; 0.0000; 0.0004; 0.0000; 0.0000; True; 0.0005; 0.1406;8.73; 0.1382; 0.0095; 0.3139; 7.2399; True; 7.5578; 7.7170;1.24; 0.1167; 0.0144; 0.0012;0.0037; 0.0038; True; 0.0051; 0.1367;1.92;0.22785572;0.065507902; 0.025384388; true; 0.111757368; 0.513369119;1.33;0.057075645;0.005090675; 0.006154202; true; 0.019323485; 0.245985991
/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut54.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut56.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata;0.19;0.0801733;0.008014600000000002;0.0117655; 0.0420533000; True; 0.0661523000; 0.2005429000;0.08; 0.05945; 0.024959;3.399999999999999e-05;7e-06; 2.6e-05; true; 0.088024;0.07; 0.057434; 0.024979;0.003991000000000001;1.2000000000000002e-05;5.999999999999999e-06; 9e-06; true; 0.089994;0.08; 0.057745; 0.025114;2.5e-05;1.4000000000000001e-05; 1.5e-05; true; 0.086332;0.08; 0.052199; 0.024772;0.005146;1.3000000000000001e-05;1.7e-05; 0.001336; true; 0.086859;0.08; 0.059755; 0.02514;0.0010190000000000002;0.0008719999999999999;0.000664; 0.002493; true; 0.09417;TO; 0.184768; 0.679718;1.45; 0.1414; 0.0000; 0.0003; 0.0000; 0.0001; True; 0.0004; 0.1426;2.48; 0.1283; 0.0073; 0.0866; 1.1946; True; 1.2813; 1.4175;1.18; 0.0855; 0.0069; 0.0001;0.0017000000000000001; 0.0017; True; 0.0019; 0.0947;1.84;0.21082488800000002;0.07054216399999999; 0.013773487; true; 0.092524333; 0.43858599;1.31;0.06717026300000001;0.00258704; 0.005273326; true; 0.014983398; 0.31920264
/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut54.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata;0.15;0.060143800000000004;0.0058154999999999995;0.009496399999999999; 0.0250407000; True; 0.0438000000; 0.1559630000;0.03; 0.02147; 0.014352;0.0005040000000000001;0.00014099999999999998; 2.7e-05; true; 0.039731;0.02; 0.013983; 0.009854;0.002345;0.000137;3.2999999999999996e-05; 7e-06; true; 0.028657;0.03; 0.020609; 0.014302;0.000532;0.000136; 1e-05; true; 0.038638;0.04; 0.022957; 0.015396;0.004442;0.002453;0.002418; 0.002041; true; 0.053192;0.04; 0.020776; 0.015626;0.0008460000000000001;0.0020469999999999998;0.001371; 0.001852; true; 0.047061;ERR;ERR;ERR;1.04; 0.0353; 0.0000; 0.0012; 0.0000; 0.0000; True; 0.0013; 0.0369;3.9; 0.0334; 0.0029; 0.3298; 2.7764; True; 3.1063; 3.1446;1.03; 0.0481; 0.0102; 0.0302;0.0019000000000000002; 0.0022; True; 0.0325; 0.0912;1.83;0.22314573599999998;0.042800782; 0.040677043; true; 0.090481649; 0.473108379;1.25;0.030830193000000002;0.006462847999999999; 0.00206736; true; 0.015814153; 0.186547665
/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut36.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata;0.18;0.0767327;0.0088774;0.0133936; 0.0446595000; True; 0.0706698000; 0.2127573000;0.04; 0.032849; 0.017298;4.4e-05;2e-05; 8.3e-05; true; 0.052937;0.05; 0.036171; 0.017123;0.002125;3.2e-05;1.7e-05; 1.2e-05; true; 0.058105;0.05; 0.037394; 0.018598;6.8e-05;3e-05; 1e-05; true; 0.058846;0.05; 0.035344; 0.016623;0.0038859999999999997;0.000146;0.000185; 0.001193; true; 0.060121;0.06; 0.040406; 0.017861;0.000786;0.001014;0.000799; 0.003143; true; 0.06789;ERR;ERR;ERR;1.25; 0.0725; 0.0000; 0.0005; 0.0000; 0.0002; True; 0.0007; 0.0736;2.0; 0.1272; 0.0147; 0.0384; 0.8181; True; 0.8565; 0.9992;1.26; 0.0712; 0.0071; 0.0011;0.006699999999999999; 0.0068; True; 0.0079; 0.0867;1.54;0.335241049;0.033283031; 0.013207323; true; 0.055073672; 0.545443706;1.49;0.098880775;0.0036511190000000004; 0.063999941; true; 0.079053136; 0.484664806
/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut71.mata;0.17;0.11107130000000001;0.0098636;0.0157609; 0.0589112000; True; 0.0920501000; 0.3310354000;0.05; 0.056609; 0.026536;0.00010099999999999999;4.5e-05; 2.7e-05; true; 0.086056;0.04; 0.045744; 0.020854;0.0018930000000000002;5.1e-05;2.7000000000000002e-05; 8e-06; true; 0.07101;0.04; 0.051687; 0.018354;0.00010899999999999999;4.7e-05; 7e-06; true; 0.072667;0.04; 0.05328; 0.030052;0.003642;0.000253;0.00028900000000000003; 0.000937; true; 0.091089;0.05; 0.062665; 0.029644;0.000668;0.002517;0.0029180000000000005; 0.003022; true; 0.106829;ERR;ERR;ERR;1.18; 0.0467; 0.0000; 0.0007; 0.0000; 0.0002; True; 0.0010; 0.0481;3.67; 0.0451; 0.0024; 0.4257; 2.4253; True; 2.8512; 2.9000;1.27; 0.1144; 0.0222; 0.0157;0.0081; 0.0083; True; 0.0240; 0.1611;1.6;0.358740187;0.078163706; 0.030511975; true; 0.125358978; 0.784642113;1.38;0.056303806;0.002739038; 0.007151501; true; 0.031814243; 0.241857666
/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut49.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut60.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut73.mata;0.23;0.1629374;0.011569399999999999;0.020481299999999997; 0.0634191000; False; 0.1032262000; 0.3989755000;0.11; 0.183613; 0.058567;0.000187;6.5e-05; 0.000686; false; 0.249715;0.12; 0.180341; 0.059454;0.015811;0.000143;5.8e-05; 0.000249; false; 0.264717;0.1; 0.082462; 0.032133;0.000178;6.1000000000000005e-05; 5.1e-05; false; 0.120634;0.15; 0.128397; 0.035976;0.015808;0.000539;0.0007310000000000001; 0.009236; false; 0.196139;0.23; 0.095706; 0.039137;0.002594;0.001617;0.001349; 0.096748; false; 0.244506;ERR;ERR;ERR;1.44; 0.2841; 0.0000; 0.0014; 0.0001; 0.0007; False; 0.0023; 0.2870;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.71; 0.1773; 0.0230; 0.0140;0.2327; 0.2341; False; 0.2482; 0.4495;2.91;0.7301102939999999;0.088368528; 0.137303995; true; 0.239547543; 1.140983844;1.73;0.109892182;0.012447775000000001; 0.458840842; true; 0.482377493; 0.981848445
/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut49.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut73.mata;0.21;0.19398310000000002;0.009122;0.0140222; 0.0506027000; True; 0.0804016000; 0.3922068000;0.07; 0.091732; 0.048127;8.4e-05;3.3e-05; 3.1e-05; true; 0.145577;0.12; 0.202937; 0.053225;0.011420000000000001;6.5e-05;2.6000000000000002e-05; 1e-05; true; 0.273666;0.08; 0.14749; 0.047442;6.2e-05;0.000692; 9e-06; true; 0.199112;0.14; 0.203567; 0.060423;0.014769;0.00033299999999999996;0.00021799999999999999; 0.005707; true; 0.291264;0.11; 0.093918; 0.028018;0.00114;0.001266;0.001072; 0.047785; true; 0.1769;ERR;ERR;ERR;1.46; 0.2743; 0.0000; 0.0047; 0.0004; 0.0018; True; 0.0070; 0.2820;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.59; 0.2780; 0.0455; 0.1433;0.2444; 0.2451; True; 0.3885; 0.7138;2.85;1.405430096;0.090016904; 0.088020646; true; 0.19657457; 1.970671669;1.81;0.065839743;0.002918078; 0.18954454; true; 0.200637195; 0.52028985
/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut29.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata;0.34;0.1032861;0.0108753;0.0220138; 0.1459660000; False; 0.1843752000; 0.3554428000;0.09; 0.079292; 0.024912;0.001485;0.000457; 0.000245; false; 0.111236;0.11; 0.081205; 0.024326;0.013665;0.0006720000000000001;0.000181; 0.001765; false; 0.125476;0.08; 0.071573; 0.017227;0.0013709999999999998;0.000399; 0.000218; false; 0.094267;0.07; 0.04826; 0.013172;0.002602;0.0024679999999999997;0.004017; 0.009439; false; 0.0816;0.27; 0.078505; 0.021706;0.000859;0.00391;0.004871; 0.179397; false; 0.292802;ERR;ERR;ERR;1.38; 0.1914; 0.0000; 0.0064; 0.0008; 0.0011; False; 0.0084; 0.2005;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.135768243;MISSING;MISSING;MISSING;MISSING;MISSING;1.14;0.051250637;0.007086426999999999; 0.008306121; true; 0.022364928; 0.246072064
/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut29.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.13;0.048289500000000006;0.005528999999999999;0.008090400000000001; 0.0295570000; True; 0.0457747000; 0.1319061000;0.03; 0.025525; 0.011899;3.7e-05;1.6e-05; 1.7e-05; true; 0.039238;0.04; 0.035164; 0.011716;0.002023;5.4e-05;2.1000000000000002e-05; 7e-06; true; 0.05137;0.03; 0.024799; 0.01192;4.6e-05;2e-05; 6e-06; true; 0.038515;0.03; 0.02475; 0.011623;0.002536;9.6e-05;0.00015000000000000001; 0.000609; true; 0.041428;0.03; 0.025252; 0.012344;0.00042500000000000003;0.000779;0.00068; 0.001446; true; 0.043674;ERR;ERR;ERR;1.24; 0.0906; 0.0000; 0.0006; 0.0000; 0.0001; True; 0.0007; 0.0917;2.02; 0.0944; 0.0067; 0.0514; 0.7042; True; 0.7557; 0.8574;1.21; 0.0872; 0.0081; 0.0018;0.0031999999999999997; 0.0033; True; 0.0051; 0.1007;1.69;0.22942162800000002;0.049240141; 0.01252262; true; 0.068599844; 0.462679158;1.3;0.055712296;0.003306704; 0.100213409; true; 0.126288921; 0.340749801
