name;mata-0.111-runtime;mata-0.111-mataparsing;mata-0.111-mataminterm;mata-0.111-intersection;mata-0.111-trim;mata-0.111-inclusion_check;mata-0.111-inclusion_check_result;mata-0.111-overall;mata-0.112-runtime;mata-0.112-mataparsing;mata-0.112-mataminterm;mata-0.112-intersection;mata-0.112-trim;mata-0.112-inclusion_check;mata-0.112-inclusion_check_result;mata-0.112-overall;mata-0.113-runtime;mata-0.113-mataparsing;mata-0.113-mataminterm;mata-0.113-intersection;mata-0.113-trim;mata-0.113-inclusion_check;mata-0.113-inclusion_check_result;mata-0.113-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut29.mata;0.03; 0.027583; 0.01268;2.9e-05;2.2e-05; 1.6e-05; true; 0.042044;0.03; 0.026234; 0.012143;2.8e-05;2.2000000000000003e-05; 4e-06; true; 0.04007;0.03; 0.028464; 0.012022;2.9e-05;2.1e-05; 3.7e-05; true; 0.042281
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.06; 0.042905; 0.019637;4.4999999999999996e-05;1.6e-05; 8e-06; true; 0.066121;0.05; 0.043724; 0.019517;4.4e-05;2.6000000000000002e-05; 7e-06; true; 0.067057;0.06; 0.042829; 0.020787;0.000134;2.6000000000000002e-05; 0.000576; true; 0.069761
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.02; 0.016257; 0.008527;2.4e-05;2.1000000000000002e-05; 7e-06; true; 0.026402;0.02; 0.019389; 0.008946;2.8e-05;2.2000000000000003e-05; 6e-06; true; 0.029886;0.02; 0.016931; 0.00919;2.1000000000000002e-05;1.9e-05; 4.3e-05; true; 0.02778
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut70.mata;0.06; 0.047653; 0.016518;0.000657;0.000363; 1.6e-05; true; 0.068306;0.06; 0.0463; 0.016177;0.000714;0.000367; 5e-06; true; 0.066469;0.05; 0.039583; 0.016257;0.000657;0.00035999999999999997; 6.7e-05; true; 0.059886
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut51.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.05; 0.044033; 0.019387;0.0005369999999999999;0.000314; 1.6e-05; true; 0.067544;0.05; 0.044552; 0.019186;0.000537;0.000299; 8e-06; true; 0.068146;0.05; 0.042374; 0.019004;0.000544;0.000302; 0.000182; true; 0.065747
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata;0.05; 0.038999; 0.016106;0.001325;0.000655; 0.000729; true; 0.061277;0.05; 0.038338; 0.015958;0.0012499999999999998;0.000697; 0.001002; true; 0.060681;0.05; 0.039976; 0.016018;0.001374;0.00066; 0.002288; true; 0.06375
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata;0.01; 0.008388; 0.006347;7.999999999999999e-05;5.1000000000000006e-05; 6e-06; true; 0.016033;0.01; 0.008222; 0.006559;6.9e-05;4.1e-05; 5e-06; true; 0.016176;0.01; 0.008311; 0.00646;8.1e-05;5.2000000000000004e-05; 3.3e-05; true; 0.016385
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.02; 0.018835; 0.008829;0.00030900000000000003;0.000195; 8e-06; true; 0.029637;0.02; 0.018104; 0.008183;0.000593;0.000182; 6e-06; true; 0.028436;0.03; 0.030527; 0.009326;0.000343;0.000127; 2.9e-05; true; 0.041782
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.03; 0.034219; 0.009224;5.9e-05;2.5e-05; 6e-06; true; 0.044633;0.03; 0.023877; 0.009289;5.7999999999999994e-05;2.6000000000000002e-05; 6e-06; true; 0.03443;0.02; 0.024712; 0.00933;5.9e-05;2.6000000000000002e-05; 2.9e-05; true; 0.035269
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.25; 0.201001; 0.07514;0.0017369999999999998;0.0006709999999999999; 7e-06; true; 0.29059;0.25; 0.199769; 0.073811;0.001735;0.000515; 8e-06; true; 0.287463;0.25; 0.203505; 0.073365;0.0020800000000000003;0.000667; 0.001305; true; 0.292833
