name;mata-0.111-runtime;mata-0.111-mataparsing;mata-0.111-mataminterm;mata-0.111-inclusion_check;mata-0.111-inclusion_check_result;mata-0.111-overall;mata-0.112-runtime;mata-0.112-mataparsing;mata-0.112-mataminterm;mata-0.112-inclusion_check;mata-0.112-inclusion_check_result;mata-0.112-overall;mata-0.113-runtime;mata-0.113-mataparsing;mata-0.113-mataminterm;mata-0.113-inclusion_check;mata-0.113-inclusion_check_result;mata-0.113-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;0.72; 0.370121; 0.151087; 0.210424; false; 0.760676;2.07; 0.369053; 0.154043; 1.56874; false; 2.12083;2.93; 0.370187; 0.154151; 2.43424; false; 2.98831
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.65; 0.354053; 0.143625; 0.16171; false; 0.687381;2.02; 0.357713; 0.144347; 1.52748; false; 2.05712;2.82; 0.357314; 0.149196; 2.33475; false; 2.87079
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;0.63; 0.364815; 0.150026; 0.124678; false; 0.668088;2.0; 0.376834; 0.146534; 1.49841; false; 2.05001;2.87; 0.362604; 0.150961; 2.37381; false; 2.91768
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;0.26; 0.187304; 0.068767; 0.023753; false; 0.293019;0.41; 0.177545; 0.069321; 0.172257; false; 0.432516;0.45; 0.178122; 0.0703; 0.216752; false; 0.479066
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;0.25; 0.174125; 0.067754; 0.027041; false; 0.282231;0.47; 0.215953; 0.082488; 0.181734; false; 0.495857;0.49; 0.201975; 0.06681; 0.238565; false; 0.520168
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;0.29; 0.203612; 0.081075; 0.026384; false; 0.32665;0.42; 0.185876; 0.072771; 0.178669; false; 0.450879;0.49; 0.189758; 0.072909; 0.233024; false; 0.509518
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;0.27; 0.18678; 0.072263; 0.020319; false; 0.293105;0.44; 0.189153; 0.077102; 0.184959; false; 0.467537;0.5; 0.190784; 0.07539; 0.23928; false; 0.520624
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;0.26; 0.178837; 0.076344; 0.020124; false; 0.289519;0.42; 0.182103; 0.077808; 0.177089; false; 0.450253;0.46; 0.177749; 0.071345; 0.222884; false; 0.486346
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;0.22; 0.151915; 0.060075; 0.020981; false; 0.24498;0.39; 0.155017; 0.067339; 0.181106; false; 0.417106;0.44; 0.152727; 0.063541; 0.231243; false; 0.459984
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;0.22; 0.150024; 0.059776; 0.018048; false; 0.238779;0.39; 0.154439; 0.067241; 0.175512; false; 0.409396;0.42; 0.150765; 0.058373; 0.228143; false; 0.448413
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;0.23; 0.164844; 0.066288; 0.011514; false; 0.255279;0.43; 0.167294; 0.064973; 0.212688; false; 0.457507;0.48; 0.170009; 0.064346; 0.269549; false; 0.516072
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;1.25; 0.898052; 0.376234; 0.027994; false; 1.35826;3.46; 0.919763; 0.362275; 2.25339; false; 3.59108;5.64; 0.906493; 0.356523; 4.43928; false; 5.75603
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;1.24; 0.902129; 0.357507; 0.036145; false; 1.35208;9.16; 0.907835; 0.354617; 7.94643; false; 9.26638;12.44; 0.924816; 0.356695; 11.2033; false; 12.5409
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.25; 0.926526; 0.355966; 0.036047; false; 1.37386;9.2; 0.928604; 0.35867; 7.97777; false; 9.32178;12.72; 0.906493; 0.356457; 11.5202; false; 12.8389
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.32; 0.242103; 0.096047; 0.002234; false; 0.353928;0.51; 0.237801; 0.095366; 0.197634; false; 0.545129;0.51; 0.236586; 0.096017; 0.20409; false; 0.55139
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.32; 0.243527; 0.097658; 0.001414; false; 0.357414;0.51; 0.240334; 0.095857; 0.191643; false; 0.542322;0.5; 0.236662; 0.094958; 0.199803; false; 0.546064
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.01; 0.012045; 0.007161; 1.7e-05; false; 0.020493;0.01; 0.01161; 0.006975; 1.7e-05; false; 0.019856;0.01; 0.01161; 0.006902; 0.000137; false; 0.01985
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.3; 0.218496; 0.085618; 0.000684; false; 0.323725;0.28; 0.201869; 0.081244; 0.008363; false; 0.309344;0.28; 0.203437; 0.083479; 0.003225; false; 0.308593
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.01; 0.011533; 0.007143; 1.5e-05; false; 0.019939;0.01; 0.011498; 0.007143; 2.5e-05; false; 0.019889;0.01; 0.011727; 0.006973; 0.00013; false; 0.02008
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;0.03; 0.02618; 0.010784; 4.5e-05; false; 0.039101;0.03; 0.02596; 0.010727; 3.8e-05; false; 0.038752;0.03; 0.025786; 0.010721; 0.000293; false; 0.038876
