name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-concat;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-concat;pyfado-trimming;pyfado-emptiness;pyfado-result;java-brics-runtime;java-brics-construction;java-brics-concat;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.0; 5.0849e-05;0.000477836;0.0013412510000000001; 0.000406661; false;11.6; 9.8901e-05; 8.741e-06;12.401304206;0.002346311; 0.0010044; false;0.79; 0.0047; 0.0000;0.0036;0.0005; 0.0002; False;0.81; 0.0049; 0.0001;0.0;0.0; 0.0000; True;0.95; 0.006153411;0.013287608; 1.66E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.0; 0.000403695;0.00051081;0.001167148; 0.000292851; false;11.32; 9.8497e-05; 1.1838e-05;11.971349601000002;0.002679982; 0.00107429; false;1.08; 0.0044; 0.0000;0.0055;0.0012000000000000001; 0.0004; False;1.11; 0.0048; 0.0001;0.0;0.0; 0.0000; True;1.02; 0.006203424;0.019619763999999998; 2.7817E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.0; 0.000278382;0.00032318500000000003;0.000625339; 0.000164218; false;10.79; 0.000106277; 9.919e-06;11.348130535;0.003720594; 0.0016706; false;0.85; 0.0043; 0.0000;0.0029000000000000002;0.0005; 0.0002; False;1.19; 0.0069; 0.0001;0.0001;0.0; 0.0000; True;0.99; 0.00629294;0.019112345000000003; 2.4689E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.0; 0.000277464;0.000307516;0.000706144; 0.000179371; false;12.48; 5.8565e-05; 6.807e-06;13.175898113999997;0.00231394; 0.000995176; false;1.2; 0.0066; 0.0000;0.0055;0.0011; 0.0004; False;1.3; 0.0067; 0.0002;0.0001;0.0; 0.0000; True;1.01; 0.006586228;0.021024038000000002; 3.3517E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.0; 0.000441436;0.000535468;0.00114188; 0.000303496; false;13.36; 0.000100978; 9.324e-06;14.226514572;0.0037737210000000003; 0.00167517; false;1.27; 0.0068; 0.0000;0.0057;0.0011; 0.0005; False;1.16; 0.0068; 0.0001;0.0001;0.0; 0.0000; True;0.95; 0.006081843;0.016326671; 2.3108E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.0; 0.000292625;0.000527713;0.00118768; 0.000319344; false;14.03; 0.000109049; 9.949e-06;15.214605055999998;0.003773432; 0.00177328; false;1.12; 0.0063; 0.0000;0.0058;0.001; 0.0004; False;1.24; 0.0063; 0.0001;0.0001;0.0; 0.0000; True;1.0; 0.006874305;0.017429187999999998; 4.176E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.0; 0.00316057;0.000574673;0.001158486; 0.000324434; false;0.01; 0.000102923; 7.842e-06;0.007331119999999999;0.004491518; 0.00266179; false;0.98; 0.0042; 0.0000;0.0029000000000000002;0.0005; 0.0002; False;1.27; 0.0069; 0.0001;0.0002;0.0; 0.0000; True;0.92; 0.006588723;0.019845367999999995; 2.7653E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.0; 0.000284471;0.0003017;0.000661725; 0.000178043; false;0.01; 0.000122173; 9.963e-06;0.005353007;0.003904176; 0.00168942; false;1.02; 0.0060; 0.0000;0.0056;0.0011; 0.0005; False;1.17; 0.0062; 0.0001;0.0001;0.0; 0.0000; True;0.93; 0.015323927;0.01990113; 2.5151E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.0; 0.000304313;0.0006330299999999999;0.001542222; 0.000346926; false;0.01; 8.6929e-05; 9.065e-06;0.004725834;0.003439061; 0.0015232; false;1.19; 0.0060; 0.0000;0.006;0.0011; 0.0005; False;1.05; 0.0045; 0.0001;0.0;0.0; 0.0000; True;0.97; 0.004541985;0.014487008999999999; 4.2177E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.0; 0.000322572;0.000522663;0.001091804; 0.000317598; false;0.01; 9.131e-05; 8.172e-06;0.0053062149999999995;0.004010381; 0.00164038; false;1.14; 0.0059; 0.0000;0.0047;0.0011; 0.0004; False;1.22; 0.0060; 0.0001;0.0001;0.0; 0.0000; True;0.9; 0.005861957;0.023225660000000002; 2.2946E-5; false
