name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-emptiness_check;automata-runtime;automata-construction;automata-intersection;automata-trim;automata-emptiness_check;automata-emptiness_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;12.37; 0.626664; 0.0750154; 12.5574;15.34;0.3024747; 15.5320170000; 0.0005190000; 0.0001146000; False;8.05; 0.438352; 0.0854946; 7.11137; 1.38352; 0.000583776; false;14.42; 0.489289; 0.0888804;0.0287998; 7.25258; 5.99969; 1.44837; false;13.14; 0.47999; 0.0864591;0.00469637; 4.92539; 7.36676; 0.12637; false;12.56; 0.5923; 0.0000; 9.1589; 2.4836; 0.0119; False;TO;TO;TO;27.39;0.14948941300000002; 11.259887547; 3.6544E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;15.21; 0.672583; 0.0806652; 15.6036;19.3;0.299946; 20.4397540000; 0.0005488000; 0.0001613000; False;9.04; 0.483281; 0.0821211; 7.22617; 2.06605; 0.0012063; false;15.4; 0.490082; 0.0821455;0.028272199999999997; 8.21758; 5.87045; 1.70695; false;15.47; 0.560683; 0.10203;0.00525581; 5.83302; 8.65288; 0.113125; false;11.34; 0.3724; 0.0000; 8.0439; 2.6829; 0.0093; False;TO;TO;TO;30.08;0.106552215; 13.275883404; 2.5972E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;18.04; 0.396628; 0.0637891; 18.4123;22.39;0.3055789; 22.9748988000; 0.0009936000; 0.0002222000; False;11.93; 0.518698; 0.0927422; 9.47033; 3.05561; 0.0012327; false;20.55; 0.571567; 0.0956977;0.0325857; 10.6316; 8.38234; 2.27886; false;16.34; 0.548109; 0.087585;0.00436508; 6.0292; 9.18127; 0.139146; false;15.7; 0.6122; 0.0000; 11.9604; 3.3412; 0.0034; False;TO;TO;TO;35.07;0.127355798; 14.70195219; 4.1487E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;22.01; 0.567975; 0.0940391; 21.5362;24.21;0.2859059; 24.9818565000; 0.0011675000; 0.0003201000; False;12.72; 0.559523; 0.111274; 10.8708; 2.6427; 0.000461819; false;20.84; 0.521289; 0.108557;0.0306816; 10.9812; 8.53338; 1.86536; false;17.18; 0.627966; 0.0990587;0.00591385; 6.30824; 10.2296; 0.117209; false;14.46; 0.4249; 0.0000; 10.8562; 3.2737; 0.0048; False;TO;TO;TO;40.01;0.13539215599999999; 18.307922777; 4.0219E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.19; 0.0638471; 0.0102078; 0.1105;0.26;0.08007489999999999; 0.1364204000; 0.0001660000; 0.0001495000; False;0.13; 0.0713837; 0.017389; 0.05176; 0.0221438; 0.000104757; false;0.25; 0.088827; 0.0171135;0.00263433; 0.161827; 0.124011; 0.000535161; false;0.18; 0.119702; 0.0169505;0.000494913; 0.0481758; 0.103748; 0.00268278; false;1.59; 0.0837; 0.0000; 0.0910; 0.0232; 0.0006; False;TO;TO;TO;1.45;0.031319244999999996; 0.200261833; 4.6006E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;20.84; 0.673581; 0.0856458; 21.4143;24.25;0.17365740000000002; 24.5313683000; 0.0013494000; 0.0002234000; False;15.1; 0.58007; 0.121207; 13.0556; 3.49679; 0.000788762; false;21.98; 0.589107; 0.100344;0.0209164; 11.5276; 8.92496; 2.41489; false;18.88; 0.569136; 0.0989178;0.00482544; 7.25371; 10.8412; 0.144786; false;18.11; 0.7622; 0.0000; 14.1299; 4.3072; 0.0421; False;TO;TO;TO;43.47;0.115720603; 18.612385116; 2.828E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.3; 0.0806472; 0.0125713; 0.2096;0.47;0.08841700000000001; 0.3532191000; 0.0002673000; 0.0002022000; False;0.22; 0.105969; 0.0204192; 0.10936; 0.161772; 0.000140277; false;0.51; 0.0893164; 0.0233025;0.00487294; 0.329467; 0.243209; 0.000742941; false;0.43; 0.110678; 0.0217442;0.0008643559999999999; 0.103596; 0.199615; 0.0049283; false;1.59; 0.1173; 0.0000; 0.1913; 0.0414; 0.0004; False;TO;TO;TO;2.27;0.043327021; 0.399515579; 2.6355E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.46; 0.121864; 0.0214859; 0.3353;0.8;0.09853700000000001; 0.7056178000; 0.0003508000; 0.0001899000; False;0.31; 0.0945442; 0.0179233; 0.185735; 0.0660958; 9.1554e-05; false;0.68; 0.0679771; 0.0209338;0.00344948; 0.256386; 0.377227; 0.000884978; false;0.62; 0.116765; 0.0242363;0.0008761190000000001; 0.176505; 0.372069; 0.00457791; false;1.7; 0.1721; 0.0000; 0.3447; 0.0927; 0.0007; False;TO;TO;TO;2.9;0.045827756; 0.7105784; 3.5567E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;1.03; 0.132466; 0.0234101; 0.9623;1.2;0.1240399; 1.0802931000; 0.0006349000; 0.0002475000; False;0.64; 0.133105; 0.0317873; 0.439564; 0.171554; 0.000305935; false;1.49; 0.21603; 0.0396257;0.01031902; 0.718249; 0.691336; 0.00252167; false;1.18; 0.158839; 0.0394323;0.001574022; 0.375942; 0.622664; 0.011992; false;2.23; 0.2107; 0.0000; 0.6112; 0.1660; 0.0015; False;TO;TO;TO;3.15;0.045735837; 1.056265596; 2.3513E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;1.3; 0.155226; 0.0280296; 1.0878;1.53;0.12565690000000002; 1.4680781000; 0.0002856000; 0.0001380000; False;0.87; 0.182763; 0.037269; 0.52399; 0.224874; 0.000241661; false;1.63; 0.190636; 0.0391025;0.00913558; 0.830402; 0.688473; 0.00168284; false;1.44; 0.159343; 0.0343549;0.001328338; 0.385763; 0.84623; 0.0131413; false;2.11; 0.1843; 0.0000; 0.7591; 0.2328; 0.0009; False;TO;TO;TO;4.86;0.060531379999999996; 1.530590819; 4.5168E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;1.58; 0.118024; 0.0216125; 1.4475;2.35;0.14398719999999998; 2.1843026000; 0.0005077000; 0.0002693000; False;1.09; 0.120972; 0.0293814; 0.830906; 0.257736; 0.000150348; false;2.62; 0.218099; 0.0464035;0.01276302; 1.28755; 1.23574; 0.00283147; false;1.62; 0.120616; 0.0286969;0.0010375900000000001; 0.529571; 0.902737; 0.0171721; false;2.47; 0.2033; 0.0000; 1.0577; 0.3416; 0.0015; False;TO;TO;TO;6.16;0.062769405; 2.025440678; 4.3276E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;2.55; 0.241574; 0.039743; 2.4122;2.47;0.18109619999999998; 2.5671406000; 0.0003606000; 0.0001490000; False;1.83; 0.244443; 0.0528544; 1.35081; 0.460934; 0.000510449; false;3.38; 0.244738; 0.0509732;0.01363636; 1.80445; 1.61819; 0.00193236; false;2.24; 0.138171; 0.029504;0.001105314; 0.725584; 1.26574; 0.027232; false;3.41; 0.1946; 0.0000; 1.7235; 0.6247; 0.0023; False;TO;TO;TO;7.39;0.112749868; 2.951997322; 5.1716E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;3.68; 0.368707; 0.0426572; 3.6315;3.82;0.1488729; 3.8582047000; 0.0003430000; 0.0001110000; False;2.1; 0.15531; 0.0346975; 1.79254; 0.414871; 0.000362852; false;4.15; 0.242303; 0.0486488;0.01387916; 2.08968; 2.00165; 0.00251321; false;3.68; 0.303255; 0.0535714;0.0026976400000000003; 1.27145; 2.04602; 0.0371692; false;3.72; 0.2393; 0.0000; 2.0312; 0.6380; 0.0013; False;TO;TO;TO;9.08;0.076234592; 3.731157211; 4.4417E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;0.05; 0.0340418; 0.00468794; 0.0175;0.17;0.07453019999999999; 0.0467521000; 0.0001577000; 0.0001645000; False;0.04; 0.0295234; 0.0122407; 0.0106586; 0.00562166; 5.4218e-05; false;0.08; 0.033624; 0.0120612;0.0012492990000000002; 0.0168741; 0.0297436; 0.000462709; false;0.05; 0.0349108; 0.0140614;0.000216618; 0.00708243; 0.0247343; 0.000382671; false;1.37; 0.0534; 0.0000; 0.0135; 0.0028; 0.0001; False;TO;TO;TO;1.18;0.033186513; 0.050859324; 3.2505E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;3.54; 0.235701; 0.0300851; 3.4199;4.55;0.1448293; 4.4786919000; 0.0006682000; 0.0001904000; False;2.86; 0.308112; 0.0599922; 2.23845; 0.710975; 0.000475979; false;4.82; 0.292761; 0.0611015;0.01733216; 2.54586; 1.74756; 0.490756; false;4.93; 0.174414; 0.0360265;0.00178573; 1.96263; 2.98539; 0.0442096; false;4.18; 0.2822; 0.0000; 2.2347; 0.8825; 0.0027; False;TO;TO;TO;10.26;0.15381093899999998; 4.203786621; 7.4889E-5; false
