name;automata-runtime;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-complement;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance13681-1.mata;ERR;0.0; 9.2484e-05; 1.9497e-05; 3.779e-06; 2.769e-06; false;0.0; 8.8438e-05; 5.1016e-05; 3.6684e-05; 5.283e-06; 3.561e-06; false;0.0; 9.0488e-05; 7.781e-06; 0.000636299; 0.000475833; 3.7552e-05; false;1.11; 0.0043; 0.0000; 0.0000; 0.0000; 0.0000; False;1.17; 0.0061; 0.0001; 0.0000; 0.0000; False;1.03; 0.0042; 0.0003; 0.0001; 0.0000; False;1.05; 0.066752991; 0.020320776; 0.005420522; false;0.86; 0.004894355; 0.002322363; 2.9416E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance13814-1.mata;ERR;0.0; 0.000215488; 0.00014073; 2.2204e-05; 3.834e-06; false;0.0; 0.000184776; 0.000144428; 0.00060877; 0.000252004; 0.000216034; false;0.0; 0.000225387; 2.6587e-05; 0.000988193; 0.000712284; 0.000217121; false;1.01; 0.0045; 0.0000; 0.0002; 0.0000; 0.0000; False;1.08; 0.0066; 0.0005; 0.0003; 0.0001; False;1.22; 0.0063; 0.0012; 0.0010; 0.0001; False;1.07; 0.080730845; 0.03982518; 0.001990515; false;0.87; 0.009256947; 0.005647734; 3.639E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance13814-2.mata;ERR;0.0; 5.0755e-05; 1.2846e-05; 2.671e-06; 2.035e-06; false;0.0; 7.9697e-05; 5.3834e-05; 3.6818e-05; 4.976e-06; 3.843e-06; false;0.0; 8.467e-05; 8.938e-06; 0.000568568; 0.000422978; 3.6384e-05; false;1.14; 0.0064; 0.0000; 0.0001; 0.0000; 0.0000; False;1.13; 0.0062; 0.0002; 0.0001; 0.0000; False;1.01; 0.0049; 0.0003; 0.0001; 0.0000; False;1.04; 0.061015404; 0.025417766; 0.001990066; false;0.96; 0.006005016; 0.002788788; 3.2553E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance13814-3.mata;ERR;0.02; 0.018303; 0.00131191; 8.2268e-05; 6.861e-06; false;0.03; 0.0157066; 0.00984688; 0.00695613; 0.00198027; 0.00198994; false;0.03; 0.0174832; 0.00182332; 0.00505715; 0.00174829; 0.00125182; false;1.24; 0.0358; 0.0000; 0.0032; 0.0002; 0.0000; False;0.99; 0.0197; 0.0155; 0.0019; 0.0008; False;1.25; 0.0715; 0.0277; 0.0061; 0.0001; False;1.8; 0.206520918; 0.043173704; 0.001801263; false;1.36; 0.108674324; 0.02595425; 4.0908E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance13814-4.mata;ERR;0.0; 0.000129884; 2.4225e-05; 4.125e-06; 1.868e-06; false;0.0; 0.000150373; 8.7561e-05; 8.3e-05; 1.8266e-05; 1.5606e-05; false;0.0; 0.00013114; 1.5372e-05; 0.000399778; 0.000297778; 5.2612e-05; false;0.9; 0.0064; 0.0000; 0.0001; 0.0000; 0.0000; False;1.14; 0.0064; 0.0004; 0.0001; 0.0000; False;1.08; 0.0044; 0.0005; 0.0001; 0.0000; False;1.11; 0.088432699; 0.018401956; 0.002133649; false;0.89; 0.019945768; 0.004541542; 2.5068E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance13843-1.mata;ERR;0.02; 0.0392654; 0.00142473; 6.9418e-05; 4.897e-06; false;0.04; 0.0325201; 0.0110107; 0.0104225; 0.00189769; 0.00185583; false;0.03; 0.0186641; 0.00171344; 0.00544765; 0.00178473; 0.00136195; false;1.1; 0.0220; 0.0000; 0.0022; 0.0001; 0.0000; False;1.27; 0.0354; 0.0285; 0.0013; 0.0011; False;1.2; 0.0362; 0.0558; 0.0065; 0.0001; False;1.75; 0.24062763; 0.098517161; 0.002344394; false;1.28; 0.10356383; 0.012536248; 2.8981E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance13906-1.mata;ERR;0.0; 0.000203272; 0.000147162; 2.027e-05; 3.484e-06; false;0.0; 0.00023289; 0.000191193; 0.000588853; 0.000199098; 0.000210568; false;0.0; 0.000229838; 2.7362e-05; 0.000937326; 0.00057507; 0.000210303; false;1.11; 0.0049; 0.0000; 0.0002; 0.0000; 0.0000; False;1.1; 0.0063; 0.0005; 0.0003; 0.0001; False;1.03; 0.0046; 0.0008; 0.0005; 0.0000; False;1.09; 0.095825416; 0.031546406; 0.001955146; false;0.91; 0.010603318; 0.006196801; 2.8101E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance13951-1.mata;ERR;0.0; 7.5438e-05; 1.8342e-05; 3.806e-06; 2.588e-06; false;0.0; 8.7143e-05; 6.692e-05; 5.3296e-05; 4.881e-06; 3.67e-06; false;0.0; 7.9034e-05; 8.057e-06; 0.000588384; 0.000406948; 3.3091e-05; false;1.2; 0.0063; 0.0000; 0.0001; 0.0000; 0.0000; False;1.14; 0.0059; 0.0001; 0.0000; 0.0000; False;1.25; 0.0148; 0.0005; 0.0001; 0.0001; False;0.96; 0.054403857; 0.01454711; 0.002057347; false;0.94; 0.005936908; 0.002389841; 3.1055E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance13951-2.mata;ERR;0.0; 0.00136817; 0.000163503; 1.2778e-05; 2.224e-06; false;0.0; 0.00141403; 0.000731664; 0.000855267; 0.000233591; 0.000256013; false;0.0; 0.00138116; 0.000118827; 0.000904912; 0.000439077; 0.000218669; false;0.99; 0.0069; 0.0000; 0.0004; 0.0000; 0.0000; False;1.02; 0.0109; 0.0042; 0.0005; 0.0003; False;1.18; 0.0106; 0.0042; 0.0013; 0.0001; False;1.32; 0.130799496; 0.053214166; 0.005592682; false;1.01; 0.02097366; 0.004943207; 3.1642E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance13951-3.mata;ERR;0.0; 0.000395178; 0.000381802; 4.5896e-05; 3.99e-06; false;0.0; 0.000360411; 0.000259025; 0.00208318; 0.000861708; 0.000665857; false;0.0; 0.000364181; 4.0226e-05; 0.00181267; 0.00101649; 0.000586952; false;1.19; 0.0066; 0.0000; 0.0008; 0.0001; 0.0000; False;1.17; 0.0066; 0.0009; 0.0010; 0.0004; False;0.98; 0.0047; 0.0011; 0.0012; 0.0000; False;1.22; 0.122601499; 0.057536403; 0.00222067; false;1.02; 0.014090408; 0.013760039; 2.6314E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance13951-4.mata;ERR;0.0; 0.000135615; 5.8911e-05; 7.455e-06; 1.988e-06; false;0.0; 0.00022179; 0.000199232; 0.00048256; 0.000168546; 0.000172877; false;0.0; 0.000121961; 1.5627e-05; 0.000544218; 0.00033669; 9.0365e-05; false;0.99; 0.0064; 0.0000; 0.0002; 0.0000; 0.0000; False;1.07; 0.0047; 0.0004; 0.0001; 0.0000; False;1.06; 0.0048; 0.0008; 0.0003; 0.0001; False;1.07; 0.076398515; 0.026407681; 0.002262197; false;0.97; 0.019385978; 0.004510164; 2.0897E-5; false
