name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;automata-runtime;automata-construction;mata-runtime;mata-mataparsing;mata-mataminterm;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;pymata-runtime;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;TO; 0.408413; 0.0665383;TO;0.26663349999999997;TO; 0.510148; 0.131425;TO; 0.343407; 0.0708086;0.0453805;TO; 0.338402; 0.0573588;0.00246064;TO;TO;TO;TO;TO;0.12466411699999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;ERR;ERR;ERR;TO;0.2420142;TO; 0.41641; 0.0983943;TO; 0.506209; 0.163557;0.0329174;TO; 0.68766; 0.0942804;0.00445225;TO;TO;TO;TO;TO;0.12367506
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;TO; 0.568915; 0.152169;TO;0.2813834;TO; 0.353055; 0.0892144;TO; 0.457554; 0.0714751;0.0215854;TO; 0.675252; 0.143164;0.00497055;TO;TO;TO;TO;TO;0.22795787
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;TO; 0.569589; 0.0922159;TO;0.3559007;TO; 0.507529; 0.0993292;TO; 0.70182; 0.208164;0.0304556;TO; 0.309481; 0.0607247;0.00286561;TO;TO;TO;TO;TO;0.184683934
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;TO; 0.553977; 0.0875077;TO;0.23154180000000002;TO; 0.686573; 0.174558;TO; 0.616241; 0.132967;0.08437120000000001;TO; 0.508792; 0.0652635;0.00281455;TO;TO;TO;TO;TO;0.161870071
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;TO; 0.0569562; 0.00851664;TO;0.0887312;TO; 0.0315665; 0.0101304;TO; 0.0402411; 0.0150098;0.00287945;TO; 0.0587904; 0.0164161;0.0005602020000000001;TO;TO;TO;TO;TO;0.030362828
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;TO; 0.570087; 0.206912;TO;0.16353109999999998;TO; 0.858976; 0.134647;TO; 0.995234; 0.10401;0.036043;TO; 0.790315; 0.100551;0.0049130400000000005;TO;TO;TO;TO;TO;0.138086806
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;TO; 0.109395; 0.0142727;TO;0.0991319;TO; 0.191652; 0.0204748;TO; 0.091346; 0.0220485;0.004394820000000001;TO; 0.157033; 0.0451381;0.000682443;TO;TO;TO;TO;TO;0.047449764000000005
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;TO; 0.126303; 0.01895;TO;0.1085649;TO; 0.117009; 0.0351938;TO; 0.166138; 0.0253107;0.00587801;TO; 0.15925; 0.0521709;0.001064023;TO;TO;TO;TO;TO;0.037903083
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;TO; 0.301137; 0.0427075;TO;0.110584;TO; 0.285916; 0.0690613;TO; 0.146784; 0.029708;0.00688777;TO; 0.165946; 0.03178;0.001243138;TO;TO;TO;TO;TO;0.057383047000000006
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;TO; 0.24459; 0.0397876;TO;0.1668827;TO; 0.241876; 0.0349586;TO; 0.343373; 0.0749005;0.022133029999999998;TO; 0.334538; 0.07213;0.0014030800000000001;TO;TO;TO;TO;TO;0.050376488
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;TO; 0.218967; 0.036641;TO;0.2153232;TO; 0.25235; 0.0407037;TO; 0.259783; 0.0426331;0.01088761;TO; 0.36098; 0.0843855;0.001689113;TO;TO;TO;TO;TO;0.071108581
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;TO; 0.384637; 0.0382598;TO;0.2455134;TO; 0.444521; 0.083754;TO; 0.445644; 0.0492559;0.0140057;TO; 0.355509; 0.0862558;0.001864266;TO;TO;TO;TO;TO;0.0745794
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;TO; 0.300002; 0.0433267;TO;0.1519656;TO; 0.363786; 0.0752006;TO; 0.51567; 0.087133;0.02615734;TO; 0.456831; 0.0452107;0.00208718;TO;TO;TO;TO;TO;0.0967137
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;TO; 0.0605157; 0.00548466;TO;0.0675567;TO; 0.0168284; 0.00733048;TO; 0.0283663; 0.00969266;0.0013251909999999999;TO; 0.0287177; 0.0099099;0.000242295;TO;TO;TO;TO;TO;0.041434293
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;TO; 0.398436; 0.049208;TO;0.3258475;TO; 0.613693; 0.0610152;TO; 0.404002; 0.0371144;0.01768859;TO; 0.222954; 0.0342042;0.001627205;TO;TO;TO;TO;TO;0.104894712
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;TO; 0.445188; 0.0741364;TO;0.20631290000000002;TO; 0.346341; 0.077643;TO; 0.284115; 0.0518994;0.01470686;TO; 0.346705; 0.0587506;0.00279421;TO;TO;TO;TO;TO;0.11693136300000001
