name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-construction;automata-intersection;automata-trim;automata-inclusion_check;automata-inclusion_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-inclusion_check;awali-inclusion_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-inclusion;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-inclusion;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-inclusion;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut29.mata;0.06; 0.0436517; 0.0166809; 0.0007; 0.0003;0.22;0.09993229999999999;0.016517; 0.0000855000; 0.0413393000; True;0.09; 0.132898; 0.0210627;0.00010470800000000001;1.7663e-05; 8.355e-06; true;0.07; 0.0817461; 0.0230313;0.005627354;0.00023912000000000003;0.000223163; 0.000351057; true;0.09; 0.0746498; 0.0232553;0.0008958200000000001;0.0008920800000000001;0.00062479; 0.00129758; true;1.23; 0.1168; 0.0000; 0.0005; 0.0000; 0.0000; True;1.35; 0.1176; 0.0117; 0.0150; 0.0001; True;1.43; 0.1217; 0.0191; 0.0009; 0.0001; True;1.92;0.187002312;0.074836762; 0.024935649; true;1.18;0.048106121;0.0034890579999999997; 0.001178488; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.14; 0.114928; 0.0326767; 0.0016; 0.0004;0.21;0.10340219999999999;0.015108; 0.0000850000; 0.0425946000; True;0.15; 0.11132; 0.039845;0.000194539;2.3837000000000002e-05; 8.73e-06; true;0.17; 0.134054; 0.0402548;0.022922696;0.000542059;0.000384823; 0.00937037; true;0.1; 0.0634877; 0.0231197;0.001672387;0.000681566;0.000438634; 0.0149534; true;1.06; 0.1037; 0.0000; 0.0007; 0.0000; 0.0000; True;1.7; 0.1628; 0.2954; 0.0183; 0.0112; True;1.1; 0.1303; 0.0452; 0.0007; 0.0000; True;3.29;0.660551103;0.09540352699999999; 0.08710531; true;1.78;0.164149738;0.002673887; 0.074886542; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.03; 0.0275009; 0.00547287; 0.0003; 0.0001;0.18;0.08258599999999998;0.011945; 0.0000573000; 0.0358542000; True;0.04; 0.0600383; 0.0159695;5.8785999999999996e-05;1.5625e-05; 7.956e-06; true;0.06; 0.0595984; 0.0158794;0.003266891;0.000136705;0.00012853700000000002; 0.000348737; true;0.06; 0.0703586; 0.0170467;0.000535316;0.0007851589999999999;0.000604684; 0.00124003; true;1.38; 0.0768; 0.0000; 0.0005; 0.0000; 0.0000; True;1.36; 0.0711; 0.0117; 0.0246; 0.0004; True;1.29; 0.0478; 0.0069; 0.0004; 0.0001; True;1.7;0.17324483799999998;0.041574394; 0.016653403; true;1.29;0.057127400999999994;0.003095231; 0.002382328; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut70.mata;0.13; 0.103735; 0.0219898; 0.0051; 0.0049;0.22;0.09776910000000001;0.0372347; 0.0000812000; 0.0389637000; True;0.12; 0.102915; 0.028858;0.0025979180000000003;0.0009218259999999999; 1.4894e-05; true;0.17; 0.118143; 0.031124;0.010257770999999999;0.012772048000000001;0.011803402; 0.00172345; true;0.12; 0.160689; 0.0442009;0.000773908;0.0037738309999999996;0.005702182; 0.00121189; true;1.39; 0.1507; 0.0000; 0.0070; 0.0000; 0.0000; True;5.62; 0.1558; 0.1021; 4.5718; 0.0007; True;1.56; 0.1535; 0.0497; 0.1288; 0.0001; True;2.46;0.38315284499999996;0.095797704; 0.012419402; true;1.68;0.19687680599999996;0.07698398000000001; 0.002065364; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut51.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.15; 0.161081; 0.0267787; 0.0035; 0.0026;0.25;0.1046221;0.0336834; 0.0000861000; 0.0542834000; True;0.14; 0.124561; 0.0344136;0.002226678;0.000835591; 8.183e-06; true;0.18; 0.120896; 0.0353365;0.014610389000000001;0.007332738;0.012671459; 0.00426608; true;0.16; 0.121262; 0.0338975;0.0022346880000000003;0.005340491;0.005094536; 0.0036777; true;1.42; 0.1747; 0.0000; 0.0047; 0.0000; 0.0000; True;15.26; 0.1769; 0.1505; 14.3986; 0.0017; True;1.56; 0.1739; 0.0703; 0.0718; 0.0000; True;2.42;0.31026913500000003;0.10336056800000001; 0.025459668; true;1.68;0.07984313800000001;0.05594708; 0.003651059; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata;0.18; 0.076038; 0.0152479; 0.0942; 0.0162;0.19;0.08696;0.029139399999999996; 0.0003383000; 0.0355723000; True;0.1; 0.09345; 0.0182248;0.003340152;0.001079553; 0.000837191; true;0.21; 0.101666; 0.0308211;0.011903678999999999;0.022061828;0.025484799000000002; 0.0278074; true;0.09; 0.055889; 0.0186565;0.000980175;0.0069053759999999995;0.007946802; 0.00335648; true;1.01; 0.0905; 0.0000; 0.0140; 0.0021; 0.0015; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.21; 0.1453; 0.0322; 0.1133; 0.0257; True;2.25;0.259362798;0.108648627; 0.046494657; true;1.34;0.07103334;0.09016739; 0.033178364; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata;0.03; 0.0249568; 0.00558042; 0.0007; 0.0003;0.17;0.0671011;0.0148436; 0.0000775000; 0.0373562000; True;0.03; 0.0238383; 0.0116775;0.000277133;4.8031e-05; 7.299e-06; true;0.03; 0.0233341; 0.0110204;0.002439024;0.00056246;0.000554734; 0.000308572; true;0.03; 0.0248809; 0.0117953;0.00044695799999999996;0.0012407770000000002;0.0009943250000000001; 0.00104973; true;1.26; 0.0433; 0.0000; 0.0011; 0.0000; 0.0000; True;1.01; 0.0254; 0.0049; 0.0140; 0.0001; True;1.26; 0.0333; 0.0085; 0.0013; 0.0001; True;1.41;0.12560907899999998;0.035999054; 0.016179215; true;1.12;0.033048271000000004;0.00376063; 0.001007927; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.04; 0.0326818; 0.00613557; 0.0013; 0.0010;0.18;0.07782679999999999;0.0181887; 0.0000819000; 0.0433542000; True;0.05; 0.0452942; 0.0307736;0.0012481900000000002;0.000216946; 1.2987e-05; true;0.06; 0.0730391; 0.0139113;0.001315667;0.0020479450000000002;0.002332621; 0.000736674; true;0.07; 0.0589388; 0.0149857;0.000419147;0.002669796;0.0025138; 0.001093; true;1.26; 0.1105; 0.0000; 0.0025; 0.0004; 0.0000; True;1.63; 0.0784; 0.0099; 0.3889; 0.0002; True;0.86; 0.0451; 0.0055; 0.0021; 0.0001; True;1.52;0.16032067000000003;0.051035969; 0.008527336; true;1.12;0.03587805499999999;0.014255161; 0.001880068; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.07; 0.063146; 0.00843982; 0.0003; 0.0002;0.2;0.08833629999999999;0.0152855; 0.0000804000; 0.0472445000; True;0.07; 0.0625081; 0.0153518;0.000186463;4.0315e-05; 8.83e-06; true;0.07; 0.0615782; 0.0153974;0.002106535;0.000390504;0.000622227; 0.00046897; true;0.07; 0.0625507; 0.0154052;0.00037849300000000004;0.000887105;0.000889995; 0.00153696; true;1.05; 0.0507; 0.0000; 0.0004; 0.0000; 0.0000; True;1.27; 0.0872; 0.0093; 0.0115; 0.0006; True;1.07; 0.0515; 0.0057; 0.0008; 0.0000; True;1.48;0.149442508;0.045091204; 0.008578478; true;1.09;0.030796027999999996;0.006661943000000001; 0.004974531; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.44; 0.324277; 0.0968644; 0.0181; 0.0146;0.27;0.15636869999999997;0.0207857; 0.0000761000; 0.0396263000; True;0.4; 0.374881; 0.115307;0.004319676000000001;0.0009896479999999999; 6.436e-06; true;0.79; 0.484391; 0.18758;0.088313252;0.022065011;0.05506670999999999; 0.0453173; true;1.35; 0.401162; 0.140865;0.019434368;0.012374279;0.014248776999999999; 0.859334; true;1.41; 0.4152; 0.0000; 0.0209; 0.0001; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.157374425;MISSING;MISSING;MISSING;4.21;0.308166753;0.048571169; 0.523988699; true
